id,name,department
2350272,Steven Roberts,Psychology
203927,Mehran Sahami,Computer Science
1307371,Kurt Carrasquilla,Business
13890,Jerry Cain,Computer Science
247367,Nick Parlante,Computer Science
2406214,Jacob Vo,Humanities
12872,Philip Zimbardo,Psychology
216856,Mark Tendall,Economics
503861,Chris Moylan,Chemistry
362964,Robert Sapolsky,Biology
1787737,Keith Schwarz,Computer Science
545784,Andrew Ng,Computer Science
363648,John McCaskey,History
2504574,Mandeep Gill,Physics
1474184,Ruth Starkman,Philosophy
618987,Vadim Khayms,Engineering
1832866,Chris Piech,Computer Science
332959,Lanier Anderson,Philosophy
203930,Eric Roberts,Computer Science
183250,Julie Zelenski,Computer Science
216855,Marcelo Clerici-Arias,Economics
658957,Guadalupe Valdes,Education
105632,Douglas Osheroff,Science
134687,Dan Boneh,Computer Science
204719,James Gross,Psychology
137640,Joshua Landy,Languages
1037619,Tim Roughgarden,Computer Science
28392,Jack Rakove,History
227578,Hong Zeng,Languages
440100,Peter Michelson,Physics
1894904,Jerry Batteh Batteh,Mathematics
67582,Mike Tomz,Political Science
874208,Giovanni Tempesta,Languages
308694,Stephen Boyd,Engineering
366784,Marcus Skinner,English
641640,Mark Applebaum,Music
1150635,Michelle Landis-Dauber,Law
2023724,Russ Altman,Engineering
242820,Ewart Thomas,Psychology
2229740,Cynthia Lee,Computer Science
424827,Sanjay Lall,Engineering
578110,Marc Lucianovic,Mathematics
2708733,Marius Wernig,Medicine
661391,Abbas Milani,Political Science
203922,Robert Plummer,Computer Science
1895707,Marty Stepp,Computer Science
12875,Lee Yearley,Religious Studies
896034,Russell Berman,Literature
136971,John L'Heureux,English
138777,Jeff Ullman,Computer Science
131758,Susan Olzak,Sociology
651090,Laura Roman,Writing
544822,Paul Bator,English
94610,Pierre Khuri-Yakub,Engineering
808495,Ran Abramizky,Economics
136817,Scott Bukatman,Film
67584,Ian Morris,Classics
161491,Thomas Sheehan,Theology
738631,Lenny Susskind,Physics
2220138,Chris Gregg,Computer Science
693288,Michael Ramscar,Psychology
1038150,Brad Osgood,Engineering
766349,Marta Baldocchi,Languages
138111,Daphne Koller,Computer Science
488874,Stan Christensen,Management
105542,Carolyn Ross,English
824987,Patrick Young,Computer Science
151978,Clifford Nass,Communication
776354,Wray Huestis,Chemistry
803088,Dimitry Yandulov,Chemistry
1789039,Brajesh Samarth,Languages
959399,Justin Eichenlaub,English
2229376,Sam Hinkie,Business
12873,David Kennedy,History
155537,Momoyo Kubo,Languages
605397,John Bender,English
463574,Brett Bourbon,English
580291,Dan Stack,Chemistry
67388,Herb Clark,Psychology
463175,Bruce Lusignan,Engineering
538811,Michael Boskin,Economics
433670,Jody Maxmin,Art History
796614,Fouad Tobagi,Engineering
1951412,Kenneth Taylor,Philosophy
881810,Kimberly Moekle,English
2673940,Kaci Fairchild,Psychology
2127,Doug McAdam,Political Science
450003,Serge Plotkin,Computer Science
2103274,Dominik Michels,Computer Science
236142,Abbas El Gamal,Engineering
882284,Robert Leeson,Economics
671900,Andy Rutten,Political Science
419852,Liran Einav,Economics
291531,Aprajit Mahajan,Economics
1256446,Fu Kuo Chang,Engineering
931515,Giancarlo Aquilanti,Music
2382771,Richie Kim,Philosophy
136991,Ken Fields,English
131769,Benoit Monin,Psychology
512926,Nancy Buffington,English
1786999,Charlie Cox,Chemistry
308685,Steve Rock,Engineering
550077,Chris Bobonich,Philosophy
594081,Dan Edelstein,Languages
2045502,Percy Liang,Computer Science
813422,Lester Lawrence Lessig,Law
583269,Mendel Rosenblum,Computer Science
264149,Scott Sagan,Political Science
651084,Brian White,Mathematics
468770,Steve Block,Biology
825715,Dafna Elrad,Chemistry
925287,William Abrams,Biology
136843,Terry Karl,Political Science
213145,Robert Huw Morgan,Music
795607,Heather Hadlock,Music
132743,Channing Robertson,Engineering
474492,Keith Baker,History
694498,William Petig,Languages
366800,Razvan Fetecau,Mathematics
691642,Justin Du Bois,Chemistry
138156,James Sheehan,History
1094185,Tom Kosnik,Engineering
132638,Chaitan Khosla,Engineering
133712,Michael Klausner,Law
12871,Tobias Wolff,English
632685,Janet Alexander,Law
136982,John Felstiner,English
937037,Colin Haysman,Education
137847,John Bravman,Engineering
262517,William Leben,Not Specified
291530,Priya Satia,History
894764,Scott Herdon,English
1074826,Richard Ontiveros,Music
2064949,Megan Karsh,Law
930630,Michael Fayer,Chemistry
1020782,David Como,History
2457923,Scott McKeon,Economics
1180366,Donna Hunter,Writing
2021668,Keith Winstein,Computer Science
756856,Robert Waymouth,Chemistry
1655665,Christine Alfano,Writing
627763,Teresa Lafromboise,Education
1459206,Sarah Walters,Engineering
135633,Mark Zoback,Geology
1162185,Thomas Beischer,Art History
363551,Daniel Schwartz,Education
815504,Pavle Levi,Film
1452751,Henry Lowood,Science
928911,Giorgio Gratta,Physics
67372,Jim Fearon,Political Science
852911,Robert Weisberg,Law
2798840,Ahmed Banafa,Information Science
731508,Michelle Elam,English
1057853,Adrian Butscher,Mathematics
535782,Erin Ferris,Humanities
299730,David Brady,Political Science
2158527,Dylan McKay,Computer Science
133736,Paul Goldstein,Law
133752,Deborah Rhode,Law
941585,Gregory Brumfiel,Mathematics
1923179,Adam  Zientek,Humanities
236143,John Pauly,Engineering
1899146,Grant Rozeboom,Philosophy
1032579,Thomas Weber,Engineering
769448,Condoleeza Rice,Political Science
759564,Ravi Vakil,Mathematics
1151288,Joseph Kahn,Engineering
1554336,Carol McKibben,History
1954186,Leonard  Susskind,Physics
2052046,Lei Xing,Medical
928912,Norbert Lain,Classics
67574,Richard Rorty,Philosophy
542948,Rush Rehm,Theater
