index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,mandatory,5.0,PSCYH21N,"Professor Roberts is the most incredible teacher I have ever learned from. His lectures are captivating, and he cultivates an engaging and interactive learning environment. He made a three hour Monday morning class feel like 45 minutes. I wish I had more space for detail, but his class and teaching truly changed my life. Please take his class.",False,2024-04-22 22:13:34,2.0,A+,5.0,True,False,5.0,Participation matters--Amazing lectures --Accessible outside class,-1.0,0,0,1.0,2350272
1,mandatory,5.0,PSYCH21N,"Professor Roberts, especially in How to Make a Racist, was hands-down the best professor I've had. He knows how to ask the right questions to get you to think deeper about the material and always gives ample and constructive feedback. Professor Roberts is unique because, not only is he an amazing professor, he's an amazing person. ",False,2024-03-16 02:45:02,2.0,A+,5.0,True,False,5.0,Inspirational--Caring--Respected,-1.0,0,0,1.0,2350272
2,mandatory,5.0,PSYCH21N,"Professor Roberts is very intelligent, and his class has inspired me to become more engaged with the world to make a positive impact. He's considerate and cares about all of his students equally. His approach to the content of class is thoughtful and his talks are well-prepared and intentional. His teaching style makes it easy for anyone to learn.",False,2024-03-13 23:37:04,2.0,Not sure yet,5.0,False,False,5.0,Gives good feedback--Inspirational--Respected,-1.0,0,0,1.0,2350272
3,mandatory,5.0,PSCYH21N,"TOP TIER! I love Professor Roberts so much! This is my second quarter having him and every class with him teaching is a joy! If you ever get the opportunity to take one of his classes, DO IT! I am forever grateful and honored to say that I have been one of your students.",False,2024-03-13 07:48:59,2.0,A+,5.0,True,False,5.0,Participation matters--Amazing lectures --Gives good feedback,-1.0,0,0,1.0,2350272
4,mandatory,5.0,PSYCH14N,"Out of all the classes I've taken at Stanford so far this has been my favorite, and I'd highly recommend anyone to take this class. Professor Roberts creates a welcoming classroom environment that's also conducive to academic/personal exploration. Moreover, he's incredibly insightful and inspiring. Super glad I took this class!",False,2023-12-20 09:40:49,3.0,A,5.0,True,False,5.0,Inspirational--Caring--Accessible outside class,-1.0,0,0,1.0,2350272
5,mandatory,5.0,PSYCH14N,"Professor Roberts is truly one of the best instructors I've ever had. He's very down to earth, kind, funny, and not too lax. He did a great job at making our class feel comfortable and respected when sharing. He always comes to class in a positive mood. I look forward to taking courses with him in the future, I learned so much from him.",False,2023-12-08 04:25:49,2.0,A+,5.0,True,False,5.0,Participation matters--Gives good feedback--Caring,-1.0,0,0,1.0,2350272
6,mandatory,5.0,PSYCH14N,Steven Roberts,False,2023-12-07 22:29:41,2.0,Not sure yet,5.0,True,False,5.0,Gives good feedback--Inspirational--Caring,-1.0,0,0,1.0,2350272
7,mandatory,5.0,PSYCH14N,He is an amazing professor and I highly recommend his courses. He doesn't have favorites and his class is very inspirational. My favorite class as a Freshman!,False,2023-12-07 07:02:17,5.0,A+,5.0,True,False,5.0,Caring--Respected,3.0,0,0,1.0,2350272
8,mandatory,5.0,PSYCH14N,Mr. Roberts is a great professor! He truly cares about us students and our personal development. One of my favorite and most memorable classes I've taken at Stanford. I can't say enough good things - highly recommend! ,False,2023-12-07 04:41:28,2.0,,5.0,True,False,5.0,,-1.0,0,0,1.0,2350272
9,mandatory,5.0,PSYCH14N,"Professor Roberts is an AMAZING professor and helped me discover myself through this class. He's so caring, helpful, and understanding that I don't even know how to put it into words. Completely changed my outlook on my life and made me a much more understanding and respectful person!",False,2023-12-07 02:43:39,2.0,,5.0,True,False,5.0,Gives good feedback--Inspirational--Caring,-1.0,0,0,1.0,2350272
10,mandatory,5.0,PSYCH14N,This was easily my favorite class at Stanford! Professor Roberts is AMAZING. He ensures his students feel comfortable and goes the extra mile to get to know you personally. You can tell he genuinely cares about his students. He has truly changed my outlook on life and I am so grateful to have taken this class. ,False,2023-12-07 02:29:04,1.0,,5.0,True,False,5.0,Inspirational--Hilarious--Caring,-1.0,0,0,1.0,2350272
