id,name,department
2400468,Patrick Hill,Computer Science
984699,Kevin Ryan,Engineering
1661532,Mukund Iyengar,Computer Science
474329,Anju Sharma,Chemistry
2233896,Sandeep Bhatt,Computer Science
528591,Dominic Duggan,Computer Science
1083039,Samuel Kim,Computer Science
2232189,Edward Banduk,Computer Science
1942070,Brian Borowski,Computer Science
207451,V Mazmanian,Mathematics
647500,Pavel Dubovskiy,Mathematics
207449,K Billah,Engineering
2347735,Gene Fisch Jr.,Engineering
2230935,Dov Kruger,Engineering
1654037,Billy Middleton,English
1885340,Larry Russ,Mathematics
481128,Patrick Miller,Mathematics
1641297,Denis Serbin,Mathematics
2721847,Erisa Terolli,Computer Science
52560,Jerry Luftman,Business
1870683,Antonio Nicolosi,Computer Science
590513,Robin Hammerman,Humanities
2095203,Jan Cannizzo,Mathematics
1649745,Joseph Miles,Engineering
538718,Francis Jones,Chemistry
2113255,Eduardo Bonelli,Computer Science
1875197,Rob Pastore,Physics
248177,Robert Stinerock,Business
1564614,Gary Lynn,Marketing
2566932,Xueqing Liu,Computer Science
2280390,Alexander Taam,Mathematics
1889871,Khasha Dehnad,Computer Science
2729187,Philippe Meunier,Computer Science
909995,Diana Bush,Humanities
1790868,Anthony Shupenko,Engineering
2528622,Rupak Chatterjee,Physics
1773570,Richard Anderson,Economics
2678004,Pedro Villanova Guerra,Mathematics
573879,Deborah Sinnreich-Levi,Humanities
1287233,Michael Nugent,Engineering
1942478,Xiaohu Li,Mathematics
2348868,Nikos Triandopoulos,Computer Science
1353892,Christopher Search,Physics
835599,Edward Stohr,Management
2219106,Anthony Russo,Engineering
1308806,Mary Robin Whitney,English
1979261,Igor Faynberg,Computer Science
231023,Michael zur Muehlen,Business
1935929,Benjamin Ogden,Literature
2281087,Serban Sabau,Engineering
2757871,Shudong Hao,Computer Science
378357,George Calhoun,Business
1790867,Sarath Jagupilla,Civil & Environ Engineering
2058795,Alex Wellerstein,Science & Technology Studies
1885341,Joyce Mullan,Humanities
2646162,Andrey Nikolaev,Mathematics
2014859,Yi  Li,Mathematics
1934448,Alexander Ushakov,Mathematics
1081942,Wendy Wang,Mathematics
1837872,Vladimir Lukic,Physics
405308,David Klappholz,Computer Science
2840575,Monika Monika,Mathematics
538711,Yujun Zhao,Chemistry
12568,Ed Whitaker,Science
572402,Michael Zabarankin,Mathematics
870794,Zvi Aronson,Management
2477207,Xiao Lu,Computer Science
2113977,Elaine Henry,Accounting
2599263,Razieh Saremi,Systems Engineering
1895385,Michael Parfett,Management
2101955,El-Sayed Aziz,Engineering
2398902,Yue Ning,Computer Science
2398900,Enrique Dunn,Computer Science
