index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,5.0,CS546,"I took the web section of this course and each week we were given a pdf slide deck, and 2-3 videos of him walking through the slide deck and the lecture code for the week. He also provides a github repo of lecture code. All the concepts are explained thoroughly and excellently. Grading is tough and you will never get a 100, but it still feels fair.",False,2025-01-01 03:40:07,4.0,A,5.0,True,True,5.0,Tough grader--Group projects--Amazing lectures ,-1.0,0,1,1.0,2400468
1,non mandatory,5.0,CS546,"If you want to learn, take this course! I learned more in this one class about how to be a good developer and how to problem solve in this class than in any other one at my whole time at Stevens. Patrick Hill is a wonderful professor and really got me excited about web programming. Can't wait to take CS 554 in the fall!",False,2024-07-09 15:38:16,3.0,A,5.0,True,False,5.0,Amazing lectures --Clear grading criteria--Respected,-1.0,0,1,1.0,2400468
2,non mandatory,1.0,CS546,I've been warned by others that he can be inappropriate at times and I had experienced that myself. He had falsely accused me for plagiarism and was loudly ridiculing me until he learned there was no MOSS report about me afterwards. This professor is not as friendly as others say he is and needs to control his temper towards students.,False,2024-04-23 14:43:29,5.0,Incomplete,1.0,True,True,1.0,Tough grader--Lots of homework--Graded by few things,-1.0,1,0,,2400468
3,non mandatory,4.0,CS546,"Learned a lot from the course, especially since I had practically no web development experience prior. The assignments build on each other and eventually you'll have a final project which is satisfying to complete. Only complaint I have is that the professor clowns on students sometimes - never uses names, but is still a bit personal/unprofessional",False,2024-04-16 19:59:49,3.0,A,4.0,True,False,4.0,Group projects--Lots of homework--Accessible outside class,-1.0,0,1,1.0,2400468
4,non mandatory,5.0,CS554,Awesome course,False,2024-01-04 00:26:56,1.0,A,5.0,True,False,5.0,Group projects--Amazing lectures --Inspirational,-1.0,0,0,1.0,2400468
5,non mandatory,1.0,CS554,"Do not waste your time on CS-554. The course has very unclear expectations, no rubrics, don't know whats expected until you get your grade back. Just go on YT to learn React.js and save $6K.",False,2023-12-26 16:38:48,1.0,Not sure yet,1.0,True,True,1.0,Tough grader--Graded by few things,-1.0,1,0,,2400468
6,non mandatory,5.0,CS546,loves his teaching and grading style,False,2023-12-23 13:59:35,3.0,A,5.0,True,False,5.0,Group projects--Amazing lectures --Clear grading criteria,-1.0,0,0,1.0,2400468
7,mandatory,5.0,CS554,"This is one of the best courses at Stevens, might as well say the BEST. Be prepared to learn a lot of things, and do not take it if you have no intent to learn. The prof is great and is always ready to help. I would pay just to watch his lectures cuz its that good. Wish there were another one which would make it a trilogy.",False,2023-12-08 01:45:29,1.0,Not sure yet,5.0,True,False,5.0,Amazing lectures --Clear grading criteria--Inspirational,-1.0,0,0,1.0,2400468
8,non mandatory,5.0,CS554,Excellent lecturer with practical hands-on homework and projects. Taught me a majority of the skills I use in my career. ,False,2023-10-27 19:06:27,4.0,A+,5.0,True,False,5.0,Tough grader--Group projects--Amazing lectures ,-1.0,0,0,1.0,2400468
9,non mandatory,4.0,CS546,"Great lectures and I really appreciate his no-nonsense attitude, given it comes along with very fair and reasonable expectations. He sometimes seems not as devoted to this course as he wants his students to be, however, and takes a long time to get project proposals back, stunting progress. Be prepared to start your final without approval.",False,2023-09-08 00:35:11,3.0,B,4.0,True,False,4.0,Group projects--Amazing lectures --Respected,-1.0,0,0,,2400468
