id,name,department
1614881,Paul Fodor,Computer Science
21597,Nancy Franklin,Psychology
393751,David Marvin Hanson,Chemistry
206294,Thomas Hemmick,Physics
242375,Bakoo Hagedorn,Mathematics
208823,William Bernhard,Mathematics
104160,Matthew Schmidt,Biology
7420,Catherine Marrone,Sociology
336017,John Cabot,Neurological Sciences
8276,Paul Kaplan,Psychology
211519,Roy Lacey,Chemistry
1170066,Susan Erster,Biology
664360,Michael Hadjiargyrou,Biomedical Engineering
182673,Michael Nugent,Business
852689,Marvin O'Neal,Biology
1291344,David Green,Applied Mathematics
520630,Michael Tashbook,Computer Science
266893,Richard McKenna,Computer Science
1618714,Jason Rose,Political Science
281243,Jane Ely,Sociology
86020,Ahmad Esmaili,Computer Science
819141,John Shandra,Sociology
234071,William Dawes,Economics
328327,Linda M. Wicks,Sociology
170846,Albert Cover,Political Science
234073,Robert Ettl,Business
1231781,David Kahn,Mathematics
340255,Marci Lobel,Psychology
92076,Norman Goodman,Sociology
649122,Daniel Amarante,Chemistry
643138,Andreas Mayr,Chemistry
624655,Edwin Tjoe,Engineering
192665,Joseph Lauher,Chemistry
316936,Christiane Stidham,Geology
288433,Mohammad J. Akhtar,Chemistry
177409,Frank Fowler,Chemistry
342850,Timothy Alex Hyde,Philosophy
340275,Richard Gerrig,Psychology
541879,Wilbur Farley,Writing
1498514,Edward Pascuzzi,Physics & Astronomy
821268,Juldeh Sessay,Engineering
632650,Ryan Calvey,English
567634,Fernando Raineri,Chemistry
216489,Michael Zweig,Economics
621860,Richard Laskowski,Business
143890,Anne Moyer,Psychology
170853,Frank Earle Myers,Political Science
340238,Turhan Canli,Psychology
342889,Oyeronke Oyewumi,Sociology
166613,Carl Allocca,Business
393561,Neta Dean,Biology
205591,Micheal Barnhart,History
292775,Paul M. Bingham,Biology
2114074,Matthew Reuter,Applied Mathematics
623655,Tatyana Grenkov,English
268033,Yuefan Deng,Mathematics
1070444,Robert Andersen,Mathematics
340254,Antonio Freitas,Psychology
926577,Eugene Stark,Computer Science
1239281,Jiangyong Jia,Chemistry
248098,Patrick Grim,Philosophy
179663,John Shea,Anthropology
215025,Donna Rilling,History
470726,Timothy Westphalen,Languages
340241,Patricia Whitaker-Azmitia,Psychology
1047122,Jennifer Wong-Ma,Computer Science
93106,Georges Eugene Fouron,Education
220715,Mary E. Díaz,Literature
853860,Anurag Purwar,Engineering
1329897,Dean Miller,Journalism
649323,Donna Crapanzano,Health Science
261846,Bente Videbaek,English
1448321,Debra Wertz,Mathematics
795435,Aruna Sharma,Asian Studies
210310,Jennifer Albanese,Writing
623011,Safet Dabovic,Writing
375989,Thomas Tousey,Writing
346736,David B. Hicks,Anthropology
2069373,Ritwik Banerjee,Computer Science
807833,David Westerfeld,Engineering
344237,Kenneth Feldman,Sociology
208295,Maria Cole,Sociology
137019,Gallya Lahav,Political Science
566961,Katheryn Twiss,Anthropology
2519551,Pramod Ganapathi,Computer Science
199776,Alan Curtiss Tucker,Mathematics
252220,Carlos Simmerling,Chemistry
345968,William Collins,Biology
719525,Michael Gurvitch,Physics
421979,Hongshik Ahn,Applied Mathematics
340240,Hoi-Chung Leung,Psychology
603668,Erlend Graf,Physics
339727,Heidi Hutner,English
406501,Tony Anthony Scarlatos,Computer Science
949930,Robert Kerber,Chemistry
340239,Brenda J. Anderson,Psychology
154163,Kathleen Wilson,History
93725,Helmut Norpoth,Political Science
761687,Thomas Sexton,Business
