id,name,department
1169843,Jason Wiles,Science
2141474,Walter Freeman,Physics
96946,Laurence Thomas,Philosophy
3887,Tibor Palfai,Psychology
2217777,Jonathan French,Chemistry
1518596,Thomas John,Mathematics
957,William Coplin,Political Science
1805808,Abdellatif Bourhim,Mathematics
1745494,Muhammed Alan,Mathematics
2588521,Mircea Pitici,Mathematics
378756,Jerry Evensky,Economics
2593708,Suanne Au,Mathematics
921638,John Petosa,Accounting
99014,Carl Rosenzweig,Science
921567,Elizabeth Ashby,Economics
85617,Bob Thompson,Communication
56384,Don Dutkowsky,Economics
113039,Jeff Rubin,Computer Science
271743,Sharon Hollenback,Communication
344817,Raymond Wimer,Business
943820,Jennifer Flad,Sociology
113086,Jacob Bendix,Geography
2552866,Andrew Jonelis,Economics
626713,Chung-Chin Liu,Economics
1217224,Jason Wiles,Biology
1054378,Joyce Zadzilka,Accounting
111957,Francine D'Amico,Political Science
907060,Shannon Novak,Anthropology
1330984,Daniel Curewitz,Geology
111934,Vincent Fatica,Mathematics
112045,Joseph Fanelli,Child & Family Studies
145062,Margaret Thompson,History
575903,Alex Thevaranjan,Accounting
112450,Sarah Short,Health Science
2565403,Meredith Martin,Psychology
91889,James Kallmerten,Chemistry
1707332,Maryanne Monforte,Accounting
111647,Lawrence Lewandowski,Psychology
309239,Scott Erdman,Biology
112150,Stephen Thorley,English
111971,Kari Shaw,Mathematics
1036629,Ginger Wagner,Accounting
2127866,Kivanç Avrenli,Finance
195029,Jeffrey Meyer,Mathematics
138073,Bradley Gorham,Communication
759384,Terrell A. Northrup,Political Science
1321326,Sacchi Patel,Sociology
27112,Andrew Cohen,History
1500975,Cory Weaver,Communication
3032574,Taya Misheva,Biology
947,Peter Castro,Anthropology
1734730,Michelle Blum,Engineering
1893328,Xuyen Au,Mathematics
2130985,Joseph Adamo,Sociology
739081,Arthur Paris,Sociology
148922,Jan Ondrich,Economics
155696,Lisa Knych,Law
2297033,Shannon Sweeney,Psychology
112060,Joan Deppa,Communication
662,Jerome Dusek,Psychology
51232,David Bennett,History
111705,Mitch Franklin,Accounting
1013925,Inge O'Connor,Economics
1239508,Glyn Morgan,Political Science
107325,Richard Breyer,Communication
112096,Michael Sponsler,Science
1900304,Elizabeth Wimer,Marketing
176893,Robert Dodds,Languages
1258238,Derek Laing,Economics
378712,Matthew Handler,Women's Studies
1625941,Alexandra Kostakis,Business
1854287,Charisse L'Pree,Communication
288857,Michael Fudge,Information Science
125757,James Fawcett,Computer Science
111797,John Townsend,Anthropology
112395,Robert Lloyd,Communication
1222713,Duncan Brown,Science
113155,Craige Champion,History
112297,Roger Sharp,History
497469,John Dannenhoffer,Engineering
257141,Jeff Simmons,Writing
1269653,Yan-Yeung Luk,Chemistry
1628282,Andrew Lee,Computer Science
2166597,Shannon Houck,Psychology
1010087,Chris Uyehara,Foods & Nutrition
113032,James Spencer,Science
396561,Maryanne Patulski,English
1441295,Matthew Huber,Geography
86784,Laurinda Dixon,Fine Arts
2054285,Sarah Hall,Biology
154060,Michael Ebner,History
2436153,Katie Becklin Atkinson,Science
38907,Alan Levy,Engineering
935056,John Colasacco,Writing
1679889,Ben Erwin,Writing
711217,Duane Marcy,Engineering
1914830,Mohammad Islam,Biology
111722,Gavan Duffy,Political Science
112160,David Rubin,Communication
2734277,Pawel Grzegrzolka,Mathematics
106126,Maureen Schwarz,Anthropology
97400,Samuel Gorovitz,Philosophy
1870692,Karen Kukla,Accounting
111944,Susan Bonzi,Computer Science
2599943,Michael Lorenzo,Economics
11785,Chris Kyle,History
908869,Timothy Korter,Chemistry
3885,Philip Arnold,Religion
754137,Donald Cardarelli,Management
45181,Tod Rutherford,Geography
148998,Padmal Vitharana,Business
1930257,Joseph Godlewski,Architecture
2230306,Rajendra Panthee,Writing
150446,Scott Samson,Science
789849,Ivy Kleinbart,Writing
1452904,Surabhi Raina,Biology
1642117,Nadim Jabaji,International Business
111820,Mike Wunderlich,Computer Science
111699,Howard Blair,Computer Science
794440,W. Kurt Stavenhagen,Writing
1560928,Fethi Keles,Anthropology
545697,Christopher Decorse,Anthropology
112513,Amardo Rodriguez,Communication
112302,Jacqueline Orr,Sociology
193464,Melody Sweet,Biology
1129747,Hossein Bashiriyeh,Political Science
1269019,Susan Albring,Accounting
1998468,Corey Takahashi,Communication
1101339,Erin MacKie,English Language & Literature
1384865,Leslie Gellis,Psychology
815339,Max Malikow,Psychology
99008,Michael Freedman,Anthropology
3886,Randall Jorgenson,Psychology
1205129,Julie Niederhoff,Management
1144900,Thomas Barkley,Finance
99021,Craig Dudczak,Communication
1323211,Albrecht Diem,History
1456786,Leonid Kovalev,Mathematics
157719,Marlene Blumin,Education
112092,Nancy Totah,Science
112549,Susan Older,Computer Science
808864,Samantha Herrick,History
949001,George Kallander,History
1318141,Christina Feikes,Writing
1613897,Xiaohong Harris,Accounting
111893,Kishan Mehrotra,Computer Science
1252870,Lihong Liang,Accounting
1896896,Jeffrey Gonda,History
99025,Kendall Phillips,Communication
172047,Tomasz Skwarnicki,Physics
286059,Mike Goode,English
1425158,Seth Gitner,Communication
1649312,Chongchun Chen,Chinese
111951,Steven Diaz,Mathematics
760145,Liz Fowler,Design
2642120,William Oliver,Sociology
112058,Gael Sweeney,Humanities
146425,Jacques Lewalle,Engineering
1462218,David Weinbaum,Finance
113014,Joe Chaiken,Chemistry
1613590,Daniel Rice,Business
1486622,Azra Hromadzic,Anthropology
2033098,Christie Novak,Accounting
140065,Dan Zacharia,Mathematics
56381,Patricia Moody,English
397201,Norman Kutcher,History
62016,Elisabeth Lasch-Quinn,History
1056456,Moira Ann McDermott,Mathematics
1274192,Ehat Ercanli,Engineering
1809443,Alan Allport,History
736654,Soccoro (coco) Koseki,Languages
87835,Andrew Vogel,Mathematics
112013,Daniel Pease,Computer Science
736650,Karen Oakes,Writing
1235441,Stacey Wright,Writing
1036735,Crystal Bartolovich,English
729118,Tamara Chock,Communication
194767,Jeanne Denti,Psychology
16834,Jeff Stonecash,Political Science
2360552,Marcus Bell,Sociology
573080,Minet Schindehutte,Management
1002039,Amy Elizabeth Barone Phillips,English
1723428,Christopher Perrello,Communication
1784808,Ossama Salem,Engineering
2548267,Jessie Briggs Joyce,Psychology
1189160,Rick Trunfio,Political Science
2098472,Kellen Backer,Humanities
1144902,Ernest Lathrop,Marketing
2191712,Stanislav Treger,Psychology
2179183,Duane Graysay,Mathematics
2002089,Hossein Ataei,Engineering
1138311,William Robert,Religion
873461,Patricia Burak,Literature
1765746,Joseph Pellegrino,Communication Disorders
245246,John Burdick,Anthropology
2451456,Carolyn Hedges,Communication
99022,Diane Grimes,Communication
112962,Linda Carty,Humanities
149045,Ravi Shukla,Business
387542,Fred Karpoff,Music
557066,Richard Rosa,Architecture
1128474,Robert Lally,English
932438,Robert Doyle,Chemistry
112610,Philip Griffin,Mathematics
761020,Adam Lutoborski,Mathematics
979296,Jeremiah Thompson,Writing
7006,Paul Andreoli,Business
507800,Peter Howe,Economics
1848032,Matthew Mulvaney,Child & Family Studies
1643912,Katie Clinton,Spanish
113612,Michael Schoonmaker,Communication
113558,Robert Rubinstein,Anthropology
2655896,Jok Jok,Anthropology
560792,Miryam Bar,Languages
594172,Mark Rupert,Political Science
908870,John Graver,Mathematics
1889771,Joe Denn,English
1975853,Kenji Oda,Linguistics
148963,Declan Quinn,Mathematics
167614,Keith Bybee,Political Science
378068,Robert Wilson,Geography
1921052,Avi  Luce,Writing
811189,Bruce Kingma,Information Science
671790,Thomas Raven,Political Science
2231290,Mina Jung,Computer Science
112168,Tula Goenka,Communication
289468,Magdelin Montenegro,Spanish
53467,Goodwin Cooke,Political Science
2370382,Fatma Sonmez Leopold,Finance
2226834,Guido Pezzarossi,Anthropology
396550,Thomas Fondy,Biology
450479,Tom Keck,Political Science
1057262,Jeremy Dickinson,Philosophy
112185,John Western,Geography
1973706,Karca Aral,Management
218297,Leon Hanouille,Accounting
60034,Dennis Earle,Fine Arts
986422,Catherine Nock,Spanish
2723444,Jeremy Losak,Sports Analytics
734525,Suzanne Baldwin,Geology
1169844,Jason Wiles.,Biology
1299468,Georgette Nicolaides,Business
112090,William Walsh,Accounting
1055071,Leonard Newman,Psychology
151572,Grant Reeher,Political Science
863489,Patrick Christopher Penfield,Management
1331280,Tania Dabrowiak,Spanish
282285,Robert Svetz,Architecture
1054329,Samuel Clemence,Engineering
1183018,Kofi Appiah Okyere,Accounting
1613227,Robert Van Gulick,Philosophy
2171142,Dustin McCall,Chemistry
231898,Kenneth Corvo,Social Work
1884798,Joseph Hedger,Philosophy
27113,Helen Doerr,Mathematics
2329104,Penelope Pooler Eisenbies,Mathematics
2711699,Peter Knych,Business
115607,James Watts,Theology
721621,Majory Baruch,Computer Science
909685,Claudia Miller,Mathematics
1713871,Katherine Lewis,Biology
192851,John Belote,Biology
828718,Valerie Wilson,Writing
2580737,Kate Hanzalik,Writing
208396,Sherri Taylor,Graphic Arts
2713663,Giovanni Minicucci,Languages
615303,Brian Taylor,Political Science
1582004,Scott Fay,Marketing
2289228,Mark Bousquet,Writing
2373383,Roy Thomas,Business
2710551,Jennifer Clarke,Psychology
994525,Maureen Thompson,Nursing
1162692,Junko Takeda,History
2229805,Merima Ali,Economics
2602992,Ronald Margrey,Mathematics
2634773,Mark Brockway,Political Science
396540,Catherine Cornwell,Psychology
1781632,Harvey Teres,English
1793306,Joan Dannenhoffer,Engineering
156737,Deborah Nosky,Computer Science
27132,Elizabeth Kamell,Architecture
950338,Patricia Roylance,English
1283355,Gregory Hoke,Geology
140209,Elizabeth Cohen,Political Science
270128,David Harris,Accounting
1046434,Lixin Shen,Mathematics
1073413,Eva Phillips,Languages
1166095,Lynn Greenky,Communication
1172350,Anne Mosher,Geography
142924,Richard Dubin,Communication
159419,Joseph Downing,Music
870155,Roger Hallas,English
1644149,Zunli Lu,Earth Science
979162,Anna Chernobai,Finance
224289,Thomas McKay,Philosophy
1322826,Terry McConnell,Mathematics
112191,Stuart Rosenthal,Economics
112445,Dave Molta,Computer Science
224597,Randy Wenner,Communication
330433,Boyce Watkins,Finance
907241,Joanne Waghorne,Religion
112977,Paul Fitzgerald,Science
719798,Robert McClure,Political Science
2203024,Christopher Faricy,Political Science
426176,Ravi Dharwadkar,Management
1050270,Peter Wilcoxen,Economics
1893333,Tumanova Victoria,Communication Disorders
884423,Soo Yeon Hong,Graphic Arts
1853145,Anne Osborne,Communication
111767,Frederick Carranti,Engineering
1596729,Amy Kallander,History
112444,Amber Anand,Business
640936,Mary Ann Stanley,French
1243367,Dessa Bergen-Cico,Not Specified
1426744,Matthew Cleary,Political Science
282247,Donald Harter,Management
2166233,Christopher Green,Linguistics
2298267,Robin Jones,Biology
112061,Joel Kaplan,Communication
198169,Roger Chen,Engineering
483972,Cecilia Van Hollen,Anthropology
112609,John J. Ucci,Mathematics
137751,Judith Meighan,Fine Arts
1083339,Susan Lynn Branson,Women's Studies
1269782,Paul Hagenloh,History
1435136,Marcia Robinson,Religion
1648610,Sarah Miraglia,Sociology
99018,Kenneth Johnson,Communication
99027,Francis Ward,Communication
112726,Stephen Webb,History
184067,Uday Banerjee,Mathematics
613122,Dympna Callaghan,English
1804765,Nancy Wright,Writing
143190,Joseph Tupper,Biology
199713,Badr Ismail,Accounting
2588844,Chase Clifford-Manley,Film
2697714,Austin Kocher,Geography
27123,Lawrence Davis,Architecture
122650,Jeffrey Carnes,Literature
364591,Sandra Lane,Health Science
1919294,Yuksel Sezgin,Political Science
2132421,Byron Simmons,Philosophy
2098573,Dante Dauksz,Philosophy
1088138,Inmaculada Lara-Bonilla,Spanish
111970,Jon Zubieta,Chemistry
112452,Richard Buttny,Communication
967181,Gary Lapoint,Management
1539009,Aesoon Park,Psychology
1127792,Richard Schnee,Physics
2949674,Nina Schneider,Information Studies
2965500,Yum-Ming Chou ,Biology
384109,Kira Reed,Management
163597,Maureen Puetzer,English
1227447,Sam Sampere,Physics
2139851,Roy Terry,Communication
1264289,Mark Wademan,International Studies
2241841,Michael Rieppel,Philosophy
1167385,David Althoff,Biology
1208004,Ken Harper,Graphic Arts
1349033,Thomas Perreault,Geography
1855442,Melissa Gale,English
143749,Joanna Masingila,Education
384115,Edward Russell,Communication
395417,Madonna Harrington-Meyer,Sociology
