id,name,department
979908,Darin Kapanjie,Statistics
136448,Christian Wurst,Accounting
323167,Michael McCloskey,Business
195476,Rob Drennan,Business
96679,Robert Pred,Statistics
1000677,Allan Thomas,Chemistry
1484885,Tony Petrucci,Human Resources Management
323769,Jacob Kim,Theology
155041,Howard Keen,Business
407864,Pallavi Chitturi,Mathematics
1098375,Andrew Price,Chemistry
344440,Barry Vacker,Communication
255618,Marco Malandra,Accounting
414614,Yelena Borovistkaya,Physics
1286910,A.J Kreimer,Accounting
1010415,James D Bloxton,Chemistry
74794,Samuel Hodge,Law
920780,Kate Nelson,Business
171293,Quaiser Abdullah,Computer Science
476785,Zameer Hasan,Physics
488407,Daniel Silverman,Criminal Justice
1287533,Steven Fleming,Chemistry
181267,Tara Tripp,Criminal Justice
1281479,Kyle Harris,Kinesiology
399348,Donna Marie Peters,Sociology
205380,Scott Gratson,Communication
1117678,Maurizio Giammarco,Intellectual Heritage
1884325,Adam Kesselman,Business
1883977,Ola Ajaj,Computer Science
495189,Raymond F. Coughlin,Mathematics
1186269,Peter James,Psychology
235586,Donald Wargo,Economics
419403,Mary Stricker,Sociology
960924,Suman Batish,Biology
1036868,Michael Balsai,Biology
515213,Joseph Foster,History
71884,Barbara Manaka,Business
367221,Marilena Downing,Mathematics
201139,Vanessa Lawrence,Law
1928273,Rani Vasudeva,Psychology
340540,Mike Bognanno,Economics
58874,Wilbert Jenkins,History
781787,Debra Blair,Tourism Management
1529575,Alisha Nypaver,Music
739430,Farzana Chaudhry,Mathematics
467746,David Margules,Psychology
557040,Michael Altimore,Sociology
1770541,James Kelly,Economics
586779,Rebekah Zhuraw,Intellectual Heritage
509000,David Allen,Sociology
407407,Jay Segal,Health Science
96623,Gary Bowman,Economics
238608,Robert Weisberg,Psychology
636404,Matthew Mackie,Physics
995042,Christopher Pascucci,Computer Science
249690,John Fiore,Computer Science
340098,Andrew Karpinski,Psychology
240738,Ralph Young,History
326391,Georgia Triantafillou,Mathematics
224525,Greg Winch,English
325142,Marc Sobel,Mathematics
762909,Nahed Hamid,Mathematics
309550,Sonja Peterson-Lewis,Ethnic Studies
622824,Mart Doyle,Information Systems
343848,Srimati Mukherjee,English
2166653,Elizabeth Cerkez,Chemistry
358006,Craig Atwater,Marketing
197183,Howard Rice,Communication
181254,Doreen Wald,Mathematics
1192354,Gregory Byala,English
135967,Roland Lipka,Accounting
356612,Joel Sheffield,Biology
825138,Jason Cross,Chemistry
1041088,Charles Osborne,Mathematics
325200,Michael Neff,English
773970,Kareem Johnson,Psychology
274759,Prakash Rushi,Mathematics
1833173,Timothy Garelick,Neuroscience
937813,Tsvetelin Tsankov,Physics
182792,Craig de Paulo,Philosophy
2045650,Daniele Ramella,Chemistry
732806,Thomas Rooney,Science
282859,Jacqueline Tanaka,Biology
1232391,Ariane Fischer,Intellectual Heritage
2285815,Michael Houldin,Business
733530,Jayakumar Gilbert,Chemistry
1462537,Peiwen Tan,Chemistry
1907605,Melinda Mattingly,Psychology
1162982,Mark Leuchter,Religion
797357,William Cohen,Community Regional Planning
1219635,Michael Childs,Chemistry
1061264,Rhonda Nicholson,Biology
552727,Vladimir Visnjic,Mathematics
1165347,Lisa Grunberger,English
1447610,Joanne Metzger,Criminal Justice
225061,David Hill,Chemistry
275818,Tucker Taylor,Economics
571718,Greg Smutzer,Biology
155855,Mary Conran,Marketing
