id,name,department
1859046,Dwight Roblyer,Political Science
2025313,Daniel Collins,Chemistry
1930590,Stephanie McCartney,Chemistry
1376226,Jason Smith,Political Science
2513563,Aitor Cruzado Garcia,Engineering
1942612,Ryan  Bethel ,Chemistry
527386,Phaik Lim,Political Science
1954472,Megan Dyer,Political Science
2162686,Jonathan Meer,Economics
2226899,Todd Schrader,Mathematics
1910779,Asha Rao,Biology
877999,Kendra Kilmer,Mathematics
58298,Kathryn Bollinger,Mathematics
1773276,Sinjini Sengupta,Mathematics
1913458,Christopher Lee,Biology
522424,Andrew Tag,Biology
522432,Vickie Williamson,Chemistry
2620601,Bret Lockhart,Mathematics
662289,Rachel Hull,Psychology
1846207,Theresa Phinney,Information Science
1128217,Pamela Edens,Psychology
2196572,Muhammad Ijaz,Engineering
661034,Erik Prout,Geography
2357204,Angela Hawkins,Biology
732641,Angela Allen,Mathematics
682879,Keith Swim,Management
1941280,Natela Ostrovskaya,Engineering
2008788,Patrick  Orchard,Mathematics
350677,Jon Bond,Political Science
1857472,Rosanna Pearlstein,Mathematics
753298,Joe Kahlig,Mathematics
17083,Amy Austin,Mathematics
2165615,Craig Spears,Engineering
542944,Elmo Mawk,Chemistry
1664406,David Barondeau,Chemistry
2516612,Samantha Fletcher,Biology
1477763,Joanna Goodey,Chemistry
2711650,Jaren Crist,Psychology
1851957,Sang Lee,Mathematics
1372972,Sandra Lampo,Marketing
1374659,Sarah Fulton,Political Science
2040125,Rebecca Creasy,Nutrition  Foods
1774937,Verity McInnis,History
2396296,Catherine Serrano,Chemistry
666270,Krishan Ponnamperuma,Chemistry
2063524,Wanda Curtsinger,Business
2062561,Richard Kurwitz,Engineering
1685266,Anne Quackenbush,Theater
1942758,Constantin Onica,Mathematics
1948413,Jorge Ruiz,Engineering
842247,Sally Guyton,Finance
1093011,Charles Brooks,History
1029974,David Manuel,Mathematics
1962338,Richard Johnson,Business
2505694,Dawson Nodurft,Physics
1437746,Christine Lipsmeyer,Political Science
1832552,Christine Mullen,Chemistry
1823099,Joung Kim,Mathematics
660629,David Reed,Horticulture
2678443,Donna Janes,Biology
1618358,Damon Bach,History
2002403,Jacques Richard,Engineering
2282337,Robert Rahm,Mathematics
1098733,Adrienne Brundage,Entomology
109207,Jeff Edwardson,Economics
311801,Jennifer Lewis,Mathematics
1735580,Paul Lindahl,Chemistry
2826067,Josh Edwards,Chemistry
2400380,Vanessa Coffelt,Mathematics
2295476,Andrea Imhoff,Music
2424071,Bradley Wesner,Management
1507166,Bryant Miles,Biochemistry
1186149,Jay Schumacher,Psychology
2220901,Justin Cantu,Mathematics
8292,James Pennington,Chemistry
1711585,Wendy Patzewitsch,Geography
1052666,Keith Hatfield,Statistics
1951891,Matthew Sheldon,Chemistry
1631744,William Cohn,Biology
2075282,Julie Loisel,Geography
1735784,William Collopy,History
2022517,Brittany Perry,Political Science
2590541,Alicia Altemose,Chemistry
2001475,Jack Waas,Chemistry
2012889,Philip Ritchey,Computer Science
2718381,Kevin McGlone,History
2024419,Stephen Caffey,Architecture
2825896,Rachel Wright,Biology
2639755,Carmen Brysch,Geography
2276118,Arthur Laganowsky,Chemistry
2009704,Maya Johnson,Mathematics
2082059,Alex Hernandez,Sociology
1933046,Kamran Reihani,Mathematics
307354,William (Bill) Bassichis,Physics
1316842,Patricio Santander,Chemistry
609101,Teresa Leyk,Computer Science
1664404,Jonathan Smith,Geography
2101752,Bruce Hanik,Health  Physical Education
2623743,Lauren Coheley,Nutrition & Foods
1600434,Mariya Vorobets,Mathematics
1496471,Jack Bodden,Psychology
2591052,Sara Dowd,Psychology
1390259,Christian Hilty,Chemistry
1811010,Dave Toback,Physics & Astronomy
2177745,Chavela Carr,Biochemistry
2130911,Rene Elms,Engineering
1171183,Larry Brown,Chemistry
2403060,Mohamed Saber,Chemistry
1568534,Walter Kemp,Biology
2156613,Douglas Kingman,Agriculture
1214578,Steve Wiggins,Economics
1770328,Nataliya Pakhotina,Economics
1015447,Ben Aurispa,Mathematics
951201,Tatiana Erukhimova,Physics
2192496,Irma Magallanes,Statistics
2837196,Zachary Martinez,Chemistry
2060893,Rayna  Dexter,Performance Studies
1979386,Tracy Fullerton,Engineering
2730158,John Fisk,Mathematics
2830622,Chris Weitzel,Chemistry
2519087,Prasenjit Ghosh,Statistics
1918972,David Tarvin,Communication
2513047,Jessica Tripode,Mathematics
2483374,Alexandra Foran,Mathematics
1967267,Aakash Tyagi,Computer Science
2818201,Matthew Haydon,Political Science
683548,Natalie Allen,Accounting
2035719,Darrell Lynch,Anthropology
2091806,Dale Cope,Mechanical Engineering
1999093,Camille Hailey,Management
2046873,Sara Fehr,Health  Physical Education
2042685,Ali Ozmetin,Engineering
2587030,Philip Hemmer,Engineering
1715216,Steven Smith,Psychology
2063178,Charles Hall,Horticulture
1771344,Don Conlee,Atmospheric Sciences
1741487,James Erickson,Biology
1329740,Leslie Winemiller,Biology
1852820,Barun Dhar,Physics
2046254,Hyunyoung Lee,Computer Science
1602321,Scott Crawford,Statistics
2300100,Shawn Lupoli,Computer Science
2307540,Dominique Lewis,Political Science
2723840,Juan Cornejo,Engineering
1955498,Leslie Frenzel,Animal Science
2304919,Richard Abel,Sociology
2226615,Michale Sferra,Psychology
1939035,Timothy Woods,Sociology
2211011,Melissa Fogarty,Education
2272688,Adam Bajan,Communication
674407,Michael Alvard,Anthropology
2819076,Ahmed El-Hashash,Biology
2007007,Susan Sutherland,Art History
2736672,Abigail Songok,Chemistry
2533524,Cory Lafevers,Music
2192036,Patrick Bolger,Psychology
1972715,Timothy Logan,Atmospheric Sciences
2177748,Michelle Pozzi,Biochemistry
2573165,Kristopher Watkins,Mathematics
2770005,Christian Lynch,Nutrition & Foods
2842972,Jesse Chupp,Political Science
184873,Janice Epstein,Mathematics
1555144,Rachel Smallman,Psychology
2304310,Gwendolyn Wilkins,Education
2165834,Lawrence Brown,Chemistry
2021677,Nancy Klein,Architecture
1940801,Tanya Dugat-Wickliff,Engineering
683119,Shawn Ramsey,Agriculture
2510723,Susan Ritchey,Engineering
2534551,Elissa Morris,Engineering
724522,Nancy Street,Communication
2098671,Tamara Carter,Mathematics
1808222,Courtney Foster,Accounting
2432855,Anthony Ives,Political Science
976485,Adel Varghese,Economics
1417632,Charles Folden,Chemistry
1398405,Tamas Erdelyi,Mathematics
2735727,Reed Stevens,Political Science
1810977,Mariana Gariazzo,Anthropology
1976129,John Haglund,Engineering
2566433,Kristopher (Kris) Watkins,Mathematics
1019,Greg Klein,Mathematics
2034286,Lilia Campana,Art
240454,Terry Anderson,History
2089875,Mian  Riaz,Nutrition  Foods
2268307,Rita Moyes,Microbiology
2400506,Neil Sanger,Atmospheric Sciences
2425470,Trevor Hale,Statistics
1320494,Wei Wan,Biology
1600762,Philip Smith,History
2127613,Yen Wang,Engineering
2327118,Robert Lightfoot,Computer Science
2276121,Lynsey Parsons,Political Science
2404410,Jonathan Houston,Construction
2842949,Samarpita Basu,Biology
2208983,Richard Lynch,Mathematics
1945694,Oliver Frauenfeld,Geography
2327939,Oscar Tamayo,Engineering
2272719,Nicholas Arnet,Chemistry
1414297,Robert Resch,History
1568349,Tryon Wickersham,Animal Science
1279305,Stacy Aschenbeck,Communication
2591174,Seongbaek Yi,Statistics
912161,Harvey Tucker,Political Science
84267,Natarajan Sivakumar,Mathematics
2337580,Edward Lee,Chemistry
2942019,Andrew Seely,Biology
2199439,Matthew Del Ciampo,Anthropology
89513,Art Belmonte,Mathematics
1706516,Sara Rowe,Communication
2522370,Amanda Adams,Biology
