id,name,department
103717,Marc Smith,Accounting
49002,Robert Zellmer,Chemistry
55168,Rosemary Bartoszek-Loza,Chemistry
523786,Matthew Stoltzfus,Chemistry
246892,Christopher Callam,Chemistry
2175754,Andrea Baldwin,Chemistry
242344,Steve Yao,Fine Arts
152349,Bonnie Schroeder,Business
943769,Ida Mirzaie,Economics
2029780,Jeffrey  Buser,Economics
315767,Deb Rumsey,Statistics
141039,Rachida Aboughazi,Mathematics
155191,Michelle Mallon,Computer Science
120034,David Terry Paul,Marketing
134953,Sherry Seress,Mathematics
820280,Cindy Bronson,Zoology
400409,John Cogan,Biology
85884,Alan Osman,Economics
125799,Jozsef Gozon,Engineering
1067058,Ted Clark,Chemistry
970492,Naeem Shareef,Computer Science
1754624,Darcy Hartman,Economics
1187446,Terry Klinker,Business
1607219,Sarah Ball,Biology
404729,Deborah Wilson,Sociology
523415,Tom Barrett,Physics
1144026,Michael Weinstein,Biology
1602698,Brian Lower,Environ. & Natural Resources
822924,Stephen Chordas,Biology
54679,Omar Keshk,Political Science
1310135,James Talamo,Mathematics
726234,Larry Inks,Business
1181465,Anna Yocom,Psychology
2022261,Cynthia Bronson,Physiology
471192,Steven Lopez,Sociology
1382954,Mark Anthony Christobek,Business
1265364,Steven Kroner,Chemistry
219368,Joseph Irvine,Finance
311055,Barbara Pappas,Chemistry
2513440,David Phenis,Psychology
959390,Robin Taylor,Biology
73403,John Blackburn,Business
54412,Judith Tansky,Business
85010,Marc Horger,History
172745,Mark Grimsley,History
196250,Paolo Bucci,Computer Science
1243301,Jennifer Burgoon,Anatomy
109313,Crichton Ogle,Mathematics
48781,Zbigniew Fiedorowicz,Mathematics
360011,Jules Angel,Anthropology
777088,Bruce Bellner,Economics
1430038,Shuh-Kuen (Mike) Chang,Chemistry
3069,Lucia Dunn,Economics
1094085,Tyler Shepfer,Business
283561,Jeffrey Lewis,International Studies
1292492,Noel Paul,Chemistry
1933302,Seth Miller,Psychology
1180117,Stephanie Spears,Sociology
51286,Bettina Bair,Computer Science
409360,Michael Stegemiller,Chemistry
53117,Chris Papaleonardos,Social Science
1777103,Ethan Doetsch,Economics
54127,Gideon Fraenkel,Chemistry
196248,Gojko Babic,Computer Science
971807,Steven Brown,Philosophy
1181529,Kristin Edwards Supe,Psychology
796952,John Beacom,Physics
1230370,Lisa Marie Cravens- Brown,Psychology
12935,Debbie Gross,Computer Science
52722,Nela Lakos,Mathematics
749639,Gary Wenk,Psychology
372625,Prasad Mokashi,Mechanical Engineering
43990,Graeme Boone,Music
716012,Frederick Luis Aldama,English
2309431,Eric Danhart,Biology
586700,Gregory Booton,Biology
320725,Molly Cooper,Economics
1892500,Amit Vutha,Mathematics
1101956,Pasha Peffer,Animal Science
1225767,Susan Clark,Business
1522330,Kristin Smock,Biology
73275,Steven Rissing,Biology
129054,Lexine Trask,Anthropology
193639,Deborah Parsons,Economics
114796,Alexander Dynin,Mathematics
126423,Marilyn Hegarty,History
143644,Teresa Ziegler,Accounting
1727166,John Shimko,Biochemistry
2055810,Brian Siefke,Psychology
9589,Bill Husen,Mathematics
543968,Madhura Pradhan,Biology
1388445,Doreen Close,Computer Science
233691,Clayton Funk,Art Education
108565,Eric Conrad,Mathematics
504707,Dennis Bong,Chemistry
1386822,Satya Seetharaman,Mechanical Engineering
1262371,Kristy Boyce,Psychology
483969,Heather Allen,Chemistry
367020,Ross Dalbey,Chemistry
144850,Randall Schweller,Political Science
2217020,Diego Zaccai,Computer Science
1700468,Bobby Ramsey,Mathematics
767018,Yiying Wu,Chemistry
43993,John Wenzel,Science
256240,Leroy Gill,Economics
1408846,Rebecca Ricciardo,Chemistry
355527,Steve Dickstein,Business
1027974,Lucas Engelhardt,Economics
2160518,Steven Bengal,Psychology
2181955,Michelle Everson,Statistics
1981788,Tammy Bullwinkle,Biology
48779,Vincent Roscigno,Sociology
171534,Jacqueline Buell,Biology
623203,Joshua Bomser,Health Science
768961,James Coe,Chemistry
176965,Dan McDonald,Journalism
155047,Lawrence Baum,Political Science
1941658,Jeffrey Jones,Computer Science
57593,Kenneth Supowit,Computer Science
138505,James Kinard,Accounting
217288,Aimee Moore,Architecture
317350,Susan Fisher,Biology
21936,Belton Fleisher,Economics
807174,Sungjoo Park,Physical Ed
780583,Furrukh Khan,Electrical Engineering
2295055,Eduan Martinez-Soto,Mathematics
357404,Paul Clingan,Engineering
1217967,Silvia Onofrei,Mathematics
46987,Terry Gustafson,Chemistry
120316,Charles Smith,Political Science
540067,Gregory Kilcup,Physics
2112186,Adam Long,Sociology
1266427,Erik Rothacker,Biology
1588383,Jimmy Chiucchi,Biology
157139,Doug Schumacher,Physics
1663916,Douglas Alsdorf,Geology
51260,Patrick Woodward,Chemistry
257477,Hajime Miyazaki,Economics
35603,Wayne Heym,Computer Science
765946,Susan Hanson,English
483156,Mona Makhija,Business
157152,Robert Disilvestro,Health Science
127046,John Moe,English
108262,Paul Ponomarev,Mathematics
144854,Neil Tennant,Philosophy
355583,Jackie Miller,Statistics
592044,Nicholas Dekker,Theater
1507786,Kim Lopez,Sociology
128565,David Ennis,Science
127262,Elizabeth Renker,English
956177,Robert Boyd,Neuroscience
2921589,Zeshen Gu,Mathematics
2443277,Lisa Miller,Psychology
501305,Bertrina Scott,Psychology
731986,Alan Farmer,English
367182,Joe Donnermeyer,Sociology
1752451,Nancy Santagata,Chemistry
1593265,Doug Evans,Management
340153,Steve Hunt,History
2727775,Lisa Nguyen,Chemistry
476953,Chris Altomare,Mathematics
51363,Thomas Bolland,Physics
127226,Richard Murdock,Accounting
462615,Dongping Zhong,Physics
582282,Charles Estill,Mathematics
2128384,Kellen Calinger-Yoak,Biology
622153,Steven Lower,Geology
1407876,Jovica Badjic,Chemistry
170412,Jill Welch,Languages
130177,Cathy Ryan,English
2356522,Rob LaTour,Computer Science
1021946,Kevin Richards,German
222328,George Valco,Engineering
2082482,Janis Jones,Computer Science
219473,Matthew Cariello,English
1930269,Thomas Wood,Political Science
2078846,Trent Ohl,Mathematics
221084,Doug Downey,Sociology
1975753,Clair  Farris,Computer Science
617028,Steve Bibyk,Engineering
974874,Joel Wainwright,Geography
1356166,Kathryn Reeves,Computer Science
260889,Marita King,Chemistry
353960,Vic Ferdinand,Mathematics
1648813,Jay Wellman,Finance
1620134,Bart Snapp,Mathematics
2289911,Tae Eun Kim,Mathematics
856827,Mark Polifroni,Psychology
124527,William Eveland,Communication
900705,James Stambuli,Chemistry
53448,Bradley Clymer,Engineering
1585184,Brad Bushman,Communication
128312,Roman Lanno,Biology
359812,Michael Knemeyer,Business
138535,Sia Wong,Mathematics
51287,Hans Klompen,Science
1672768,Maria Neil,Microbiology
609476,Trisha Van Zandt,Psychology
52943,Allan Silverman,Philosophy
120514,Don Terndrup,Astronomy
1380246,Christopher Stewart,Computer Science
52723,Rick Freuler,Engineering
464765,Kenneth Koenig,Mathematics
706060,Lei Bao,Physics
468899,Jill Galvan,English
2217903,Angela Collene,Nutrition
2236283,David Nagib,Chemistry
171527,Bennet Givens,Psychology
354562,Townsand Price-Spratlen,Sociology
337504,Natalia Golubeva,Mathematics
43755,Robin Judd,History
57629,Jody Fournier,Psychology
220803,Jon Parquette,Chemistry
197421,Laurence McCulloch,Economics
1039573,Craig Forsyth,Chemistry
1943610,Michael Fritz,Computer Science
259178,Greg Anderson,History
372281,Andrzej Derdzinski,Mathematics
2755501,Jennifer Walters,Chemistry
51577,Joy Reilly,Theater
