id,name,department
285089,Russell Chuderewicz,Economics
438000,Mark McLeod,Economics
1836143,Austin Boyle,Economics
59333,Dirk Mateer,Economics
1514315,David Brown,Economics
863,Andrew Peck,Psychology
191291,Mary Bojan,Chemistry
200638,Susan Quick,Computer Science
273818,James Hager,Mathematics
120919,Samuel Richards,Sociology
634799,Przemyslaw Maslak,Chemistry
301070,Molly Countermine,Human Development
244524,Jeff Love,Psychology
1634852,Ronald Johnson,Management
149718,Roger Christman,Computer Science
294935,Marilyn Blanco,Business
56100,Kevin Hagopian,Communication
270861,John Waters,Biological Sciences
98171,Sarma Pisupati,Earth Science
1917000,Jadrian Wooten,Economics
1035785,Cathleen Hunt,Psychology
319858,Jane Charlton,Astronomy
1745813,William Leo Goffe,Economics
1916908,James Tierney,Economics
1229795,Jennelle Malcos,Biological Sciences
1694149,Yanling Wang,Computer Science
1165173,Eric Simring,Mathematics
1191371,Jennifer Shook,Statistics
497176,David Little,Mathematics
201632,Patricia Buchanan,Mathematics
1022450,Frank Clemente,Sociology
1194300,John Fulton,Sociology
106986,Curtis Smith,Religious Studies
1094934,Dan Goldstein,Economics
66282,Zach Tseng,Mathematics
1298221,Julia Kregenow,Astronomy
1245005,Joshua Wede,Psychology
106983,Denise Woodward,Biological Sciences
2296349,Dustin Elliott,Psychology
219334,Ken Pasch,Accounting
209915,Doug Hogan,Computer Science
310339,Christopher Uhl,Biological Sciences
276478,Steve Manuel,Communication
2486839,Bill Goffe,Economics
41670,Jeff Sharp,Business
322356,James Strauss,Biological Sciences
2175825,Aaron Garner,Chemistry
1261561,Amine Benkiran,Mathematics
237641,Neena Chopra,Mathematics
1966151,Paul Kagundu,Economics
49939,Patrick Trimble,Integrated Arts
2216856,Pitchayaporn Tantihkarnchana,Economics
1407955,Amie Skattebo,Psychology
535337,Seunghoon Bang,Mathematics
2370760,Griselda Conejo-Lopez,Computer Science
1509131,Brian Crosby,Human Development
170158,Rahan Ali,Psychology
2185182,Joseph Houck,Chemistry
69343,Greg Pierce,Business
1020760,Linlin Jensen,Chemistry
124078,Raymond Funk,Chemistry
1093789,Stephen Van Hook,Physics
2036931,Mahfuza Farooque,Computer Science
1490333,Nestor Zen Handzy,Mathematics
1342221,Timothy Robicheaux,Criminal Justice
2439818,Matthew McAllister,Communication
57155,Ed Glantz,Information Sciences & Technology
1751801,Lecinda Yevchak,Sociology
335624,Matthew Jordan,Communication
809844,Beata Wysocka,Mathematics
496725,Bharath Narayanan,Mathematics
2100837,Oren Gall,Computer Science
6087,Al Verbanec,Computer Science
389804,Errol Henderson,Political Science
1596504,Dave Winterich,Marketing
1058652,Robert Packer,Political Science
182864,Suzie Wright,Accounting
457859,Marc Fabbri,Mathematics
100154,Steven Shaffer,Computer Science
837614,Sarah Kollat,Human Development
649223,Andrew Wiesner,Statistics
695411,John Asbury,Chemistry
1866789,Heather Lutz,Business
1617978,Arthur Jones,Business
189299,Xinli Wu,Engineering
164452,Augustus Colangelo,Business
103422,Cindy Parsons,Mathematics
322701,Gary Gray,Finance
283089,Sherry Corneal,Human Development
492485,Daniel Costantino,Physics
42947,Jose Texidor,Criminal Justice
1688430,Ron Johnson,Management
315177,Stephane Coutu,Physics
325514,Jennifer Chang Coupland,Marketing
317642,Nancy McClure,Accounting
1713342,Matthew Willyard,Mathematics
1437058,Matthew Katz,Mathematics
1534193,Katherine Coll,Economics
128651,Annette McGregor,Theater
474267,Eric Silver,Sociology
42977,Paul Kellermann,English
135703,Randall Woolridge,Business
588267,Nick Pearson,Psychology
1241870,Brian Baker,Sociology
1334748,Robert Schneider,Theater
314875,Darla Forsha,Mathematics
1052716,Katarzyna Przybyla,Mathematics
293961,Mercedes Richards,Astronomy
1934908,beth lebreton,Psychology
1194893,James Binney,Political Science
393405,Christine Stachniewicz,Mathematics
127882,Steven Keating,Biological Sciences
2102300,Rodrigo Cardenas,Psychology
2398705,Fernanda Bonafini,Mathematics
322190,Richard Alley,Geology
1114622,Svetla Jivkova,Mathematics
1182311,Franklin Carter,Marketing
2136716,Todd Pontius,Chemistry
1281349,Kirk French,Anthropology
527858,Mimi Schaub,Education
1092900,Stacy Silver,Sociology
110815,David Cannon,Industrial Engineering
111368,David Schlow,Economics
596116,Michael Dann,Biological Sciences
354873,Laurie Scheuble,Sociology
187857,Carla Hass,Biological Sciences
530459,Howard Smith,Criminal Justice
1899180,Adrianne Vasey,Biological Sciences
77495,Chris Marone,Earth Science
2078070,Ishan Behoora,Computer Science
1355767,Adam Nye,Political Science
2099962,Sheryl Dykstra,Chemistry
2584657,Samia Suliman,"Engineering, Science, & Mechanics"
1851373,Karen Maull,Business
354390,Dan Letwin,History
213292,Melinda Wilkins,Humanities
209849,Michael Troyan,Biological Sciences
581654,Rosalie Ocker,Information Science
246802,Mary Beth Williams,Chemistry
634647,John (Ed) Ketz,Accounting
1480091,Oidinposha Imamkhodjaeva,History
2085332,Martha Sherman,Sociology
397582,Lyn Freymiller,Communication
372202,Sarah Rich,Art History
378320,Lucas Passmore,Engineering
1747870,Marc Friedenberg,Information Science
1749213,Wayne Geerling,Economics
470347,Clemente Abrokwaa,Women's Studies
16488,Rayne Sperling,Psychology
2218606,Mohamed Almekkawy,Computer Science
495848,Cynthia Mazzant,English
