id,name,department
271353,David Proctor,Classics
121596,Sergiy Kryatov,Science
121595,Krishna Kumar,Chemistry
1762218,Mark Sheldon,Computer Science
320002,Sam Sommers,Psychology
2403531,Vesal Dini,Physics
2684258,Andrew West,Chemistry
1605869,Joshua Kritzer,Chemistry
2733947,Christopher Coscia,Mathematics
122876,Malik Mufti,Political Science
123177,Susan Russinoff,Philosophy
1755285,Zachary Faubion,Mathematics
112890,George Ellmore,Science
2836022,Matthew Feely,Economics
122868,Jeffrey Taliaferro,Political Science
1195353,Joe Swingle,Economics
2524725,Lauren Crowe,Biology
121529,Lisa Shin,Psychology
121598,Lee Edelman,English
109350,Siddiq Abdullah,Economics
1652453,Matthew Harrington,Classics
2119208,Diren Pamuk-Turner,Chemistry
121476,Kenneth Lang,Science
2434239,Karen Edwards,Computer Science
2048187,Nancy Kimelman,Economics
122905,Calvin Gidney,Child Development
121739,Richard Eichenberg,Political Science
121963,Lee Minardi,Civil Engineering
122009,Fulton Gonzalez,Mathematics
2427571,Megan Monroe,Computer Science
121507,David Denby,Philosophy
121753,Gail Kaufmann,Mathematics
121481,Krzysztof Sliwa,Science
122881,Robert Devigne,Political Science
121653,Stephen Bailey,Anthropology
122014,Montserrat Teixidor I Bigas,Mathematics
122544,Daniel Richards,Economics
121433,Cheryl Tano,Languages
2582745,Richard Townsend,Computer Science
122518,Drusilla Brown,Economics
20056,Diane Souvaine,Computer Science
122782,David Valdes Greenwood,English
1091433,Kelly Greenhill,Political Science
1669929,James Adler,Mathematics
2009822,Sergio Turner,Economics
122547,George Norman,Economics
1209500,Jeremy Luallen,Economics
122767,Ronna Johnson,English
114816,Vickie Sullivan,Political Science
15683,Mary Glaser,Mathematics
1716621,Susan Koegel,Biology
121952,Mark Woodin,Engineering
489161,Deborah Schildkraut,Political Science
121480,Roger Tobin,Science
121710,Kelly McLaughlin,Science
122016,Kim Ruane,Mathematics
1123665,Hugh Gallagher,Physics
1876745,Michael Beckley,Political Science
116693,Mauricio Gutierrez,Mathematics
1040761,Benjamin Hescott,Computer Science
1892016,Andreola Rossi,Classics
590646,Nancy Levy-Konesky,Languages
122866,Consuelo Cruz,Political Science
1873453,Christopher Gregg,Computer Science
122018,Zbigniew Nitecki,Mathematics
945377,Shaomei Wang,Chinese
994753,Heather Urry,Psychology
121373,Anne Cantu,Languages
2633962,Jennifer Carr,Biology
2053775,Aniruddh Patel,Psychology
904218,David Art,Political Science
1638394,Helen Marrow,Sociology
15682,James Glaser,Political Science
991862,Sarah Sobieraj,Sociology
125486,Shiori Koizumi,Japanese
121418,David Pauling,French
121692,Harry Bernheim,Science
122522,Thomas Downes,Economics
1722375,Michael Fusillo,Economics
2495156,Steven Bell,Electrical amp Comp. Engineering
2685422,Milod Kazerounian,Computer Science
122762,Judith Haber,English
2948991,Rebecca  Jackson,Environmental Studies
123859,Anne Mahoney,Classics
2108484,Diane McKay,Nutrition
122772,Elizabeth Leavell,English
1499073,Ming Chow,Computer Science
121423,Anne-Christine Rice,French
121693,Frances Chew,Science
122002,Joseph Walser,Religion
122821,Steven Cohen,Education
121500,Jeffrey McConnell,Philosophy
121947,Anne Desmarais,Engineering
122846,Anne Gardulski,Science
121408,Teresa Marcelin,Languages
1600515,Karen Kosinski,Community Health Sciences
2026898,Ekaterina Mirkin,Biology
829342,Rana Abdul-Aziz,Languages
121300,John McCann,Music
843997,Deborah Menegotto,Economics
1266772,Zeina Hakim,French
122760,Julia Genster,English
121439,Dana Simpson,Languages
