id,name,department
798447,Meenakshi Vijayaragh,Biology
553962,Toni Weiss,Economics
1052714,Bethany Rollins,Psychology
1615691,Courtney Lopreore,Chemistry
444267,Maurice Dupre,Mathematics
217831,Robert Dotson,Biology
456198,Heiko Jacobsen,Chemistry
1488992,Sherif Ebrahim,Management
1197457,Christine Smith,Accounting
1479599,Melinda Fabian-Cannon,Psychology
195479,Norbert Riedel,Mathematics
924325,Michael Joyce,Mathematics
19680,Bruce Fleury,Biology
111104,Frank Tipler,Science
107712,Michael Hogg,Business
898555,Julie Alvarez,Psychology
607206,Carol Zhang,Chemistry
2050012,Scott Nolan,Political Science
827334,James Donahue,Chemistry
480394,Alexander Burin,Chemistry
932349,Tewodros Amdeberhan,Mathematics
453028,Victor H. Moll,Mathematics
1627432,Robert Herbert,Mathematics
619665,Mark Fink,Chemistry
1989502,Antonio Bojanic,Economics
147986,Brent Koplitz,Chemistry
1043778,Sanda Groome,Business
789701,Jonathan Pritchett,Economics
1039309,Brittany Kennedy,Spanish
418594,David Corey,Psychology
1642562,Frank Jones,Biology
75319,Scott Bernhard,Architecture
547014,Claudiney Pereira,Economics
1812017,Elisabeth Gleckler,Public Health
1518174,Jeffrey Agnew,Geology
861626,Michael Herman,Chemistry
544601,Brian Horowitz,Languages
904340,Thomas Hebert,Psychology
2834175,Hyun Park,Economics
2086656,Chad Van Schoelandt,Philosophy
824264,Brian Brox,Political Science
531294,Jerry Shakov,Physics
486112,Chris Fettweis,Political Science
129263,Kenneth Harl,History
811649,Igor Rubstov,Chemistry
14487,John Hall,Social Science
1435978,Red Tremmel,History
1941589,Laura Marks,English
621642,Donata Henry,Biology
908611,Carrie Wyland,Psychology
289680,Beth Wee,Psychology
1432176,Eva Silvestre,Public Health
1811024,Dickey-Cropley Lorelei,Public Health
507892,Mark Sulkes,Chemistry
902644,John Louis Howard,Philosophy
599670,Russell Schmehl,Chemistry
336400,Amy George-Hirons,Languages
638547,Mark Vail,Political Science
374675,Teresa Bruckner,Languages
1930596,Toi Carter,Sociology
2143559,Emily Starr,Sociology
470432,Timothy Schuler,Physics
2178477,LaPorchia Collins,Economics
14488,Terry Christenson,Psychology
638460,Stefano Barbieri,Economics
1834483,Renata Ribeiro,Ecology & Evolutionary Biology
