id,name,department
92279,Robert Busch,Mathematics
17348,Shahid Ahmad,Engineering
804382,Dietrich Kuhlmann,Mathematics
162095,Timothy Boyd,Classics
169116,Clyde Herreid,Biology
180588,James Javor,Mathematics
17342,Carl Alphonce,Computer Science
1170225,Jessica Poulin,Biology
260355,Larry Hawk,Psychology
784048,Monica Cherry,Economics
2649008,David Gray,Philosophy
240102,Y G Lulat,Ethnic Studies
169110,Todd Hennessey,Biology
1744874,Stacey Gulde,Chemistry
2049557,Mark Marino,Mathematics
2467823,Farshad Ghanei,Computer Science
335946,Shira Gabriel,Psychology
724170,Wendy Quinton,Psychology
242430,Charles Fourtner,Biology
2055417,Jesse Hartloff,Computer Science
1776204,Corey Placito,Mathematics
470179,Scott Wersinger,Psychology
1879289,Elizabeth Clizbe,Chemistry
1790512,Lara Hutson,Biology
144667,Kushal Bhardwaj,African-American Studies
188918,Jerome Keister,Chemistry
1881180,Erica Goddard,Psychology
160831,Gershon Sageev,Mathematics
284652,Brian Reynolds,Communication
57549,Roger Woodard,Classics
140222,Kris Schindler,Computer Science
1466365,Michael Casper,Mathematics
383119,Muriel Anderson,Accounting
1326755,Kimberly Javor,Mathematics
371386,Sampson Blair,Sociology
1656969,Dianna Cichocki,Managerial Science
791959,James LaFountaine,Science
396504,Christopher Mele,Sociology
877443,Kathlene Stephen,Mathematics
2180944,Jennifer Winikus,Computer Science
150246,James Lawler,Philosophy
2298812,Timothy Liwosz,Chemistry
1987859,Andrew Hughes,Computer Science
287227,Christine Hayter,Mathematics
160834,Livingston Watrous,Art History
689766,Melvyn Churchill,Chemistry
2194938,Ericka Nus,Psychology
75514,Jim Atwood,Chemistry
1000841,Russ Miller,computer science and electrical engineering
1620137,Lorrie Metzger,Accounting
600312,Weihong Xu,Accounting
162091,Thomas Barry,Classics
794338,Alan Dick,Marketing
110340,Bina Ramamurthy,Computer Science
2525580,Sreyasee Das Bhattacharjee,Computer Science
579157,Ericka Simms,Psychology
1339105,Peter B. Morgan,Economics
173329,Warren Barbour,Anthropology
288320,David Murray,Management
21243,Ken Regan,Computer Science
733776,Mark Seery,Psychology
1250,Kenneth Takeuchi,Chemistry
445389,Alexis Thompson,Psychology
155092,Surajit Sen,Physics
2721134,Matthew Schwartz,Social Work
2522835,Harlan Long,Philosophy
2193091,Debora Grossman,Marketing
750,Raymond Orrange,Managerial Science
2617917,Sarah Ford,Sociology
18098,Donald McGuire,History
2190272,Matthew Hertz,Computer Science
2299918,Ethan Blanton,Computer Science
1237951,Michael Poulin,Psychology
17344,John Richard,Chemistry
1855540,Laura Amo,Managerial Science
193268,Troy Wood,Chemistry
437914,Judith Tamburlin,Science
279156,Donald Reed,Mathematics
2631282,Justin Downs,Economics
1725507,Charlotte Lindqvist,Biology
262326,Sandra Kisker,Mathematics
183575,Alex Anas,Economics
1800560,Angela Samul,Mathematics
382795,Bing Gong,Chemistry
951295,Lance Rintamaki,Communication
2088921,Joyce Lacy,Psychology
161551,Adrienne Decker,Computer Science
905620,Arnd Pralle,Physics
93346,Jane Adam,English
2468701,Andrew Byrne,Languages
2179061,Collin Anderson,Political Science
490133,Debra Street,Sociology
1251,Randall Shortridge,Biology
2287730,Monica Litzenberger,Economics
411754,Andrea Markelz,Physics
1629497,William Wild,Engineering
2059317,Rachel Ventura,Chemistry
77055,Al Price,Architecture
749,Tamara Rabe,English
2494269,Melissa Genovese,Nutrition
2575350,Aisling Winston,Economics
2281387,Kristina Blanke,Biology
320475,Hong Luo,Physics
837555,Derek Daniels,Psychology
624968,Hodan Isse,Finance
1583417,David Salac,Engineering
357268,Marie Janicke,Biochemistry
173335,Lewis Coburn,Mathematics
1986075,Szu-Yin Wu,Finance
1253488,Khalid Ahsan,Chemistry
21245,Michael Buckley,Computer Science
335861,Alex Ampadu,Accounting
2048033,William Banas,Engineering
1886280,Tim Pruitt,Psychology
225082,Patrick McDevitt,History
18095,Chetan Subramanian,Economics
2685151,Janine Boland,Psychology
255757,James Holstun,English
967618,June Zhu,Mathematics
1199854,Randall Hudson,Science
295191,Athos Petrou,Physics
93080,Jennifer Zirnheld,Engineering
1732406,Michael Rosas,Mathematics
172262,Errol Sull,English
253373,Roger Desforges,History
1877452,Scott Whitmire,Physics
205035,Stephen Halpern,Political Science
733500,D. Joseph Mook,Engineering
155549,John Dugan,Classics
747773,Vesna Danilovic,Political Science
1963286,Dan  Liebel,Management
222725,Jingbo Xia,Mathematics
775486,Kalliopi Nikolopoulou,Literature
205898,Dave Hershenov,Philosophy
1121923,Arlene Hibschweiler,Management
1201681,Erin Hatton,Sociology
2220056,Derek Strykowski,Music
369317,Paul Luce,Psychology
225502,Donald Eagles,Political Science
2115506,Mostafa Nouh,Mech.  Aerospace Engineering
156811,Michael Cowen,Mathematics
2505554,Grady Gambrel,Physics
115451,James Holmes,Economics
156821,James Faran,Mathematics
2126611,Gary Berger,Business
231060,Michael Bozarth,Psychology
259433,Thomas Cusick,Mathematics
2022221,Greg Delaney,Architecture
1406703,Sahn-Wook Huh,Business
411752,John Cerne,Physics
1848330,Paul Atkinson,Economics
862707,Andrew Sachs,Communication
2163047,Sama Waham,Film
948830,Julie Bowker,Psychology
2156062,Pasquale Raico,Mathematics
140735,Beth Tauke,Architecture
906738,Michael Stefanone,Communication
2167622,Jill Paolini,Mathematics
196823,Claude Welch,Political Science
257446,Gail Mauner,Psychology
1823653,Kerry Zelazny,Psychology
220880,Shuen Yuan,Mathematics
907373,Irene Ayad,Architecture
1055119,Sambandamurthy Ganapathy,Physics
160827,Nicholas Dipirro,Engineering
439488,Melissa Chabot,Health Science
2230381,Jude Sabato,Engineering
2401182,Meghana Arun Joshi,Anthropology
2344702,Kristin Poinar,Geology
2723392,Paul Dickson,Computer Science
1031455,Theresa Winkelman,Nursing
1881911,Brad Darrall,Engineering
338649,Mohan Ramachandran,Mathematics
2101540,Patricia Pantano,English
331701,David Schmid,English
239324,Jon Kraus,Mathematics
2322715,Brian Beyer,Mathematics
601681,Susan Eilenberg,English
2092134,Daniel Colleran,English
2795172,Louis Mussari,Law
2412894,Cari Casteel,History
1698759,Tevfik Kosar,Computer Science
401003,Phillips Stevens,Anthropology
2720208,Smita Samanta,Chemistry
756257,Richard Almon,Biology
1675104,Joseph Boomer,Psychology
984622,Kathleen Nesper,Accounting
2600275,Tara Hudson,Mathematics
220313,Brenda Moore,Sociology
1887733,Paul Meyer,Psychology
225081,Patricia Mazon,History
156812,Stephen Cavior,Mathematics
763144,Maureen Donnelly,Philosophy
2110064,Anthony Tessari,Engineering
2635054,Zaviera Panlilio,Psychology
832318,Ana Bacigalupo,Anthropology
826639,Michael Paolini,Management
113193,Xin He,Computer Science
200009,Adam Sikora,Mathematics
1499282,Murat Demirbas,Computer Science
2624154,Benedikt Harrer,Physics
2343157,Matthew Knepley,Computer Science
283968,Chris Larsen,Geography
1434280,Atri Rudra,Computer Science
1035135,James Battista,Political Science
201547,James O Berry,Biology
470175,Jamie Ostrov,Psychology
509835,Danuta Nycz,Languages
220441,Robert Hoeing,Linguistics
229752,Natalie Simpson,Operations Management
421066,Sean Bennett,Geography
2166971,Alaa Hassan Ali,Mech.  Aerospace Engineering
1757252,Laurie Derby,Science
2365234,Kimberly Meehan,Geology
1732384,Laura Anderson,Nursing
73930,Tracy Gregg,Geology
2119339,Joanna Song McLaughlin,Economics
500633,Donald Grinde,History
218941,Ching Chou,Mathematics
763188,Derek Mohr,Economics
470876,Grayson Snyder,Biology
261732,Diane Christian,English
494452,Mark Peters,Social Science
726014,David Watson,Chemistry
96264,Chu Wie,Engineering
1755778,Charles Schallhorn,Chemistry
17345,Deborah Chung,Engineering
1032396,Uzma Riaz,Chemistry
198363,Paul Zarembka,Economics
450864,Sargur Srihari,Computer Science
608928,Jason Briner,Geology
2624395,Alina Vereshchaka,Computer Science amp Engineering
2217960,Julia Latorre,Engineering
2399286,Johnson Fadeyi,Engineering
162098,John Ringland,Mathematics
1241505,Kristin Stapleton,History
1763538,Nick Mason,Mathematics
2485187,Shawn Donahue,Political Science
1929354,Susan Bratcher,Geology
1375,Denise Krause,Social Science
715097,Kenneth Dauber,English
307609,Canio Marasco,Chemistry
220946,James Garvey,Chemistry
2323149,Emily Hammond,Engineering
2546075,Zachary Carr,Communication
900499,Avtandyl Kharchilava,Physics
745,Ann Cohen,Accounting
508476,Marc Adler,Marketing
833620,James Gardner,Law
1563820,Walter Hakala,English
764826,Christopher Loretz,Biology
441805,Joel Grundy,Mathematics
257000,Jonathan Dewald,History
501189,John McKinnis,English
654396,Alan Hunt,Computer Science
2297647,Marc Schilder,Mathematics
2364017,Jessica Kruger,Health Science
166098,David L. Fertig,Linguistics
1665182,Christine Varnado,Women's Studies
92299,Ramalingam Sridhar,Computer Science
771033,Claire Schen,History
397474,Catherine Olsen,Mathematics
1986536,Rebecca Bryan,Political Science
839766,Igor Jankovic,Engineering
963320,Xiaoqing Li,Mathematics
608249,James Beebe,Philosophy
968747,Javid Rzayev,Chemistry
1252,Robert Daly,English
2762032,Pradeep Yerramsetty,Biology
688570,Ramya Sreenivasan,History
383878,Samuel Lojacono,Social Science
1831910,Anthony Proietti,Economics
2176502,Sarahmona Przybyla,Health Science
173343,Xingru Zhang,Mathematics
157536,James Jensen,Engineering
1014467,Sabanayagam Thevanayagam,Engineering
1267613,Eun-Hye Yoo,Geography
2400873,Mingchen Gao,Computer Science
1841758,Lukasz Ziarek,Computer Science
575463,Hao Zeng,Physics
439077,James Senden,English
255693,Xuehong Lu,Languages
568523,James Wooten,Law
26336,Ann Piech,Mathematics
128324,Paul Savino,Chemistry
1849750,James Mulcahy,Economics
703174,David Herzberg,History
654748,Evelyn Navarre,American Studies
942950,Hal Langfur,History
2293808,Timothy Pruitt,Psychology
104916,Scott Williams,Mathematics
1516181,Ram Bezawada,Marketing
1324254,Jacob Lang,History
352398,Christine Human,Engineering
708794,Robert Wetherhold,Engineering
1925743,Ashima Krishna,Architecture
328227,Matthew Glomski,Mathematics
2899916,Ryan Wynne,Biology
2930309,Carey Dowling,Psychology
2511865,Jan-Christopher Winter,Physics
897810,Charles Ewing,Law
1093768,Michael Lombardo,Law
1626392,Geoffrey Challen,Computer Science
1797750,Lewis Powell,Philosophy
3027979,Bakr Albahri,Computer Science
2174880,Jobaidur Khan,Engineering
107984,Arun Vishwanath,Communication
2465253,Alessandro Sebastiani,Classics
1988891,Abigail Cooke,Geography
971335,Jill Gradwell,American Studies
2514611,Meredith Ezak,Biology
491043,Brian Spencer,Mathematics
379634,Valentina Sanders,Languages
169406,Colin Linsley,Economics
1564367,Gautam Anand,Psychology
750861,Jessica Nyrop,Health Science
96273,Adly Fam,Engineering
1201680,Richard Strahan,Sociology
1614694,Ling-Yu Guo,Communicative Disorders
1702915,Kevin Burke,Electrical Engineering
527742,William Kinney,Physics
222548,Laura Reilly,Law
497560,Stacy Hubbard,English
2053293,Theodoros Triandos,Art History
1754855,Aaron Fried,Mathematics
2624155,Nasrin Akhter,computer science and electrical engineering
721308,Damien Keane,English
469860,Jason Young,History
1575611,Dimitrios Koutsonikolas,Computer Science
144673,Sanford Gunn,Accounting
289619,Tamara Thornton,History
2684401,Heather Williams,Biology
257430,Charles Finocchiaro,Political Science
2401185,Alice Nightingale,Mech. amp Aerospace Engineering
560492,John Cowan,Learning Center
425236,Andrew Wise,History
242054,Andreas Daum,History
623619,Sasha Pack,History
783528,Randy Schiff,English
208321,Ming-Qian Ma,English
1915025,Jared Strohl,Sociology
39365,Joseph Salamone,Business
2219772,Matthew Burge,Mech.  Aerospace Engineering
463560,Jessie Poon,Geography
574705,Elizabeth Scarlett,Romance Languages & Lit
239320,Stephen Schanuel,Mathematics
923712,Issa Roustum,Languages
2405226,Marina Blanton,Computer Science
383860,Jonathan Golove,Music
1469670,Kelly Patterson,Social Work
1559449,Christine Bartholomew,Law
1065015,Jorge Arditi,Sociology
746222,Brian Hassard,Mathematics
218943,Richard Vesley,Mathematics
2176763,Leila Hosseinzadehshahri,Chemistry
276800,Erik Seeman,History
996165,Gary Dargush,Engineering
899514,Glenn Frost,Social Work
734316,Barbara Tedlock,Anthropology
150413,Cathy Norgren,Theater
1948386,Scott Ptak,Operations Management
