id,name,department
312615,Toni Mar,Physical Ed
884915,Howard D'Abrera,Statistics
16984,Alex Filippenko,Astronomy
375269,Zvezdelina Stankova,Mathematics
2335479,Alexander Paulin,Mathematics
125294,David E. Presti,Biology
154395,Darren Zook,Political Science
672571,Arun Sharma,Mathematics
312430,Michelle Douskey,Chemistry
1621181,John DeNero,Computer Science
847170,Christopher Gade,Psychology
1743107,Peter Marsden,Chemistry
252150,Steven Pedersen,Chemistry
2049029,Kelli Talaska,Mathematics
318823,Hank Ibser,Statistics
2026308,Richard Bamler,Mathematics
101785,Martha Olney,Economics
1470607,Dan Acland,Economics
1583683,Mary-Ann Robak,Chemistry
59093,David Robinson,Business Administration
158359,K. Peter Vollhardt,Chemistry
1478882,Shobhana Murali Stoyanov,Statistics
225015,Michael Meighan,Biology
367302,James Sethian,Mathematics
2410171,Alexis Shusterman,Chemistry
9281,Jean Frechet,Chemistry
124596,Ani Adhikari,Statistics
538830,Fyodor Urnov,Biology
706268,Kurt Spreyer,Environmental Science
2617150,James Campbell,Economics
335888,Brian Powers,Sociology
142865,Dan Garcia,Computer Science
162212,Mark Kubinec,Chemistry
2033421,Arman Catterson,Psychology
473591,Steven Fish,Political Science
528461,Robin Einhorn,History
414403,Amy Gurowitz,Political Science
1896990,Katrin Wehrheim,Mathematics
273666,Tom Carlson,Biology
434493,Mark Haiman,Mathematics
455359,Heino Nitsche,Chemistry
226535,Paul Hilfinger,Computer Science
525740,Satish Rao,Computer Science
265301,Robert Price,Political Science
2817964,Norman Sheu,Mathematics
111119,Richard Saykally,Chemistry
1980208,Adam Lucas,Statistics
313931,Victoria Robinson,Ethnic Studies
225216,Maciej Zworski,Mathematics
215703,Ole Hald,Mathematics
312426,Ming Gu,Mathematics
205702,Alan Ross,Political Science
2805419,Mohammed Nadeem,Business Administration
2283724,David Romps,Earth & Planetary Sciences
1696317,Szonja Ivester,Sociology
211950,Roger Purves,Statistics
214008,Nicolai Reshetikhin,Mathematics
7746,Mary Kelsey,Sociology
238309,Martin Head-Gordon,Chemistry
232575,Dacher Keltner,Psychology
359525,A.J Gregor,Political Science
596854,Mina Aganagic,Mathematics
2266462,Davina Chan,Psychology
585355,Thomas Scanlon,Mathematics
267699,Marina Ratner,Mathematics
471855,Alexander Givental,Mathematics
154383,Richard Muller,Physics
761773,Babak Ayazifar,Electrical Engineering
278068,Terrence Deacon,Anthropology
233427,Xin Liu,Anthropology
420346,Paul Vojta,Mathematics
154403,Kenneth E. Train,Economics
161141,Laura Nader,Anthropology
122342,Hatem Bazian,Near Eastern Studies
154602,Marius Wodzicki,Mathematics
643907,Leslea Hlusko,Biology
1288746,Achilles Speliotopoulos,Physics
211948,Alex Zettl,Physics
455760,Kent Lightfoot,Anthropology
686476,Edward Frenkel,Mathematics
538814,Kenneth Ribet,Mathematics
278060,John Kihlstrom,Psychology
38534,Christina Romer,Economics
286178,P. Robert Beatty,Biology
588154,Ron Hassner,Political Science
1640206,Calanit Kamala,Economics
628,Jerry Sanders,Peace & Conflict Studies
265432,L.J. Feldman,Biology
821791,Jasper Rine,Biology
667663,Josh Hug,Engineering
469028,Nancy Amy,Nutrition
1007625,Barbara Barnes,Women's Studies
412049,Michelle Baptiste,Writing
1897619,Jill Bakehorn,Sociology
809701,Carlos Norena,History
350459,Michael Hutchings,Mathematics
25984,Leon Litwack,History
41457,Francis (Michael) Christ,Mathematics
1309831,Alan Shabel,Biology
2512766,Meeta Jha,Women's Studies
887794,Anant Sahai,Electrical Engineering
414474,David Henkin,History
536606,Laura Stoker,Political Science
717361,Jason Wittenberg,Political Science
225337,Jack Citrin,Political Science
149874,Brian Harvey,Computer Science
