id,name,department
561599,Andreas Toupadakis,Chemistry
144942,Melekeh Nasiri,Chemistry
81946,Bryan Enderle,Chemistry
2021434,Ozcan Gulacar,Chemistry
1821363,Cyrus Aram,Management
1961070,Matthew Butner,Computer Science
14153,Ali Dad-Del,Mathematics
896506,Sarah Lievens,Chemistry
674373,Walter Leal,Molecular/Cellular Biology
58847,Duane Kouba,Mathematics
78701,Lawrence Marx,Mathematics
2157119,Julia Chamberlain,Chemistry
1805461,William Tavernetti,Mathematics
151894,Kenneth Hilt,Biology
689454,Karen Gerhart,Biology
1131205,Anne Britt,Biological Sciences
2217649,Korana Burke,Mathematics
149702,Erwin Bautista,Science
35125,Sean Davis,Computer Science
26112,Janko Gravner,Mathematics
1448111,Marc Facciotti,Biomedical Engineering
1199036,David Osleger,Geology
257549,Bagher Modjtahedi,Economics
1466494,Jeanette Ruiz,Communication
1714848,Tomoyuki Hayashi,Chemistry
1473963,David Lang,Economics
753030,Joseph Biello,Mathematics
35126,Liz Applegate,Nutrition
91545,Christiana Drake,Statistics
20268,John Constantine,Economics
2384175,Laci Gerhart,Biological Sciences
663591,Lalia Kiburi,Sociology
2507469,Evan Antzoulatos,Psychology
1808811,Andrew Farris,Statistics
54757,Diego Yankelevich,Engineering
19656,Mitch Singer,Science
661326,Janine Wilson,Economics
104898,Susan Keen,Science
636437,Victoria Cross,Psychology
1656889,Tim Brelinski,Classics
148724,John Hancock,Accounting
2416528,Gerardo Ochoa,Chemistry
2151522,Dowman Varn,Mathematics
194932,John Theobald,Communication
314969,Eva Schepeler,Psychology
682666,Eric Mann,Biology
338493,Alan Klima,Anthropology
465913,Chris Nitta,Computer Science
2570690,Louis Longaker,Chemistry
1783467,Thomas Weideman,Physics
2273631,John Challenor,Mathematics
58851,Andrew Waldron,Mathematics
2173631,JoAnna Whitener,Statistics
42326,Matthew Augustine,Chemistry
1895829,Joel Ledford,Biological Sciences
1464002,Rohit Thomas,Mathematics
78075,Thomas Famula,Animal Science
24184,Stylianos Spyridakis,History
808206,Benjamin Morris,Mathematics
19657,Michelle Igo,Science
667418,Krishnan Nambiar,Chemistry
2153654,Bwalya Lungu,Food Science  Technology
2073811,Priscilla San Souci,Psychology
2229763,Joël Porquet,Computer Science
2470918,Debbie Fetter,Nutrition
353436,Ross Thompson,Psychology
1147623,Luca Comai,Biological Sciences
37791,Eric Rauchway,History
222336,Motohico Mulase,Mathematics
475955,Clyde McCurdy,Chemistry
2109460,Mona Monfared,Biological Sciences
105308,Alisa Shubb,Communication
961950,Adam Sennet,Philosophy
992096,Jerry Lundblad,Agriculture
1982209,Martin Hilbert,Communication
647820,Elbridge Puckett,Mathematics
247275,Joel Hass,Mathematics
346407,Monica Vazirani,Mathematics
2605168,Amy Kim,Statistics
958462,Steve Luck,Psychology
2832910,Abdelbasset Farahat,Chemistry
76330,Bruce Haynes,Social Science
456735,Daniel Nurco,Chemistry
925885,Virginia Hamilton,Communication
2241323,Yelena Frid,Computer Science
2290119,Whitney Duim,Chemistry
2714683,Max Helix,Chemistry
1178776,James Housefield,Design
