id,name,department
906301,Mark Vidensek,Chemistry
2332479,Po-Ya Abel Chuang,Engineering
1636153,Daniel Swenson,Mathematics
1290272,Kamal Dulai,Natural Sciences
1620004,Meaghan Altman,Psychology
1504318,Haik Stepanian,Mathematics
1491692,Ross Avilla,Psychology
1794205,Jason Lee,Economics
1183296,Alexander Yatskar,Natural Sciences
1743540,Alex Khislavsky,Psychology
2287924,Angelo Kyrilov,Computer Science
2034957,Toni Stone,Physics
1572339,Mark Harris,Management
1180657,Christopher Ramirez,Writing
1700568,Doreen Danielson,Writing
899803,Yue Lei,Mathematics
799445,Susan Bohrer,Writing
2074375,Fabian Filipp,Natural Sciences
2133619,Keith Thompson,Mathematics
1160757,Susan Varnot,Writing
1626323,Kyle Dodson,Sociology
2935281,Borna Hlousek,Physics
2290102,Chris Sandoval,Mathematics
657055,Sean Malloy,History
2426500,Santosh Chandrasekhar,Computer Science
1402002,Rolf Johansson,Philosophy
1058666,Justin Hicks,Economics
1675603,Derek Sollberger,Mathematics
1687284,Kara A. Ayik,Writing
1748958,Jess Vickery,Chemistry
1927438,David Jennings,Philosophy
1433095,Carrie Menke,Physics
1628806,David Hambley,Mathematics
922740,Marcos Garcia-Ojeda,Biology
1310471,Dawn Trook,Writing
2569123,Daniel Mello,Psychology
1381019,Kelvin Lwin,Computer Science
1687282,Michelle Toconis,Writing
1832264,John Bultena,Writing
2555329,Pooja Chopra,Engineering
1170576,Jim McDiarmid,Psychology
1357048,Michael Spivey,Cognitive Science
2338518,Michelle Leslie,Chemistry
757295,John Hundley,Writing
1379760,Amy Fenstermaker,Writing
1744299,Dusty Ventura,Chemistry
1499994,Angela Winek,Writing
1755937,Ruiz Iris,Writing
1803246,Mariana Abuan,Writing
2937584,Reshma Menon,Mathematics
1272683,Michael Dawson,Biology
1156670,Alissa Ackerman,Social Science
1902940,Pamelyn Gingold,Writing
1964218,Laura Beaster-Jones,Biology
2746964,Reza Serajian,Engineering
656635,Anne Kelley,Chemistry
719011,Tom Hothem,Writing
1160755,Jason Emory,Psychology
2749724,Cory-James Pugne-Andenoro,Biology
1469570,Jane Wilson,Writing
1672728,Frederick Young,Writing
1396047,Paul Gibbons,Writing
1556802,Jessica Trounstine,Political Science
2973463,JENNIFER  LEE,Chemistry
1942341,Yolanda Pineda-Vargas ,Languages
766446,Teenie Matlock,Cognitive Science
937860,Craig Vilhauer,Accounting
1583015,Ming-Hsuan Yang,Engineering
1299898,David Ardell,Biology
2503041,Grant Nebel,Mathematics
1922805,Stan Porter,Writing
2164373,Amin Boroomand,Mathematics
2572844,Lace Padilla,Cognitive Science
1386906,Robert Yancey,Psychology
2032370,Raffaele Perrotta,Chemistry
2202890,Paula Deboard,Writing
2612728,Shannon Garland,Music
2134974,Debra Conte,Biology
2326665,Elizabeth Cunningham,Writing
700188,Jeff Yoshimi,Philosophy
2632640,Erica Rutter,Mathematics
1985449,Lynn Sullivan,Science
1236249,Diana Odom-Gunn,Psychology
2317072,Justin Gautreau,Writing
1945610,Matthew Snyder,Writing
1504310,De Ette Silbaugh,Writing
1240204,Patricia Liwang,Chemistry
2394404,Abbas Ghassemi,Engineering
1286654,Anna Song,Psychology
1726006,Ben Pageler,Psychology
1849466,Cindy Chavez,Writing
2162202,Somnath Sinha,Natural Sciences
1121765,Pablo Garcia-Ojeda,Biology
1970784,Tessa McIntire,Writing
2043075,Marco Guzman ,Sociology
1974911,Nuno Sena,Writing
1707301,Taryn Hakala,Literature
2014641,Byron Webb,Writing
729800,Christopher Viney,Engineering
1914823,Steven Seltzer,Economics
2190884,Chih-chun Chien,Physics
2203578,Mike Brokowski,Engineering
1907672,Ramesh Balasubramaniam,Social Science
2287995,Jessica Santillan,Writing
656642,Benoit Dayrat,Biology
1626352,Nathan Perry,History
2492099,Alberto Aguilera,Health Science
1875918,Eric Walle,Psychology
2220571,Robin DeLugan,Anthropology
2019069,Sylvain Masclin,Chemistry
2446341,Tommaso Buvoli,Mathematics
1077454,Nathan Inan,Mathematics
2301765,Jacob Kelly,Writing
657058,Jan Goggans,Literature
766464,Arnold Kim,Mathematics
1071530,Kathleen Hull,Anthropology
1997303,Kurt Schnier,Economics
2225962,Alicia Contreras,Writing
2295792,Danielle Mingua-Lopstain,Writing
2387409,Meghan Altman,Psychology
2394650,Ren Liu,Psychology
2984483, Esra   Kose,Economics
1963153,Emily Gale,Music
2073735,Derek Merrill,Writing
2112153,Jesus Sandoval-Hernandez,Economics
2696914,Cameron DeHart,Political Science
1837577,Marion Badal,Natural Sciences
2340030,Chai Moua,Mathematics
656546,Michael Colvin,Biology
1037285,Susan Miller,Writing
1798557,Sarah Depaoli,Psychology
1878064,John Haner,English
2119720,Christina Torres-Rouff,Anthropology
