index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,mandatory,3.0,CHEM002,"Mark's class can be challenging, but staying engaged and using resources like Unstuck study for study prep goes a long way. He has a traditional teaching style, so attending lectures and asking questions is key. With effort, you can do well in this class.",False,2024-10-05 23:35:36,4.0,B,3.0,True,True,3.0,,3.0,0,0,,906301
1,mandatory,1.0,CHEM002,"I took his class my second semester, by far one of the worst professors I have ever had to deal with. His class still haunts me despite me despite being a 3rd year who will never touch chemistry again. I'm so glad I'm in engineering and not chemistry so that I would never have to deal with him gain.",False,2023-10-27 19:54:11,5.0,C,1.0,True,False,1.0,Tough grader--Beware of pop quizzes--Graded by few things,3.0,0,0,,906301
2,non mandatory,1.0,CHEM001,"Very difficult class, you really need to study. ",False,2023-01-18 22:31:04,4.0,C-,1.0,True,False,1.0,Tough grader--Participation matters,3.0,1,0,,906301
3,mandatory,1.0,CHEM002,"Honestly, just pick someone else...",False,2022-09-24 22:00:14,4.0,D-,1.0,True,False,1.0,Tough grader--Get ready to read--Beware of pop quizzes,3.0,0,1,,906301
4,mandatory,1.0,CHEM002,I loved the fact that he sent out his lecture slides but hated the fact that he only read the lecture slides and think that is enough. You have to be very specific about your questions or he won't help you. He's very strict on how he grades and tests feel impossible. Harsh grader and won't give you half points if you missed the answer by a digit.,False,2022-08-16 21:46:48,4.0,C,1.0,True,False,1.0,Tough grader--Beware of pop quizzes--Lecture heavy,3.0,0,0,,906301
5,mandatory,3.0,CHEM002,"I believe that Mark is not terrible at lecturing overall as I did attend lectures and learned a good amount, but the problem is that his pop quizzes are targeting the slackers which is unnecessary in my opinion, and the miscommunication that happened with his TAs which made it much more difficult for them to run the labs and discussions.",False,2022-05-25 01:28:21,3.0,B,3.0,True,False,3.0,Participation matters--Beware of pop quizzes,-1.0,1,0,,906301
6,non mandatory,1.0,CHEM002,"He doesn't care about students also only responds to select emails. I don't think the material was very challenging, but he definitely made it so. ",False,2022-05-17 20:17:33,4.0,B,1.0,True,False,1.0,Tough grader--Test heavy--Graded by few things,3.0,0,0,,906301
7,non mandatory,1.0,CHEM002,"I once went to office hours  to ask for clarification on what I did wrong on a spectrometry question. His response to my question was that I deserved less points than I initially received and if I were to ask again, he would personally deduct points from my lab.
Lovely experience.
Still have no idea what I did wrong",False,2022-05-15 01:36:29,4.0,B+,1.0,True,False,1.0,Tough grader--Online Savvy,-1.0,0,1,,906301
8,non mandatory,5.0,CHEM002,"Everyone says Mark is a horrible prof, but its because they did poorly in the class. Mark is a very traditional professor, if you study, go to lectures and ask ques, u will be fine. Quizzes and Midterms are all based on the lecture slides. People say he does not teach, but he always stops for questions, but no one raises their hand, so its ur fault",False,2022-05-12 20:23:54,4.0,A,5.0,True,False,5.0,Beware of pop quizzes--Lecture heavy--Test heavy,-1.0,5,1,1.0,906301
9,mandatory,1.0,CHEM001,"He doesn't teach. Just reads off PowerPoint slides and doesn't explain anything. You'd be better off taking it at community college than deal with him. He also wants more respect than what he gives. Plus he wants a paper proof for almost everything if your missing class, exams, and quizzes.",False,2022-05-12 05:56:54,5.0,F,1.0,True,False,1.0,Tough grader--Beware of pop quizzes--Test heavy,-1.0,1,1,,906301
10,mandatory,3.0,CHEM002,"Before every midterm he looks at the test and tells the class exactly what to expect. 
Take notes on this day and maybe he'll give you 1 or 2 answers. Cause he does that. 
Quizzes 1 a week, (no heads up on the content) for full/partial credit. 
TA's are absolutely amazing. Make friends and study on the weekend.  
A is possible. 1 standardized final",False,2022-05-12 03:44:58,5.0,A+,3.0,True,False,3.0,Beware of pop quizzes--Caring--Accessible outside class,3.0,0,1,1.0,906301
11,mandatory,1.0,CHEM002,This was my second time having him unfortunately. He focuses most of his energy on the people who don't show up than the ones who are sitting right in front of him. Does not allocate his time wisely when lecturing at the beginning at the semester which leaves us cramming at the end. very difficult to communicate with bc he is never straightforward.,False,2022-05-12 02:51:07,5.0,Not sure yet,1.0,True,False,1.0,Tough grader--Beware of pop quizzes,-1.0,0,1,,906301
12,mandatory,2.0,CHEM002,"My grade in the class fluctuated a lot as coursework in the class is heavily weighted. If there is low attendance in lecture, he will give pop quizzes. There was also a problem where labs were ahead of lecture, so you had to self-learn the material before going into the experiment which was an overall stressful experience.",False,2022-05-10 06:44:42,5.0,B+,2.0,True,False,2.0,Tough grader--Participation matters--Beware of pop quizzes,3.0,0,1,,906301
13,non mandatory,2.0,CHEM002,"This guy runs off of his morning pepsi and if he doesn't have it, he has a nasty attitude. Often degrades his students and constantly threatens us. Also gives pop quizzes to get back at us for not showing up to lecture. Lectures don't help and he always gets behind and ends up cramming quizzes and exams at the end of the semester. Don't recommend.",False,2022-05-09 09:23:04,4.0,B,2.0,True,False,2.0,Tough grader--Beware of pop quizzes--Lecture heavy,-1.0,0,1,,906301
14,mandatory,1.0,CHEM001,You're gonna regret this,False,2022-05-07 20:46:24,5.0,C+,1.0,True,False,1.0,,3.0,0,0,,906301
15,mandatory,1.0,CHEM001,"This man did not give us scratch paper for out final made us choose between cheat sheet or scratch paper. Keep in mind that he didn't tell us directly and this was not clear in the sent email late at night. The TA is the only reason why I'm surviving this class. It's bad. Trust me. Go take class at a city college, it's not worth the pain. ",False,2022-05-07 19:12:08,5.0,C+,1.0,True,False,1.0,Tough grader--Beware of pop quizzes--Test heavy,3.0,0,1,,906301
16,non mandatory,2.0,CHEM001,"Mark is very kind when you first meet him but as the semester rolls on you come to realize that he often demands more respect from you than what he gives back to you. He can be strict during lectures and has threatened suspension for students who don't attend them. Even after dropping a midterm score, more than 60% of students failed the class.",False,2022-02-11 00:45:20,4.0,B+,2.0,True,False,2.0,Test heavy--Lecture heavy--Tough grader,5.0,0,1,0.0,906301
17,non mandatory,3.0,CHEM001,"he's one of the only options for lower level chemistry courses, which stinks. he's not an incredible lecturer, but his lecture slides are available online and all the information can be found in the textbook. as long as you have a decent understanding of the material, the tests and quizzes will be fairly straightforward.",False,2022-01-19 18:05:01,3.0,A,3.0,True,False,3.0,Get ready to read--Test heavy--Tough grader,5.0,0,1,1.0,906301
18,non mandatory,1.0,CHEM001,"Chemistry is not hard but Mark makes it hard because his explanations are horrible and very excessive. There is no homework and only quizzes and three midterms. The discussion that comes with the class is very helpful, should definitely take advantage. My advice would be to make a study group because it will help you be on tract to pass the class.",False,2022-01-10 06:59:16,5.0,,1.0,True,False,1.0,Skip class? You won't pass.--Test heavy--Tough grader,5.0,0,2,0.0,906301
19,mandatory,1.0,CHEM001,one word. Rude. You want to pass this class? go teach yourself and the rest of your classmates. If he wasn't even teaching it might even help the students. Went to the hospital? that's tough is what he would say. He gives no second chances no matter what happened. so good luck!!!,False,2021-12-24 23:10:09,4.0,C-,1.0,True,False,1.0,Lecture heavy--Tough grader,5.0,0,1,0.0,906301
20,non mandatory,1.0,CHEM001,"Super test heavy, there is nothing in the gradebook so beware of getting anything less than perfect on the midterms.",False,2021-12-20 00:25:08,4.0,D+,1.0,True,False,1.0,Graded by few things--Test heavy--Beware of pop quizzes,0.0,0,1,0.0,906301
21,non mandatory,1.0,CHEM001,"I wouldn't say the content in this class is difficult but he makes it difficult for no reason. To be successful, I would say attend lecture as much as you can and utilize your discussion time to ask questions. My only complaint is Mark himself. He treats us with no respect and belittles us. That is not how you treat your students. Avoid him.",False,2021-12-18 02:00:24,3.0,C,1.0,True,False,1.0,Beware of pop quizzes--Lecture heavy--Tough grader,5.0,0,1,0.0,906301
22,mandatory,4.0,CHEM001,"Mark is a great professor. By far the best one in the chemistry department. To succeed in his class go to discussion and ask questions! He builds his quizzes on discussion worksheets, &amp; the exams on his quizzes. I'm a visual learner so his lectures weren't very helpful for me, but the slides he would upload would guide me very well! Very caring!",False,2021-12-16 22:50:59,3.0,A,4.0,True,False,4.0,Respected--Accessible outside class--Lecture heavy,5.0,1,0,1.0,906301
