id,name,department
125718,Michael Curtis,Mathematics
58964,Toby Gustafson,Computer Science
551199,Sean Jasso,Business
68941,Stefan Chrissanthos,History
214667,Ludwig Bartels,Chemistry
177929,Taradas Bandyopadhyay,Economics
471908,Raj Singh,Management
792128,Christopher Schmitt,Sociology
865218,David Hill,Chemistry
148490,Brian Linard,Computer Science
2239087,Joab Corey,Economics
1500306,Jack Eichler,Chemistry
1316522,Catharine Larsen,Chemistry
575021,Janet Hill,Sociology
107007,Steven Clark,Psychology
125731,Heidi Waltz,Languages
2115258,Matthew Rotondi,Sociology
2171236,Matthew Casselman,Chemistry
1181461,Louis Ratliff,Mathematics
97533,Mark Chappell,Biology
142810,Bruce Samuelson,Accounting
1102086,Thomas Sy,Psychology
565923,Paul Larsen,Biochemistry
218619,Michael Marsella,Chemistry
420008,Robert Perez,Ethnic Studies
270345,Kris Miller,Computer Science
169898,Thomas Morton,Chemistry
999809,Jennifer Simmers,Sociology
170705,Carolyn Murray,Psychology
64408,Richard Lowy,Ethnic Studies
107006,Aaron Potter,English
2041611,David Weisbart,Mathematics
2188308,Worku Nida,Anthropology
1234960,Richard Hooley,Chemistry
272165,Clyde Webster,Chemistry
213344,Margarita Curras-Collazo,Science
740458,Michael Pirrung,Chemistry
178054,Barry Kenyon,English
1618699,Vincent Lavallo,Chemistry
359019,Paul Beehler,English
170351,Manuela Martins-Green,Biology
115590,Albert Anthony,English
190017,Christopher Switzer,Chemistry
943507,Brinda Mahalingam,Economics
473189,Morris Maduro,Biology
39263,Richard Cardullo,Biology
335350,R Redak,Science
2174733,Sara Lapan,Mathematics
2438961,Elena Strzheletska,Computer Science
367270,David Hinckley,English
61253,Curt Burgess,Psychology
2202003,Matthew Lang,Economics
257389,Harry Tom,Physics
896623,Benedict Jones,English
298227,Wendy Raschke,Classics
298498,Eric Schwitzgebel,Philosophy
177720,Jang Ting Guo,Economics
547929,Matthew Snyder,English
2009978,Jeremy Busacca,Political Science
215758,Lee Wilson,Chemistry
231771,Woody Liao,Accounting
58957,Edward Chang,Ethnic Studies
58955,Carole-Anne Tyler,English
170141,Lawrence Rosenblum,Psychology
212378,Dan Hepler,English
535325,Jose Villa,Mathematics
478640,Jairo Aguilar,Mathematics
1129951,Gordon Love,Geosciences
353312,Kathleen Gurnett,English
251206,Y. Peter Chung,Management
1209332,Michael Hawkins,History
104688,Robert Patch,History
625338,Juliette Levy,History
110148,Pamela Clute,Mathematics
1828619,Sherryl Berg-Ridenour,Business
219134,Thomas Perring,Entomology
213345,Michael Erickson,Psychology
315992,Julia Brett,English
89588,Jennifer Doyle,English
487636,Lucille Chia,History
1225726,Jill Smith,Statistics
1480814,Bahram Mobasher,Physics
2202053,Stephanie Dingwall,Biochemistry
278178,Jonathan Turner,Sociology
149970,Roger Ransom,History
189968,Dimitri Maslov,Biology
246116,Colin Innes,English
466958,Ryan Rusich,Computer Science
58961,Kiril Tomoff,History
653795,Mary Cummins,English
958266,Farah Godrej,Political Science
112204,Carrie Jean Schroeder,English
244584,Karen Polster,English
176567,Ali Saadat,Mathematics
2468182,Qixuan Wang,Mathematics
1695772,Long Gao,Management
1070109,Aviv Censor,Mathematics
1231220,Jonathan Eacott,History
2518016,Annie Ditta,Psychology
1584560,Analisa Flores,Statistics
352836,Victor Lippit,Economics
203423,Linda Penas,Mathematics
2220962,Bree Lang,Economics
147107,David Oglesby,Science
166070,Dylan Rodriguez,Ethnic Studies
520336,Gabriela Canalizo,Physics
214120,sally Ness,Anthropology
179588,Lash Vance,English
58967,Conrad Rudolph,Art History
20395,Sarkis Khoury,Business
1881779,Marissa Brookes,Political Science
1262005,Rory Moore,English
268477,Howard Wettstein,Philosophy
368949,Ben King,Classics
215674,Eugene Nothnagel,Biology
170702,Terry Spaise,English
104686,David Fairris,Economics
407767,Juliann Allison,Political Science
581930,Wallace Cleaves,English
359021,Bradley Hyman,Biology
901972,Bruce Bordner,Political Science
233958,Brian Lloyd,History
1367442,Kelly Huffman-Neal,Psychology
166061,Amalia Cabezas,Media & Cultural Studies
266430,Mason Gaffney,Economics
13948,Shaun Bowler,Political Science
967027,Benjamin Bishin,Political Science
2461580,Jonathan Lim,Business
199007,Ziv Ran,Mathematics
360303,Brynn Nodarse,Psychology
266433,Kate Watt,English
350108,Feng Xu,Mathematics
357081,Devon Hackelton,English
1115937,Derek Burrill,Dance
270902,Karen Pyke,Sociology
331415,Lynda Bell,History
653483,Dana Simmons,History
152482,Guy Bertrand,Chemistry
177745,Mei-Chu Chang,Mathematics
589235,Anthony Macias,Ethnic Studies
29116,John Baez,Mathematics
128435,John Cioffi,Political Science
362009,Peter Hickmott,Psychology
1324984,Indridi Indridason,Political Science
993086,Tofigh Heidarzadeh,History
128434,James Tobias,English
249478,Charlene Musgrove,English
584593,David Biggs,History
175689,Frank Vahid,Computer Science
373845,Barry Mishra,Business
498739,Sandi Fay,Mathematics
1878052,Josh Hartman,Chemistry
214490,William Bracken,Philosophy
179824,Carl Cranor,Law
1086765,Goldberry Long,Creative Writing
177748,Zhuang-Dan Daniel Guan,Mathematics
1108236,Craig McLaren,Economics
2354168,Lauren Ponisio,Entomology
164255,John Ellison,Physics
331360,Tim Ballard,English
570387,Vorris Nunley,English
771292,Timothy Lyons,Geology
64406,Sang-Hee Lee,Anthropology
781043,Rob Lam,Mathematics
174823,Stephen Wimpenny,Physics
236994,Karl Taube,Anthropology
839267,Mark Bundy,English
547779,Juliet McMullin,Anthropology
125728,John Medearis,Political Science
2279077,Alfonso Gonzales,Ethnic Studies
349714,Seth Wagerman,Psychology
511828,Ninetta Papadomichelaki,English
748961,I Kaloshian,Biology
98279,Ben Harder,English
1252823,Katja Guenther,Sociology
1291189,Paul Green,Ethnic Studies
215649,David Funder,Psychology
814281,Rebekah Richert,Psychology
74289,Chris Chase-Dunn,Social Science
984868,Tamara Ho,Women's Studies
238478,Robert Jones,English
1070480,Coleen MacNamara,Philosophy
219930,John Stamp,English
320193,Jennifer Ramos,Foreign Languages
711873,Christine Smedley,English
1865651,Brian Siana,Physics
316766,Ward Beyermann,Physics
565904,Adalberto Aguirre,Sociology
237522,Kim Hammond,Biology
13951,John Laursen,Political Science
370608,Yang Ye,Languages
412062,Don Jobe,English
1429750,Matthew Bond,English
1111059,Todd Sorensen,Economics
174821,Richard Seto,Physics
1800900,Vrinda Chidambaram,Linguistics
801023,Fariel Cherif,Political Science
387893,Thomas Stahovich,Mechanical Engineering
2590444,Dina Aly,Sociology
1068299,Chia-En Chang,Chemistry
416782,Parkes Riley,Political Science
546289,V Nyitray,Religion
144499,Christine Gailey,Women's Studies
118948,Raphael Zidovetski,Science
418841,Deborah Wong,Music
482400,Alicia Arrizon,Women's Studies
2056067,Jane Ward,Women's Studies
1032526,Essia Hamouda,Business
465542,Mohsen El Hafsi,Business
2986579,William Neary,Chemistry
1763391,Aaron Roy,Physics
485051,Chris Amrhein,Environmental Science
1043853,Jorge Aguero,Economics
246553,Kenneth Barish,Physics
814611,Scott Brooks,Sociology
2097624,Joshua Lui,Physics
359145,June O'Connor,Religious Studies
1652546,Jennie Friedrich,English
502141,Pierre Keller,Philosophy
357703,Randolph Head,History
410891,Michael Rettig,Chemistry
2309095,Yunied Puig De Dios,Mathematics
1116185,Sofia Franco,Business Administration
170140,Ekaterina Yudina,Languages
354171,Quan Cheng,Chemistry
1777808,Michael Nelson,Philosophy
2113851,Stephanie Fousek,English
298500,John Fischer,Philosophy
1358506,Feras Abou-Galala,Electrical Engineering
1878155,Boris Maciejovsky,Business
181339,Kyoko Sagawa,Languages
459072,Cathy Lussier,Education
1286766,Derick Fay,Anthropology
309214,Arlen Appleford,English
372402,Marcelle Chauvet,Economics
125724,Scott Fedick,Anthropology
895112,Wolfgang Schoeller,Chemistry
2120557,Boniface Fokwa,Chemistry
2424209,Kevin Kou,Chemistry
1798652,Ye Li,Business
820793,S.K. Das,Economics
1083750,Muhamad Ali,Religious Studies
467431,Qi Zhang,Mathematics
133595,Susan Carter,Economics
333214,Ruth Chao,Psychology
190003,G Gierz,Mathematics
1133790,Jim Buchholz,Physics
1108310,Kurt Anderson,Biology
1261147,Sherine Hafez,Gender & Sexualty Studies
2651465,John Acker,Business
2917123,Shana  Welles,Biology
177759,Marek Chrobak,Computer Science
177950,Steven Axelrod,English
360305,Christine Duverge,Languages
2266193,Michael Anderson,Physics
895802,Judy Okamura,Chemistry
1110247,William Barndt,Political Science
1803544,Victor Ortego-Marti,Economics
89586,Geoff Cohen,English
2104163,Yasemin Irepoglu Carreras,Political Science
1075542,Rajeev Walia,Mathematics
1072749,Mohamed Ait Nouh,Mathematics
1625472,Amanda Lucia,Religious Studies
2344078,Kyle Ingram,Business
1186538,Sung Rak Choi,Mathematics
1706551,Ming Lee Tang,Chemistry
430865,Armando Navarro,Ethnic Studies
2420817,Rich Yueh,Business
373696,Alan Williams,Geology
345076,Jeff Bachant,Biology
518053,Joshua Fenton,English
228082,John Oross,Biology
887214,Edward Korzus,Psychology
1923709,Michelle Raheja,English
1150097,Jennifer Denson,Statistics
177941,Devra Weber,History
2300184,Kadriye Saglam,Mathematics
195257,Mari-carmen Ballester,Spanish
315230,Reiko Sato,Languages
473129,John Trumble,Entomology
