id,name,department
7855,Carl Hoeger,Chemistry
105784,John Eggers,Mathematics
387889,Bob Ternansky,Chemistry
1739027,Steve Levkoff,Economics
483692,Christina A. Johnson,Chemistry
1171228,Stacey Brydges,Chemistry
140154,John Crowell,Chemistry
1607196,Adam Bowers,Mathematics
1646258,Mary McKay,Management
170144,Michael Willoughby,Economics
889036,Laura Stevens,Mathematics
857561,Edmond Chang,History
209647,Andrew Kummel,Chemistry
156170,Mary Boyle,Cognitive Science
1829878,Terrence Sejnowski,Biology
63531,Gary Gillespie,Computer Science
1194731,Kim Albizati,Chemistry
76370,Susan Marx,Computer Science
2283913,Quang Bach,Mathematics
2606031,Kimberly Schurmeier,Chemistry
63529,Rick Ord,Computer Science
37538,Victor Magagna,Political Science
505577,Douglas Smith,Physics
1967497,Thomas Bussey,Chemistry
1706569,Keefe Reuther,Biology
57718,Rick Grush,Philosophy
209071,Joseph O'Connor,Chemistry
2229678,David Frederick,Psychology
882142,John Czworkowski,Chemistry
154433,Kathleen French,Biology
2397647,Andrew Cooper,Biology
155636,Kate Antonovics,Economics
2163309,David Quarfoot,Mathematics
521611,Maria Teresa Candido,Economics
32591,David Jordan,Anthropology
314143,Fred Rose,Psychology
459987,Peter Galderisi,Political Science
2275462,Tin Yiu Lam,Chemistry
216180,Haim Weizman,Chemistry
469051,Melissa Famulari,Economics
1295600,Michael Burg,Biology
7852,Page Dubois,Literature
1829809,Philbert Tsai,Physics
2231901,Tenio Popmintchev,Physics
2058305,Sarah Stockwell,Biological Sciences
221739,Stephanie Mel,Biology
2069379,Brett Barbaro,Biological Sciences
2021651,Jennifer Winward,Psychology
307937,Cindy Gustafson-Brown,Biology
439975,Vlado Lubarda,Engineering
1735773,Angela Lowe,Psychology
470360,John Skrentny,Sociology
361886,Kenneth Anderson,Music
2080648,James Cooke,Biological Sciences
221740,Randolph Hampton,Biology
1746176,Robert Campbell,Management
899923,Matthew Herbst,Humanities
128225,Christine Johnson,Cognitive Science
1893077,Ali Behzadan,Mathematics
