id,name,department
186093,Daryl Cooper,Mathematics
855,Alan Fridlund,Psychology
1755841,Scott Price,Chemistry
419084,John Baldwin,Sociology
23376,Dolly Mullin,Communication
1634616,Bryanna Sylvester,Chemistry
1829388,Crisjoe Joseph,Chemistry
362145,Steven Gaulin,Anthropology
932951,Kenneth (Ken) Hiltner,English
1857546,Matt Porter,Mathematics
73600,Robert Geller,Physics
12685,Petra Van Koppen,Chemistry
13635,Ralph Gallucci,Classics
13547,Robert Crouch,Economics
1256774,Seng Low,Biology
124167,Paula Bruice,Science
15055,Charles Akemann,Mathematics
1346549,Darby Feldwinn,Chemistry
409420,Bob Anderson,Economics
164131,Ernest Freund,Physics
277079,Stanley Klein,Psychology
68200,Russell Revlin,Psychology
2184972,Peter Garfield,Mathematics
12658,Roger Freedman,Physics
289948,Tamsin German,Psychology
229826,Thomas Hooker,Chemistry
1031087,Cindy Benelli,Economics
899208,Carol Press,Fine Arts
154003,Thomas Even,Biology
421896,Brice Erickson,Classics
23446,Jon Sonstelie,Economics
1150564,Casey Walsh,Anthropology
324784,Denis Labutin,Mathematics
268051,Anna Brusutti,Film
214353,Coby Harmon,Accounting
297754,Gregory Graves,History
1148287,Robert (Bob) Kennedy,Linguistics
2450605,Yekaterina Kate Kharitonova,Computer Science
1112610,John Hartman,Economics
180785,Dan Montello,Geography
11147,Dawn Holmes,Statistics
1810277,Dan Luna,Geology
289498,Rick Ye,Mathematics
349096,Howard Winant,Sociology
2633478,Uma Ravat,Statistics
149977,Francis Dunn,Classics
1845792,Morgan Gainer,Chemistry
23375,Andrew Flanagin,Communication
1068271,John Greathouse,Engineering
124168,Donald Aue,Science
232431,William Robinson,Sociology
751172,Greg Hillis,Religion
355971,Stephen Bigelow,Mathematics
208021,John Park,Ethnic Studies
377357,Aaron Zimmerman,Philosophy
569921,Avery Gordon,Sociology
349755,Stuart Smith,Anthropology
2530808,Brian Wainwright,Statistics
464938,Elizabeth Digeser,History
744241,Javier Birchenall,Economics
1984011,Nathan Schley,Mathematics
346088,Xianzhe Dai,Mathematics
219511,Laura Kalman,History
12657,Gufong Wei,Mathematics
2178071,Ziad Matni,Computer Science
1701804,Peter Alagona,History
1254807,John Latto,Biology
268045,John Lee,History
365654,Charles Mullin,Communication
168264,Ruth Finkelstein,Biology
201269,David White,Theology
823219,Vanessa Woods,Psychology
1254020,Mark Juergensmeyer,Global Studies
169038,Richard Hecht,Religious Studies
358063,Kalju Kahn,Chemistry
549617,Carlos Garcia,Mathematics
2170428,Robert Lewis,Chemistry
124169,Robert Antonucci,Science
463507,Paul Sonnino,History
907405,Kelly Bedard,Economics
123024,Henry Sander,Economics
54687,Paul Spickard,History
37025,Rich Watson,Economics
2351706,Tara Tober,Sociology
54750,Randy Bergstrom,History
883561,Art Gilbert,Physical Education
166063,Jaqueline Bobo,Women's Studies
215272,Gustavo Ponce,Mathematics
1098627,Peter Rupert,Economics
43810,Kathleen Bruhn,Political Science
155724,Doug Thrower,Science
1253214,Victor Rios,Sociology
458229,James Donelan,Writing
1991902, Brent Strathman,Political Science
275767,Rolf Christoffersen,Biology
2227068,Julie Swenson,Statistics
377354,Ingrid Banks,Ethnic Studies
