id,name,department
2303587,Yonatan Katznelson,Mathematics
144099,Patrick Tantalo,Computer Science
153659,Frank Bauerle,Mathematics
2535492,Barun Dhar,Physics
218123,Edward Migliore,Mathematics
180620,Mark Eastman,Mathematics
25504,Ralph Quinn,Psychology
1047838,Nandini Bhattacharya,Mathematics
359485,Baldo Marinovic,Biology
760742,Randa Roland,Chemistry
2734101,Geri Kerstiens,Chemistry
93360,Wesley Mackey,Computer Science
177134,John Tamkun,Biology
492498,Julie Gonzalez,Economics
144017,Veronica Tonay,Psychology
567267,K.C Fung,Economics
887861,Kim Cardilla,Psychology
175963,Bruce Thompson,History
12444,Bettina Aptheker,Women's Studies
172347,Richard Mitchell,Mathematics
1221415,Abraham Berman,Mathematics
110723,David Kaun,Economics
187808,Tracy Larrabee,Computer Science
2438885,Alegra Eroy-Reveles,Chemistry
205049,Mary Zavanelli,Biology
2586990,Larissa Munishkina,Computer Science
320890,Dean Mathiowetz,Political Science
505319,Tom Schleich,Chemistry
189661,Matthew Lasar,History
1101747,Robin Dunkin,Biology
355999,Gerald Moulds,Computer Science
1418895,Adriane Steinacker,Physics
2145723,Peter Alvaro,Computer Science
172354,Frank Andrews,Chemistry
339002,Francesca Guerra,Sociology
303918,Charlie McDowell,Computer Science
2624718,Sagnik Nath,computer science and electrical engineering
304658,Darrell Long,Computer Science
13929,Adrienne Zihlman,Anthropology
1161116,Mike Dalbey,Biology
133601,Dan Wirls,Political Science
330804,Derede Arthur,Writing
176781,Alan Kawamoto,Psychology
162217,Wendy Rothwell,Biology
363906,Rebecca Braslau,Chemistry
2045876,Maxwell Dunne,Computer Engineering
2404607,Pedro Morales,Mathematics
153672,Daniel Palleros,Chemistry
501754,Hirotaka Tamanoi,Mathematics
1103237,Jeremy Lee,Biology
162374,Bakthan Singaram,Chemistry
281191,Mary Flannery,Economics
153687,Barry Bowman,Biology
219464,Annapurna Pandey,Anthropology
500767,Pascale Garaud,Mathematics
756467,Melissa Jurica,Biology
1198152,Aaron Meininger,Economics
1579425,Peter Weiss,Chemistry
412311,David Draper,Applied Mathematics & Statistics
431292,Wendy Martyna,Sociology
162896,Alan Christy,History
136264,Ethan Miller,Computer Science
348816,Travis Seymour,Psychology
53762,Glenn Millhauser,Chemistry
160089,Mark Baker,Writing
893429,Eugene Switkes,Chemistry
318094,Roberto Bogomolni,Chemistry
110725,Robert Shepherd,Economics
43841,Mary-Kay Gamel,Literature
166900,Anjali Arondekar,Women's Studies
783467,Jose Renau,Computer Engineering
454068,Suresh Lodha,Computer Science
246626,Brij Lunine,Writing
519482,Hester Karlton,Music
332230,Faye Crosby,Psychology
183470,Gary Griggs,Science
492905,Allen Van Gelder,Computer Science
214377,Margarita Azmitia,Psychology
432210,Bruce Cooperstein,Mathematics
2716930,Suzana Milea,Mathematics
352610,Campbell Leaper,Psychology
604377,Delbert Bailey,Computer Science
162761,Craig Haney,Psychology
95550,Jin Zhang,Science
174808,Louis Chude-Sokei,Literature
220084,Nameera Akhtar,Psychology
1772283,Michael Chemers,Theater
1150085,Michael Rexach,Biology
74180,Anthony Pratkanis,Psychology
489744,Brent Haddad,Environmental Science
43837,Jody Greene,Literature
207286,Peter Limbrick,Film
224949,Annalisa Rava,Writing
175505,Carlos Calierno,Languages
414452,Luca De Alfaro,Computer Science
43843,Chris Connery,Literature
2671077,Hannah Raila,Psychology
1978781,Caitlin  Binder,Chemistry
542300,Ronnie Lipschutz,Political Science
439427,Ryan Coonerty,Law
290001,Roxanne Hamilton,Writing
315432,Charles Hedrick,History
1111235,Maria Evangelatou,Art History
859195,Rohinton Kamakaka,Biology
894203,Avi Tchamni,Music
217107,Jordi Aladro-Font,Literature
467062,Robin King,Writing
2351640,Christina Parsa,Computer Engineering
131684,Vanita Seth,Political Science
2236429,Kevin Jones,Economics
147560,Paulo Franca,Computer Science
419055,Ellen Newberry,Writing
326054,Raja Guha Thakurta,Astronomy
630345,John Musacchio,Information Systems
2893676,Oswald Campesato,Computer Science
1123708,Seth Rubin,Chemistry & Biochemistry
454089,Cormac Flanagan,Computer Science
1680544,Nirshan Perera,Writing
424840,Andrea Di Blas,Computer Science
224129,Hilde Schwartz,Earth & Planetary Sciences
140221,L.S. Kim,Film
442634,Subhas Desa,Information Science
1221800,Allan Langdale,Art & Visual Culture
484695,Lindsay Hinck,Biology
421157,Fred Kuttner,Physics
624629,Dard Neuman,Music
134135,William Scott,Chemistry
586647,Scott Lokey,Chemistry
2059447,Seshadhri Comandur,Computer Science
43845,Juan Poblete,Literature
587548,Elise Knittle,Earth & Planetary Sciences
70827,Tom Schliech,Science
117315,Trevor Roberti,Science
116543,Claude Bernasconi,Chemistry
793099,Roger Anderson,Chemistry
2328264,David Harrison,Computer Science
569936,Lindsay Knisely,English
2080372,Ajay Shenoy,Economics
2241935,Bryan Holbrook,Psychology
1260319,Toby Loeffler,Writing
189651,Patty Gallagher,Theater
300268,Ariel Perez,Languages
397558,Guillermo Delgado,Ethnic Studies
2452061,James Shanks,Biology
456399,Jen Mogel,Mathematics
2261261,Jacqueline Gehring,Legal Studies
2111210,Junecue Suh,Mathematics
2155126,Subhra Saha,Economics
221479,Gina Dent,Women's Studies
318562,Tony Tromba,Mathematics
1493260,Bob Baden,Economics
1787461,Benjamin Storm,Psychology
327783,Jorge Hankamer,Languages
2150415,Jevgenij Raskatov,Chemistry
130409,Forrest Robinson,American Studies
2049798,Anthony Breakspear,Writing
213690,Judith Habicht-Mauche,Anthropology
501750,Bernard Elbaum,Economics
497401,Alex Pang,Computer Science
1883634,Kerry Veenstra,Computer Engineering
299484,Giulia Centineo,Languages
227941,Danny Scheie,Theater
352333,Brian Catlos,History
179193,Jon Ellis,Philosophy
339458,Stacy Kamehiro,Art History
269110,Linda Ogren,Biology
337122,Bruno Sanso,Engineering
376746,Carlos Dobkin,Economics
220052,Gabe Brahm,Political Science
2407434,Rebecca Rashkin,Computer Engineering
183494,E Cameron,Art History
217673,Triloki Pandey,Anthropology
1035376,Martin Weissman,Mathematics
760216,Justin Marion,Economics
649488,Jan Washburn,Environmental Studies
539907,Allison Gong,Marine Sciences
1108010,Soraya Murray,Art & Visual Culture
273821,Jim McCloskey,Languages
2288347,Narges Norouzi,Computer Science
2334597,Heiner Litz,Computer Engineering
2150050,Shawn Nichols,Politics
2279165,Robert Hingtgen,Mathematics
2573875,Anjuli Verma,Politics
853734,Minghui Hu,History
375245,Biff K. Faunce,Literature
2182994,Jairo Velasco,Physics
2264807,Megan McNamara,Sociology
139774,Barbara Rogoff,Psychology
827422,Ben Carson,Music
1805804,Steven Coulter,Writing
403559,Michael Loik,Environmental Science
355422,Maxwell Oteng,Economics
2056294,Richard Jullig,Computer Science
2119581,Sheldon Finkelstein,Computer Science
356062,Ilan Benjamin,Chemistry
187820,Zack Schlesinger,Physics
172331,Barry Sinervo,Biology
362963,David Smith,Physics
11766,David Crane,Film
327421,Ingrid Parker,Biology
419515,Donald Wittman,Economics
53454,Walter Campbell,Languages
418298,Doris Ash,Education
2438575,Beren Sanders,Mathematics
379177,Alice Yang-Murray,History
1824739,Giacomo Fiore,Music
1116173,Terry Terhaar,Writing
305674,Giacomo Bernardi,Biology
377582,Eleonora Pasotti,Political Science
258665,James Wilson,Writing
1065741,Pranav Anand,Languages
601674,Kai Pommerenke,Economics
1156283,Kiva Silver,Writing
2675495,Guido Bordignon,Biology
284636,Carolyn Dean,Fine Arts
329910,Craig Reinarman,Sociology
226310,Ray Gibbs,Psychology
291007,Dion Farquhar,Women's Studies
420045,Catherine Carlstroem,Writing
623191,John Bowin,Philosophy
187844,Margaret Wilson,Psychology
326051,Leslie Lopez,Latin American Studies
332299,Jude Todd,Writing
485420,Donna Hunter,Art History
320889,Megan Thomas,Political Science
1626658,Mallory McWilliams,Accounting
320888,Roger Schoenman,Political Science
648838,Wlad Godzich,Literature
1054761,Derrick Murray,Art
2583724,Sheldon Logan,Computational Science
292831,Murray Baumgarten,Literature
1256998,Robin Morris,Applied Mathematics & Statistics
254811,Irene Gustafson,Film
503172,J.C. Gomez,Computer Science
330540,Joe Konopelski,Chemistry
87784,Maureen Callanan,Psychology
1334712,Needhi Bhalla,Biology
529010,Leta Miller,Music
1211172,Edward Kehler,Core Curriculum
566251,Paul Graham,Physics
607028,Andrew Szasz,Sociology
159759,Dan Scripture,English
2303465,Paul Vroomen,Management
569989,Martine Schlag,Computer Engineering
594336,Vilashini Cooppan,Literature
155252,Grant Pogson,Biology
2842154,Alexandra Kolla,Computer Science
248047,Andrea Steiner,Community Studies
2883501,Marcelo Siero,Computer Science
2445304,Shankari Patel,Anthropology
1702804,Rita Mehta,Biology
232632,Nancy Chen,Anthropology
351617,David Cope,Music
397683,Eva Bertram,Political Science
96029,Peter Mostkoff,Theater
724990,Torsten Ehrhardt,Mathematics
74185,Jill Thompson,Science
187543,Maria Morris,Languages
1105705,Rasmus Winther,Philosophy
345004,Bruce Bridgeman,Psychology
357843,Angela Elsey,Languages
184954,C. L. Polecritti,History
317726,Kathy Foley,Theater
883909,Anthony Tromba,Mathematics
85781,Alvaro Romero,Languages
154538,Michael Urban,Political Science
1403879,William Saxton,Biology
2700005,Marcela Alfaro-Cordoba,Applied Mathematics & Statistics
367590,Maria Elena Diaz,History
1387315,Tanya Merchant,Music
1382214,Steve Ritz,Physics
602377,Jean Foxtree,Psychology
820891,David Lau,English
432211,Richard Montgomery,Mathematics
373752,Thorne Lay,Earth & Planetary Sciences
53543,Emily Honig,Women's Studies
558355,Tom Walsh,Classics
1070801,Katie Perry,Art
186443,Gildas Hamel,Languages
316717,Shelley Stamp,Film
1309295,Benjamin Read,Political Science
313660,Katie Simonton,History
215985,Hiroshi Fukurai,Sociology
374094,David Anthony,History
958923,Joy Hagen,Environmental Studies
1589417,Christopher Yonge,Computer Science
11765,Amelie Hastie,Film
421373,Elizabeth Abrams,Writing
1057451,Kent Eaton,Politics
421379,Marco Martinez-Galarce,Writing
1240829,Dena Robertson,Core Curriculum
2945378,Dee Martin,Mathematics
241935,Tim Fitzmaurice,Writing
333989,Candace Calsoyas,Environmental Studies
362771,Jaye Padgett,Linguistics
2230963,Kyle Robertson,Philosophy
2544571,Benedict Paten,Computer Science
236378,Noriko Aso,History
347795,Renya Ramirez,Ethnic Studies
1070419,Denise Silva,Writing
416983,Lynn Westerkamp,History
2051276,Daniele Venturi,Applied Mathematics & Statistics
2352404,Marcella Gomez,Mathematics
2425324,Christie Mccullen,Sociology
367295,Gabriel Elkaim,Computer Science
