id,name,department
1903924,QV Dang,Electrical Engineering
85515,Ramesh D. Arasasingham,Chemistry
1078750,Stephanie McEwan,Psychology
162907,Kimberly Diane Edwards,Chemistry
136521,Paul Shirey,Social Science
136129,Rachel Cohen Lehman,Mathematics
21707,Thomas Douglas,Anthropology
50629,James Egan,Anthropology
24309,Chuck O'Connell,Sociology
1907411,Shannon Alfaro,Computer Science
2291764,Irene Gassko,Computer Science
13200,Alex Thornton,Computer Science
89714,Catherine Famiglietti,Mathematics
1785713,Pavan Kadandale,Biological Sciences
168167,Susan King,Chemistry
831956,John Hagedorn,Psychology
149918,Donald Blake,Chemistry
1109403,Kenn Huber,Mathematics
106654,Nien-hui Ge,Chemistry
2409085,Jennifer Wong-Ma,Computer Science
17490,Ray Klefstad,Computer Science
126078,William Schonfeld,Political Science
1094724,Richard Pattis,Computer Science
268471,Brigitte Baldi,Statistics
1026456,Joanne Frattaroli-Zinger,Psychology & Social Behavior
238223,Arnold Guerra,Physics
2096486,Hamed Youssefpour,Mathematics
2122575,Amanda Holton,Chemistry
877733,Machiavelli Chao,Management
1009679,Christine Lofgren,Psychology
570999,Gregory Alan Weiss,Chemistry
162912,Adrienne E. Williams,Biology
83628,A. J. Shaka,Science
24618,Donald Hoffman,Psychology
37771,Larry Chrystal,Mathematics
362503,Tonya L. Schuster,Sociology
1966120,Jonathan  Lui ,Social Science
651428,Zacharitsa Giannopoulou,Classics
380849,Jacklyn Lewis,Psychology
1505271,Natalia Chernyshoff,Economics
106652,Jason Kronewetter,Mathematics
126077,Richard Symanski,Science
811255,Eric Potma,Chemistry
357342,Sergey Nizkorodov,Chemistry
1029235,Nancy Aguilar-Roca,Biological Sciences
89716,John M. Whiteley,Social Science
1771919,Teresa Dalton,Criminal Justice
149941,Diane O'Dowd,Biology
1885263,Justin Shaffer,Biological Sciences
298272,Tammy Ann Smecker-Hane,Physics
601875,William Branch,Economics
1125623,Neerja Aggarwal,Economics
215117,Stephen Bach,Political Science
47482,Amihai Glazer,Economics
86509,Nicholas Noviello,Social Science
1138232,Renee Link,Chemistry
1142527,Debra Mauzy-Melitz,Biological Sciences
1510518,George Sarraf,Economics
926891,Al Valdez,International Studies
253405,Nancy Burley,Biology
170212,Lee Bardwell,Biology
399879,Anne Kirkby,Physics
1579139,Julie Ferguson,Earth Science
418958,Rahul Warrior,Biology
823623,Thomas Eppel,Management
2265586,David Armstrong,Statistics
2266977,Jose Rodriguez-Lopez,Economics
41248,Grace McLaughlin,Business
2512998,Michael Shindler,Computer Science
795329,Zuzana Bic,Environmental Science
1999159,Laura Tucker,Physics  Astronomy
14004,Norman Jacobson,Computer Science
613788,Robin Bush,Biological Sciences
79439,Heather Dickinson-Anso,Biology
465255,Jorge Busciglio,Biology
573684,Larry Jamner,Psychology
2085786,Sofia Fernandes Franco,Economics
238396,Raymond Novaco,Psychology
1735414,Amanda Brindley,Chemistry
1050731,Marcelo Wood,Biology
575358,Matthew Beckmann,Political Science
86506,Mark Petracca,Political Science
218700,David William Casper,Physics
59341,Michael Dillencourt,Computer Science
844178,J. Ryan McKeachie,Chemistry
956017,Neil Donaldson,Mathematics
155802,David Van Vranken,Chemistry
162271,Nurudeen Alao,Social Science
421976,Hadar Ziv,Computer Science
2235178,Brad Hughes,Biological Sciences
799024,Alice Berghof,Literature
55659,Ruqian Wu,Physics
215828,James N. Danziger,Political Science
162895,David K. Trend,Fine Arts
183573,Salme Taagapera,Biology
90756,Douglas Tobias,Chemistry
2720156,Daniel Simonson,Mathematics
88308,Linda Levine,Psychology
21711,Shampa Mazumdar,Sociology
73236,Charles Wright,Psychology
126882,Theresa Marie McIntire,Chemistry
560162,Victoria Bernal,Anthropology
79053,Sherilyn Sellgren,Political Science
156375,Ahmad Sohrabian,Economics
905442,Andrew Borovik,Chemistry
979952,Catherine Loudon,Biology
79279,Steven W. Barwick,Physics
2987203,Nadia Ahmed,Computer Science
79276,Robert C. Reilly,Mathematics
1541531,Marc Fawaz,Business
288026,Igor Kopylov,Economics
163442,Valerie Wright,Psychology
2069450,Elizabeth Crook,Earth Science
105043,David Kay,Computer Science
176661,Peter A. Bowler,Biology
126085,Mohammad Safarzadeh,Economics
1847516,Vy Dong,Chemistry
2197,Brandon Stuart Gaut,Biology
2575639,Jacob Varela,Biochemistry
571195,Sheryl Tsai,Biochemistry
1772538,Andrea Nicholas (Nick),Biological Sciences
2642744,Megan Peters,Psychology
567703,Alan Heyduk,Chemistry
146652,Andrew Tonkovich,Humanities
1602406,Kim Green,Neurobiology & Behavior
50628,William Molzon,Science
213969,Aaron J. James,Philosophy
364571,Mei Zhan,Anthropology
1538926,Brian Sato,Biological Sciences
289483,Jutta Heckhausen,Psychology
120170,Valerie Jenness,Criminal Justice
162373,Dorothy Fujita-Rony,Ethnic Studies
817712,Farghalli Mohamed,Materials Engineering
88006,Paul Jesilow,"Criminology, Law & Society"
2573184,Alberto Krone-Martins,Informatics
2084332,Jenny Rinehart,Psychology  Social Behavior
95715,Peter Rentzepis,Science
175126,Ermanno Bencivenga,Philosophy
2109884,Luke Smith,Mathematics
595472,Thorsten Ritz,Physics
1499100,Oliver Cinquin,Biological Sciences
135077,Joe McKenna,History
1994628,Daniel Siakel,Humanities
199119,Henry N. Pontell,Criminal Justice
366599,Thomas Michael D'Zmura,Psychology
2244487,Mustafa Ibrahim,Informatics
54218,Ali R. Kavianpour,Engineering
157292,Henry Lee,Engineering
40667,Bob Moeller,Humanities
1880987,Mohammad Rafi,Humanities
156476,S.L. Tauro,Computer Science
204428,Scott Rychnovsky,Chemistry
1990861,Paul Piff,Psychology  Social Behavior
68602,John Dombrink,Criminal Justice
919115,Wayne Hayes,Computer Science
291912,Simon A. Cole,Criminal Justice
128822,Gretchen Short,English
331731,Kevin Olson,Political Science
352528,Kent E. Johnson,Economics
465183,Richard McCleary,Science
132069,John Liu,Social Science
151494,Armin Schwegler,Languages
90866,Fillmore Freeman,Science
1029760,David Brodbeck,Music
159618,Wayne Sandholtz,Political Science
631717,Peter Ditto,Psychology
1520877,Greg McClure,English
73248,Michael Scavio,Psychology
2428053,Kimberly Hermans,Computer Science
125842,Phil Collins,Physics
370421,M.P. Wattenberg,Political Science
170134,Franco De Flaviis,Engineering
307376,Andrew Zissos,Classics
852278,Melanie Cocco,Biology
316169,Robert Uriu,Social Science
370424,Barb Heine,Psychology
447323,Michael Leon,Biology
894182,Joanne Christopherson,Social Science
2230992,Robert Pluta,Mathematics
233060,Matt L. Huffman,Sociology
415209,Vladimir Mandelshtam,Chemistry
1862251,Brian Jenkins,Economics
330792,M.G Cumsky,Biology
1222441,Jami Bartlett,English
2476036,Joe Patterson,Chemistry
321138,Kathleen L. Dallaire,Sociology
381040,Chieh Chieng,Writing
89715,Donald Dabdub,Engineering
147010,Teresa Griffith,Linguistics
215583,Robert W. Byde,Psychology
128429,Sharon Stern,Science
1063659,Donna Schuele,Criminology
2344352,Danhua Wang,Mathematics
1887873,Emily Navarro,Computer Science
246555,Giovanna Antonelli Fogli,Humanities
2077248,Tagert Ellis,Writing
2189166,Sevan Gulesserian,Statistics
1794890,Nicholas Scurich,Criminology
163553,Stergios Skaperdas,Economics
327657,Bojan Petrovic,Social Science
710170,Aimee Edinger,Biological Sciences
1813792,Craig Murray,Chemistry
192278,Thomas M. Bertolini,Chemistry
159420,Julia Lupton,Humanities
335083,Anna Kuntz Striedter,Humanities
816388,Christopher Vanderwal,Chemistry
603989,Gopi Meenakshisundaram,Computer Science
822192,Bruce Berg,Psychology
110458,Bert Buzan,Political Science
1417692,Jonathan Keeperman,Writing
213322,Linda Trinh Vo,Ethnic Studies
2146087,Hillary Berk,Criminology Law  Society
79438,Alison Brysk,Political Science
166716,Roger McWilliams,Physics & Astronomy
399941,Zhiqin Lu,Mathematics
156505,Reginald Penner,Chemistry
424706,Jim Brody,Engineering
507324,Elizabeth Cauffman,Psychology
55660,Phillip Sheu,Engineering
354460,Christopher E. Drover,Anthropology
1106396,Charles Smith,Political Science
325626,Ian Harris,Engineering
37772,Wilima Wadhwa,Economics
1220124,Miryha Runnerstrom,Environmental Studies
2349003,Sergio Gago-Masague,Computer Science
271109,Lorene Delany-Ullman,Writing
746173,Kenneth Shea,Chemistry
824972,Matthew McHenry,Biological Sciences
217096,David J. Frank,Sociology
2237797,Lee Kucera,Statistics
386377,Susan Morse,Humanities
966833,Andromache Karanika,Classics
19500,Sam Gilmore,Social Science
106647,M.R. Rose,Science
362185,Robert Henry Duncan,International Studies
374180,Lowell Bruce McKay,Writing
1215479,John Nieman,English
255958,Mark Andrew Levine,History
163672,Robert Garfias,Anthropology
1778183,James Hull,Social Science
1847467,Alon Gorodetsky,Chemistry
2570832,Sarah Finkeldei,Chemistry
1991635,Janice  Hansen,Education
118850,David Johnson,Biology
1426025,Ilona Yim,Psychology
355144,Elliott P. Currie,Criminal Justice
239268,James V. Lambers,Mathematics
956732,Sheila O'Rourke,Anthropology
428440,Steven Sommer,Management
405819,Elaheh Bozorgzadeh,Computer Science
362957,David Camerini,Biology
58002,Jeanett Castellanos,Social Science
164466,Katharine R. Walsh,Humanities
223689,Linda Greene Haas,Writing
73237,Mark Steyvers,Psychology
1412865,Ben Hafensteiner,Chemistry
1478325,Christopher Davis,Mathematics
1480671,Benjamin Mis,Psychology
1839421,Dan Jessie,Mathematics
2587150,Veronica Berrocal,Statistics
464480,Linda Cohen,Economics
651394,Michael Andreasen,Writing
474790,Ann Van Sant,English
1497502,Scott Blum,Psychology & Social Behavior
165779,Oliver Gregor Berghof,Humanities
165608,Zhihong Lin,Physics
1249416,Keith Murphy,Anthropology
177731,Jennifer A. Robinson,Criminal Justice
821280,Min Ouyang,Economics
2347538,Philip McCarty,International Studies
326187,Douglas Haynes,History
218648,Ava Lee Arndt,Humanities
13199,Daniel Frost,Informatics
361539,Priyaranjan Jha,Economics
737314,Markus Ribbe,Biology
972464,Anyes Taffard,Physics
231190,Keith Woerpel,Chemistry
232466,Gerardo D. Canul,Psychology
627840,Susan Charles,Psychology
576999,Claire J Kim,Asian Studies
119433,Jean-Luc Gaudiot,Engineering
213713,Barbara J. Finlayson-Pitts,Chemistry
106651,Kenneth C. Janda,Chemistry
813276,Jiawei Chen,Economics
2466852,Juan Pedro Ochoa Ricoux,Physics & Astronomy
897262,Tau-Mu Yi,Biological Sciences
355263,Donald F. Senear,Biology
1478587,Alyssa Brewer,Psychology
2628118,Seunghyun Sim,Chemistry
299152,Tihomir Petrov,Mathematics
591412,Manoj Kaplinghat,Physics
287792,Jodi Anne Quas,Psychology
1209998,Guillaume Rocheteau,Economics
376779,Edward Schumann,Criminal Justice
169756,Patricia L. Hartz,Humanities
810858,Stanislaw Jarecki,Computer Information Systems
956018,Bing Cheng,Mathematics
176630,Ruben G. Rumbaut,Sociology
362132,Rainer Doemer,Engineering
742260,Aaron Barth,Physics
