id,name,department
1576103,Stephen Ross,Economics
2224004,Jay Grossman,Dental
2265987,Esmaail Nikjeh,Mathematics
2894485,Brennan Patrick,Law
673560,Terri Anderson,Sociology
343298,Jun Park,Physics
1302,David Ravetch,Accounting
904133,Eric Scerri,Chemistry
56427,Linda Van Leuven,Social Science
1602571,David Frederick,Psychology
1918070,Edward Dauer,Life Science
1617528,Miles Chen,Statistics
288,Paul Von Blum,African-American Studies
2836317,Kara Placek,Sociology
2621149,Nasim Annabi,Chemistry
143975,Teo Ruiz,History
57596,. Suman,Communication
1909266,Jordan Mendler,Computer Science
311511,Sean McAuliffe,Psychology
415909,Jay Phelan,Biology
1112756,Blake Allmendinger,English
440457,Laurence Lavelle,Chemistry
1758142,Oyku Potuoglu-Cook,Anthropology
111450,Calvin Normore,Philosophy
626559,James Gelvin,History
298568,Richard Walter,Film
418283,Stephen Dickey,English
87083,Matthew Lieberman,Psychology
996874,Mathew Fisher,English
1089844,Paige Greene,Mathematics
512830,Roger Bohman,Biology
1675054,Saori Shiraki,Chemistry
4814,Anne E. Bresnock,Economics
678715,Steven Hardinger,Chemistry
289537,Lincoln Chayes,Mathematics
1083234,Justin Zackey,Geography
1417253,Joseph Esdin,Life Science
667842,Joseph Almog,Philosophy
548043,David Smallberg,Computer Science
152713,Richard Hovannisian,History
675237,Mary Corey,History
800439,Greg Graffin,Geology
417227,Arthur Little Jr.,English
464372,Karen Rowe,English
129505,Randy Arrington,Political Science
710330,David Phillips,History
1004746,Daniel Fessler,Anthropology
1334,. Gardner,Accounting
101360,Greg Leazer,Information Science
637760,Danny Litt,Accounting
2420473,Mark Malonzo,Medicine
600254,Joseph Dimuro,English
1303,Edward McDevitt,Business
638673,G.L. Kipling,English
663506,Gordon Klein,Accounting
1152,Ronald Mellor,History
431306,Charles Batten,English
473701,Delroy A. Baugh,Chemistry
1193,Nathaniel Grossman,Mathematics
1333,Raymond Rocco,Political Science
1095278,Keith Fink,Communication
235078,Monica Smith,Anthropology
361258,Gail Kennedy,Anthropology
2184075,Jukka Keranen,Mathematics
5215,Nicolas Christou,Mathematics
900614,Terence Tao,Mathematics
327132,Sharon Dolovich,Law
1151,Robert Watson,English
1198960,Julie Smurda,Psychology
1184,Mike Lofchie,Political Science
933222,Deb Pires,Biology
2601503,Amr Shahat,Humanities
558389,Brian Walker,Political Science
1837666,Adam Roberts,Biology
139768,Richard Abel,Law
461811,Vinay Lal,History
640323,Brent Corbin,Physics
824744,Worku Nida,Anthropology
1814130,Jonah Chang,Chemistry
111453,Jorga Prover,Social Science
558715,Mariko Tamanoi,Anthropology
1304,Iris Firstenberg,Psychology
311785,Michael Fanselow,Psychology
111423,Robert Brenner,History
1558724,Vanessa Luke,Communication
248532,Shelby Popham,English
670467,Rhonda Hammer,Communication
2470506,Sanjhra Banks,Psychology
732968,John Agnew,Geography
736130,George Baker,Art History
777289,Alfred Bacher,Chemistry
1588666,Tamara Black,Sociology
800887,Prechaporn Suwatnodom,Engineering
909859,Marysue Heilemann,Nursing
1185089,Keith Ouellette,Mathematics
1117596,Steve Lee,Psychology
1976,Kathryn Norberg,History
588276,Peter McLaren,Education
2298,Peter Felker,Chemistry
813833,Jean-Francois Blanchette,Information Science
343292,Jerome Rabow,Sociology
610000,Christian Roberts,Not Specified
838819,Azza Basarudin,Women's Studies
796599,Alan Fiske,Anthropology
1473,Travis Longcore,Geography
1515405,Andrew Hsu,Philosophy
435516,Elizabeth Bjork,Psychology
