index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,mandatory,4.0,ECON185,"Professor Ross is engaging and passionate. His lectures are informative and relevant. I found Unstuck ai super helpful for exam prep alongside the class materials. Overall, a great course to take.",False,2024-11-21 15:40:13,3.0,B,4.0,True,True,4.0,,-1.0,0,0,1.0,1576103
1,non mandatory,1.0,ECON185,"he released the grade distribution after the ""final"". nobody got an A.",False,2024-01-05 03:57:59,5.0,Rather not say,1.0,True,False,1.0,,-1.0,0,0,,1576103
2,mandatory,3.0,BA402,Hes a very good teacher. Makes learning fun. Cracks jokes and makes the concepts easier to understand. Just keep up with the work and you should get a good grade.,False,2023-09-04 22:03:28,1.0,C,3.0,True,False,3.0,Hilarious,3.0,0,0,,1576103
3,mandatory,5.0,ECON185,"Professor Ross is really great. Very pragmatic, realistic and actually helps you prepare for the real world! I think everyone should take this class no matter your major.",False,2022-04-06 18:35:25,2.0,Audit/No Grade,5.0,True,False,5.0,Gives good feedback--Caring--Accessible outside class,-1.0,0,0,1.0,1576103
4,mandatory,5.0,ECON185,Highly recommend taking a class with Professor Ross. His lectures are very applicable to real life. His interview tips helped me land my dream internship. I can't thank him enough!,False,2022-03-29 18:03:24,1.0,A,5.0,True,False,5.0,Amazing lectures --Caring--Respected,-1.0,0,0,1.0,1576103
5,non mandatory,5.0,ECON185,"Professor Ross is one of my favorite professors at UCLA. He genuinely cares about his students, and he is so passionate about teaching and guiding students. He is down-to-earth and super approachable. If you need anything from him, he is there and ready to help. ",False,2022-03-29 15:21:06,1.0,Rather not say,5.0,True,False,5.0,Gives good feedback--Inspirational--Accessible outside class,-1.0,0,0,1.0,1576103
6,mandatory,5.0,ECON185,"The lectures are very informative, take notes!!
If your goal is to get an easy 1 unit course, you will enjoy his class because not much work is required. If your goal is to learn as much as you want to about different careers and continue your own career preparation, you will also enjoy his class because he will help you achieve just that. 
",False,2022-03-29 12:14:28,2.0,Rather not say,5.0,False,False,5.0,Amazing lectures --Gives good feedback--Inspirational,-1.0,0,1,1.0,1576103
7,mandatory,5.0,ECON185,"Professor Ross shares his extensive line of experience in financial services while giving comprehensive instructions on how to become a successful applicant. Truly inspirational, he definitely structured my outlook on my career. I recommend him to anyone who lacks resources on how to approach interviews and what industry to be involved with. ",False,2022-03-29 01:37:43,1.0,Rather not say,5.0,True,False,5.0,Amazing lectures --Inspirational--Respected,-1.0,0,1,1.0,1576103
8,,3.0,ECON185,SNOOOOOOOOOOOORE!!!!! Actually he's a great professor and makes hilarious jokes to make the concepts easier to understand,False,2021-12-24 16:53:26,1.0,,3.0,True,False,3.0,Respected--Lecture heavy,0.0,0,2,1.0,1576103
9,,4.0,ECONOMICS185,"His class inspired me to become a financial lawyer. Hes also funny, and we watched YOUTUBE and Googled lots of things!",False,2021-11-28 00:19:06,2.0,,4.0,True,False,4.0,Hilarious,0.0,0,2,1.0,1576103
10,mandatory,5.0,ECON185,"ECON185 was the most valuable class I've taken at UCLA. I wish I took it sooner because the course material is very relevant, especially for those applying for jobs/internships. You can tell Professor Ross really enjoys teaching this class and appreciates his students. I cannot recommend this course enough, so if you are debating taking it, DO IT!",False,2021-11-22 02:38:16,1.0,,5.0,True,True,5.0,Accessible outside class--Inspirational--Caring,0.0,0,1,1.0,1576103
11,mandatory,5.0,ECON185,"Stephen was an awesome professor. Although the class I took with him was extremely short and not very intense, it was very valuable and I took away a lot from his lectures. He knows so much about life and what it takes to have a successful career. During this class, he did a fantastic job sharing those experiences with us and providing advice.",False,2021-11-22 01:51:35,1.0,Not sure yet,5.0,True,True,5.0,Graded by few things--Amazing lectures--Caring,0.0,0,0,1.0,1576103
12,mandatory,5.0,ECON185,"Great guy, amazing professor!",False,2021-11-22 01:45:12,2.0,,5.0,True,True,5.0,Respected--Amazing lectures--Caring,0.0,0,0,1.0,1576103
13,,1.0,ECON185,Ok seriously the worst at talking. I usually love economics classes but jeez can this man TALK and some of the time it is not even relevant to the material we are learning about. We do weekly reflection which is just what you learned in the class and then there is a &quot;research plan&quot; worth 70% of your grade. Doesn't give out a rubric for it.,False,2021-10-24 23:30:53,5.0,Drop/Withdrawal,1.0,False,False,1.0,Graded by few things--Lecture heavy,0.0,2,1,0.0,1576103
14,mandatory,5.0,ECON185,"I took Econ 185 with Professor Ross last fall quarter. He is an amazing, well-rounded professor and his career story inspired me to get up to speed with my own career journey. Professor Ross is very knowledgeable on a vast array of financial services careers &amp; the current markets.",False,2021-08-11 19:39:38,2.0,A+,5.0,True,True,5.0,Respected--Inspirational--Amazing lectures,0.0,0,0,1.0,1576103
15,,1.0,ECON185,"This professor has yet to grade past assignments, when finally grading he leaves negative comments that aren't helpful. Has lectures, but doesn't know how to work canvas so they're hidden. For the most part does not teach but just gives you discussions and writings each week with maybe an extra assignment. Professor does not email back timely.",False,2021-07-19 05:41:14,1.0,,1.0,True,False,1.0,So many papers,5.0,2,0,0.0,1576103
16,mandatory,1.0,ECON185,"I honestly have no idea how he has such good reviews. My experience with him was AWFUL! He hates when you ask him questions. Instead of answering the question, he will always just tell you to go read the book/syllabus, even if the question is not even related to the class/book! One review on here says &quot;RUDE&quot; and I think that sums him up perfectly.",False,2021-06-27 05:41:56,5.0,Rather not say,1.0,True,False,1.0,Get ready to read--Participation matters--Tough grader,5.0,1,2,0.0,1576103
17,mandatory,5.0,ECON185,"This has been one of the most informative and constructive classes I've taken at UCLA. Not only is Professor Ross an amazing lecturer, you can also tell that he cares deeply about his students and their success during and beyond his class. I would recommend that every economics student takes this class.",False,2021-05-25 01:37:07,1.0,,5.0,True,False,5.0,Gives good feedback--Accessible outside class--Inspirational,0.0,0,0,1.0,1576103
18,,1.0,B402,He always answered your questions really rudely and never wanted to help. Don't take him!!!,False,2021-04-05 20:23:32,4.0,,1.0,True,False,1.0,,5.0,2,1,0.0,1576103
19,non mandatory,5.0,ECON185,"Steve is by far &amp; away my favorite Econ lecturer. Every student ought to take his class. Hes said teaching is his passion and I can definitely attest to his aptitude for mentoring, too. When I was struggling with a job after 2020, I reached out &amp; Steve met with me to give resume/narrative advice that helped me land a job shortly after. Great guy.",False,2021-02-11 15:18:40,1.0,A,5.0,True,False,5.0,Accessible outside class--Amazing lectures--Caring,0.0,0,0,1.0,1576103
20,mandatory,5.0,ECON188,Professor Ross is an amazing teacher! He makes it really fun and interesting to learn about practical skills for the real world from interviewing to buying real estate. Even before our first meeting he was emailing us letting us know what to prepare for. He is very organized and let's you know that attendance is mandatory.,False,2019-11-19 22:17:18,2.0,Not sure yet,5.0,True,False,5.0,Skip class? You won't pass.--Inspirational--Amazing lectures,0.0,0,0,1.0,1576103
21,mandatory,5.0,ECON188,"Professor Ross is really a great man. He is truly successful in his own career path, and share his experiences and tips selflessly with all his students to help the young people grow up to succeed in their own career life. This is the most practical class I have taken, all he taught would be useful for your future and even for your whole life.",False,2019-11-17 05:19:04,1.0,,5.0,True,False,5.0,Gives good feedback--Respected--Accessible outside class,0.0,0,0,1.0,1576103
22,mandatory,5.0,ECON185,Incredible class and incredible professor! He drives all the way from San Diego to teach this class twice a quarter and makes lectures worthwhile. I found Professor Ross very inspirational and has made me want to come out of my comfort zone and apply the advice he gives out in real life. I hope others who take this class enjoy it as much as we did!,False,2019-11-17 04:16:11,1.0,Not sure yet,5.0,True,False,5.0,Respected--Inspirational--Amazing lectures,0.0,0,0,1.0,1576103
23,mandatory,5.0,ECON188,"Prof Ross is a beast. He managed $5b worth early on his career and then continued to grow as a personal and business professional. The class is amazing and he breaks down the financial markets and also talks a lot of professional development, delving into interview and email skills. I love this man he's the best",False,2019-11-17 03:28:28,1.0,A,5.0,True,False,5.0,Gives good feedback--Respected--Accessible outside class,0.0,0,0,1.0,1576103
24,mandatory,5.0,ECON185,"He teaches real world things which are very informative, inspiring, and helpful in your career. One of the must take class for your career and success.",False,2019-11-16 23:16:31,1.0,Not sure yet,5.0,True,False,5.0,Respected--Inspirational--Amazing lectures,0.0,0,0,1.0,1576103
25,mandatory,5.0,ECON185,Make sure to take his class. You will learn a lot about finance industry. He is a great guy to know in general. He is there to help you with your future career goals. Dont graduate without taking his class.,False,2019-11-15 22:40:28,1.0,Audit/No Grade,5.0,True,False,5.0,Respected--Inspirational--Caring,0.0,0,0,1.0,1576103
