id,name,department
125690,Allen Sanderson,Economics
236282,Gerry Brady,Mathematics
107164,John MacAloon,Social Science
217504,John Mearsheimer,Political Science
125455,Ralph Austen,History
165523,Isaac Abella,Physics
162113,Richard Strier,English
128588,Viresh Rawal,Science
207833,Candace Vogler,Philosophy
819204,James Veeneman,Business
187523,John Boller,Mathematics
155451,Steve Kron,Biology
155287,Charles Cohen,Art History
194317,Lawrence McEnerney,English
235191,Stuart Gazes,Physics
206801,Lidwina Van Den Hout,Languages
488976,Laurie Butler,Chemistry
60999,Victor Lima,Economics
225576,Rosemary Zaragoza,Biology
144290,Fang-Pei Cai,Languages
260383,Michael Forster,Philosophy
220276,Jayadev Athreya,Mathematics
64867,David Archer,Science
463495,Meishan Zhao,Chemistry
96387,Charles Lipson,Political Science
233403,Stephan Palmie,Anthropology
141501,David Galenson,Economics
194329,Richard Neer,Art History
126788,Jonathan Z. Smith,Humanities
372194,Brian Prendergast,Psychology
233419,Joel Snyder,Art History
78597,Chad Cyrenne,Political Science
157614,Jennifer Cole,Not Specified
1480069,Bao Chau Ngo,Mathematics
366541,David Bradley,Psychology
1713317,Piers Nash,Biology
291107,Frank Merritt,Physics
233453,Nancy Stein,Psychology
2408214,Min Lee,Economics
563648,Richard Shweder,Anthropology
1153787,Andrew Abbott,Sociology
155284,David Smigelskis,Law
405521,Guy Alitto,History
155465,Boaz Keysar,Psychology
191462,Jim Leitzel,Economics
96409,Kenneth Warren,English
233417,James Conant,Philosophy
119807,Arnold Davidson,Philosophy
459814,Iglika Pavlova,Biology
125093,Leo Irakliotis,Computer Science
814813,Bernard Harcourt,Law
141462,Hylton White,Social Science
417031,Bernard Silberman,Political Science
132374,Dennis Hutchinson,Law
178248,Sydney Hans,Social Science
206466,Jason Merchant,Linguistics
282074,George Chauncey,History
2448623,Norbert Scherer,Chemistry
157609,Jean Comaroff,Anthropology
924372,Beatrice Fineschi,Biology
150030,Ross Stolzenberg,Sociology
461051,Steven Sibener,Chemistry
524944,Susan Goldin-Meadow,Psychology
2116367,Paul Strieleman,Biology
233420,Jean-Luc Marion,Philosophy
126789,Lucy Pick,Theology
2352450,Salikoko Mufwene,Languages
127199,Pramod Achar,Mathematics
532304,Sinan Unver,Mathematics
1145573,Amy Dru Stanley,History
132378,Constantin Fasolt,History
275397,Michael Labarbera,Biology
233386,Robert Bird,Humanities
1183155,Mark Osadjan,Biology
920298,Laura Letinsky,Fine Arts
344139,Richard Rosengarten,Religious Studies
1210636,Malitta Engstrom,Social Work
287496,Jonathan Hall,Classics
429557,Michael Silverstein,Anthropology
566090,Mark Miller,English
874330,Yau Wah,Physics
524952,Thomas Christianson,Biology
133691,Bruce Cumings,History
2465730,Haitham Ibrahim,Humanities
502972,Michael Conzen,Geography
106688,Jason Bridges,Philosophy
616139,Evangelos Kobotis,Mathematics
382086,Lina Steiner,Humanities
887628,Mike Gibbs,Economics
1126375,Hussein Agrama,Anthropology
648589,William Novak,History
874348,Woowon Kang,Physics
287511,Edward Kolb,Science
194310,Karl Freed,Chemistry
154898,Elizabeth Helsinger,English
287500,Nathan Tarcov,Political Science
260809,Bennett Bertenthal,Psychology
61002,Gary Herrigel,Political Science
419416,Madhav Nori,Mathematics
194323,Mario Santana,Languages
1548065,Scott Allard,Social Work
802607,Daniel Graupe,Engineering
1103998,Phillip Braun,Business
901692,Caroline Klivans,Computer Science
766368,Barton Schultz,Humanities
1166127,Karna Basu,Economics
1741005,Haun Saussy,Humanities
361122,Philip Bohlman,Music
1166126,Grace Tsiang,Economics
233400,John Boyer,History
234330,Jose Quintans,Biology
616145,Lawrence Zbikowski,Music
639247,Julia Kindt,Classics
2706654,David Lyons,Social Science
874176,Kelly Austin,Languages
141467,Hung Wu,Art History
863421,Tracy Weiner,Education
376700,Christina Von Nolcken,English
806613,Morrie Fred,Social Science
1266533,Peter Bondarenko,Economics
133470,Richard Jordan,Science
365561,Ariela Finkelstein,Languages
698968,William Mazzarella,Anthropology
940308,Irena Cajkova,Languages
791289,Lisa Wedeen,Political Science
125059,Sanjeevi Krishnan,Mathematics
1897715,Robert Kane,Humanities
1148135,Richard Westerman,Social Science
2267479,Ben O'Connor,Mathematics
918765,Drucilla Ronchen,Languages
1874002,Andrew Chien,Computer Science
512999,Elizabeth Clemens,Sociology
769261,Peter Dembowski,Not Specified
743421,Bruce Lincoln,Religion
814335,Robert Devendorf,English
1210836,Sarah Graff,Anthropology
141461,Mark Duggan,Economics
521237,Waldo Johnson,Social Work
619609,Tomas Philipson,Economics
1547581,Eva Strawbridge,Mathematics
1637727,Corrie Moreau,Biology
1354036,Luping YU,Chemistry
1989413,jessica darrow,Social Work
462850,Maxim Leyenson,Mathematics
585522,. Pavel,Languages
769263,Armando Maggi,Comparative Literature
951905,Dan Slater,Political Science
1272518,Alan Molumby,Biology
1860800,Rafeeq Hasan,Humanities
1538131,Geof Oppenheimer,Fine Arts
929320,Laszlo Babai,Mathematics
1120175,Moishe Postone,History
887626,Sanjay Dhar,Marketing
907446,Clifford Ando,Classics
2987308,Selma Yildirim,Mathematics
549934,Tao Pan,Biology
631462,Oren Izenberg,English
807586,Stephen Raudenbush,Sociology
444280,Daniel Brudney,Philosophy
887383,Eric Larsen,Biology
767163,Don Fette,Literature
1140836,Harold Pollack,Social Work
1798149,Michael Stein,Mathematics
1969960,Alida Bouris,Social Work
783466,Leo Strauss,Political Science
917493,Jason Riggle,Humanities
1293793,Max Whyte,Social Science
1185507,Etienne Ollion,Sociology
220279,Terence Martin,Biology
676138,Robin Valenza,English
1610848,Brian Leiter,Philosophy
626827,Edward Shaughnessy,Languages
2394943,agnes callard,Philosophy
1868037,Kristen Schilt,Sociology
616127,Richard Cohn,Music
532307,Mark Oreglia,Physics
623848,Thomas Christensen,Music
2647441,Juliano Saccomani,Languages
2844120,LeeAnn Sager-Smith,Chemistry
996167,Richard Kron,Science
921517,Saskia Sassen,Sociology
584930,Seth Richardson,Near Eastern Studies
2168135,Yali Amit,Mathematics
310233,Sidney Webster,Mathematics
483015,Ana Maria Lima,Languages
959138,David Levin,Languages
427502,Susan Schreiner,Religion
1483883,David Mazziotti,Chemistry
934352,Daniel Raeburn,English
1232995,Kevin Murphy,Business
2265996,Saeed Ghahremani,Literature
693520,Christopher Wallace,Mathematics
818803,Manfred Ruddat,Biology
856440,Aaron Turkewitz,Biology
417994,Randy Kroszner,Not Specified
882249,Antonio Montalban,Mathematics
895630,Scott Wakely,Physics
1854144,Kelli Wood,Art History
1857589,Azeem Ibrahim,International Studies
2209543,Adam Gerber,Computer Science
2260206,Indiana Jones,History
2116365,Marvin Makinen,Biology
2335438,Paul Poast,Political Science
2611640,Aritra Sen,Computer Science
2904508,Hannah Lant,Chemistry
615006,Dima Arinkin,Mathematics
942104,Sarah Van Deusen-Phillips,Social Science
915627,Hans Joas,Sociology
761532,Robert Perlman,Biology
1110768,Zbigniew Gasyna,Chemistry
1707293,Jonathan Schroeder,English
2227402,Lawrence Rothfield,English
1969961,Shipra Parikh,Social Work
1700058,Marcelo Nobrega,Biology
2233515,John Reinitz,Mathematics
1945638,Frances Ferguson,English
2562190,Oscar Pineda Catalan,Biology
2942788,Loren Saulsberry,Health Science
2505522,Chloe Ahmann,Social Science
2664449,Greg Engel,Chemistry
2670534,John Harpham,Political Science
2862767,Luc Anselin,Geography
1899925,John Abbott,History
2904506,Shaunna McCleod,Chemistry
2264851,Francis McKay,Anthropology
2078659,Paul Cheney,History
819976,Justin Sinz,Mathematics
1604764,Gary Tubb,Languages
896125,Mark Payne,Classics
1798152,Mihai Anitescu,Mathematics
1066693,Susan Gzesh,Law
694379,Chris Schaumbaum,Biology
1584570,Pinky Hota,Anthropology
1741307,Bozhi Tian,Chemistry
2195636,Nir Gadish,Mathematics
965788,Mauricio Tenorio,History
2579225,Karl Schaefer,Mathematics
2628571,Dmitry Kondrashov,Biology
2752604,Kale Davies,Mathematics
1313954,Terry Nichols Clark,Sociology
862519,Amy Kass,Humanities
959217,Julia Henly,Social Work
1413912,Ka Yee Lee,Chemistry
996166,Sheila Fitzpatrick,History
1731754,James Sallee,Economics
899551,Charles Glaser,Social Science
978590,Fred Donner,History
1233503,Luka Scala,Mathematics
1760843,Corinne Bloch,Philosophy
2248329,Shubhendu Trivedi,Computer Science
2339264,Margaret Carlyle,Humanities
571877,Dan Arnold,Religion
1009157,James Chandler,English
1590336,Theo van den Hout,Languages
935686,Bernard Wasserstein,History
1828289,Bernie Issa,Languages
706488,Michael Raine,Humanities
885120,Sonja Pieck,Geography
1147170,Alberto Simpser,Political Science
2495531,Jeffrey Cohen,Computer Science
255029,Norman Ingham,Literature
1726679,Jason Bartulis,English
2226534,Paul Holmes,Social Work
2820457,John Burrows,Social Science
313759,Stuart Kurtz,Computer Science
1811970,Todd Schuble,Geography
320011,Hudson Richard,Biology
704816,Jennifer Purtle,Art History
1608242,Richard Thaler,Business
978533,Barry Fields,Law
1870481,Pamela Martin,Geology
1218857,Kevin Hector,Religion
1276415,Neka Alexander,English
1969006,Mircea Voda,Mathematics
1986417,Bowei Zheng,Mathematics
674219,Ryon Lancaster,Sociology
2147416,David Nirenberg,History
1300324,Omri Ben-Shahar,Law
1513203,Khalil Marrar,Political Science
1620097,James Heckman,Economics
1672804,Yaroslav Gorbachov,Humanities
1709362,Suzanne Smith,Sociology
1858012,Amie Wilkinson,Mathematics
1867935,Paul Durica,English
1904100,Shan Sabri,Biology
2211470,John Carlstrom,Physics
2389706,Janet Sedlar,Languages
1543348,Ramon Gutierrez,History
2464223,Martha Haitsma,Computer Science
1505473,Kim Kenny,Languages
2116371,Daniel Casasanto,Social Science
2579224,Jessica Kirzane,Humanities
2594064,Elisabeth Moyer,Science
2613164,Henrik Matthiesen,Mathematics
2628189,Heather Keenleyside,Humanities
2321364,Bryan Dickinson,Chemistry
2664451,Anton Ford,Philosophy
2715190,Elham Mireshghi,Anthropology
2732071,Akram Bakkour,Psychology
2761702,Matthias Staisch,Political Science
2780922,Shaunna McLeod,Chemistry
2850665,Kristine Palmieri,History
2880857,Charles Cunningham,Mathematics
2918197,David Reid,Physics
3060193,Mark Stoykovich,Engineering
3062720,Duygu Tunc,Social Science
1548629,Ursula Bergstrom,Humanities
1690137,Curtis McMillen,Social Work
1750345,Haresh Sapra,Business
1803634,Beth-Anne Jacob,Social Work
1115719,Cornell Fleischer,History
1971968,Peter Hirschboeck,Mathematics
2023563,Jane Ramsey,Social Work
2167996,Lawrence Grossman,Geology
2211646,Ian Desai,English
1316016,Kevin Rock,Finance
1089381,Cecelia Watson,Humanities
1315968,Jesus Botello,Languages
1320904,Anahid Nersessian,English
2224253,Matilda Stubbs,Social Work
2629348,David Gallo,Psychology
2661121,John Wilkinson,Literature
3030418,Jingxin Wang,Medicine
2543270,Jennifer Spruill,Social Science
2669818,Lucas Culler,Mathematics
2676798,Claudia Quevedo-Webb,Languages
2773591,Rocco Rubini,Humanities
2782177,Anastasia Klimchynskaya,Humanities
2850699,Benjamin Goossen,History
2918285,Seyed Zoalroshd,Mathematics
2922736,Blue Roth,Social Work
2989816,Neringa Pukelis,Languages
3020749,Trey Clark,Women's Studies
2116369,Dario Maestripieri,Social Science
3060184,Katelyn  Butler,Biology
3060190,Erin Green,Biology
1889191,Stephen Gabel,Humanities
3060198,Oscar Galvez-Soriano,Economics
3065157,Anton  Strezhnev,Social Science
2119734,Nikita Rozenblyum,Mathematics
1756105,Abel Jeuland,Marketing
1787753,Sandra Kohler,Languages
1334259,Thomas Holt,History
1439737,Adam Green,History
1688077,Richard Hahn,Business
1457477,Waverly Deutsch,Business
1375124,Yoonsun Choi,Social Work
1662794,Barnaby Riedel,Social Science
2206044,Amgad Elgowainy,Science
1570597,Matthew Briones,History
2644522,Anjali Adukia,Economics
3029264,Graham Slater,Geology
2445495,Ada Palmer,History
2624428,Sarah Gad,Criminal Justice
2750953,Alex Ruthenburg,Science
2768344,Sliman Bensmaia,Biology
2771162,Victoria Prince,Biology
2780563,Noemie Ndiaye,Theater
2890419,Sarah Kunjummen,English
2993326,Stephen Buono,History
3016059,Samantha Riesenfeld,Biology
1651699,Linda Zerilli,Political Science
1738260,Mark Lycett,Anthropology
1180969,Nathaniel Hansen,Humanities
965790,Dain Borges,History
1963285,Cécile D'Agaro,Languages
1801567,John Bell,Computer Science
1926842,Megan  McNulty,Biology
1130624,Glynis Kaye Miller,English
2126303,Aaron Dinner,Chemistry
2139828,Nicholas Seltzer,Computer Science
2427331,Daniel Fabrycky,Physics
648587,Sam Peltzman,Economics
2633586,Melissa Novak,Social Work
2351851,Jonathan Crane,Psychology
2992998,Jonathan Miller,English
2544947,Samantha Fan,Psychology
2834076,Hsiao Wen Chen,Physics
2840336,Akira Imamoto,Biology
2854159,Liang Jiang,Engineering
2880852,Jason De Stefano,Humanities
2882501,Yamuna Krishnan ,Chemistry
2890420,Tristan Schweiger,Humanities
2926391,Rohen Shah,Economics
2985706,Xuan Wu,Mathematics
1158711,Scott Shippy,Chemistry
3060203,Nikki  Pitcher,Mathematics
2063378,Benjamin Lessing,Political Science
685668,Tom Gunning,Art History
1841240,Micaela Smith,History
833318,Yuri Tsivian,Film
2496282,Alessandra Voena,Economics
712825,Linda Ginzel,Psychology
2816967,John List,Economics
2836183,Rubina Hundal,Economics
2845044,Michael Albertus,Political Science
2918286,Minju Lee,Mathematics
2158473,William Green,Biology
1997200,Robert Soare,Mathematics
2216279,Juan Hernandez Ortiz,Engineering
2328190,Kenneth Pomeranz,History
2387076,Dana Mendelson,Mathematics
2403172,Katherine Baicker,Economics
2407426,Anna S. Mueller,Sociology
2604554,Anil Chaturvedi,Information Science
2633423,Zhang Xiaochang,Biology
2673093,Benjamin Palacios,Mathematics
