id,name,department
142827,Brett King,Psychology
91780,Joe Berta,Psychology & Neuroscience
90863,Diane Martichuski,Psychology
1700411,Andrew Chapman,Philosophy
400353,Glenda Walden,Sociology
1070613,Susan Hendrickson,Chemistry
142825,Patti Adler,Sociology
2502008,Ryan Curtis,Psychology amp Neuroscience
90921,Michael Dubson,Science
64144,Phil Graves,Economics
2594017,Asa Ashraf,Computer Science
532434,David Paradis,History
22069,Billy Mertens,Economics
2201263,Jennifer Stratford,Psychology  Neuroscience
1185431,Juliette Bourdier,French & Italian
26057,Jules Kaplan,Economics
984022,Matthew Wise,Chemistry
2066111,Jeronimo Carballo,Economics
538963,Margaret Asirvatham,Chemistry & Biochemistry
778585,Jennifer Martin,Biology
1155558,Edward Morey,Economics
1133172,Kevin Schaub,Business
2796043,Warren Sconiers,Ecology & Evolutionary Biology
1054626,Seth Hornstein,Astronomy
471876,Vanessa Baird,Political Science
2393476,Derek Sweeney,Chemical amp Biological Engin.
2010788,Murray Cox,Applied Mathematics
325647,Ernesto Acevedo-Munoz,Film Studies
1897795,Tiel Lundy,Film Studies
1740305,Heidi Bustamante,Integrative Physiology
1759866,David Allen,Integrative Physiology
832639,Kira Hall,Anthropology
461645,Nancy Guild,Biology
1319514,Sujeet Bhat,Applied Mathematics
475180,Matt Sponheimer,Anthropology
2620744,Tamar Malloy,Political Science
347139,Adam Norris,Applied Mathematics
1440892,Ricardo Stephen,Chemistry
682163,William Adams,Ecology & Evolutionary Biology
229483,Steve Chan,Political Science
719790,Andrew Cain,Classics
538996,Jeffrey Zax,Economics
1722967,Nabilah Carlon,Chemistry & Biochemistry
172048,Michael Kanner,Political Science
1818491,Christopher Ostro,Writing & Rhetoric
1906621,Noah Zikmund,Business
1923521,Christian  Hammons,Anthropology
2729507,Alexandra Le Moine,Aerospace Engineering
1889959,Jonathan Kish,Mathematics
265321,Mel Cundiff,Biology
782659,Joseph Jupille,Political Science
1998499,Christopher Carruth,Computer Science
2067426,Daniel Bolton,Physics
668090,Lori Seward,Business
1526960,David Bearce,Political Science
678316,Martin Babicz,History
2622565,Kelly Gildersleeve,Psychology & Neuroscience
1664792,Donald Lichtenstein,Marketing
1834343,Vyga Kaufman,Psychology & Neuroscience
796253,Loriliai Biernacki,Religion
1263322,Kevin McMahon,Business
1717661,Ingrid Ulbrich,Chemistry & Biochemistry
1577671,Lorna Christoff,Business
2753744,Daria Bottan,Economics
2164083,Mark Valkovci,Business
2655593,Diane Hirschhorn,Business
2520121,CJ Herman,Computer Science
1525849,Curtis Sears,Business
1100781,Mara Goldman,Geography
2083694,Kimberly Campbell,Communication
86820,Janet Degrazia,Engineering
1857370,Eleanor Hodby,Physics
2348884,Oana Luca,Chemistry & Biochemistry
923764,Watcharapong Ratisukpimol,Economics
1883183,Shaw Ketels,Psychology & Neuroscience
1851805,Donald Oest,Business
2642972,Elmer Ramos,Marketing
1714255,Patrick Greaney,Germanic/Slavic Lang & Lit
739305,Scott Bruce,History
2528709,David Lacek,Business
281105,Randy Didominico,Biology
1278573,Charles De Bartolome,Economics
429527,John Hatch,History
2827554,Marialis Franco,Astronomy
670011,Jim Lopresti,Business
90920,Dennis Van Gerven,Anthropology
2444103,Colin West,Physics
982563,David Youkey,Philosophy
1782940,Janet Donavan,Political Science
2048984,Nathan Marshall,Business
2409275,Jason Zietz,Computer Science
968477,Pieter Johnson,Biology
1569364,Charles Nuttelman,Chemical & Biological Engin.
1064668,Ira Becker,Mathematics
1702778,Bor-Yuh Chang,Computer Science
2673028,David Ikenberry,Finance
819512,Michael Barnett,Music
418885,Steven Pollock,Physics
502076,Robert Parson,Chemistry
1760427,Patrick Newberry,Mathematics
2281268,Maciej Zagrodzki,Computer Science
1732808,Robert Buchwald,Ecology & Evolutionary Biology
539021,Betsy Forrest,Atmospheric & Oceanic Sciences
281011,Ray MacFee,Business
2746251,Katherine Ramos,Engineering
429665,Scott Adler,Political Science
525305,Dirk Grunwald,Computer Science
1931114,Travis Rupp,Anthropology
477877,Beth Dusinberre,Classics
1130933,Heather Adams,Business
1639994,Michaele Ferguson,Political Science
1754424,Liane Pedersen-Gallegos,Sociology
1450607,Michael Haffey,Sociology
1487642,Janet Casagrand,Health Science
2086982,Benjamin Kultgen,Philosophy
1277753,Chad Vance,Philosophy
2940734,Shaylynn  Lesinski,Communication
2632308,Ellen Broering,Chemistry amp Biochemistry
90255,Jeremy Smith,Music
1243876,Leif Saul,Health Science
2318059,Eric Thaler,Applied Mathematics
321662,David Walba,Chemistry
809195,John O'Loughlin,Geography
1624320,Elizabeth Stapp,Business
1010568,Timothy Minger,Chemistry
154604,Tom Zeiler,History
2010017,Peter Mohr,Finance
90665,Michael Radelet,Social Science
266048,Greg Young,Political Science
400349,Kevin Manley,Mathematics
2420553,Brett King,Psychology & Neuroscience
2090998,Garrett Bredeson,Philosophy
1193497,Antonio Papuzza,Business
476663,Matthew Gerber,History
2723680,Matthew Arnold,Business
1705726,Divya Vernerey,Mathematics
90264,Matt Brown,Social Science
2130462,Michael Dubson,Physics
401542,Alejandro Spina,Mathematics
1786901,Jacqueline Richardson,Chemistry & Biochemistry
2283147,Maribeth Oscamou,Applied Mathematics
634745,Dave Brown,Political Science
964142,Bob Donchez,Finance
1987623,Chelsea Pierotti,Psychology  Neuroscience
1136176,Wafa Yacoub,Mathematics
2134428,Albert Bronstein,Mathematics
2138822,Soyeon Park,MolecularCellularDev Biology
1128006,Daniel Kaufman,Philosophy
232417,Vincent McGuire,Political Science
1098432,Najeeb Jan,Geography
1788506,Joshua Neil,Accounting & Business Law
853688,Mindy Cheval,Journalism
2171812,Ozlem Koc,Marketing
2853146,Al  Pisano,Computer Science
2688543,Robert Benim,Applied Mathematics
2347793,Jeremiah Contreras,Accounting & Business Law
843179,Michael Zizzi,Communication
2708397,Akhileshwar Khanal,Chemistry & Biochemistry
1663485,Wolfgang Keller,Economics
1080794,Lon Abbott,Geology
1099306,Rebecca Safran,Biology
2248596,Jacob Harper,Mathematics
2612558,Micah McGee,Business
2189116,Terrell Dionne,Writing  Rhetoric
1527413,Ajume Wingo,Philosophy
2585491,Carl Hager,Atmospheric & Oceanic Sciences
111013,Kishore Kulkarni,Economics
1997448,David Allen,Psychology  Neuroscience
1639608,Murat Iyigun,Economics
1788170,Jennifer Knight,Molecular/Cellular/Dev Biology
2479646,Levente Szentkiralyi,Writing amp Rhetoric
1672703,Diana Oliveras,Molecular/Cellular/Dev Biology
963549,Meredith Banasiak,Architecture
2208188,Akira Miyake,Psychology  Neuroscience
2941331,Jeff Glusman,Aerospace Engineering
503914,Delphy Shaulis,Mathematics
676423,Liam Downey,Sociology
768033,Tobin Von Der Nuell,Writing
1194455,Benjamin Robertson,English
149273,Barney Ellison,Chemistry
2526242,Supriya Naidu,Computer Science
1475789,Steve Hobbs,Not Specified
1914175,Kathryn Plath,Chemistry & Biochemistry
1340419,Marshall Smith,Sociology
1451642,Tracy Jennings,Business
1640341,David Brain,Astronomy
313030,Michael Huemer,Philosophy
817140,Hardy Fredricksmeyer,Classics
2005354,Matthew Pass,Mathematics
1195920,Doug Gin,Chemistry
1760573,Ruth Heisler,Integrative Physiology
2178636,Jamal Khlifat,Writing  Rhetoric
139224,Anne Dougherty,Mathematics
739304,Lori Hunter,Sociology
798897,Albert Alhadeff,Art & Art History
2226754,Xingzhou Yang,Mathematics
696806,Vivian Elmore,Languages
2513975,Shannon Leone,Humanities
2545940,Jennifer Schwartz,Psychology & Neuroscience
2734380,Tim Burkhardt,Philosophy
1131076,Kishen Iyengar,Business
411518,Sigman Byrd,Writing
1064023,Wahab Baouchi,Mathematics
1996394,Jason Potter,Philosophy
1997673,Megan Shannon,Political Science
1974999,Rhonda Hoenigman,Computer Science
2362614,Mark Gross,Engineering
1568754,Lisa Barlow,Geology
1618383,Eric Burger,Writing & Rhetoric
2257190,Sara Sawyer,MolecularCellularDev Biology
2617436,Arielle blum,ElecCompEnergy Engineering
1142988,Hillary Potter,Sociology
