id,name,department
317884,Thomas Abbott,Biology
1572087,Susan Herrick,Biology
782239,Eric Lundquist,Psychology
77392,Derek Johnson,Economics
749417,Adam Fry,Ecology & Evolutionary Biology
268856,Harvey Swadlow,Psychology
510075,Kathleen McLaughlin,Statistics
1072735,Stephen Stifano,Communication
447052,Fatma Selampinar,Chemistry
1488693,Anwar Beshir,Chemistry
1893189,Clyde Cady,Chemistry
2416996,Alexandra Paxton,Psychology
1028428,Amit Savkar,Mathematics
218372,Ralph McNeal,Sociology
2289120,Michael Biro,Mathematics
24810,David Miller,Psychology
351615,James Chrobak,Psychology
1874649,Owen Svalestad,Economics
1979187,Leanne Adams,Accounting
433960,Mary Bruno,Biology
1383729,Colleen Spurling,Biology
1270256,Ali Gokirmak,Electrical Engineering
296293,Harry Van Der Hulst,Linguistics
2058630,Anthony Rizzie,Mathematics
288082,Shannon Weaver,Social Science
2294487,Niluka Wasalathanthri,Chemistry
60714,Janet Watson,History
17622,Richard Kochanek,Accounting
1935411,Zhanna Pozdnyakova,Statistics
2301547,David McArdle,Mathematics
70878,Paul Bloomfield,Philosophy
521833,John Salamone,Psychology
530966,Thomas Defranco,Mathematics
2550930,Elizabeth Kline,Biology
1055767,Kari Adamsons,Human Development
1669294,Stacey Mobley,Nutrition
1922143,John Redden,Physiology
1752294,Mark Longo,Biology
1235296,Paul Tomolonis,Economics
2029663,Erin Rizzie,Mathematics
273533,Bradley Wright,Sociology
2519891,Benjamin Chilson-Parks,Geology
2636752,Remy Levin,Economics
530955,Edward Neth,Chemistry
377292,James Dixon,Psychology
2404076,Kiet Tran,Chemistry
1183135,Stephen Dyson,Political Science
424124,Ashis Basu,Chemistry
613468,Ron Sabatelli,Human Development
2754387,Lina Kloub,Computer Science
277996,Roger Travis,Classics
1072337,Bob Martel,Economics
1867882,Myron Minn-Thu-Aye,Mathematics
1836514,Fred Lee,Political Science
423216,Jeremy Pressman,Political Science
1784709,Eleanor Ouimet,Anthropology
1076846,Kevin McLaughlin,Engineering
69092,Joseph Crivello,Science
75049,David Yalof,Political Science
1196533,Delia Furtado,Economics
1643852,David Gregorio,Allied Health
2172197,Xian Wu,Physics
774346,Jeff Meunier,Computer Science
1778244,Sarira Motaref,Engineering
2394334,Adam Fry,Biology
1885088,David Daggett,Biology
1194173,Adrienne MacKi,Theater
617068,Michael Wallace,Sociology
468670,Annelie Skoog,Marine Sciences
900931,William Berentsen,Geography
564871,Amy Howell,Chemistry
2115499,Geoffrey Tanner,Biology
135430,Michael Morrell,Political Science
1743737,Sherry Zane,English
2408627,Amir Kouzehkanani,Statistics
195286,Kristine Nowak,Communication
873339,Barbara Gurr,Women's Studies
1334835,Samuel Best,Political Science
10414,Lawrence Langer,History
2583344,Tammo Reichgelt,Geology
1715701,Rhiannon Smith,Psychology
108666,Kristen Kimball,Science
218303,Kevin McBride,Anthropology
288065,Jocelyn Linnekin,Anthropology
461969,Ronald Wikholm,Chemistry
1927673,Patricia Rossi,Biology
898452,Rory McGloin,Communication
1073237,Marianne Cavanaugh,Mathematics
1477508,Nina Coppolino,Classical & Medieval Studies
656354,Oksan Bayulgen,Political Science
1085527,Mark DeAngelis,Business
951199,Nicholas Leadbeater,Chemistry
128342,Michael Smith,Chemistry
47217,Robert Smith,Fine Arts
1283262,Kimberly Bergendahl,Political Science
1135447,Richard Langlois,Economics
2190992,Ryan Cooper,Engineering
2313776,Sercan Canbolat,Political Science
2244756,Thomas Meade,Communication
1835728,Alfredo Angeles-Boza,Chemistry
1745875,Michael Miller,Communication
1806767,Xinnian Chen,Physiology
1171384,Heather Cruz,Anthropology
489617,Vicki Magley,Psychology
2735300,Jessie Fredlund,Anthropology
1516537,Kathleen Feldman,Biology
330408,Robert Cromley,Geography
827707,Keith Conrad,Mathematics
1208824,Akihiko Michimi,Geography
1840164,Diego Valente,Physics
1301616,Philip Balma,Languages
1034503,Roger Celestin,French
2372654,Katherine Hall,Mathematics
2305848,Deepak Sainju,Physics
238846,Ramesh Malla,Engineering
1071303,Matthew Singer,Political Science
893449,Jon Gajewski,Linguistics
345029,Thomas Bontly,Philosophy
497859,V. Bede Agocha,Psychology
1872843,Adrian Garcia-Sierra,"Speech, Language, & Hearing Sciences"
468934,Dean Hanink,Geography
1900503,Amy Safran,Agriculture
1845122,Matthew Hughey,Sociology
375109,Mark Spurling,Business
1686062,Marcus Rossberg,Philosophy
106056,Davita Glasberg,Social Science
736876,Morty Ortega,Agriculture
2014705,Shinae Jang,Engineering
1843429,Jon Sprouse,Linguistics
1638646,Rajeswari Kasi,Chemistry
1939161,Jeanne Thibeault,Geography
296287,Jeffrey Tollefson,Mathematics
2185089,Greg Johnson,Computer Science  Engineering
1516745,Swapna Gokhale,Computer Science
407594,Howard Epstein,Engineering
1138744,William Congero,Statistics
497864,R. Holly Fitch,Psychology
1912665,Therese Smith,computer science and electrical engineering
548590,Gregory Sotzing,Chemistry
213272,Cynthia Peterson,Physics
1191753,Peter Baldwin,History
1929997,Noga Shemer,Anthropology
1249991,Menka Jain,Physics
453456,Charles Lansing,History
47212,Thomas Seery,Chemistry
1935143,Judith Landin,Biology
953639,William Snyder,Linguistics
799136,Katharina Von Hammerstein,German
2720225,Andrea Makkay,Biology
2300307,Sumarga Suanda,Psychology
230844,Jaime Eves,History
468316,Rebecca Rumbo,Fine Arts
423220,Seth Kalichman,Psychology
2137214,John Jolly-Ballantine,Geography
1436817,Charles Venator-Santiago,Political Science
2006826,Miranda Davis,Ecology & Evolutionary Biology
223338,William Bailey,Chemistry
1774162,Bruce Cohen,English
2525133,Jacob Scoggin,computer science and electrical engineering
987526,Alexia Smith,Anthropology
2634337,Christopher Malinoski,Biology
1551406,Oskar Harmon,Economics
2087756,Emma Bojinova,Agriculture
1266259,Phoebe Godfrey,Sociology
483025,Leigh Grossman,English
3216,Nick Bellantoni,Anthropology
2135338,Paul Herrnson,Political Science
328361,Jeffrey Ladewig,Political Science
548599,Theo Kattamis,Engineering
1642620,Mike Shor,Economics
2872422,David Strimple,Computer Science
1008021,Harold Grubin,Physics
97943,Stuart Miller,Religion
1931973,Bryan Weber,Engineering
189921,Boris Sinkovic,Physics
528137,Nancy Shoemaker,History
1938534,Eugene Pinkhassik,Chemistry
612823,John Cooley,Ecology & Evolutionary Biology
744398,John Ayers,Engineering
2253649,Niraj Ghimire,Physics
720677,Robert Stephens,Music
2240512,Gaël Ung,Chemistry
1876094,Lewis Gordon,Philosophy
1936422,Maree Jaramillo,Mathematics
2756273,Umay Suanda,Psychology
1352184,Maha Darawsha,Languages
1874523,Joseph Depasquale,Chemistry
643308,Jean Givens,Art History
937834,Svetlana Kalnova,Communication
199023,Mark Peczuh,Chemistry
618010,Anne Berthelot,Languages
2938661,Kristen Kling,Psychology
200885,Fakhreddin Azimi,History
473269,Fred Carstensen,Economics
497871,Claudia Carello,Psychology
1282131,Zhijie 'Jerry Shi,Computer Science
1079347,Edna Brown,Human Development
1284812,Micki McElya,History
2869145,Justin Kratovil,Biology
2294199,Belter Ordaz,Physics
2460362,Derek Aguiar,Computer Science
1579009,Carol Atkinson-Palombo,Geography
47214,Michael Darre,Science
2182764,Anita Morzillo,Environmental Studies
2529252,Stefan Hock,Marketing
385740,Ruth Fairbanks,English
1353111,Nejat Olgac,Engineering
2590750,Osama Bilal,Engineering
1715884,Kelly Kennedy,Business
468680,Timothy Kenny,Journalism
703403,Michael Lynch,Philosophy
765734,John Reynolds,English
2644323,Kerry Gilmore,Chemistry
2691888,Emmy Karim,Statistics
1283363,Anji Seth,Geography
506859,Steven Mellor,Psychology
2450015,Karen Caldwell,Chemistry
772181,Florence Marsal,French
333949,Mary Ellen Junda,Music
1756272,Yufeng WU,Computer Science
1030258,Susan Nagel,Geology
250137,Thomas Cooke,Geography
10418,Sherri Olson,History
2170928,Wei Wei,Computer Science  Engineering
78994,Gregory Semenza,English
2133958,Concetta Chiappetta-Miller,Interdisciplinary Studies
2417653,Stefan Bronner,German
2469162,Darrell Irwin,Sociology
1266623,Andrea Calabrese,Linguistics
1788254,Frank Costigliola,History
1151889,Jennifer Terni,French
