id,name,department
1542,Jim Wingrave,Chemistry
1006154,William Harris,Economics
1427675,Dana Stewart Chatellier,Chemistry
20444,Bryan Crissinger,Mathematics
2487276,Kathryn Burke,Chemistry
716,Georgia Pyrros,Mathematics
102,Charles Link,Economics
6130,Patricia Walsh,Science
1762145,Agnes Ly,Psychology
542,Jill Neitzel,Anthropology
247195,Steven Mortenson,Communication
724,Jeff Jordan,Philosophy
508,Patrick Mwerinde,Mathematics
49826,Terrence Harvey,Computer Science
90,Alan Fox,Philosophy
102071,Susan Murphy,Business
2109,John Russ,History
1080,Andy Cottle,Music
568,Barbara Giza,Psychology
738,Anthony Seraphin,Mathematics
560,John Jebb,English
1026753,Jane Noble-Harvey,Biology
228589,Lynn Mahaffy,Biology
15444,Scott Caplan,Communication
3030,Peter M. Weil,Anthropology
3052,Mark Bambach,Business
3514,Gary Allison,Education
1493047,Alenka Hlousek-Radojcic,Biology
504,Antonio Ciro,Mathematics
432,Katherin Rogers,Philosophy
1029007,Bahira Sherif-Trask,Human Dev & Family Sciences
187752,Victor Perez,Sociology
1488,Emma Jean Joseph,Criminal Justice
5979,Ken Haas,Criminal Justice
627,Rita M. Kingery,Accounting
1935,Lawrence Cohen,Psychology
1927,Joel Pust,Philosophy
2854081,Stephanie  Kuntz,Sociology
118880,Debra Dragone,Business
14918,Marie Laberge,Women's Studies
562988,Aaron Fichtelberg,Criminal Justice
1602,Theodore Davis,Political Science
81652,Daniel Sullivan,Business
1873,Susan Cherrin,Women's Studies
311086,Robert Sikes,Biology
59331,Jason Mycoff,Political Science
122347,Allan Carlsen,Theater
94,Florence Schmieg,Biology
1575,Richard Hanley,Philosophy
1028,Michael Brook,Mathematics
466,Gerrie Prange,Mathematics
1773,Margaret Donlan,Mathematics
1762,Lawrence Duggan,History
2193347,Jens Schubert,Economics
11794,Diane Wright,Business
1774,Kathleen Turkel,Women's Studies
29150,Joel Best,Social Science
506,John Montano,History
1760508,Kristen Begosh,Psychology
1226,David Gulick,Criminal Justice
1842166,Mark Baillie,Chemistry
582,Robert Paretta,Accounting
509,Lesa Griffiths,Animal Science
2622002,Lauren Genova,Chemistry
393,Judy Celli,Languages
1318863,Cristina Bacuta,Mathematics
5925,Juliet Dee,Communication
1219010,Christopher Raymond,Mathematics
342,John Madsen,Science
483,Susan Groh,Chemistry
111,Douglas Stalker,Philosophy
1031,Rob Palkovitz,Psychology
541,Steven Skopik,Science
1780823,Oyenike Olabisi,Biology
1491,Leslie Skeen,Psychology
289556,Vincent Marra,Economics
1608,Edmunds Bunske,Geography
92,David Bellamy,Mathematics
335,Christine Ebert,Mathematics
765364,Peter Georgopulos,Physics
2775,John Burmeister,Chemistry
2443301,Brandon Stanford,Africana Studies
473541,Beth Morling,Psychology
3388,David Legates,Geography
1855310,Bruce Hietbrink,Chemistry
518,Charles Booth,Science
7203,Fatima Haq,Languages
1221,James Magee,Political Science
2103,Ellen Monk,Accounting
576,Steven Sidebotham,History
19764,Gary Laverty,Science
20611,Alan Hamant,Music
381,Lu Ann De Cunzo,Anthropology
6971,James Burns,English
3000,Ken Panda,English
701,Araya Debessay,Accounting
647405,Karen Hoober,Chemistry
1197,Spring Davidson,Accounting
570970,Micheal Frassetto,History
1273382,Geoffrey Sametz,Chemistry
1299872,Christopher Penna,English
518213,Carrie Smith,Psychology
413,Guy Alchon,History
1223238,Asima Saad Maura,Languages
2434,Kenneth Ackerman,Anthropology
2067,Eric Rise,Criminal Justice
22001,John McDonald,Biology
61915,Neil Lanctot,History
602,Bob Denemark,Political Science
1067832,Jennifer Nauen,Biology
572,Peter Roe,Anthropology
110,David Smith,Science
777789,Debra Yarrington,Computer Science
1757,Susan Shoemaker,History
322,Gordon Direnzo,Sociology
2753,Donna Budani,Anthropology
1474,Burnaby Munson,Science
1412,Michael Cotsell,English
1858480,Jacqueline Fajardo,Chemistry
771453,Katherine Dettwyler,Anthropology
645842,Linda Dion,Biology
755518,Muqtedar Khan,Political Science
1767773,Edward Hartono,Computer Information Systems
1913,Leslie Goldstein,Political Science
1506243,Maryann Eastep,Nutrition
737,Lucia Palmer,Philosophy
584816,Dianne Sisofo,Statistics
104,James Brophy,History
464,Larry Seidman,Economics
489,Flora Poindexter,Languages
874133,Charlene Hamilton,Nutrition
150140,Tammy Rossi,Mathematics
389,David Blacker,Education
8808,Krystyna Musik,Languages
19025,Edward Johanningsmeier,History
3575,Peter Rees,Geography
574,Thomas Rocek,Anthropology
1654837,Kyle McCarthy,Entomology
1603,Dan Leathers,Geography
2388,Bill Reed,Science
1747,April Veness,Geography
51156,Barbara Williams,Science
2983,Robin Andreasen,Philosophy
355854,Basia Moltchanov,Languages
2738183,Kathryn Bender,Economics
1438224,David Raden,Biology
48,Nancy Signorielli,Communication
1475,Shangyou Zhang,Mathematics
1357586,Rakesh Rakesh,Mathematics
1624656,Mark Sadowski,Mathematics
84906,Kevin Burke,English
370,William Cain,Science
6405,Rudi Matthee,History
6453,Owen White,History
1487,Betty Ann Daley,Mathematics
1452799,Michael Van Leer,Accounting
2296281,Shara Compton,Chemistry
54288,Aurelia Rio,Languages
2827,John Courtright,Communication
3031,Thomas Ilvento,Statistics
500,Raymond Wolters,History
1701222,Andrew Roosen,Computer Science
464984,Anu Sivaraman,Business
1327489,Philip Jones,Political Science
326369,Doris Manzano,Languages
3373,Patrick White,English
1485,Kelebogile Setiloane,Science
2301247,Trevor Daly,Chemistry
5650,John Bernstein,History
442673,Tricia Wachtendorf,Sociology
2402842,Austin Bart,Computer Science
1185,Gilberto Schleiniger,Mathematics
1277458,Christopher Knight,Health Science
1581514,Eric Roth,Psychology
8372,Ray Peters,English
925772,Michal Herzenstein,Marketing
549,Allan Thompson,Science
2376947,Timothy Jadick,English
710,Roberta Golinkoff,Education
718,Susan McKenna,Languages
18990,Stacie Beck,Economics
13624,Mark McLeod,History
123391,John Davies,History
8801,Arica Coleman,English
1201,Brian Ackerman,Psychology
2206324,Chris Lynch,Finance
2300885,Stefanie Devito,Biology
578,Christine Heyrman,History
2711,Devon Miller-Duggan,English
961282,Dannagal Young,Communication
522333,Ivan Sun,Criminal Justice
43848,James Butkiewicz,Economics
511160,Paul Silver,Chemistry
1132756,Karen Parker,Sociology
2480,Christine Kydd,Business
603,Burton Abrams,Economics
502,Jeff Davidson,Social Science
502235,Darryl Flaherty,History
1946870,Tamara Medina,Psychology
395215,Carlton Cooper,Biology
1940077,Don Udita Nalin Katugampola,Mathematics
2978,Carol Wong,Education
2106,Timothy Detweiler,Business
2798,Carmen Finnicum,Languages
5905,Mark Serva,Business
3154,Dean Sommers,Business
666,Daniel Green,Political Science
18331,Neal Zondlo,Science
100383,Claire McCabe,English
2418309,Eric Greska,Health Science
571,Mike Davis,Engineering
1613,Ruth Bell,Languages
1921687,Elizabeth Leavy,Mathematics
601,Kathleen Duke,English
1770,John Hurt,History
56150,Crista Johnson,Languages
72867,Dora Marin,Languages
497,Iris Busch,Languages
6867,Alice Ba,Political Science
1215705,Doug Taber,Chemistry
575,Farley Grubb,Economics
1647965,Ryan Lowe,Business
1553,Robert Hodson,Science
1484,John Crum,History
2432,Ann Bowler,Social Science
653411,Matt Doran,Psychology
1188247,Richard Hass,Psychology
27030,Paige Eager,Political Science
1877567,Huey-Jen Lin,Medical Technology
388,Liz Pemberton,Education
225091,Robert Hampel,Education
515,Joel Schneider,Science
52864,Tammy Anderson,Criminal Justice
725,Jeff Gillespie,Accounting
568635,Edward Kohut,Geology
1882160,Karen Smiley-Robinson,Anthropology
2021,Steve Hastings,Economics
2311933,Tyson Sukava,Languages
266681,Phillip Conrad,Computer Science
1574,William Meyer,Political Science
