id,name,department
53144,Mark Rush,Economics
154463,Maria Ripol,Statistics
515620,Jason Portmess,Chemistry
1827919,Oliver Grundmann,Pharmaceutical Sciences
829335,Megan Mocko,Statistics
278192,Larissa Williamson,Mathematics
2180251,Martina Sumner,Chemistry
967816,John Banko,Finance
1160821,James Charles Horvath,Chemistry
523019,Jason Kozinski,Mathematics
1363607,Jill Goslinga,Accounting
16521,David Denslow,Economics
2006202,Fergus Keatinge,Geography
580933,Shu-Jen Huang,Mathematics
320469,Kwai-Lee Chui,Mathematics
1852291,Maria Korolev,Chemistry
68431,Richard Lutz,Marketing
1935006,David Knight,Economics
8086,Micheal Moulton,Science
160390,Sherry Tornwall,Mathematics
881307,Jeff Gower,Chemistry
285115,Jeff Keaffaber,Chemistry
1864049,Lindy Archambeau,Management
586302,Willard Scott Keeran,Mathematics
732626,John Mitchell,Chemistry
2510383,Steven Harris,Chemistry
2065996,Christopher Pryor,Business
256650,Karim Asghari,Biology
108752,Robert Emerson,Business
1889472,Simon Lopez D'Sola,Chemistry
108743,Steven Noll,History
160177,Peter Dobbins,Computer Science
369254,Jane Smith,Mathematics
171485,Charles Martin,Chemistry
108720,Craig Tapley,Business
155063,Richard Nolan,Political Science
2407372,Missy Shabazz,Mathematics
1146730,Daniel Dickrell,Engineering
1361976,Joslyn Korrin Ahlgren,Science
2397231,Stephanie Stine,Statistics
93829,Richard Conley,Political Science
1805007,Nicole Gerlach,Biology
1840320,Marina Klimenko,Psychology
569566,Charles Baer,Biology
240179,Paul Ciesielski,Science
1022716,James Bonczek,Agriculture
1089773,Nicole Dorey,Psychology
2187709,Brian Cahill,Psychology
16529,Mike Weigold,Communication
23963,Eric Schwartz,Engineering
545068,Yasar Yesilcay,Mathematics
2344405,John Mendoza-Garcia,Computer Science
93833,Marty Marshall,Science
2027695,Melanie Kristina Veige,Chemistry
377482,Alan Cooke,Marketing
108700,Vaneica Young,Chemistry
84472,Anna Toth,Chemistry
704129,Martin Heesacker,Psychology
194884,Jim Vogl,Science
676941,Brian Howland,Psychology
795519,Andrew Nichols,Classics
112545,William Marsiglio,Sociology
108780,Edmund Kellerman,Communication
2035844,Jason Nowell,Mathematics
925753,Todd Palmer,Biology
2186256,Stefanie Habenicht,Chemistry
287687,Kristin Joos,Sociology
2294033,Linda Nguyen,Exercise Sport amp Health Ed
857342,James Dewey,Economics
1115560,Willard Harrison,Chemistry
2477201,Brandon Murakami,English
283894,Kathryn Williams,Chemistry
1989437,Laura Peterson,Chemistry
2525231,Patrick Carmichael,Mathematics
320747,Patrick Thompson,Information Science
235650,Patricia Sohn,Political Science
742709,Lora Levett,Criminology
1759068,Amanda Phalin,Business
582767,Renwei Mei,Engineering
2525155,Lisha Zhou,Computer Science
1818917,Ken Swan,Psychology
290858,Richard K Scher,Political Science
260209,Samuel Stafford,Political Science
2468370,Constance Rich,Biology
2367129,John Streese,Mathematics
1021346,Naibi Marinas,Astronomy
813675,Bernard O'Donnell,English
1241103,Carolyn Kelley,Women
1232252,Rebecca Baldwin,Entomology
55769,Francis Zettler,Science
108719,Richard Griggs,Psychology
1142518,Jeffrey Adler,History
24986,Dave Small,Computer Science
2296802,Cheryl Resch,Computer Science
1424318,Alper Ungor,Computer Science
588278,Jason Harrington,Mathematics
241571,Brian Ray,Business
200211,Phil Brucat,Chemistry
926857,Matthew Smith,Geological Sciences
1265869,Jennifer Clark,Agriculture
129020,Thomas Walsh,Mathematics
162010,David Julian,Biology
744455,Renee Martin-Kratzer,Journalism
2273667,Jeremiah Blanchard,Computer Science
592590,David Jenkins,Engineering
2567506,Sanethia Thomas,Computer Science
133950,Mike Foley,Journalism
1268454,Ronald Castellano,Chemistry
2508840,Stephen Adams,Mathematics
378999,Daniel O'Neill,Political Science
2588317,Ana Longo,Biology
161132,Bruce Edwards,Mathematics
1538749,Ryan Good,Geography
971260,Joachim Schantl,Chemistry
311494,Alex Angerhofer,Chemistry
232875,Rory De Simone,Computer Science
198332,Robin West,Psychology
1319730,Charles Mitchell,Theater
679452,William Gurley,Science
2393034,Joshua Fox,Computer Science
320468,John Yelton,Physics
313013,Charles McDonald,Accounting
613834,Tammy Davidson,Chemistry
2422300,Ian Manly,Mathematics
2384893,Amanpreet Kapoor,Computer Science
2644424,Stacey Ann Benjamin,Chemistry
2154909,Michael Moulton,Biology
140280,Florin Curta,History
2480521,Alex York,Mathematics
200231,Mark Tillman,Science
560012,David Oppenheimer,Biology
2556025,Andres Rubiano Acosta,Engineering
241570,William Rossi,Business
2299379,Dana Wood,Psychology
160580,Kenneth Sassaman,Anthropology
330390,Haywood Smith,Astronomy
1995522,Norman  Douglas,Biology
1514086,Kevin Knudson,Mathematics
2579947,Soohyoun Ahn,Food Science
2017540,Christina Gardner-McCune,Computer Science
470348,Joel Demski,Accounting
293266,Peter Rudnytsky,English
108921,Greg Neimeyer,Psychology
251487,Markus Schneider,Computer Science
2707592,Juhyung Lee,Statistics
293334,Mary-Anne Eaverly,Classics
2328700,Carol Demas,Mathematics
126053,Paul Avery,Physics
722217,Amy Kreppel,Political Science
553638,Amy Brownlee,Management
208518,William Dolbier,Chemistry
171174,Robert Wagman,Classics
151378,Julie Dodd,Journalism
648762,. Shrira,Psychology
1313853,Sidney Dobrin,English
857736,Charles Telesco,Astronomy
381716,Andy Zimmerman,Geology
1501545,Hazel Levy,Biology
108751,Jesse Dallery,Psychology
574261,Debbie Garvin,Accounting
2005429,Demetris Athienitis,Statistics
785414,Ashok Kumar,Engineering
196176,. Dobson,Science
2292424,Michael Schadewald,Accounting
161383,Clive Wynne,Psychology
180885,Darragh Devine,Psychology
374372,Andrey Korytov,Physics
398144,Sergei Shabanov,Mathematics
1304285,Michael Tegeder,History
847788,Badredine Arfi,Political Science
287546,Greg Ray,Philosophy
134080,William McKeen,Journalism
