id,name,department
826842,Amanda Farmer,Accounting
329531,Chris Pope,Finance
2285252,Jonathan Dees,Biology
336684,Audrey Haynes,Political Science
379982,Jason Rudbeck,Economics
95688,Stan Hopkins,Geography
2148458,Salvatore Lamarca,Computer Science
266714,Peggy Brickman,Biology
2622399,Morgan Taylor,Economics
866968,Janine Aronson,Information Systems
2274834,Sara Blankenship,Chemistry
1157165,Norris Armstrong,Biology
1001985,Brian Drake,History
1042014,Swati Bhandarkar,Accounting
636230,John Achee,Psychology
2278230,Nicholas Toebben,Statistics
1919947,Kris McWhite,Economics
639272,Trina Cyterski,Psychology
2288381,Carrie Pucko,Biology
1221498,Jason Gonzales,Anthropology
761980,Janet Frick,Psychology
2575168,Karim Jetha,Management & Info Systems
1925377,Benjamin  Cooley,Physics
553140,Kimberly Grantham,Marketing
108862,Todd Krohn,Social Science
1871418,Daphne Norton,Chemistry
153045,John Knox,Geography
2419463,Ben Ward,Economics
886320,Jack Morse,Statistics
2462988,Rupa Gokal,Chemistry
1505813,Mark Werner,Statistics
145036,Charles Atwood,Chemistry
2206210,Theodore Christensen,Accounting
230665,Richard Morrison,Chemistry
88779,Lingyun Ma,Mathematics
1749929,Michael Cotterell,Computer Science
1056445,Mark Cooney,Sociology
545714,Stephen Valdez,Music
2079083,Tricia Hackleman,Legal Studies
1969849,Jason Gonzalez,Anthropology
896663,Kathrin Stanger-Hall,Biology
2285767,Jeffrey Glas,Political Science
664665,Richard Hubbard,Chemistry
2184243,Joel Caughran,Chemistry
457263,Miljenko Zabcic,Mathematics
1024452,Brad Barnes,Computer Science
2563910,Kacy Morris,Psychology
474967,Roy Segars,Mathematics
928306,Nik Heynen,Geography
2201494,Brian Kiepper,Agriculture
2192982,Alexa Bankert,Political Science
657272,John Nicholson,Classics
2222471,Suzanne Ellenberger,Chemistry
1629650,Martina Sumner,Chemistry
1389129,Nuño Castellanos,Spanish
188881,Gregory Robinson,Chemistry
1642606,Jennifer Rice,Geography
138584,Adam Goodie,Psychology
715233,Kacy Welsh,Psychology
1284432,Nathan Camp,English
1723451,Michael Klipper,Mathematics
264721,Susan Whitehead,Mathematics
1177818,Mary Wolf,History
2612637,Jason Epstein,Business
209450,Jim Coverdill,Sociology
1015308,Diann Moorman,Economics
2922807,Robert  Kaminski,Economics
708379,Bram Tucker,Anthropology
2510411,Christopher Elcik,Geography
1881034,Leah Carmichael,International Affairs
238258,Allison Arnold,Mathematics
204755,Bobby Stanton,Chemistry
2011553,Tho Nguyen,Physics
1997253,Charles Lyons,Management
2172405,Catherine Case,Statistics
1158326,Melissa Landers-Potts,Family & Consumer Science
2102246,Harshani Rathnaweera,Chemistry
2365820,Jill Beyette,Biology
209452,Michael Winship,History
2682537,William Ellenberger,Chemistry
1766934,David Porinchu,Geography
664533,Mike Yoder,Engineering
1758685,Scott Connelly,Ecology & Evolutionary Biology
107568,Loris Magnani,Science
2843745,Andrew Walgren,History
2245779,Montgomery Wolf,History
410613,William Barstow,Biology
2535198,Anna Rogers,Sociology
1143620,Mark Farmer,Biology
1196556,Anthony Madonna,Political Science
303793,Steven Casadont,Spanish
2516301,Nandana Weliweriya Liyanage,Physics
1897620,Erik Miller,Mathematics
2295184,Matt Roessing,Legal Studies
1899426,Michael Lynch,Political Science
593395,Claudio Saunt,History
236102,Paul Gurian,Political Science
990677,Elena Sarmiento,Spanish
2000215,Hee Jung Kim,Mathematics
834337,Amy Ross,Geography
100215,Andrew Grundstein,Geography
553133,Paul Holmes,Statistics
2167022,Eman Saleh,Computer Science
2467225,Maduranga Dassanayake,Statistics
1955255,Brittany  Bramlett,Political Science
2193592,Jacob Hicks,Mathematics
1073217,Andrei Galiautdinov,Physics
759020,Fuad Elhage,Spanish
842448,Katherine McClain,Economics
1948874,Bill Hollingsworth,Computer Science
1627663,Anthony Galli,English
511970,Scott Ainsworth,Political Science
2257929,Mickey Dunlap,Statistics
2395684,Daniel Brown,Management
613564,Bruce Railsback,Geology
2630419,Danielle Riebe,Anthropology
623895,Maurice Hendon,Mathematics
660650,Fausto Sarmiento,Geography
2824388,Chad Hugie,Accounting
220123,Charles Bullock,Political Science
2826750,Andrew Miller,Management & Info Systems
380180,Barbara Cooper,Italian
370858,Natalia Alexeev,Mathematics
1665062,Jodie Lyon,Religion
2198186,Toyin Alli,Mathematics
95692,Mark Huber,Business
2030409,Siddharth  Savadatti,Engineering
467678,Elizabeth Brient,Philosophy
1167457,Ruth Verdolin,Spanish
2717715,Morgan Meyers,Biology
2816579,Simoon Cannon,Management
2438218,Alex Asay,Philosophy
1184640,Tom McGahee,Economics
2924893,Sami Menik,Computer Science
2641206,Jessica Jensen,Chemistry
2843269,Lynn Guhde,Management
2211185,Krista Capps,Ecology  Evolutionary Biology
466744,Aaron Gentry,Mathematics
1220941,Michelle Vandellen,Psychology
1420113,Catherine White,Pharmaceutical Sciences
1465380,Stephen Brooks,English
2279043,Wenjian Du,Chemistry
1068683,Anne Marie Zimeri,Health Science
432276,Phil Bergonio,Mathematics
1086436,Joshua Hussey,English
