id,name,department
162163,Alan Molumby,Biological Sciences
75695,Audrey Hammerich,Chemistry
987897,Greg Jursich,Chemistry
707014,Evangelos Kobotis,Mathematics
331332,Michael Miller,Management
334279,Michael Muller,Biological Sciences
189167,Timothy (Tim) Doyle,Mathematics
644519,John Sparks,Information Science
289752,Michael Popowits,Accounting
331331,Peter Thompson,Management
1558642,Karin Nelson,Biological Sciences
614263,Robert Paul Malchow,Biological Sciences
2047444,Ewa Stec,Chemistry
646652,Sandra Gibbons,Biological Sciences
1233589,Jakob Eriksson,Computer Science
391555,Lawrence Officer,Economics
193613,Paul Young,Chemistry
522489,Greg Matoesian,Criminal Justice
1169303,Neil Miranda,Chemistry
828932,Melita Balch,Chemistry
171123,Dale Reed,Computer Science
2058329,Sherwin Moñtano,Chemistry
850462,Kate Warpeha,Biological Sciences
614412,Karina Reyes,Psychology
171128,John Lillis,Computer Science
596345,Edward Sargis,Psychology
58187,Brian Leventhal,Accounting
171125,John Bell,Computer Science
128760,Jie Wang,Business
395902,Abel Galvan,Accounting
992092,David Cabrera,Mathematics
515819,Mike Newirth,English
1170408,Andrew Shulman,Mathematics
2059578,Christopher Baker,Psychology
469125,Robert Bruhl,Political Science
845259,William Rauscher,Economics
2744086,Ellen Kidane,Computer Science
2283856,Gonzalo Bello Lander,Computer Science
974208,Maria V. Yermolina,Chemistry
367383,Calvin Kafka,Mathematics
297361,Mitchell Theys,Computer Science
331327,Yehia Salama,Accounting
1525415,William Modey,Chemistry
2409118,Shavila Devi,Mathematics
518948,Daniel Cervone,Psychology
163287,Roy Lowman,Mathematics
225785,Aixa Alfonso,Biological Sciences
2419893,Shanon Reckinger,Computer Science
198800,Ali Akarca,Economics
815013,George A. Papadantonakis,Chemistry
1913535,Matt Motyl,Psychology
1032868,Philip Jenks,English
243919,Bill Kohler,Business
1230029,Bill McCarty,Criminal Justice
949536,Dale Embers,Mathematics
1624640,Ginevra Clark,Chemistry
318708,Ronald Pavone,Psychology
163282,Mary Brown,Finance
2057328,Andrea Bassett,Biological Sciences
2190496,Mohammad Islam,Chemistry
2554083,Alexandra Daemicke,Movement Sciences
1301329,Vahe Caliskan,Electrical Engineering
1626131,Ozgur Arslan Ayaydin,Finance
504098,Todd Sherfinski,English
1634782,Rita Hatfield,Biological Sciences
1170572,Mark Grechanik,Computer Science
391549,Lia Liu,Mathematics
2492913,Barbara Fuzesi,Finance
2399112,Victor Protsak,Mathematics
1728387,Joseph E. Hummel,Computer Science
1864330,Stefany Sit,Earth Science
270485,Richard Potter,Business
437322,Gary Noll,Psychology
2422657,Tomer Kanan,Kinesiology
1241268,Jonathan Abarbanel,Theater
171127,Pat Troy,Engineering
2052052,Lianne  Schroeder,Chemistry
610067,Marc Baez,English
1391084,Elbio Barilari,Music
2075222,William O'Brien,Finance
2417720,Evan McCarty,Computer Science
1744750,Jing Chen,Psychology
2408356,Anita Kursell,Mathematics
290795,Stephen Kelso,Biological Sciences
742619,Saeed Manafzadeh,Mechanical Engineering
1362158,Adrian Barkan,Physics
567895,Doug Lundquist,Information Science
1211079,Ben Klaff,Mathematics
1197620,Albert Bronstein,Mathematics
1382187,Vincent Lamotta,Anthropology
1011203,Katherine Noll,Psychology
2008733,John Steenbergen,Mathematics
554000,David Stone,Biological Sciences
2628078,Adam Koehler,Computer Science
1941758,Eric Leshikar,Psychology
198797,James Sack,History
518935,David McKirnan,Psychology
566199,Jon Solworth,Computer Science
781051,James Drown,English
601677,Jane Marone,Movement Sciences
614416,Susan Morriss,Psychology
145336,Rebecca Lind,Communication
603727,Evan McKenzie,Political Science
766213,Scott Grunow,English
2519084,Will Ash,Mathematics
1053088,Evelyn Behar,Psychology
1801474,Unsal Ozdogru,Information Science
318801,William Ford,English
561814,Jonathan Daly,History
318702,Matthew Lippman,Criminal Justice
163306,Aris Ouksel,Business
336924,David Baughman,Mathematics
682985,Marla Weeg,English
761330,Hans Goeckner,Physics
606755,John Tauras,Economics
909907,Tom Driver,Chemistry
2328395,Vinoadharen Nair Das,Psychology
945815,Jennifer Lewis,English
307662,Dennis Nyberg,Biological Sciences
994321,Ronald Dubreuil,Biological Sciences
2467103,Rabia Sipahi,Finance
311253,John Casey,English
1495731,John Abbott,History
535388,Julian Dias,Mathematics
872786,Chad Landrie,Chemistry
738730,Maria Iusco,Italian
739991,Randall Espinoza,Physics
868367,Mitchell Roitman,Psychology
357420,Andrew Young,English
617724,Bob Widing,Science
367260,David Koehler,Marketing
835683,Jay B. Shearer,English
2756390,Behzod Ahundjanov,Economics
10509,Charles King,Marketing
319140,Helen Marie Roe,Accounting
2369221,Mark Hallenbeck,Computer Science
163276,Milan Velebit,Business
243924,Mary Rice,Mathematics
93501,Marsha Cassidy,English
335320,Brian Bauer,Anthropology
756965,Mary Hibbeler,English
557604,Robin Petrovic,English
1740999,Lindsey McQuade,Chemistry
303957,Kevin Lyles,Political Science
196084,Evelyn Lehrer,Economics
2100478,Martina Bode,Mathematics
2436993,Scott Reckinger,Industrial Engineering
286586,Rosa Brink,Spanish
1943219,Rita Hatfield,Chemistry
717545,Michael Ragozzino,Psychology
2335901,Stephen Linn,Biological Sciences
2043256,Jenny  Ross,Mathematics
643536,Anthony Corte,Business Administration
503047,Clive Halliwell,Physics
1197927,Hai Tao Huang,Music
1604311,Julie B. Koidin,Music
1940704,Justin Mohr,Chemistry
294979,Kathy Rizzo,Anthropology
2295580,Andrew Malone,Earth Science
1442344,Sabrina Pasztor,Communication
1182500,Kim Fitzgerald,Electrical Engineering
1609495,Mike Stieff,Chemistry
1993786,Claudio Ugalde,Physics
610657,Lee Marek,Chemistry
2431930,Alycia McNamara,Mathematics
1757114,Katharine Floros,Political Science
2238383,Tatiana Zabotina,Finance
524211,Kathryn Engel,Psychology
1867984,Jordan Kamps,Music
2540417,Yuliya Demyanyk,Finance
225780,Donald Morrison,Biological Sciences
761431,Olga S. Kashcheyeva,Mathematics
1314618,Elizabeth Cohen,Mathematics
1092704,Margie Cepon,Economics
909918,Leslie Fung,Chemistry
505932,Vladimir Goncharoff,Engineering
2201682,Emil Tripa,Chemistry
739701,Petr Kral,Chemistry
527545,Chris Glomski,English
874979,Martin Newcomb,Chemistry
1194129,Daesung Lee,Chemistry
157641,Donald Wink,Chemistry
689553,Scott Johnson,English
199055,Nancy Dassoff,Psychology
924852,Paul Gitendra,Chemistry
373333,David Diego Rodriguez,Spanish
1019480,David Featherstone,Biological Sciences
2113664,Peter Okkema,Biological Sciences
949883,Fred Thulin,Mathematics
2177661,Ankur Saxena,Biological Sciences
2408565,Vi Diep,Mathematics
1937164,Anne Magi,Marketing
434492,Robert Romeo,English
2580783,Diana Diaz,Computer Science
2469062,Jocelyn Leitzinger,Management
1696027,Ahmed Lakhani,Chemistry
752207,Virginia Costello,English
771521,Mustapha Kamal,Arabic
1747269,Sang Young Yun,Chemistry
1785872,Mariam Babiker,Arabic
888132,Helen Roberts,Economics
2407201,Gilberto Simpson,Mathematics
1864610,Tomas Stahl,Psychology
985445,Karen Ros,Classics
96388,Robert Munman,Fine Arts
198795,John Monaghan,Anthropology
1093148,Kirsten A. Straughan,Health Science
354451,Xiaoqing Hu,Finance
2432753,Simona Narubin,Engineering
1750339,Cheryl Cohen,Psychology
1777785,Constance Jeffery,Biological Sciences
481700,David Hofman,Physics
765030,Maryanne Lyons,English
1013069,Mary Ashley,Biological Sciences
1309175,Angela Dancey,English
2078066,Mark Magoon,English
821711,Jeffrey Gore,English
2101833,McCarty William,Criminal Justice
613894,Mike Levine,Psychology
883394,Patrick Knight,Anthropology
919913,Anna Gasienica-Byrcyn,Languages
909915,Preston Snee,Chemistry
551865,Nikki Cox,English
1815005,Eric Gobel,Psychology
1222231,Diem-My Bui,Communication
976582,Renata Tarasievich,Management
548683,Stellan Ohlsson,Psychology
1566007,Chris Bryson,English
669850,Bruce Stone,English
1405140,Eduard Karpov,Civil Engineering
100735,Anthony Graham-White,Theater
383565,Lynette Jackson,Women's Studies
1929984,Richard Dejonghe,Physics
2848591,Alexander Effinger,Management
167863,Cynthia Jameson,Chemistry
243794,Georgios Karras,Business
909917,Duncan Wardrop,Chemistry
1934194,Som Ale,Biological Sciences
309263,James Danowski,Communication
586883,Gayatri Reddy,Women's Studies
1035023,John Whipple,Philosophy
1076028,Kevin Schultz,History
1795180,Javaeria Qureshi,Economics
269536,Mary Lou Bariether,Kinesiology
128759,Anthony Pagano,Business
2002850,Kheir Al-Kodmany,Urban Planning
728659,Ugo Buy,Computer Science
578762,Garin Cycholl,English
622880,W . J. Minkowycz,Mechanical Engineering
2514670,Thomas Healy,Finance
2291923,Julie Chen,Psychology
1093390,Kelly Quinn,Communication
829807,Miquel Gonzalez-Meler,Biological Sciences
1818777,Chris Kanich,Computer Science
2123030,Andrew Lewis,Music
191967,Robin Grey,English
192283,Georgette Sinkler,Philosophy
1863766,James Cooper,Management
338437,Alan Kershaw,Latin
58186,Stanley Waite,Business
466884,Mohsen Issa,Civil Engineering
235561,Scott Shippy,Chemistry
1672918,Torica Webb,Education
904843,Whan Choi,Political Science
100740,John Jones,Communication
881222,Vitali Metlushko,Electrical Engineering
1350315,Jennifer Rupert,Women's Studies
1816488,Heather Doble,English
