id,name,department
381154,Bradley Mehrtens,Biology
157386,Tom Hummel,Chemistry
1876600,Karle Flanagan,Statistics
1569137,Kelly Marville,Chemistry
492019,Jose Vazquez,Economics
24428,Susan Curtis,Accounting
896427,Christian Ray,Chemistry
391978,Colleen Schultz,Economics
1633738,Javid Validashti,Mathematics
1369371,Bob Murphy,Mathematics
776819,Alexey Stepanov,Statistics
24429,Michael Dyer,Business
1665735,Tina Huang,Chemistry
94792,Ellen Fireman,Mathematics
2327680,Geoffrey Challen,Computer Science
215723,Joseph Petry,Economics
992806,Eric Snodgrass,Science
774129,Ben Clegg,Biology
2320708,Toni Gist,Food Science
176914,Werner Baer,Economics
1743688,Isaac Dilanni,Economics
2275634,Mutha Gunasekera,Chemistry
133576,Stephen Altaner,Geology
57225,Timothy (Tim) Stelzer,Physics
1620627,Mark Wolters,Business
122806,Thomas Gambill,Computer Science
529888,Aldo Manfroi,Mathematics
1251256,Julia Shapland,Accounting
703564,Thomas Carty,Mathematics
295309,Joseph Hinchliffe,Political Science
1117293,Lawrence Angrave,Computer Science
2685082,Michael Nowak,Computer Science
835709,Jon Solomon,Classics
2036750,Rosemary Guzman,Mathematics
94797,Christine Yerkes,Science
124038,Tom Srull,Psychology
1907208,Lena Folwaczny,Mathematics
2598020,Anu Aggarwal,Electrical & Computer Engineering
227828,Don Decoste,Chemistry
477677,Gretchen Adams,Chemistry
155844,Steven Hall,Business
683382,Judith Pintar,Sociology
209729,Kim Whittlesey,Mathematics
257568,Richard Sowers,Mathematics
1182061,Stephen Runkle,English
2442487,Abdussalam Alawini,Computer Science
877830,Craig Zilles,Computer Science
934237,Bryan Dunne,Astronomy
898556,Hassan Arvin-Rad,Economics
1926164,Bryan Buckley,Economics
1926592,Andino Martinez,Chemistry
511007,Cinda Heeren,Computer Science
2138306,Justin Pettijohn,Geology
936282,Jared Bronski,Mathematics
2249882,Jordan Axelson,Chemistry
273579,Richard Keane,Engineering
2596586,Albert Yu,Statistics
1997907,Aron Barbey,Speech  Hearing Sciences
1415492,Brian Quick,Communication
616271,Farhad Malekafzali,Political Science
161131,Tom Finnegan,Accounting
2773354,Matthew Russell,Mathematics
157210,Mats Selen,Physics
90858,Steven Seitz,Political Science
1712757,Gabriele La Nave,Mathematics
209542,Geoffery Love,Business
2369,Sid Slobodnik,English
1559748,Jeffrey Frame,Earth Science
255862,Michael Stewart,Geology
2055763,Michael  Koerner,Chemistry
474491,Helaine Silverman,Anthropology
2299023,Sarka Petrickova,Mathematics
577900,Susan Tolman,Mathematics
2342487,Iftikhar Ahmed,Mathematics
2515016,Ramses Armendariz,Economics
2014425,April Hoffmeister ,Mathematics
