id,name,department
87164,Shaun Vecera,Psychology
410991,Blake Whitten,Business
100975,Matt Bognar,Statistics
37264,Jay Holstein,Theology
13778,Brian Lai,Political Science
1282120,Denise Szecsei,Mathematics
44781,Michael Lovaglia,Social Science
598087,Amy Strathman,Chemistry
1446547,Sarah Frank,Economics
536433,Russell Larsen,Chemistry
203712,Victor Camillo,Mathematics
413375,Ned Bowden,Chemistry
604521,Steve Duck,Communication
343454,Yvonne Galusha,Business
204155,Richard Baker,Mathematics
889543,Ines Z Curto,Computer Science
1209830,Jennifer Fuhrman,Economics
2067775,Sergii Bezuglyi,Mathematics
250375,Kelly Kadera,Political Science
1315907,Amy Fletcher,Physical Education
137919,Erin Irish,Science
644510,Claire Pavlik,Geography
193305,John Solow,Economics
120174,Mitchell Kelly,Education
907840,Peter Blanchard,Mathematics
319332,Christopher Brochu,Earth & Environmental Sciences
844368,Madlena Tomova,Mathematics
2187981,Michaela Ruppert,Criminal Justice
89089,Diane Jeske,Philosophy
918279,Olga Sokratova,Mathematics
2128697,Jennifer Haylett,Sociology
2027238,Kelli Taeger,Physiology
317364,David Collins,Marketing
2071649,Colin Kostelecky,Rhetoric
131240,Juan Gatica,Mathematics
1173471,David Cunning,Philosophy
79991,Richard Fumerton,Philosophy
349895,Consuelo Guayara,Geography
1204196,Julie Gros-Louis,Psychology
2207749,Adam Brummett,Chemistry
877070,Shawn Flanagan,Physiology
261009,Frank Durham,Communication
76384,John Nelson,Political Science
609899,Alberto Segre,Computer Science
192080,Douglas Jones,Computer Science
1840806,Lavinia Ciungu,Mathematics
317356,Thomas Carroll,Accounting
120181,Ralph Keen,Theology
1260591,Stacey Brook,Economics
494312,Jeffrey Dorale,Geology
1566828,Xiaoyi Zhang,Mathematics
546347,Suely Oliveira,Computer Science
585872,Frank Weirich,Science
2131482,Rebecca Laird,Chemistry
1037029,Mary Knudson,Economics
1708064,Eean Crawford,Management
311115,Yangbo Ye,Mathematics
1802341,Frederick Solt,Political Science
56467,Cary Covington,Political Science
1335913,Anton Kruger,Engineering
987074,Mouna Maalouf,Chemistry
1819290,Julianna Pacheco,Political Science
322000,Ahmed Souaiaia,Humanities
1730507,Eric Tate,Geography
514175,Christopher Cheatum,Chemistry
76383,Timothy Hagle,Political Science
2432293,Matthew Helm,English
2301718,Debra Trusty,Classics
536744,Lihe Wang,Mathematics
1289205,Robert Thunhorst,Psychology
1054036,Nancy Abram,Marketing
321200,Kathleen Andersen,Science
644493,Bryant McAllister,Biology
363905,Douglas Dion,Political Science
2285874,Steven Stong,Economics
378851,Prahlad Gupta,Psychology
1365121,Rob Rouwenhorst,Marketing
137912,Jeffrey Denburg,Science
900982,Ugur Akgun,Physics & Astronomy
2107736,Lisa Dutchik,Accounting
312069,Keith Stroyan,Mathematics
1184939,Heidi Dybevik,Finance
644861,Mark Holbrook,Biology
356271,William Jennings,Rhetoric
261630,Nick Yablon,History
317004,Jay Christensen-Szalanski,Management
1063864,Joseph Steinitz,English
2621761,Aaron Schneider,Health amp Human Physiology
241057,Steven Spangler,Science
318368,Irina Kostina,Languages
1199692,Ray Fagenbaum,Health Science
130988,Russel Ciochon,Anthropology
197395,Mark Andersland,Engineering
369988,Ralph Russo,Statistics
269218,Sriram Pemmaraju,Computer Science
306752,Doris Eckey,Chemistry
317600,Mary Russo,Information Science
2686574,Amr El Zawily,Biology
782687,Robert Ankenmann,Mathematics
2634838,Kory Stiffler,Physics & Astronomy
1503976,Tracy Osborn,Political Science
1230146,Kenneth Mason,Biology
322291,Joseph Sulentic,Business
516679,Ron Erickson,Chemistry
1822938,Caroline Tolbert,Political Science
260811,Christopher Roy,Art History
1713610,Keiko Kawamuro,Mathematics
618908,Isabel K. Darcy,Mathematics
754533,Lisa Segre,Psychology
1619880,Natalia Alexeeva,Chemistry
1931113,Elke Heckner,Languages
2194886,Kate Tierney,Earth  Environmental Sciences
320580,Charles Newsom,Physics & Astronomy
320637,Rosemary Moore,History
2530532,Alex Liebrecht,Statistics & Actuarial Science
422217,Patrick Dolan,English
398752,Meena Khandelwa,Anthropology
317405,Raman Aravamudhan,Computer Science
2103856,Andrew Hosmanek,Management
320463,Lon Moeller,Business
