id,name,department
2036885,Michael Galczynski,Engineering
726068,Bonnie Dixon,Chemistry
1184662,Michael Keller,Biology
1901968,Lenea Stocker,Chemistry
1098726,Tim Pilachowski,Mathematics
313062,Fawzi Emad,Computer Science
589757,John Neri,Economics
1055530,Lee Friedman,Chemistry
487449,Erich Studer-Ellis,Business
544718,Larry Herman,Computer Science
1510248,Raluca Rosca,Mathematics
268534,Nelson Padua-Perez,Computer Science
1675567,Dylan Selterman,Psychology
414353,Justin Wyss-Gallifent,Mathematics
734688,Jeff Miller,Business
2390,Frances Gulick,Mathematics
175636,Evan Golub,Computer Science
1969410,Monique Koppel,Chemistry
2363278,Gorkem (GT) Ozer,Business
1657,David Hamilton,Mathematics
2512289,Christiana Guest,Chemistry
254077,Howard Smead,History
1516376,Tracy Tomlinson,Psychology
1966387,Robert Chiles,History
2021525,Elizabeth Griffith,Chemistry
875584,Alice Mignerey,Chemistry
409075,John Pease,Sociology
2178999,Justine Madoo,Criminal Justice
1226823,James Green,Engineering
241995,Thomas Capo,Psychology
2174671,Dirk Parham,Psychology
94466,Kevin Murnane,Psychology
1180560,Progyan Basu,Accounting
2431313,Matthew Griffin,Mathematics
1965704,Erin Moody,Economics
2205764,Hossein Abbasi,Economics
966003,Manouchehr Mokhtari,Family Studies
521903,Arnett Gaston,Criminal Justice
2181027,Kendall Williams,Mathematics
176679,Laure Brooks,Criminal Justice
17859,Barry Smith,Psychology
2353045,Amanda Schech,Chemistry
806047,Justicia Opoku,Biology
1996068,Martina Copelman,Economics
2075608,Nathaniel Manning,Mathematics
464124,Anne Simon,Biology
1393596,Tammatha O'Brien,Biology
884814,Ronald Luna,Geography
1953628,Keith Yearwood,Geography
464649,Denny Gulick,Mathematics
1618933,Brad Sanders,Mathematics
1749650,Steve Stakland,Education
306995,John Ondov,Chemistry
1281909,Dorith Grant-Wisdom,Government
2069831,Zeinab Karake,Business
826219,Tracey Centorbi,Geology
775272,Cortney Fisher,Criminal Justice
2437739,Kyle Dorsey,Criminal Justice
484351,Marcia Shofner,Biology
1662768,Michael Ross,History
2433115,Benjamin Baker,English
1974802,Leo Shapiro,Biology
649409,Patricia Shields,Biology
583806,Reid Compton,Biology
2596666,Swarna Mohan,Biology
752369,Robert Jackson,Nutrition & Foods
2079002,Steven Chadwick,Mathematics
2422452,Pedro Bueno,Chemistry
1540210,Ryan Curtis,Psychology
2216415,Archana Khurana,Mathematics
727586,Gary Bulmash,Accounting
2360671,Louisa Wu,Biology
2086062,Pedram  Sadeghian,Computer Science
2327417,Ilchul Yoon,Computer Science
451388,Thomas Murphy,Chemistry
2177506,Jason Filippou,Computer Science
626001,M. Montague-Smith,Chemistry
216143,John Auchard,English
20289,Robert Schwab,Economics
2015909, Stefania Scandizzo,Economics
2203030,Kimberly Paczolt,Biology
490068,Tom Beigel,Engineering
915149,Thomas Holtz,Geology
544717,Clyde Kruskal,Computer Science
944202,Rex Weil,Art
2348749,Shawn Janzen,Information Science
2513112,Matthew Thum,Chemistry
2049101,Soumya Rastogi,Chemistry
948637,David Yager,Psychology
1978290,Roohollah Ebrahimian,Mathematics
647642,Linda Coleman,English
940293,Richard Bell,History
1141851,Alan Peel,Physics
1424196,Naveen Sarna,Economics
846823,Russ Hamill,Criminal Justice
2557601,Mestiyage Gunatilleka,Mathematics
2622115,Kevin Tu,Biology
873409,Edgar Moctezuma,Biology
344375,Lois Vietri,Political Science
746880,Dennis O'Connor,Biology
1782244,John Buchner,Microbiology
494902,Susan Hubbard,Communication
1866975,Daniel Swann,Sociology
1119852,Jason Nichols,African-American Studies
201902,Michael Olmert,English
1782896,David Brookshire,English Language & Literature
