id,name,department
203815,John Bickford,Psychology
77120,Randall Phillis,Biology
1621419,Laura Francis,Biology
192549,Joanna Jeneralczuk,Mathematics
1617241,Chris McDaniel,Chemistry
47704,Sut Jhally,Communication
887526,Catherine Benincasa,Mathematics
837070,Catherine Lowry,Accounting
1918813,Caleb Rounds,Biology
2385263,Albert Assaf,Hospitality & Tourism
752484,Adena Calden,Mathematics
385698,Tamara Rahhal,Psychology
287874,Peter Houlihan,Biology
83019,Jeffrey Beaulieu,Mathematics
82675,Gerald Friedman,Economics
92488,Brian Burrell,Mathematics
83082,Richard Halgin,Psychology
7541,Justin Fermann,Chemistry
1847647,Hans Mentzen,Chemistry
2118960,Sravan Surampudi,Chemistry
1661417,Lara Al-Hariri,Chemistry
59327,Pamela Trafford,Accounting
1412623,Nathan Schnarr,Chemistry
227364,Heath Hatch,Physics
101901,Patrick Dolenc,Economics
84404,Arunas Rudvalis,Mathematics
82618,William Verts II,Computer Science
545173,Hans Johnston,Mathematics
92458,Nelson Lacey,Business
2416008,Marius Minea,Computer Science
83243,Thurlow Cook,Mathematics
98567,Beatrice Botch,Chemistry
841483,Wilmore Webley,Microbiology
1619359,Mitchell Walkowicz,Microbiology
77072,Susan Whitbourne,Psychology
102012,Valerie Voorheis,Economics
92516,Judith Goodenough,Biology
82779,Russell Janis,Economics
82439,Marios Philippides,Classics
83040,Patricia Bianconi,Chemistry
193928,Martha Yoder,Honors
1760754,Lori Astheimer Best,Psychology
191694,Laurie Salame,Business
1325070,Claire Norton,Nutrition
2182132,Xueying Qin,Chemistry
84356,Mzamo Mangaliso,Business
83050,Roberto Alejandro,Political Science
191977,Donald Katzner,Economics
101369,Orhan Akisik,Accounting
64862,Robert Dow,Honors
88142,Gary Snyder,Chemistry
100144,Daniel Gerber,Medicine
59525,David Adams,Computer Science
935860,Anthony Tuck,Classics
82723,David Barrington,Computer Science
2010156,Timothy Pachirat,Political Science
1552014,Erik Cheries,Psychology
82760,Brian Emond,Mathematics
92440,Amir Kouzehkanani,Management
2176331,Nora Junaid,Business
2409689,Danielle Samuels,Psychology
79172,Thomas Whelan,Chemistry
81706,Fred Feldman,Philosophy
305006,Zane Barlow,Biology
2086611,Brokk Toggerson,Physics
2936075,Mark Wilson,Computer Science
99943,Raymond La Raja,Political Science
83187,Walter Denny,Fine Arts
83087,Mark Huyler,Animal Science
1694321,Christiane Meyer Healey,Biology
1236721,Jason Stevens,Physics
2291200,Rosa Moscarella,Biology
1959208,Gordon Anderson,Computer Science
84876,Adam Porter,Biology
523814,Vincent Ferraro,Political Science
1049909,Michele Burch,Management
