id,name,department
154290,Edward Dauer,Engineering
1318252,Michael Gaines,Biology
343857,Roderick Gillis,Psychology
559271,Charles Mallery,Biology
152856,Joy Beverly,Mathematics
950067,Malancha Sarkar,Biology
1271959,David Spigelman,Economics
85341,Monique Rosenberg,Mathematics
2054452,Marina Portnoy,Management
343625,Barbara Colonna,Chemistry
482959,Seth Levine,Accounting
705991,Dana Krempels,Biology
2488110,Cesar Gonzalez,Chemistry
32069,Nita Lewis,Chemistry
506658,Marta Flothmann,Mathematics
173531,Andrew Green,English
832102,Mario Perez,Accounting
1001582,Ian Scharf,Marketing
343858,Rick Stuetzle,Psychology
498509,Karen Turner,Business
1990542,Leslie Knecht,Chemistry
1432649,Paul Groff,Biology
567913,Dahlia Zohar,Mathematics
287418,Sylvia Thompson,Political Science
507018,Augustine Nelson,Economics
511837,Franklin Foote,Psychology
329068,Leticia Oropesa,Mathematics
72480,Thomas Berg,Chemistry
527806,Luca Donno,Mathematics
617467,Tegan Eve,Chemistry
879760,Ronny Aboudi,Business
332778,Stephen Sapp,Religion
919157,Anna Bystrik,Mathematics
1032048,Smita Kulkarni,Marketing
896604,Diego Deleon,Nursing
1648576,Nadia Gal,Mathematics
1998947,Maikel Espinosa,Business Technology
1183718,Sergio Hernandez,Mathematics
2181369,Valentine St. Hilaire,Chemistry
1181535,Susan Leary,English
343859,Ray Winters,Psychology
968348,Manuel Sicre,Accounting
788204,Mary McKenry,Management
910027,Bradford McGuinn,Political Science
504373,Judy Hood,English
2517106,Eric Wawerczyk,Mathematics
1283200,Jeffrey Weinstock,Marketing
586850,Melissa Burley,English
1233563,Oneida Perez,Mathematics
1713591,Juan Gonzalez,Nursing
360558,Patricia Rua,Mathematics
554113,Luis Bazan-Vega,Mathematics
906044,Anito Joseph-Phillip,Management
532118,Ben Alsup,English
2211174,Wendy Chun,Business Technology
1745031,Joan Martinez-Evora,Business Law
796728,Lisa Reyes,English
1053365,Maria Lorca,International Studies
327115,George Primov,Sociology
1808187,Marc Knecht,Chemistry
546170,Liliana Draghici,Mathematics
932419,Mark Shapiro,Business Law
1751245,Carlos Vega,Mathematics
467200,J. Tomas Lopez,Fine Arts
753571,Michael Werner,Accounting
32073,David Wilson,Science
1173850,Maidelin Rodriguez,Foreign Languages
1025822,Norma Agras,Mathematics
406254,Daniel DiResta,Biology
985030,Wes Smith,Sports Medicine
2725839,Krishna Murphy,Business
1006785,Victor Milenkovic,Computer Science
831730,Benjamin Ash,Marketing
1247864,Ben Recarey,Marketing
1962860,Vanessa Dos Reis Falcao,Chemistry
1868345,Andrew Porter,Nursing
502288,Rosaura Azofra,Mathematics
1004022,Joel Hollander,Art History
1226602,Brian Arwari,Exercise & Sport Science
1968460,Hugo Faria,Economics
2372932,Moses Koppendrayer,Mathematics
1218212,Patrick Bibby,Mathematics
1357944,Elizabeth Oldman,English
2633784,Cynthia Silveira,Biology
1640683,Elyse Hurtado,Psychology
676148,Dexter Callender,Religion
691786,Daniel Wang,Biology
2110514,Amjad Farooq,Biochemistry
244250,Carl Hoff,Chemistry
731813,Douglas Heller,Chemistry
1050393,Ricardo Rodriguez,Finance
315967,Linda Taylor,Anthropology
743846,Maryann Barber,Computer Information Systems
336168,James Nearing,Physics
529015,Vanessa Guzzi,Law
2013950,James Van Dyken,Biology
49138,James Britton,English
329741,John Wafer,English
842240,Samantha Phillips,English
244258,Martha Otis,English
169988,Martin Segal,Law
2135699,William Bolton,Marketing
484476,Barry Zwibelman,Psychology
574899,William Purcell,Chemistry
1572751,Han Tran,Classics
763704,Christine Delgado,Psychology
1560884,Maria Hulett,Mathematics
