id,name,department
1159280,Charles Severance,Information Science
224484,Kathleen Nolta,Chemistry
602218,Bruce Conforth,American Studies
224445,Shelly Schreier,Psychology
287981,Brian Malley,Psychology
204732,Brenda Gunderson,Statistics
21621,Brian Coppola,Chemistry
337869,Dave Winn,Physics
9420,Marcus Ammerlaan,Biology
211809,Josephine Kurdziel,Biology
1857248,Ronald Caldwell,Economics
895025,Chad Hogan,Economics
1220824,Chris Proulx,Economics
458759,Amy Gottfried,Chemistry
1292076,Adam Stevenson,Economics
154139,Holly Peters-Golden,Anthropology
1221235,Yuri Popov,Physics
156024,George Wynarsky,Engineering
532834,Terence James McGinn,Sociology
22063,Nancy Kerner,Chemistry
229815,Victor Lieberman,History
200992,James Morrow,Political Science
528271,Kenneth Balazovich,Biology
532830,PJ McGann,Sociology
1837636,Mitchell Dudley,Economics
122569,Jason Daida,Engineering
260456,Jadwiga Sipowska,Chemistry
1376010,Brandon Aragona,Psychology
282702,Edward Chang,Psychology
931275,Jeffrey Ringenberg,Electrical Engineering
247543,Alex Bielajew,Nuclear Engineering
13894,Ralph Williams,English
58316,Mary Lou Dorf,Engineering
701332,Thomas Venable,Statistics
1918912,Edward Cho,Economics
112207,Janet Gerson,Economics
276428,John Wolfe,Chemistry
313311,Juliette Moutinou,French
554568,Andrei Markovits,Political Science
545972,James Hoeffner,Psychology
1765657,Andrew Deorio,Computer Science
2062109,Justin Wolfers,Economics
282617,Carla Grayson,Psychology
369995,Mika Lavaque-Manty,Political Science
183147,Thad Polk,Psychology
1063253,Tobias Eckhause,Physics
1915390,Alex Poniatowski,Chemistry
281750,Steven Clark,Biology
913213,Thomas Chivens,Anthropology
159913,Jonathan Marwil,History
2309035,Maciej Dudek,Economics
7964,Thomas Fricke,Anthropology
524636,Luis Felipe Sfeir-Younis,Sociology
2128476,Alicia Romero,Statistics
1505318,Wayne Lau,Physics
594167,Sushama Pavgi,Biology
235486,Juan Cole,History
585853,Nojin Kwak,Communication
414562,John Mitani,Anthropology
585005,Martin Sarter,Psychology
2289105,Nadiya Fink,Statistics
281546,Yaron Eliav,Near Eastern Studies
109809,Paula Malone,Economics
1182284,Kathleen Jodl,Psychology
265135,Andrew Shryock,Anthropology
586103,Perry Samson,Geology
2311561,Ishan Joshi,Political Science
153483,Fred Terry,Electrical Engineering
1879810,Jack Miller,Statistics
1079146,Marion Perlmutter,Psychology
1215709,Lisa Disch,Political Science
70429,Mark Brehob,Computer Engineering
1079144,Jennifer Cummings,Psychology
182883,Alan Deardorff,Economics
1176589,John Montgomery,Chemistry
156280,Masato Koreeda,Chemistry
1836686,David Paoletti,Computer Science
1372301,Michael Ybarra,Sociology
10260,Arlene Saxonhouse,Political Science
288452,Barry O'Connor,Biology
319869,Achilleas Anastasopoulos,Electrical Engineering
192603,Gary Glick,Chemistry
478388,Stephen Debacker,Mathematics
501436,Brian Porter,History
1852265,John Snodgrass,Psychology
863601,Joanne Bailey,Women's Studies
535451,Donald Lopez,Asian Studies
10263,Stanley Sedo,Economics
1270475,James Gleason,Geography
2048250,James Juett,Computer Science
60585,H D Cameron,Classics
1004271,Laury Wood,Biology
411697,William James Adams,Economics
156282,Peter Gavin Larose,Mathematics
1943528,William (Bill) Arthur,Electrical Engineering & Computer Science
535979,Miles Kimball,Economics
755781,Matthew Chapman,Biology
1408811,Bart Bartlett,Chemistry
66130,Brad Bushman,Psychology
1710832,Greta Uehling,Anthropology
499740,Trevor Mudge,Electrical Engineering
417704,Lawrence Greene,Political Science
287242,Bill Gehring,Psychology
185293,Kenneth Kollman,Political Science
309889,Laura MacLatchy,Anthropology
316226,Bradford Orr,Physics
2405476,Jeff Dunworth,Mathematics
919150,Michela Arnaboldi,Geology
89318,Kent Berridge,Psychology
238402,Richard Hume,Biology
385873,Kristin Hass,American Studies
589171,Kenneth Cadigan,Biology
778575,Andrew Tomasch,Physics
271874,Greg Markus,Political Science
257205,Ctirad Uher,Physics
609154,Alexander Ganago,Computer Engineering
587375,Raquel Gonzalez,Spanish
771249,Colleen Seifert,Psychology
772595,Elizabeth Rust,Physiology
773825,Larry Ruff,Geology
129447,Michelle Orecchio,Spanish
569367,Anne Manuel,Political Science
468875,Lynn Rivers,Political Science
480978,Fritz Swanson,English
1768607,Meghan Duffy,Biology
522549,Melanie Sanford,Chemistry
1378290,Sandra Levitsky,Sociology
502821,Nicholas Harp,English
1119784,Ella Atkins,Engineering
172081,Tatiana Calixto,Spanish
281342,Ronald Inglehart,Political Science
327786,David Chesney,Electrical Engineering
191614,August Evrard,Physics
596142,Cunming Duan,Biology
944830,Gyorgyi Csankovszki,Biology
286499,Matthew Lassiter,History
2226786,Elizabeth Buvinger,Psychology
283790,John Vandermeer,Biology
570700,Kai-Uwe Kuhn,Economics
242334,Charles Klemstine,Accounting
2543955,Nicole Tuttle,Chemistry
310983,Elaine McNulty,Linguistics
2839203,Benjamin Hollenbach,Anthropology
199738,Sherrie Kossoudji,Economics
