id,name,department
1925835,Emily Pelton,Chemistry
260962,Michelle Driessen,Chemistry
260542,Kent Kirkby,Geology
65686,Chris Dovolis,Computer Science
530037,Mark Stellmack,Psychology
1811333,Debra Janie Salmon,Chemistry
359810,Ken Leopold,Chemistry
897321,Thomas Holmes,Economics
143828,Carl Sturtivant,Computer Science
1734615,Liza Meredith,Psychology
117445,Joel Samaha,Sociology
232192,Marvin Marshak,Physics
1327401,Tai Mendenhall,Family Social Science
1965512,James Moen,Computer Science
1520337,Angela Perkins-Harki,Chemistry
1555387,Aaron Wynveen,Physics & Astronomy
297157,Michelle Lekas,Cultural Studies & Comparative Lit.
180190,Ken Heller,Physics
1189894,Alan Fine,Management
18915,Kate Briggs,Psychology
2620023,Fahima Aziz,Economics
2824148,Sebastiaan Joosten,Computer Science
1654196,Jennie Morgan,Mathematics
1855923,Rand Park,Business
1179414,Paul Haines,Physics
529869,Henriette Warren,Child Psychology
2320440,Chris Kauffman,Computer Science
483759,Angelo Volpe,English
1852490,Daniel Challou,Computer Science
1156057,Thomas Brothen,Psychology
1407524,Sehoya Cotner,Biological Sciences
234081,Robin Brown,Cultural Studies
1100355,Cheryl Scott,Biology
227101,Gennady Lyubeznik,Mathematics
1154438,Scot Adams,Mathematics
356783,Doreen Leopold,Chemistry
366317,Karel Prikry,Mathematics
153658,Paul White,Accounting
506676,John Molloy,Finance
1198198,Gregory Ruffa,Mathematics
118377,Albert Marden,Mathematics
403754,Justin Revenaugh,Geology
65013,Robert Brooker,Genetics / Cell Biology & Dev.
907419,Begona Orive-Abad,Spanish & Portuguese
2418922,Nathan Taylor,Computer Science
404949,Jane Wissinger,Chemistry
960215,Mark Decker,Biology
1062308,Andrew Taton,Chemistry
184825,Scott Abernathy,Political Science
540940,Robert Roon,Biology
799210,Christian Mohr,Biology
601443,Greg Anderson,Mathematics
2404915,Kazeem Adepoju,Statistics
351694,Peter Mercer-Taylor,Music
491780,Rob Silberman,Art History
799644,Kurt Kipfmueller,Geography
271456,George Barany,Chemistry
428865,Kenneth Adolph,Biology
371400,Chester Miracle,Mathematics
732786,Nick Hopper,Computer Science
2408849,Chad Storlie,Marketing
886087,Alex Anthony Ghebregzi,Cultural Studies
726359,Adrian Diaconu,Mathematics
1752667,Yelena Hydrie,Management
2075721,Gregory  Pawloski,Physics  Astronomy
508840,Peter Rejto,Mathematics
1788407,Amy Simon,Human Resources
2402020,Kate Jensen,Computer Science
253937,John Freeman,Political Science
1230769,David Matthes,Biological Sciences
1573318,Deena Wassenberg,Biological Sciences
2369857,Mark Jenson,Journalism
535526,Paul Siliciano,Biology
1298666,Bonnie Klimes-Dougan,Psychology
35480,James Kakalios,Science
321263,Craig Packer,Biology
599370,Maury Bramson,Mathematics
1796717,Robert Hank,Mathematics
2069847,Edgar Arriaga,Chemistry
407348,Gil Tostevin,Anthropology
1500792,Kelvin Wong,Economics
2080419,James  Parker,Computer Science
1106381,Aaron Massari,Chemistry
175059,Antony Dean,Biology
244455,Steven Kass,Chemistry
485554,Robin Wright,Biology
152174,Murray Jensen,Biology
1096728,Melissa Palmer,Biology
1119286,Scott Currie,Music
