id,name,department
1592023,Ketan Mayer-Patel,Computer Science
2046851,Kalina  Staub,Economics
2057674,Kristopher Jordan,Computer Science
488975,Elizabeth McLaughlin,Mathematics
2282569,Alaina Garland,Biology
886580,Rita Balaban,Economics
955606,Jeannie Loeb,Psychology
179501,Todd Austell,Chemistry
348916,Carribeth Bliem,Chemistry
2183841,Joshua Beaver,Chemistry
2044941,Mara Evans,Biology
78355,Mark McCombs,Mathematics
263746,Domenic Tiani,Chemistry
451397,Kelly Hogan,Biology
2619720,Laura Ott,Biology
2097125,Emily Burkhead,Mathematics
38308,Gregory Kable,Fine Arts
2405649,John Majikes,Computer Science
2531091,Anna Curtis,Chemistry
2211217,Patrick Harrison,Psychology
1980495,Michelle  Sheran-Andrews,Economics
1934646,Linda Green,Mathematics
200269,Charles (CJ) Skender,Business
648494,Jack Snoeyink,Computer Science
699654,Matthew Andrews,History
2447024,Kathleen Fitzgerald,Sociology
120236,Boone Turchi,Economics
2547674,Lillian Zwemer,Biology
2133600,Colin Wallace,Physics  Astronomy
170037,Greg Gangi,Environmental Sci & Eng
1984161,Cheryl  Moy ,Chemistry
182829,Daniel Gitterman,Public Policy
2412137,Jeff McLean,Statistics
279419,Geoffrey (Geoff) Sayre-McCord,Philosophy
1831912,Gary Kayye,Journalism
1638874,Cary Levine,Not Specified
892888,Frederick (Charles) Wiss,Psychology
2718914,Christopher Handy,Economics
2374628,Ndidi Adeyanju,Psychology
1684341,Blaire Steinwand,Biology
2287087,Danielle Zurcher,Chemistry
2643213,Eric Hastie,Biology
2551648,Brent Munsell,Computer Science
1379920,Gideon Shemer,Biology
445641,Gary Pielak,Chemistry
1886583,Desiree Griffin,Psychology
488930,Chuanshu Ji,Statistics
47127,Pamela Conover,Political Science
258296,Lorraine Cramer,Medicine
468525,Dan Reichart,Physics
2584612,Kristin Ondrak,Exercise & Sport Science
38154,Jean Desaix,Science
133627,Jocelyn Neal,Music
962646,Marc Cohen,English
416667,Brian Hogan,Chemistry
389891,Brian Billman,Anthropology
3030544,Neil Gaikwad,Computer Science
699554,Corey Johnson,Biology
2422355,Mario Giacomazzo,Statistics
261292,Ralph Byrns,Economics
2424970,Aubrey Snowden,Dramatic Arts
2812513,Oluremi Abayomi,Statistics & Ops Research
504767,Lev Rozansky,Mathematics
2324935,Rachel Briggs,Anthropology
1900329,Steven Buzinski,Psychology
1968836,Thomas Freeman,Chemistry
1591242,Miranda Thomas,Mathematics
1065039,Navin Bapat,Political Science
2244580,Jennifer Gates-Foster,Classics
2957521,Robert McDonough,Economics
2696897,Natasha Parikh,Psychology
2824704,Christopher Roark,Economics
2433426,Ashley Anderson,Political Science
49422,Joe Caddell,History
113537,Jodi Magness,Theology
2009103,Michelle Haskin,Geology
2745861,Alyssa Byrnes,Computer Science
1857528,Molly Worthen,History
2083063,Jeff Summerlin-Long,Public Policy
2940246,Jordan Claytor,Biology
1018962,Gabor Pataki,Statistics
1847360,Joel Hudley,Geology
145620,Deb Aikat,Communication
426783,Todd Vision,Biology
1753518,Laura Benton,Chemistry
2494969,Calvin Grant,Chemistry
541724,Abel Munoz-Hermoso,Spanish
784701,Kathleen Duval,History
1196938,Leslie Frost,English
2444069,Rebecca Kreitzer,Public Policy
643838,Brett Whalen,History
1438954,Benjamin Meier,Public Policy
2082525,Stephen Anderson,Music
2566849,William Goldsmith,Public Policy
1320264,Josefa Lindquist,Languages
2281705,Robert Hummer,Sociology
1850718,Eren Tasar,History
2012622,Michele Rivkin-Fish,Anthropology
2643356,William Lassiter,Statistics
2364251,Dwayne Dixon,Asian Studies
2230906,Neal Caren,Sociology
324648,Richard Rimanyi,Mathematics
2209273,Barbara Stegenga,Biology
2102555,Jingfang Huang,Mathematics
2291983,Megan Plenge,Geology
1926249,Matthew Lockett,Chemistry
1383016,Geoffrey Bell,Environmental Sci & Eng
1109606,Joseph Fletcher,English
1182779,Michael Aguilar,Economics
2251244,Jennifer Weinberg-Wolf,Physics  Astronomy
2635157,Julie Dixon,Journalism
2066922,Lori Del Negro,Chemistry
552183,David Ross,English
1839649,Todd Ochoa,Religious Studies
1938669,Bradley Hammer,English
1036207,Mark Perry,Dramatic Arts
1763503,Vicki Chanon,Psychology
607856,Joseph Glatthaar,History
669818,Bart Ehrman,Religion
2827381,Jade Fostvedt,Chemistry
2028355,Sarah Boyd,English
661672,Jennifer Larson,English
852073,John Sweet,History
258010,Carolyn Morse,Chemistry
365603,Jeff Cornell,Theater
1601272,Daniel Cobb,History
546460,Brenda Shryock,Mathematics
1671305,Stefan Jeglinski,Physics & Astronomy
1950847,Jane Monaco,Biostatistics
932620,Jeff Spinner-Halev,Political Science
1957588,Cynthia Current,English
526963,Malgorzata Lee,Languages
596733,Gary Bishop,Computer Science
652801,Duane Deardorff,Physics & Astronomy
894344,David Pike,German
1558470,Michal Osterweil,Anthropology
1575455,Jocelyn Chua,Anthropology
564063,Donald Reid,History
2829722,Sayeed Ghani,Computer Science
1366515,Viji Sathy,Psychology
823910,Idris Assani,Mathematics
258014,Elyse Crystall,English
70024,Donald Haggis,Classics
552642,Karen Booth,Women's Studies
1891944,Christopher Clark,Political Science
929428,Radislav Lapushin,Literature
2591821,Rosa Li,Psychology
329761,Debra Etheridge,Mathematics
1652036,Jennifer Krumper,Chemistry
2757580,Bradley Hendricks,Business
2038112,David Adalsteinsson,Mathematics
1602292,Patrick Conway,Economics
878738,Mark Sorensen,Anthropology
1199952,Doug Lauen,Public Policy
1107129,Sergio Parreiras,Economics
270169,Edward Carlstein,Mathematics
1871221,Robin Cunningham,Statistics
853459,Layna Mosley,Political Science
304740,Kevin Stewart,Geology
895558,Stephen Lich-Tyler,Economics
2235925,Reid Barbour,English
254294,Michael Crimmins,Chemistry
749206,Wendy Weber,English
2315978,Andres Hincapie,Economics
1026375,Max Owre,History
1648996,Anna Bassi,Political Science
1987961,Nita Eskew,Chemistry
160540,Ted Leinbaugh,English
2311209,Cameron Ballard-Rosa,Political Science
598728,Ram Neta,Philosophy
803962,Timothy Marr,American Studies
259508,Stephen Birdsall,Geography
2418588,Meta Jones,English
1093951,Helene De Fays,Languages
2038120,Seth Kotch,American Studies
2848358,Caitlin Smith,Linguistics
2590619,Susan Greene,Economics
2187547,Nicolas Fraiman,Statistics
326605,Lloyd Kramer,History
268237,Charles Price,Anthropology
535031,Kevin Weeks,Chemistry
38312,David Penn,Psychology
2639728,Olivia Dumitrescu,Mathematics
900372,Wayne Lee,History
2055616,Elizabeth Gualtieri-Reed,English
2117111,Ron Bergquist,Information Science
769673,Valerie Lambert,Anthropology
2545416,Marc Hetherington,Political Science
2518903,Jonathan Hill,Economics
2534185,Andrew Yates,Economics
2729953,Erik Zhang,Philosophy
907961,Andrew Reynolds,Political Science
1737580,Hilary Lithgow,English
449487,Michael Corrado,Law
2298171,Soren Palmer,English
1385549,Raul Brown,Spanish
2524607,Dana Riger,Education
270347,Anne Hastings,Social Science
1505780,Gabriel Trop,German
2058583,Rahsaan  Maxwell,Political Science
2247213,Scott Warren,Chemistry
457571,Jay Smith,History
1243895,Sheila Kannappan,Physics & Astronomy
2142342,Lorraine Cramer,Microbiology
2225562,Cori Dauber,Communication Studies
823911,Sorin Mitran,Mathematics
1014732,James Rives,Classics
1520593,David Lambert,Religious Studies
1872486,Tyler Curtain,English
