id,name,department
2203667,Forrest Spence,Economics
2640253,Slavi Sevov,Chemistry
724219,Seth Brown,Chemistry
2315894,Steven Wietstock,Chemistry
2121481,Arthur Lim,Mathematics
2512784,Kevin Grove,Theology
1031217,Anre Venter,Psychology
2032173,Eva Dziadula,Economics
126605,Carl Ackermann,Finance
2671106,Justin Christy,Philosophy
742209,Kenneth Filchak,Biology
1284285,Laurence Taylor,Mathematics
2740108,Julie Kessler,Chemistry
2428146,Patricia Vaughan,Biology
2583989,Paul Blaschko,Philosophy
2492437,Susan Del Valle,Chemistry
1950699,Kirk Doran,Economics
2075438,Susan Rosato,Political Science
2536009,Michelle Whaley,Biological Sciences
305478,Gabriel Radvansky,Psychology
2001750,Christopher Cronin,Economics
2029329,Anthony Pagliarini,Theology
2781901,Cora Bennett,Economics
1234776,Jeff Speaks,Philosophy
1700931,David Hyde,Biology
2867696,Shawn Miller,Chemistry
2587615,Sarah West,Chemistry
2226624,Molly Walsh,Mathematics
2399334,Ian Gerdon,Theology
2481485,David Squires,Philosophy
2716620,Scott Griffith,Marketing
2516959,Jessica Shumake,Writing
2484735,Matthew Morrison,Computer Science
2696012,Brian O'Conchubhair,Languages
1016061,Dan Lindley,Political Science
2636126,David Medvigy,Biology
129970,Gail Bederman,History
742939,Dan Hungerman,Economics
2451051,Nina Glibetic,Theology
2304557,Timothy Dunne,Economics
2362594,Hope Hollocher,Biological Sciences
2770111,Keith Schaefer,Spanish
836720,Viva Bartkus,Management
2706125,Anne Pilkington,Mathematics
1999894,Christopher Stevens,Management
2134360,T. Mark Olsen,Biological Sciences
126653,Ken Dye,Music
1839795,Bradley Rettler,Philosophy
127524,Sonny Boyd,Science
1602276,Grant Mathews,Physics
2307226,Kelley Young,Chemistry
2770110,Alex Perkins,Biology
886176,Joshua Kaplan,Political Science
2543612,Jennifer Waddell,Business
305556,A James McAdams,Political Science
2265516,Paul Helquist,Chemistry
2088684,Meghan Sullivan,Philosophy
2474529,Mitchell Olsen,Marketing
2775105,Bahram Moasser,Chemistry
1602277,Tatiana Botero,Spanish
2532554,Ed Hums,Accounting
2195329,Leonardo Francalanci,Spanish
345979,Xavier Creary,Chemistry
189639,Eileen Hunt Botting,Political Science
2762755,Zachary Schafer,Biological Sciences
1624107,Jeff Snapper,Philosophy
2444507,Benjamin Pugsley,Economics
2438928,Andrew Bartolini,Engineering
2362590,Jeanne Romero-Severson,Biological Sciences
2675949,Fred Nwanganga,Computer Science
2483290,Joshua Seachris,Philosophy
2731685,Jim Leady,Finance
2529790,Johnathan Sapirstein,Physics
1871491,Laura Hollis,Business
682889,David Campbell,Political Science
2650166,Keith Urtel,Accounting
2739933,Elizabeth Archie,Biological Sciences
1847166,Patricia Blanchette,Philosophy
1957002,Mike Seelinger,Engineering
276523,Graham Lappin,Chemistry
2539366,Peter Bui,Computer Science
2891938,Xiaojing Duan,Business
2454613,Richard Cross,Philosophy
2733971,Jay Martin,Theology
1068322,Dana Villa,Political Science
1713790,James Parise,Chemistry
2425177,Brad Gregory,History
2551877,Shreya Kumar,Computer Science
2765350,Whitney James,Writing
1086982,James O'Brien,Accounting
665439,James McKenna,Anthropology
2689016,Gabriel Reynolds,Theology
305569,William Ramsey,Philosophy
1702297,David Galvin,Mathematics
2695124,Katherine Oswald,Spanish
820446,Collin Meissner,English
1279967,Andriy Bodnaruk,Finance
1836886,Dan Murphy,English
2647156,Ramzi Bualuan,Computer Science
2659077,Nasir Ghiaseddin,Business
2854680,Claire Donovan,Accounting
865343,Andrew Gould,Political Science
1495866,Tadeusz Mazurek,Classics
2025538,Robert Sullivan,History
2934659,Ilona Bastiaansen,Accounting
1762413,Huy Huynh,Mathematics
2593956,John Cavadini,Theology
2009200,John Duffy,English
341051,Brian Krostenko,Classics
487311,Sam Sanchez,Music
1911917,Brandon Ashfeld,Chemistry
79488,Hans Heidle,Business
2586518,Johanna Frymoyer,Music
2646537,Peter Cholak,Mathematics
1587989,Brian Levey,Business
2123039,Patrick Deneen,Political Science
2186314,Mike Meyer,Accounting
2394170,Brian Smith,Civil Engineering
2585936,Daniel Lapsley,Psychology
2648516,Holly Goodson,Chemistry
1628036,Todd Adkins,Political Science
2337204,Anjuli Datta,Biology
119132,James Sterba,Philosophy
836380,Jean Porter,Theology
2861608,Dorian Boncoeur,Business
2439606,Steven Corcelli,Chemistry
1825884,Angel Matos,English
2255456,Nathan Rose,Psychology
2687883,Lionel Jensen,History
745143,Thomas Gresik,Economics
1857532,Joseph Powers,Mathematics
722200,Marian David,Philosophy
2195870,Jennifer Rodriguez,Philosophy
2449936,Michael Montalbano,Management
2560764,Ani Aprahamian,Physics
2946013,Lauren Vollon,Accounting
506965,Patrick Vivirito,Fine Arts
2267560,Steven Battin,Theology
2444492,Jeff Thurk,Economics
2512879,Haifeng Gao,Chemistry
2624526,Jacob Schepers,Writing
1085507,Mim Thomas,Sociology
1762400,Mary Flannery,Economics
1853215,Geoffrey Layman,Political Science
2625030,Nicholas Edelen,Mathematics
2476294,Terrence Ehrman,Theology
371689,Lei Li,Biology
1160639,Claudia Polini,Mathematics
1805284,Stuart Jones,Biological Sciences
119130,Gary Gutting,Philosophy
407017,Noriko Hanabusa,Languages
2544107,Leonard DeLorenzo,Theology
2386816,Philippe Collon,Physics
2706126,Kathryn Mulholland,Mathematics
1169722,William Miscamble,History
2051272,Catherine Cavadini,Theology
2892544,Michael Gilligan,Women's Studies
2425528,Christopher Schommer-Pries,Mathematics
2647303,Nathaniel Myers,English
2742799,Katie Jarvis,History
2762056,Stephen Koeth,History
3000233,Dana Horgen,Chemistry
45917,Michael Hildreth,Science
2274310,Samuel Valenzuela,Sociology
2614454,Jon Camden,Chemistry
2701315,Brian Mulholland,Mathematics
2730884,Jazmin Sierra,Political Science
2951677,Ryan Borello-Wise,Religion
558452,Jesse Lander,English
1591046,Christine Becker,Film
1982198,Michael Rea,Philosophy
2055461,John Fitzgerald,Theology
2063275,Gabriel Conant,Mathematics
1284155,Mike Ferdig,Biological Sciences
2043809,Fred Rush,Philosophy
2583717,Michael Favorite,Accounting
2765963,Jeffrey Miller,Accounting
2953075,Alison Lanski,Business
236047,Richard Hind,Mathematics
463670,Vitali Vougalter,Mathematics
478882,Jim Bellis,Anthropology
2126536,Doan Le,Mathematics
2430300,Bradley Malkovsky,Theology
2557089,Huaizhi Chen,Finance
2648486,Aldo Tagliabue,Classics
2739932,Maria Coloma,Spanish
2760373,Kris Muir,Management
2848832,Benjamin Rudenga,Biology
478884,Marya Lieberman,Chemistry
1695214,Michael Kadlubowski,Computer Science
