index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,5.0,ECON10010,"I would definitely say that Spence is a super engaging professor, and I loved going to class with him. Compared to other professors, his grading is a little hard because he does not give out as much extra credit.",False,2025-01-04 03:08:29,4.0,A,5.0,True,False,5.0,,-1.0,0,0,1.0,2203667
1,non mandatory,5.0,ECON10010,Professor Spence was Amazing. Truely caring individual and always wanted to see his students succeed. You have to put in the work; however if you do so micro will be a breeze.,False,2024-12-30 01:39:23,3.0,A+,5.0,True,False,5.0,Amazing lectures --Caring--Accessible outside class,-1.0,0,0,1.0,2203667
2,mandatory,5.0,ECON10010,"Hilarious lecturer, but the work assigned outside of class isn't enough to be prepared for tests, especially  if you have no prior econ experience.",False,2024-12-29 04:32:31,3.0,A,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Graded by few things,-1.0,0,0,1.0,2203667
3,mandatory,5.0,ECON10010,Spence is the man. Light homework and entertaining lectures. If you go to lectures and put in a little effort you will get an A pretty easily. Understanding and really fun dude. ,False,2024-12-27 03:31:06,2.0,A+,5.0,True,False,5.0,Amazing lectures --Test heavy,-1.0,0,0,1.0,2203667
4,mandatory,1.0,ECON10010,"Honestly such a bad professor. His class will single-handedly crash your GPA. I will not be taking any more of his classes if I can avoid it. I don't care if he's 'nice', I care about the quality of his teaching which is of very poor quality. ",False,2024-12-24 00:40:09,5.0,B+,1.0,True,False,1.0,Tough grader--Test heavy--Graded by few things,-1.0,0,0,,2203667
5,mandatory,5.0,ECON10010,"Dr. Spence is simply incredible. He makes a sincere effort to learn every student's name, despite lectures being >100 people. He provides modern context to concepts and has an engaging, hilarious lectures. There was extra credit on every test, and he truly provides the resources to do well. My own mediocre grade is a reflection of me, not him. ",False,2024-12-23 23:54:34,3.0,B+,5.0,True,False,5.0,EXTRA CREDIT--Amazing lectures --Inspirational,-1.0,0,0,1.0,2203667
6,non mandatory,5.0,ECON20010,He is an amazing guy and def take him. He canceled class a lot and we left early for most of the classes too. The workload is not too bad with around 1 assignment per week. A lot of resources for the midterm and he sometimes reuse questions from the practice exams. You can tell he is passionate about economics and really cares about his students!,False,2024-12-23 23:28:41,3.0,A,5.0,True,False,5.0,Amazing lectures --Inspirational--Lecture heavy,-1.0,0,0,1.0,2203667
7,mandatory,5.0,ECON10010,This guy rocks.,False,2024-12-20 05:22:48,1.0,A,5.0,True,False,5.0,,-1.0,0,0,1.0,2203667
8,mandatory,5.0,ECON10010,"He's a great guy, at times the concepts were hard to understand as someone with no prior knowledge of economics. Very engaging lectures and truly cares that his students learn the content. Tests can be difficult and are worth a large portion of your grade, so be prepared to study a lot. About 1 assignment a week sometimes none.",False,2024-12-18 16:59:33,4.0,A,5.0,True,False,5.0,Amazing lectures --Respected--Accessible outside class,-1.0,0,0,1.0,2203667
9,non mandatory,5.0,ECON10010,"Prof. Spence gave great lectures, though sometimes I struggled to understand the concepts since I did not take AP Micro in high school, and it seems like most students in the class did. However, he gave lots of resources to study and was always willing to meet and go over concepts or give study advice.",False,2024-12-17 19:03:13,4.0,A-,5.0,True,False,5.0,EXTRA CREDIT--Hilarious--Accessible outside class,-1.0,0,0,1.0,2203667
10,non mandatory,5.0,ECON10010,Professor Spence is a great teacher. Super good lecturer and honestly made me more interested in economics. Some of the tests can be a bit tricky but he is overall a great teacher and a great guy.,False,2024-12-15 22:00:13,3.0,A,5.0,True,False,5.0,Test heavy,-1.0,0,0,1.0,2203667
11,mandatory,5.0,ECON10010,"The professor made me study the most I ever had and I still gave him a 5 based on his teaching style and personality. He is an amazing guy and he always updates his slides based on current events going on, such as the election.",False,2024-12-06 01:51:38,4.0,A-,5.0,True,False,5.0,Amazing lectures --Inspirational--Caring,-1.0,0,0,1.0,2203667
12,non mandatory,5.0,ECON10010,Wow! What a great guy! He has great TAs too. Make sure to take him for microeconomics!,False,2024-06-07 00:14:01,3.0,A,5.0,True,False,5.0,,-1.0,0,0,1.0,2203667
13,mandatory,5.0,ECON10010,"Fell in love with Spence, fell in love with the graphs, and flirted with economics.",False,2024-05-14 07:48:44,3.0,A,5.0,True,False,5.0,Amazing lectures --Respected--Accessible outside class,-1.0,0,0,1.0,2203667
14,non mandatory,5.0,ECON10010,"W/O econ background this will be a harder class, but an A is still doable. Taking the abundance of practice tests provided is the best way to study imo. Spence has a great sense of humor and is a wholesome professor overall. Also, lectures and HW are often related to modern events which I love. You will need to put work in, but great class.",False,2024-05-13 18:50:44,4.0,A,5.0,True,False,5.0,Amazing lectures --Hilarious--Caring,-1.0,0,0,1.0,2203667
15,mandatory,5.0,ECON10010,"Spence is a great teacher if you put in the work. A couple hours of work each week on problem sets/writing assignments are more for practice than points, and the two midterms + final make up 75% of the grade. Info is mostly based on lectures and notes drawn on chalkboard, and class is very easy if you have taken micro before.",False,2024-05-13 02:05:28,3.0,A,5.0,True,False,5.0,Amazing lectures --Graded by few things,-1.0,0,0,1.0,2203667
16,mandatory,5.0,ECON10010,"Spence is an awesome dude, he's young and gets being in college. Taking good notes is essential. His huge amount of homework takes away a lot of the stress of exams.",False,2024-05-11 23:59:09,4.0,A-,5.0,True,False,5.0,Lots of homework--Hilarious--Lecture heavy,3.0,0,0,1.0,2203667
17,mandatory,4.0,ECON30400,"Definitely better for micro than stats, but still absolute GOAT. Biggest thing is he's funny and cares/understands college students. Lectures may be a little confusing, but he does pretty good job of explaining it. Don't need prior knowledge of stats, but it is definitely helpful. Pay attention in lecture and do LOTS of practice problems to do well",False,2024-05-11 21:04:28,1.0,A,4.0,True,False,4.0,Hilarious--Caring--Respected,-1.0,0,0,1.0,2203667
18,non mandatory,4.0,ECON30400,I have never taken a stats course and it was hard! If you put the work in you will be satisfied. The exams are straightforward but still difficult. I think Spence is a great professor. Everything he gives you if useful.,False,2024-05-08 16:27:30,4.0,,4.0,True,False,4.0,Clear grading criteria--Test heavy--Graded by few things,-1.0,0,0,1.0,2203667
19,mandatory,2.0,ECON30400,"He moves extremely slowly in this class. He understands his students well, but he is not a great teacher of this material. It is his first time teaching this class which might be why. He seems very sloppy in his teaching style.",False,2024-04-25 02:23:33,1.0,A,2.0,True,True,2.0,Participation matters,-1.0,0,0,,2203667
20,non mandatory,5.0,ECON10010,LOOOOVE PROF SPENCE!! So accessible outside of class. If you put in the work you will succeed. No busy work. Every assignment matters. Made microeconomics very interesting. ,False,2023-12-23 23:25:29,3.0,A,5.0,True,False,5.0,Gives good feedback--Caring--Accessible outside class,-1.0,0,0,1.0,2203667
