id,name,department
813929,Al Filreis,English
2348670,Fatemeh Shams,Humanities
610504,Anthony J. Pietrovito,Chemistry
923578,Peter Davies,Engineering
2132145,Welton Chang,Psychology
154485,Rebecca Stein,Economics
2136965,Val Tannen,Computer Science
178182,Ed Crotty,Mathematics
336357,Peter Struck,Classics
131284,Gwen Eudey,Economics
6464,Yochanan Shachmurove,Economics
294522,Ania Loomba,English
862967,X Witmer,Biology
766730,Frank Pellicone,English
685129,Nedra Lexow,Biology
1515590,James Giles,Science
1158957,Nakia Rimmer,Mathematics
222545,Donald Voet,Chemistry
222553,William P. Dailey,Chemistry
508556,Janet Monge,Anthropology
127095,Jeremy McInerney,History
1298252,Michael Carchidi,Engineering
262854,Uri Spiegel,Economics
6465,Rudra Sil,Political Science
2710863,Paul Silva,Political Science
498311,Hocine Fetni,Sociology
2519549,Andrew Cooper,Mathematics
394608,Avery Goldstein,Political Science
155916,Max Mintz,Computer Science
1798689,Matthew Ditty,Social Work
935648,Erik van Erp,Mathematics
57512,John Diiulio,Political Science
1553207,Lara Krawchuk,Social Work
542640,Andrew Lamas,Social Science
249296,Jeffrey Winkler,Chemistry
131530,Zoltan Domotor,Philosophy
470683,Alan Johnson,Physics
794220,William Clee,Mathematics
427842,. Dadal,Biology
633277,Herman Gluck,Mathematics
424342,Connie Scanga,Nursing
1179391,Bruce Boylston,Business
133446,Rita Barnard,English
1303135,Yechiel Schur,History
1304015,Jenine Maeyer,Chemistry
936309,Stephen Shatz,Mathematics
133091,Ponzy Lu,Science
271059,Jonathan Steinberg,History
435141,David Grazian,Sociology
48216,Carolyn Marvin,Communication
2790171,Hamed Hassani,Engineering
357548,Talid Sinno,Engineering
623514,Walter Palmer,Social Work
1246921,Michael Cancro,Biology
2698186,Cory Clark,Psychology
268324,Peter Stallybrass,English
636305,Patty Rogers,Nursing
628285,Santosh Venkatesh,Engineering
1552546,Casey Bohrman,Social Work
264694,Kent Blasie,Chemistry
2413657,Sarah Trotta,Social Work
784381,Jeffrey Babin,Engineering
222541,Kenneth Lande,Physics
277891,Alan Charles Kors,History
925159,Damon Freeman,Social Work
571450,Marie-Eve Fecteau,Medicine
2189977,Melanie Masin-Moyer,Social Work
550572,Rose Malague,Theater
974679,Eleni Miltsakaki,Education
1119357,Sigal Ben-Porath,Education
567509,Susan Phillips,Chemistry
1586235,Vijay Venkatesh,Engineering
1438988,Gomaa Omar,Geology
372445,Terry Adkins,Fine Arts
412130,Heather Love,English
678353,Gregory Urban,Anthropology
3027966,Jingyi Ling,Fine Arts
644063,Srilata Gangulee,Not Specified
403395,Nechama Sataty,Languages
466534,Marie Gottschalk,Political Science
742768,Teresa Pica,Education
326229,Don Berry,Chemistry
616322,William Laufer,Law
212926,Irma Tamburri,Languages
238172,Patrick Wehner,English
1567319,Raffi Amit,Management
1333647,Robert Ghrist,Mathematics
43442,Toni Bowers,English
153813,Arthur Waldron,History
71151,Rita Copeland,English
139297,Kent Smetters,Economics
840405,Julia Lynch,Political Science
1796857,Autumn Fiester,Medicine
278818,Michael Gamer,English
1554557,Jane Willenbring,Geology
1385246,Sanjeev Khanna,Computer Science
1013306,Paul Goldin,Asian Studies
1049737,Faizan Alawi,Not Specified
906622,Vijay Kumar,Engineering
131200,Daniel Hammer,Engineering
1865361,Noam Lior,Engineering
483119,Caroline Wong,Social Work
178250,Daniela Viale,Languages
1180553,Esther Alarcon,Languages
742766,Eric Nodler,Education
1102509,Robin Pemantle,Mathematics
2701331,Brandan Roneel,Political Science
823022,Edward M. Peters,History
966815,Paul Deveney,Writing
999349,Eugene Buckley,Languages
1667839,Ziv Katalan,Information Science
521985,Craig MacKinlay,Finance
1387078,Sean Holleran,Engineering
204559,Randall Collins,Sociology
213109,Gregory Wolmart,English
1014872,Robert Hollebeek,Physics
122264,Americus Reed,Marketing
689525,Jean Gallier,Computer Science
2495124,Eric Detsi,Engineering
2499293,Eric Fouh,Computer Science
1102391,Lisa Britton,Languages
621002,Harvey Grill,Psychology
721101,Bob Perelman,English
562355,Julie Schneider,Fine Arts
1299150,Mike Kaplan,Biology
1229798,Tara Trimarchi,Nursing
336355,Jacques Bromberg,Classics
1551168,Anthea Butler,Religion
817015,Karen Rile,Writing
870201,Vivian Gadsden,Education
1059331,Robert Vitalis,Political Science
3042742,Silvia Porello,Chemistry
233470,Benjamin Moore,Languages
382983,Ingrid Waldron,Biology
1892546,Carly Goldberg,Social Work
925162,Mark Stern,Social Work
820682,Richard Gelles,Social Work
2623043,Jonathan Anomaly,Philosophy
1525285,Ameena Ghaffar-Kucher,Education
1605998,Valerie Ross,Writing
894971,Mark Liberman,Languages
167424,Haimanti Banerjee,Languages
1078815,Paul Sniegowski,Biology
1193318,Michael Horowitz,Political Science
312233,Jacqui Sadashige,Classics
873861,Dennis Discher,Engineering
925693,Michael Weisberg,Philosophy
1820664,Sampath Kannan,Computer Science
129511,James Schlatter,Theater
633308,Vivian C. Seltzer,Social Work
170578,Richard Zettler,Anthropology
717576,Walter Licht,History
1330726,Deven Patel,Asian Studies
1119531,Meta Mazaj,Film
1906364,Marisa Kozlowski,Chemistry
250040,Wolfgang Ziller,Mathematics
545205,William Hafford,Writing
654901,Ignacio Lopez,Languages
1059334,Edward Mansfield,Political Science
1871789,Page Selinsky,Anthropology
262355,Joan DeJean,Languages
699321,Brian Spooner,Anthropology
891436,Susan Lindee,History
999511,John Schotland,Engineering
1917925,Trudy Heller,Humanities
1118457,Paul Messaris,Communication
1163410,Freda Adler,Criminal Justice
1548893,Rogers Smith,Political Science
1927452,Katherine Kate Ledwith,Social Work
99782,Amir Roth,Computer Science
925167,Karen Hudson,Social Work
1880264,Robert Rarig,Chemistry
1974442,Danny Cheuk,Mathematics
1102507,Eugene Mele,Physics
294455,Joyce Martin,Languages
2110277,Warren Ewens,Mathematics
1664208,Andreea Nicoara,Mathematics
1250498,Ronit Engel,Languages
1475516,Kok-Chor Tan,Philosophy
1251781,Rosemary Frasso,Social Work
1900502,David Gazelle Eckmann,Engineering
268853,Emily Wilson,Classics
1556877,Arthur Dunham,Biology
2249007,John Zimmerman,Biology
2033893,Ram Cnaan,Social Work
2042563,Mauro  Guillén,Anthropology
331969,Peter Steiner,English
1492341,Flavio Cunha,Economics
837592,Nicholas Diliberto,History
2038922,Joshua Pien,History
717581,Ian Lustick,Political Science
816314,Murad Akhundov,Philosophy
935203,Lawrence Montgomery,Not Specified
1257258,Joshua Plotkin,Biology
1405108,Suvir Kaul,English
1790997,Coren Apicella,Psychology
1179604,Susan Fegley,Education
2153853,Pamela Szczygiel,Social Work
2261246,Amy Baker,Social Work
2644557,Mary Senior,Business
867779,Constance Leidy,Mathematics
1699366,Anne Pomerantz,Education
2097495,Michael Kane,Biology
156891,Cristle Judd,Music
1180341,David Weiner,Medicine
1866410,Claudia Lynn,Languages
1892543,Andy Fussner,Social Work
1180555,Rubab Qureshi,Languages
967294,Matthew Hoelzle,Biology
1166688,Vishal Arora,Psychology
2246905,Marsha Richardson,Education
1669129,Alejandro Ribeiro,Engineering
808801,Florian Pop,Mathematics
2649987,Milton Meyer,Philosophy
2791659,taylor caputo,Design
2705144,Saswati Sarkar,Engineering
250045,Robin Hochstrasser,Chemistry
483122,Carol Spigner,Social Work
998115,Garvy Lundy,Sociology
1963460,Aswood LaFortune,Social Work
592497,Bhandoola Avinash,Medicine
715856,Mark Devlin,Physics
1260157,Ted Chinburg,Mathematics
1111792,Lance Wahlert,English
2398622,Andrew Ward,Psychology
2696387,Lara Kallander,Chemistry
1605725,Sharon Ravitch,Education
1996515,Sarah Taylor,Medicine
240020,. Jacobs,Sociology
633294,Gillian Sankoff,Not Specified
1610131,Gregg Rogers,English
1422431,Peter Petraitis,Biology
1606039,Jorge Salessi,Languages
2358562,Travis Aldous,Languages
2496616,Jacqueline Corcoran,Social Work
1151268,June Chu,Asian Studies
2727320,Gillian Maimon,Education
814580,Robert Powers,Mathematics
2724996,Anthony Cirri,Chemistry
2846282,Eric Wong,Computer Science
1222280,Karen Winey,Engineering
1298249,Prashant Purohit,Engineering
1141551,John Frye,Geology
636304,Beth Quigley,Nursing
925163,Valerie Allen,Social Work
1652038,Ryan Blair,Mathematics
1791243,John Keene,Design
1813912,Erik Reese,Physics
1154249,Tobias Dyckerhoff,Mathematics
2037490,Schauna Taylor,Medicine
2179260,Ralph Rosen,Classics
803846,Laura Heffernan,English
1076158,Allison Traweek,Classics
1412897,Jonathan Lukens,Social Work
2031728,Christine Brewer,Nursing
2240506,Raj Patel,Philosophy
372720,Kenneth Laker,Engineering
485198,Thomas Safley,History
2773335,Elizabeth Ajazi,Business
2800814,David Bamat,Education
1606010,Alvaro Aguirre,Economics
999041,Paul D. Allison,Sociology
1119359,Richard Ingersoll,Education
1944947,Kathleen Davis,Science
1287394,Nancy Hirschmann,Political Science
1382223,Josh Weiss,Fine Arts
1405109,Max Apple,English
656701,Christopher Makler,Economics
900098,Mary Cavanaugh,Social Work
1518590,Evangelia Chrysikou,Psychology
1873456,Daniel Singer,Philosophy
1901250,Joe Schatz,Nursing
2084451,Nancy Hornberger,Education
2381675,Abraham Abebe,Mathematics
2033903,Vidit Nanda,Mathematics
1567315,Diana Mutz,Political Science
1311951,Nate Ackerman,Mathematics
816318,Anthea Waleson,History
759956,Robert Seyfarth,Psychology
2886560,Sarah Gronningsater,History
1253248,Susan Schneider,Philosophy
2138074,Ross Johnson,Nursing
957432,Zachary Lesser,English
807350,Henry Teune,Political Science
825469,Brian Rose,Classics
1697840,Douglas Jerolmack,Geology
1107421,John Bassani,Engineering
1217070,Avi Barr,Mathematics
1610977,Robert Hoffman,Philosophy
2090307,Aileen McCabe-Maucher,Social Work
2443575,Amanda DiLodovico,Writing
1284596,Sharon Thompson-Schill,Psychology
2510516,Justin McDaniel,Religion
2913242,Edward Ballo,Social Work
2979780,Mark Goulian,Biology
1380858,Dan Gillion,Political Science
2112818,Steve Tinney,History
630746,. Burri,English
743649,Peter Decherney,Film
872781,Cliff Akiyama,Nursing
954416,Jamie McAnderson,Economics
1895172,Scott Weinstein,Philosophy
1867186,James Primosch,Music
547889,George Marcus,Art History
1988229,Enrique Mendoza,Economics
957698,Joan Davitt,Social Work
892231,Matt Blaze,Computer Science
1803241,Jake Robins,Mathematics
2034963,Rosemary Polomano,Nursing
906296,Elizabeth MacKenzie,Health Science
1778492,Scotty Reifsnyder,Fine Arts
949895,Steven Feierman,History
2515052,Dominick Villano,Mathematics
2375347,Eric Eaton,Computer Science
2888656,Laronnda  Thompson,Education
1892545,Amy Hillier,Design
2762745,Jianbo Shi,Engineering
3002632,Ali  Dinar,Anthropology
1606051,David Dillenberger,Economics
1857672,Luke Taylor,Finance
1098570,Carla Medalia,Sociology
1129368,Babu Suthar,Asian Studies
2178767,Yuencheng Zhu,Mathematics
994374,Ravi Sheth,Physics
679694,Joshua Mosley,Fine Arts
1178742,Lothar Haselberger,Art History
735668,Jose Rios-Rull,Economics
2456386,Erin Coltrera,Social Work
2074681,Betsy Rymes,Education
1803537,Sudipto Guha,Computer Science
1405107,Jed Esty,English
2380113,Thomas Farmer,Engineering
2761126,Jeff Iuliano,Physics
2670310,Lauren Russell,Economics
2885942,Philip Gehrman,Psychology
2944295,Marian Nozaleda,Languages
1407257,Douglas Frye,Education
1606024,Moshe Hazan,Economics
1861232,Lyle Ungar,Computer Science
1453049,Lorella Pritchett,Languages
1478084,Carla Cue,Writing
2073791,Isabell Cranz,Jewish Studies
2123642,Steven Hahn,History
887645,L. Scott Ward,Asian Studies
1605995,Gary Purpura,Philosophy
1606046,Jay Kirk,English
1606222,Phillip Rea,Biology
1793727,Jonathan Garces,Biology
1803293,Albert Matteo,Political Science
1879314,Christopher Murray,Chemistry
1911096,Julia Wilker,Classics
1280732,Emilio Parrado,Sociology
1376544,Donna Ruth King,African-American Studies
1410464,Susan Wachter,Business
2207632,Frani Pollack,Psychology
2284773,Karen Reivich,Psychology
2207639,Bridgette Brawner,Nursing
2455204,Michelle Evans-Chase,Social Work
1329124,Theodore Burnes,Education
1450711,Chad Lassiter,Social Work
1393198,Jason Rheins,Philosophy
1530625,Jessica Piotrowski,Communication
1984860,Daniel Mindiola,Chemistry
2497620,Hongzhi Li,Mathematics
2642014,Maite Borjabad,Design
898774,Dennis Culhane,Social Work
1282902,Barbra Mann-Wall,Nursing
2270054,Caroline Connolly,Psychology
2502332,Peter McGrath,Mathematics
2692738,Alec Gershberg,Economics
2698610,Kevin He,Economics
2763582,Jeff Johnson,Writing
2850018,Rowan  Machalow ,Education
2936087,Helen Jeoung,Writing
2984246,Marc Trussler,Political Science
2988491,Simone White,English
1899472,James Bedison,Geology
2092968,Melissa Bottiglio,Social Work
1606043,Allyn Jane Miner,Economics
1741084,Herman Beavers,English
1845191,Thomas Lubensky,Physics
1845185,Mike Lampson,Biology
1868581,Saul Rosenthal,Philosophy
1924275,Jackie Feldman,Sociology
1365446,Daniel Wagner,Education
1410276,Lawrence Eisenberg,Engineering
2160864,Julia Bloch,English
2285908,Cathan McGovern,Social Work
1157286,Johannes Vanerp,Mathematics
1357034,Christopher Nichols,History
1845188,Mrjam Cvetic,Physics
2074703,Yuko Goto-Butler,Education
2334832,Andy Rachlin,Political Science
2266866,Jaime Slonim,Education
2456379,Charles Johnson,Social Work
1796262,Kelsey Halliday Johnson,Fine Arts
1029550,Dawn Iacobucci,Marketing
877270,Audrey Mbeje,Languages
2175489,David Barreto,Languages
1624412,Ann Farnsworth-Alvear,History
2325500,Jamie Ludwig,Chemistry
2649757,Chris Lawrence,Design
2478257,John Landis,Design
2504525,Mikhail Strokan,Political Science
2620127,Anna Kucuk,Nursing
2666006,Kathleen DeMarco VanCleve,Film
2744773,Rachel Chaffin,Education
2847394,Kyle Schultz,Education
2850026,Amy Stornaiuolo,Education
2875046,Brooke O'Harra,Theater
2879814,Andreas Haeberlen,Computer Science
2886556,Sean Saxon,Languages
2886561,Maria Cuellar,Criminal Justice
2894448,Josephine  Russo,Social Science
2911537,Robyn Sanderson,Physics
2985536,Frances Shofer,Medicine
1835723,Sanjeevi Krishnan,Mathematics
2885945,Liz Rose,Women's Studies
3032530,Ozgur  Seker,Economics
2147806,Nicholas Klein,Architecture
2246146,Stephen Kadlecek,Physics
2939794,Keahnan Washington,Writing
1465172,Charles Siegel,Mathematics
2118896,Melissa Berrios-Johnson,Social Work
862015,Leif Finkel,Science
1607804,Lisa Mitchell,Asian Studies
1608815,Thomas Childers,History
1800234,Dianne Salter,Law
2170746,Max Cavitch,English
2207634,Christopher Coleman,Psychology
2237365,Steve Wilmot,Social Work
2157435,Antonella Grassi,Mathematics
1622924,Harry Birnbaum,Mathematics
1748468,Tymofiy Mylovanov,Economics
2393992,Marylin Huff,Chemistry
2395803,Steven Matthews,Economics
2456409,Chao Guo,Social Work
2564897,Kostas Daniilidis,Computer Science
2611892,James Joseph,Social Work
2637961,Lingxi Lu,Mathematics
2652222,Scott Poethig,Biology
1301855,Wei Tong,Medicine
2666908,Diane Waff,Classics
2850023,Bodong  Chen,Education
2875044,Andrew Meyer,Economics
2886570,Selma Feliciano-Arroyo,Languages
2928471,Glenda Goodman,Music
2074689,Robert Moore,Education
3056526,Kate Brassel,Classics
3070814,Stefano Puntoni,Marketing
687516,Paul Ducheyne,Engineering
1525986,Elisa Von Joeden-Forgey,History
1572583,Sandra Holloway,Psychology
1686066,Larry Hirschhorn,Engineering
1750715,Ezekiel Dixon-Roman,Social Work
1833908,Greg Guild,Biology
1845200,Vijay Balasubramanian,Physics
1169910,Paul Rozin,Psychology
1251168,Liliane Weissberg,Literature
2207636,Anne Mitchell,Nursing
1607807,Daud Ali,Asian Studies
2261852,Clark Erickson,Anthropology
1544628,Rahul Mangharam,Engineering
2323283,Charles Yang,Linguistics
2185821,Rob Willison,Philosophy
2496821,Paul Castellitto,Philosophy
1836260,Toorjo Ghose,Social Work
1699368,Jiyoon Lee,Education
2528533,Katherine Tomaskovic,Education
2591116,Emily Largent,Law
2593678,Paul Mitchell,History
2611894,Alan Irving,Social Work
2627647,Wendy Roth,Sociology
1330371,Rachel Margolis,Sociology
2625150,Michael Baime,Medicine
2670688,Wintre Johnson,Education
2678691,Bethany Monea,Education
2719904,Andre Dehon,Engineering
2748163,Millan AbiNader,Social Work
2771670,Brandon Krakowsky,Computer Science
2782020,Deion Dresser,Linguistics
2850030,Gerald Campano,Education
2885940,Hanh Nguyen,Languages
2916813,Gizem Saka,Finance
2939793,Jasmine Johnson,Ethnic Studies
2976749,Robert Borghese,Business
3011610,Masoud Movahed,Social Science
3053854,Samuel Jones,Education
3054352,Linda Grabner,Languages
