index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,5.0,MODPO,"Al is both an amazing human being as well as one of the most brilliant teachers I have ever had the privilege to study under. His focus on a pedagogy of inclusion, his pure love for his fellow humans, especially, but not limited to his students, is only matched by his knowledge and love of poetry.",False,2023-08-23 09:44:38,3.0,Audit/No Grade,5.0,False,False,5.0,Amazing lectures --Gives good feedback--Inspirational,-1.0,0,0,1.0,813929
1,mandatory,5.0,COURSERA,AL IS THE BEST!!! No one compares,False,2023-01-04 20:17:38,3.0,A+,5.0,True,False,5.0,Amazing lectures --Hilarious--Caring,-1.0,0,0,1.0,813929
2,mandatory,5.0,ENG088,"Al, that's what he'll want you to call him, is amazing! Truly everything you could ever dream of in a college prof. He honestly cares so much for his students' education. (Don't be afraid to ask for help/extensions)",False,2020-12-12 03:48:52,3.0,A,5.0,True,False,5.0,Get ready to read--Inspirational--Caring,0.0,0,0,1.0,813929
3,,5.0,MODPO,Changed my life. Opened up poetry to me. Opportunity to be a better poet and reader. Al rocks. ,False,2015-05-18 00:31:41,4.0,,5.0,False,True,5.0,,1.0,0,1,,813929
4,,5.0,MODPO,Al was an amazing 'lecturer' - learning comes about because we discover things - not because he tells us.  ,False,2015-05-15 10:23:01,3.0,,5.0,False,False,5.0,,1.0,0,0,,813929
5,N,5.0,MODPO,"ModPo is just a great course. Accessible, democratic, valuable and engaging. Prof. Filreis teaching style is always evolving and unique in its enthusiasm",False,2014-06-13 11:23:42,3.0,Audit/No_Grade,5.0,False,True,5.0,,2.0,0,0,,813929
6,N,5.0,COURSERA,"Brilliant, passionate, and a gifted teacher, Al Filreis is by far the best professor I have ever encountered, online or IRL. I've taken his Coursera Modern Poetry course twice, and have enrolled for the next session. It is such a joy to be part of this international group of learners.",False,2014-06-10 16:20:48,2.0,Audit/No_Grade,5.0,False,True,5.0,,2.0,0,0,,813929
7,,5.0,MODPO13,Amazing course. Amazing experience. Amazing professor.,False,2013-11-23 02:20:22,3.0,,5.0,False,True,5.0,,1.0,0,0,,813929
8,,4.0,MODPO2UPENN,My first MOOC.  I was fascinated with the whole process.  I came out of curiosity and stayed for the party without missing one assigned even though the course is ungraded.,False,2013-11-22 13:50:41,5.0,,5.0,False,True,5.0,,3.0,0,0,,813929
9,,4.0,MOPO13,Taught me how to close read a text. Highly recommend,False,2013-11-20 21:54:35,4.0,,5.0,False,True,5.0,,1.0,0,0,,813929
10,,5.0,MODPO2,"Al Filreis is amazingly charismatic, generous, and passionate about the material, the course, the MOOC pedagogy, and especially the people. He teaches with a disarming style that inspires his students to stay engaged, dig deeper, and continue learning and sharing great poems and poets. Easily one of the top professors I have ever had at any level.",False,2013-11-19 21:00:05,3.0,,5.0,False,True,5.0,,1.0,0,0,,813929
11,N,2.0,MODPO2013,The videos were mostly talking heads with no differences in the point of view among the participants. The pace was very uneven. I was extremely interested in the subject and have gone to other on line classes in order to get different perspectives and interpretations. Communications were generally unclear. My time could have been better spent.,False,2013-11-19 14:32:12,1.0,,5.0,False,True,4.0,,5.0,1,0,,813929
12,,5.0,MOPO2013,"Al is passionate, knowledgable, encouraging and hip. Any student who has a class with him is extremely fortunate.",False,2013-11-19 11:29:56,2.0,,5.0,False,True,5.0,,4.0,0,0,,813929
13,,5.0,MOPO2013,"Al is passionate, knowledgable, encouraging and hip.",False,2013-11-19 11:26:13,2.0,,5.0,False,True,5.0,,4.0,0,0,,813929
14,,5.0,MODPO2,"Incredible Experience, Excellent professor and staff",False,2013-11-19 10:56:17,4.0,,5.0,False,True,5.0,,1.0,0,0,,813929
15,,4.0,MODPO2,PROF.AL-Amazing: personally involved with so many students & accessible so many hours a day! Teaching style is top-level. Can't say enough good about this man. His course was a life-changing experience. I'll always be grateful. But rating categories seem more course related than prof. related. Al is outstanding  across the board! I took ModPo 2x!,False,2013-11-19 10:56:11,3.0,,5.0,False,True,5.0,,1.0,0,0,,813929
16,,5.0,MODPO2,ModPo with Al Filreis--who would believe that love and humanity could be measured in a MOOC?,False,2013-11-19 08:39:16,4.0,,5.0,False,True,5.0,,5.0,0,0,,813929
17,N,5.0,MODPO2012,"Attendance not mandatory, but I am still going to class.  Simply the best.",False,2013-11-19 00:24:41,4.0,Not_Sure_Yet,5.0,False,True,5.0,,5.0,0,0,,813929
18,,5.0,MODPO2013,"Al Filreis is an enthusiastic, open-minded, intelligent, and welcoming prof, who's passionate about his subject, about teaching, collaboration, and discussion. His is an amazing, eye-opening course.",False,2013-11-18 23:20:20,3.0,,5.0,False,True,5.0,,4.0,0,0,,813929
19,,5.0,MODPO,great,False,2013-11-18 20:36:22,1.0,,5.0,False,True,5.0,,1.0,0,0,,813929
20,,5.0,MODPO13,Superb and enthusiastic teacher. He makes interesting material even more fascinating. Take any class from this professor. You'll learn a lot more than you expected. He'll become one of your favorite teachers now and one of your most remembered teachers later.,False,2013-11-18 19:54:20,3.0,,5.0,False,True,5.0,,1.0,0,0,,813929
21,,4.0,MODPO,Most excellent Mooc,False,2013-11-18 18:55:53,3.0,,5.0,False,True,5.0,,2.0,0,0,,813929
22,,4.0,MODPO,"An amazing life-changing course, taught by a passionate, exceptional professor. I doubt very much there is another of these types of courses being taught with this kind of enthusiasm and dedication, which is a shame. These are hopefully the classrooms of the future; we need to clone Al Filreis to make them a reality.",False,2013-11-18 17:41:52,3.0,,4.0,False,True,4.0,,3.0,0,0,,813929
23,,5.0,MODPO2013,"modpo: greatest course ever taken... so far... until next year, when modpo's back!",False,2013-11-18 16:28:31,1.0,,5.0,False,True,5.0,,5.0,0,0,,813929
24,,5.0,ENG100,"this online class advances the absurd proposal that it is possible to teach a course on modern american poetry to a football stadium full of people in a pedagogically valid manner and then proceeds to accomplish just that. this course doesn't give you a fish, it teaches you how to fish.",False,2013-11-18 16:27:32,3.0,,5.0,False,True,5.0,,1.0,0,0,,813929
25,,5.0,COURSERAMODPO,"Warm, fair, gentle, intelligent, helpful",False,2013-11-18 15:44:52,1.0,,5.0,False,True,5.0,,5.0,0,0,,813929
26,,4.0,MODPO,Al is an inspirational teacher and I'm just one more of thousands who found ModPo enormously enriching and rewarding.  Thank you!,False,2013-11-18 15:16:07,3.0,,5.0,False,True,5.0,,4.0,0,0,,813929
27,,5.0,MODPO,Al brought such an incredible amount of passion and interest to this course and really made the experience so enjoyable and emotional for me. He really is a wonderful teacher,False,2013-11-18 15:07:52,2.0,,4.0,False,True,5.0,,1.0,0,0,,813929
28,,5.0,MODPO,"This is it. Al is the best. Modpo is more than a course, it's an international poetry salon on a mission.",False,2013-11-18 14:28:03,3.0,,5.0,False,True,5.0,,1.0,0,0,,813929
29,,4.0,MODPO1,Al is one of a kind. I was amazed at the extent to which the course was an emotional experience and not merely an intellectual one. One  senses a personal relationship with Al and the TA's even if you are thousands of miles away on a different continent. I would   love to meet them.,False,2013-07-01 14:12:28,3.0,,5.0,False,True,5.0,,1.0,0,0,,813929
30,,5.0,ENG088,Wonderful professor.  Spent inordinate amount of time teaching this course.  Learned more in this course than in any other humanities course I have ever taken.,False,2012-12-16 23:39:21,3.0,,5.0,False,False,5.0,,1.0,0,0,,813929
31,,5.0,MODPOENG,I really enjoyed the video sessions by Prof Al Filreis. He had a unique style which made learning such fun and at the same time one think deeply over issues that were universal.He is an inspiring teacher with a natural flair for skilled classroom presentations.,False,2012-12-07 09:19:59,1.0,,5.0,False,False,5.0,,3.0,0,0,,813929
32,,5.0,MODPO1,"I did not imagine that an online course in poetry could be so compelling and involving for students.  Al reached out through forums, videos, weekly call-in programs, etc to let every student be engaged in poetry.  His passion for modern poetry was contagious!",False,2012-12-06 17:31:32,3.0,,5.0,False,False,5.0,,5.0,0,0,,813929
33,,5.0,MODPO1,"Al did what I would not have thought possible: created an online environment where he was able to convey his knowledge and his passion for poetry to a huge audience. He did it through enthusiasm and commitment. His level of engagement was incredible. Anywhere you went in the discussion forums, Al was there. He's STILL there; and so are we.",False,2012-12-05 13:49:23,4.0,,5.0,False,False,5.0,,1.0,0,0,,813929
34,,5.0,MODPO1,"Professor Al Filreis is both passionate and well versed in poetry. Areas of study as subjective and often abstract as this one require just such a teacher. In the on-line course, I was impressed by his commitment to reaching out to the 30,000+ students. He constantly appeared on numerous threads numerous times. Al gave us a key to  all poetry.",False,2012-12-05 10:55:18,4.0,,5.0,False,False,5.0,,1.0,0,0,,813929
35,,5.0,MODPOLIT,Al is very involved in the day activities of the class.  He was involved daily in discussion board and our FB Modpo group discussions.  I found myself immersed in the material presented in the class and the lessons and insights gleaned from Modpo have carried over into my day to day life.,False,2012-12-05 09:44:51,4.0,,5.0,False,False,5.0,,1.0,0,0,,813929
36,,5.0,MODPO1,"Al Filreis made the course of Modern and Contemporary American Poetry incredibly interesting. What is very valuable in the work of Professor Filreis is that he tries not to leave without the answer any question, what could seem impossible in MOOCs.",False,2012-12-05 07:54:26,4.0,,5.0,False,False,5.0,,2.0,0,0,,813929
37,,5.0,MODPOLIT,"He helps one see poets and writers in a new light as if they had been partially hidden in chiaroscuro until then. He expounds his ideas in socratic fashion, so that one comes to understand what one otherwise may have missed about their worth. Most of all he helps one feel they can be part of what literature is all about.",False,2012-12-05 04:37:21,2.0,,5.0,False,False,5.0,,5.0,0,0,,813929
38,,5.0,ENG1,Great course. Fabulous professor. Awesome TAs.,False,2012-12-04 00:00:10,3.0,,5.0,False,False,5.0,,1.0,0,0,,813929
39,,4.0,MODPO101,He provided a challenging and satisfying overview of modern and contemporary American poetry.  His use of a roundtable discussion rather than lecture format provided an high-interest learning environment.,False,2012-12-03 16:34:59,5.0,,5.0,False,False,5.0,,1.0,0,0,,813929
40,,5.0,MODPOCOUR,I took the inaugural Coursera MOOC for UPenn's English 88 called Modern and Contemporary Poetry with students from all over the world.  Prof Filreis taught me how to read a poem and made the process relevant to my life to the point that I plan to be his student forever.  He is fantastic and demanding (and deserving) of one's best efforts.,False,2012-12-03 16:04:18,4.0,,5.0,False,False,5.0,,1.0,0,0,,813929
41,,5.0,ENG101,"Excellent class. Al Filreis is an excellent teacher who seems be able draw your interaction even though you are 3,000 miles away taking this online course. He has really added to my poetry experience. Take this online class (Modern&Cont Amer Poetry) through Coursera next Sept (2013).",False,2012-12-03 15:07:51,2.0,,5.0,False,False,5.0,,1.0,0,0,,813929
42,,4.0,ENG100,"His enthusiasm and interaction with the students MADE the class! What a wonderful, engaging, and terrific course this was on Modern and Contemporary Poetry!",False,2012-12-03 14:21:54,4.0,,5.0,False,False,5.0,,1.0,0,0,,813929
43,,5.0,MODPO001,"Al Filreis is truly one of the finest teachers I have encountered at any level from kindergarten through graduate school: scholarly but down-to-earth, pedagogically expert, creative, witty, warm, congenial, helpful, generous of his time and spirit. He IS ModPo. I would truly take anything he teaches.",False,2012-12-03 14:09:54,3.0,,5.0,False,False,5.0,,1.0,0,0,,813929
44,,5.0,ENGL100,"Fantastic. Best course on any subject I have ever taken, and that's a lot of courses.",False,2012-12-02 21:47:02,4.0,,5.0,False,False,5.0,,1.0,0,0,,813929
45,,5.0,MODPO101,"Great professor and excellent class I took with him on Coursera. You will love any class with Al- he's friendly, engaging, and helpful.",False,2012-12-01 12:04:29,3.0,,5.0,False,False,5.0,,2.0,0,0,,813929
