id,name,department
8247,Laurel Roberts,Biological Sciences
1030107,Carol Fortney,Chemistry
1927298,Erica McGreevy,Biological Sciences
290124,Michael Golde,Chemistry
99312,George Bandik,Chemistry
225480,Peter Bell,Chemistry
8249,Angela Athanas,Mathematics
1224972,Laura Zapanta,Biological Sciences
1623110,Matteo Broccio,Physics
2118162,Melinda Ciccocioppo,Psychology
93056,Jacalyn Newman,Biological Sciences
2056648,Lesley Ashmore,Biological Sciences
1178279,Barbara Kucinski,Psychology
91976,Jim Kenkel,Economics
1523874,Tamika Madison,Chemistry
461510,Eugene Wagner,Chemistry
1762552,Candice Damiani,Biological Sciences
1785203,Xinyu Liu,Chemistry
1859722,Margaret Vines,Chemistry
1695533,Jennifer Cousins,Psychology
355586,Adrian Michael,Chemistry
2268,Joseph Grabowski,Chemistry
131964,Jennifer Ganger,Psychology
127587,Anthony Bledsoe,Biological Sciences
130187,Catherine Duane-Lennard,Mathematics
2819257,Alexander Spore,Chemistry
264389,Cynthia Lausberg,Psychology
93662,Elayne Arrington,Mathematics
77983,Daniel Budny,Engineering
1846554,David Nero,Physics
487524,Natasha Tokowicz,Psychology
130196,Robert Atkin,Business
1972623,Aaron Bernstine,Business Administration
211376,Susan Maleckar,Chemistry
9338,John Ramirez,Computer Science
2044062,Kathryn Gardner,Biological Sciences
1190761,Jeffrey Wheeler,Mathematics
2427542,Nathan Brouwer,Biological Sciences
1013610,Scott Nelson,Chemistry
1215818,Zuzana Swigonova,Biology
92088,Mark Strauss,Psychology
908519,Svitlana Maksymenko,Economics
2105120,Sean Garrett-Roe,Chemistry
1241623,Allan Zuckoff,Psychology
88385,Beverly Michael,Mathematics
1005875,Debra Artim,Neuropsychiatry
308894,Ericka Huston,Chemistry
2273394,Linda O'Reilly,Biological Sciences
353536,Jake Dechant,Nursing
2427543,Abagael West,Biological Sciences
1931577,Bryan Nelson,Statistics
1745847,Sheng Xiong,Mathematics
898119,James Maloy,Economics
1091402,Thomas Everest,Mathematics
1775116,Samuel Donovan,Biology
263299,Rebecca Denova,Religious Studies
93054,Mike Epitropoulos,Social Science
1988056,Carey Treado,Economics
89106,John Gareis,Communication
2055608,William Garrison,Computer Science
1095127,Hanna Salman,Physics
1678693,Timothy Hoffman,Computer Science
90309,Kazunori Koide,Chemistry
1348010,Kiersten Maryott,Marketing
2224251,Matthew Barry,Mechanical Engineering
91845,Paul Floreancig,Chemistry
67181,Leonard Kogut,Science
57317,Chad Zutter,Business
70263,Edward Stricker,Neuropsychiatry
2459327,Yiming Wang,Chemistry
1304293,Michelle Ward,Chemistry
1660667,Ryan Teeter,Business & Accounting
2200150,Margarita Zabelina,Economics
1091424,Vladimir Savinov,Physics
2051281,Daniel Hockensmith,Mathematics
2246651,Michelle Morgan,Chemistry
141380,Donald (Don) Bonidie,Computer Science
2415058,Melanie Good,Physics
92701,Russell Clark,Science
493257,Jonathan Misurda,Computer Science
1894664,Nick Farnan,Computer Science
2184682,David Hewitt,Economics
148318,George Sparling,Mathematics
2355461,Kristina Paris,Statistics
67828,Xinfu Chen,Mathematics
9347,John Aronis,Computer Science
226864,Richard Wendell,Business
188449,Marc Bermann,Anthropology
1178400,Sandhya Rao,Astronomy
189137,Toby Chapman,Chemistry
332074,Folke Kafka,Business
197857,Leslie Hammond,History
130022,Ray Jones,Business
18594,Richard Scaglion,Anthropology
234244,Tara Meyer,Chemistry
1898556,Hannah Morris,Chemistry
1865727,Paulo Brasko,Computational Science
263579,Richard Moreland,Psychology
79750,William Coffman,Science
88725,Shirley Cassing,Economics
91978,Carl Bodenschatz,Statistics
2354970,Jarrett Billingsley,Computer Science
70931,Rob Ruck,History
88729,Charles Jones,Geology
104820,Thomas Crock,Mathematics
2439339,Roxana-Irina Popescu,Mathematics
294515,Robert Devaty,Physics
2705515,David Outomuro Priede,Biological Sciences
2613359,Jonathan Auxier,Literature
2047430,Linhong Wang,Mathematics
647528,Piotr Hajlasz,Mathematics
108771,Bernard Hagerty,History
470153,Margaret Judd,Anthropology
69678,David Brumble,English
237451,Liann Tsoukas,History
1863081,Thumrongsak Kosiyatrakul,Computer Science
2918405,Tricia Shepherd,Chemistry
266928,Alan Sved,Neuropsychiatry
937150,Laurel Chiappetta,Statistics
258903,Nancy Pfenning,Mathematics
103217,Christopher Lennard,Mathematics
1226334,Evgueni Trofimov,Mathematics
534006,Gg Hegde,Business
2204858,Jeremiah Morgan,Mathematics
2293793,David Ewing,Chemistry
2313893,Sherif Khattab,Computer Science
344624,Karen Shastri,Business & Accounting
2363146,Vasili Rukhadze,Political Science
984170,Meredith Guthrie,Communication
97157,Richard Sherwin,Science
93039,Nicholas Jones,Classics
324093,Alton Post,Languages
2287959,Marc Coutanche,Psychology
1345237,Elise Boyas,Business
2496243,Kuei-Nin Tseng,Chemistry
2630691,Sherwin Cedeno,Statistics
2631911,Rebecca Badawy,Business
907073,Andrew Lotz,Political Science
166882,Gretchen Bender,Architecture
642739,Nelly SantaMaria,Psychology
356911,Eleni Anastasiou,English
1047076,Tim Nokes-Malach,Psychology
1928631,Kabirul Islam,Chemistry
137472,Patrick Rabier,Mathematics
171341,Mark Best,Literature
903486,Robert Slammon,Sociology
1931593,Shiting Bao,Mathematics
254947,Bryan Hanks,Anthropology
2719631,Rory Carroll,Biological Sciences
604463,Gary Florkowski,Business
2351899,Ruth Mihalyi,Statistics
347161,Jeffrey Cohn,Psychology
1710140,Nadya Povysheva,Biology
750070,Eric Beeko,African Studies
1609876,Kenneth Salzer,English Language & Literature
375308,Jocelyn Kauffunger,Accounting
1663246,Jude Hays,Political Science
88784,Karen Bursic,Industrial Engineering
62133,Karen Curto,Science
1041709,Inna Sysoeva,Mathematics
250260,John Burk,Mathematics
94056,Tony Novosel,History
376329,Lydia Daniels,Biology
271946,Susan Godfrey,Biology
1152510,David Gau,Chemistry
475148,Barbara Burstin,History
1486882,Mike Devine,Computer Science
263373,Nathan Firestone,Political Science
120563,Joseph Alter,Anthropology
263555,Walter Carson,Biology
2058330,Michael Mackenzie,Political Science
333775,Erik Reichle,Psychology
138031,Patrick Altdorfer,Political Science
88342,Maureen Greenwald,History
2804547,Young Ahn,Biological Sciences
189896,Rosemary Capo,Geology
2044983,Erika Fanselow,Neuroscience
1920853,Cezar Lupu,Mathematics
120564,Charles Gochman,Political Science
130025,Olivier De Montmollin,Anthropology
88376,Wayne Seelhorst,Mathematics
1196184,Yoko Suzuki,Music
462884,Lorraine Denman,Italian
552503,Craig Wilcox,Chemistry
1378056,Paul Klein,Business
2333695,Jeffrey Vargson,Mathematics
2429565,Neal Becker,Economics
2729264,Saoirse McSharry,Biological Sciences
2558252,H. Blair Pomeroy,Business Administration
70524,Dan Romesberg,Social Science
88325,Peter Koehler,Science
2244274,Kevin Shaver,Economics
367316,Scott Smith,History
91981,Ronald Judy,English
2447491,Luis Oliveira,Computer Science
604537,Neil Fogarty,Business Administration
89528,Steve Jacobs,Engineering
2891832,Niraja  Kurapati,Chemistry
192628,David Cercone,Criminal Justice
318557,Guy Peters,Political Science
90312,Yibiao Pan,Mathematics
1564398,Amine Hallab,Mathematics
854168,William Hawthorne,Psychology
318528,Anna Vainchtein,Mathematics
779945,Brian Primack,Medicine
88456,Janet Kafka,English
252100,Chris Bonneau,Political Science
370471,Sybil Streeter,Psychology
548486,Marylou Gramm,English
192626,David Defazio,Legal Studies
1470716,John Chadam,Mathematics
1136664,Andy Korzeniewski,Classics
2022172,Amanda Forest,Psychology
88782,Nathan Davis,Music
273682,Kay Brummond,Chemistry
1846217,Benjamin Rottman,Psychology
581455,Carolyn Kerr,Writing
777718,Christian Schunn,Psychology
2315806,William Spaniel,Political Science
1928098,Scott Mough,Chemistry
2242869,Scott Stuckman,Biological Sciences
93738,David Birnbaum,Ethnic Studies
126144,Katherine Wolfe,Economics
198649,Gregory Constantine,Mathematics
166278,Linda Rinaman,Science
9339,George Novacky,Computer Science
2381832,Lingfeng Liu,Chemistry
2653488,Kiran Nihlani,Statistics
2438955,Paul Mlodgenski,Biological Sciences
2666140,Anne Yust,Mathematics
1483022,Robert Metil,Russian Studies
542764,Gerard Campbell,Biological Sciences
71573,Uma Satyavolu Rau,English
1885467,Gabby Yearwood,Anthropology
370842,Harry Sanabria,Anthropology
1354724,Robert Kaufman,Nursing
100883,Craig Peebles,Biological Sciences
1806476,Geoffrey Glover,English
1421508,Fatma El-Hamidi,Economics
90159,Jeremy Levy,Physics
146202,Michael Goodhart,Political Science
1390674,Sabrina Robinson,Russian Studies
343598,Neale Hahn,Mathematics
88405,Janelle Greenberg,History
869073,Nancy Kaufmann,Science
1025932,David Pratt,Chemistry
2466945,Vinicius Petrucci,Computer Science
259296,Donna Naples,Physics
2250835,Irene Mena,Engineering
860860,Doretta Whalen,Music
109314,Ron Linden,Political Science
173320,Barry Mitnick,Business
349066,Michael West,English
263972,Michael Perloff,Philosophy
2681767,Jared Lemus,English
109371,Ingrid Mundari,English
108201,Alan Irvine,Social Science
1050286,Julie Beaulieu,English
123280,Jeffrey Schwartz,Anthropology
93349,Jay Sukits,Business
596052,Brenda Whitney,English
2550248,J.D. Wright,Russian Studies
146199,Peter Karsten,History
21782,Shi-Kuo Chang,Computer Science
934139,Alexander Star,Chemistry
2439980,Junshu Bao,Statistics
138892,Alexandros Labrinidis,Computer Science
131510,Mike Ramsey,Geology
331801,Tim Brundrett,Sociology
1615730,Laura Brown,Anthropology
97449,Paul Gartside,Mathematics
338379,Michael Siegel,Anthropology
367214,Alan Juffs,Linguistics
978112,Clark Chilson,Religion
1847400,Laura Paler,Political Science
1405515,William Horne,Chemistry
134561,Paula Kane,Theology
909732,George Krause,Political Science
2178525,Jevon Heath,Linguistics
367782,Jennifer Lee,Writing
2025202,Heidi Bartholomew,Business
2629638,Anna Newman-Griffis,Biology
472263,Louis Gentile,Criminal Justice
496719,Vijai Singh,Sociology
2288262,Rachid Belhachemi,Applied Mathematics
88454,Curtis Breight,Literature
604459,Dhinu Srinivasan,Accounting
906630,Jeff Aziz,English
2008947,Brock Bahler,Religious Studies
90304,Ivanka Nikolova,Computer Science
568093,Chip Crane,Russian
980783,Josh Ellenbogen,Art History
1642797,Jackie Smith,Sociology
370795,Thomas McKechnie,Political Science
330756,Ann Weis,Art History
2829970,Altaf Ahmad,Business
2186029,Jocelyn Carlin,Business & Accounting
2279166,Peng Liu,Chemistry
259386,Debbie Good,Business
194155,Elizabeth Wylie-Ernst,Languages
2880655,Krista Foster,Business Administration
2540787,Trevor Young-Hyman,Business Administration
988889,Brett Wells,French
151059,Allan MacQuarrie,Accounting
98537,Stephen Carr,English
281199,Cathy Lennard,Mathematics
1068693,Lenka Pankova,Russian
95906,Susan Sesack,Science
1081919,Brenton Malin,Communication
2430498,Linda O'Reilly,Biology
711263,Karen Block,Statistics
561945,Robert Gilbert,Marketing
880300,Frayda Cohen,Women's Studies
1635762,Andrew Koch,Finance
468656,Blenda Feminias,Anthropology
2939489,Liesje Steenkiste,Biology
192624,David Korman,Criminal Justice
98974,John Patzer,Engineering
211377,Gordon Weinberg,Mathematics
181296,Lori Campbell,English
88379,William Troy,Mathematics
329322,Anibal Sebastian Perez-Linan,Political Science
88448,Ken Boas,Literature
163115,Rick Schaub,Engineering
2572159,Craig Kaplan,Biology
786882,Ulrike Malandro,German
2188934,Nicole Cade,Business
264785,Brian Stewart,Geology
2334163,Sarah Quesen,Statistics
126026,Yasir Khalifa,Computer Science
255851,Chris Tomer,Information Science
1193721,Arundhati Ghosh,Biological Sciences
126798,Panos Chrysanthis,Computer Science
345378,Troy Boone,English
2724676,Taylor Weidman,Economics
124305,Joseph Boudreau,Physics
264507,Robert Perkoski,Information Science
2129311,Burhan Gharaibeh,Biological Sciences
1914113,David Sanchez,Engineering
90110,Bruce Childers,Computer Science
88765,Frank Beatrous,Mathematics
69683,Carolyn Carson,Urban Studies
298417,Mark Wilson,Philosophy
90157,John Lyon,Languages
135400,George Reid Andrews,History
147487,X. L. Wu,Physics
12992,Allen Galpern,History
99507,Franklin Toker,Art History
493052,Ellen Bishop,Film
519694,Gerald Shuster,Communication
2531864,Lisa McIlvried,Neuroscience
99306,David Bearce,Political Science
932415,Carol Bove,English
186010,Marcus Rediker,History
390985,Susan Shaiman,Health Science
1259516,Mark Kramer,English
1271857,Natasa Vidic,Industrial Engineering
397814,Michael Thompson,Philosophy
2831619,Srawan Bishnoi,Statistics
1091425,Chandralekha Singh,Physics
157681,Sachiko Takabatake Howard,East Asian Lang. & Literature
1898744,William Laboon,Computer Science
2167851,Wonsun Ahn,Computer Science
2589180,Azime Can-Cimino,Engineering
314783,Valerie Oke,Biology
88727,Herbert Chesler,Economics
