id,name,department
1176821,Michael Rizzo,Economics
1652306,Benjamin Hafensteiner,Chemistry
71418,Steven Landsburg,Economics
22421,Ted Pawlicki,Computer Science
1620207,Michael Clark,Biology
2734328,Cantay Caliskan,Computer Science
498649,Robert Minckley,Biology
48743,Tony Olek,Science
2504183,Adam Sefkow,Engineering
1282000,Chris Niemiec,Psychology
1934502,Kevin Davis,Brain  Cognitive Sciences
1484680,Marie-Joelle Estrada,Psychology
109712,Thomas Krugh,Science
2464927,Eustrat Zhupa,Computer Science
1705694,George Ferguson,Computer Science
23790,Andrew Elliott,Psychology
653121,Josh Goodman,Chemistry
23800,Nicholas Zaino,Mathematics
18525,Gerald Gamm,Political Science
430155,Joseph Dinnocenzo,Chemistry
1487509,Mark Herman,Mathematics
2552765,Katherine Grzesik,Mathematics
409151,Elaine Sia,Biology
378496,Lewis Rothberg,Chemistry
2523215,Adam Purtee,Computer Science
65521,Douglas Brooks,Religion
23951,Mark Bils,Economics
25371,Earl Conee,Philosophy
915493,Sema Salur,Mathematics
104526,George Grella,English
2299811,Joseph Ciminelli,Mathematics
588489,Anne Merideth,Religion
155159,Jon Pakianathan,Mathematics
104136,David Foster,Chemical Engineering
2737129,Chung-Lin Yang,Brain & Cognitive Sciences
388880,Hein Goemans,Political Science
374556,Frank Wolfs,Physics
217185,Bonnie Meguid,Political Science
504560,James Farrar,Chemistry
989595,Stuart Jordan,Political Science
50505,Naomi Jochnowitz,Mathematics
23791,Dale McAdam,Psychology
2603764,Alexis Stein,Biology
136597,Jack Mottley,Engineering
556048,Jason Titus,Music
706917,Terry Platt,Biology
1346149,Maria McDermott,Mathematics
2438126,Laura Slane,Engineering
1853401,Kalyani Madhu,Mathematics
109710,David Primo,Political Science
2411165,Ellen Matson,Chemistry
14255,Sarah Higley,English
1757486,Jiebo Luo,Computer Science
338411,Todd Krauss,Chemistry
1794444,William Fitzpatrick,Philosophy
735949,Michael Scott,Computer Science
1047731,Doug Ravenel,Mathematics
393137,Carl Mueller,Mathematics
1354533,Nese Yildiz,Economics
267659,Renato Perucchio,Engineering
458482,Thomas Eickbush,Biology
2822025,Aruni Jayathilaka,Computer Science
2215713,Amanda Tucker,Mathematics
127067,Andree Douchin,Languages
126778,Stewart Weaver,History
136608,Richard Kaeuper,History
2932726,Eric Gelsomin,Accounting
351375,David Bleich,English
785432,Matthew BaileyShea,Music
228258,Bruce Toder,Chemistry
708952,Saul Lubkin,Mathematics
101227,Robert Holmes,Philosophy
402611,Elias Mandala,History
381032,Douglas Haessig,Mathematics
66448,Steve Manly,Science
2356350,Derek Mohr,Business
2765919,Elizabeth Ashby,Economics
2715479,Courtney Stanford,Chemistry
1825200,Roy Jones,Marketing
1837878,Kirt Komocki,Languages
113996,Alex Pouget,Science
23798,Sharon Willis,Art History
48554,James Longenbach,English
123242,Kevin Clarke,Political Science
1664585,Karen Berger,Science
115271,Dean Harper,Social Science
591735,Bob Loughridge,Not Specified
567001,James Johnson,Political Science
2235653,Javier Bautista,Mathematics
1803938,Daniel Stefankovic,Computer Science
926351,Jason Middleton,Film
1803035,Harry Groenevelt,Business
2760311,Hamid Firooz,Economics
2561830,Ajay Anand,Computer Science
607083,Thomas Tucker,Mathematics
2168258,Richard Sarkis,Computer Science
76243,John Givens,Literature
