index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,5.0,ECON108,"Weekly homework that is writing heavy. The class teaches a mindset, which you will take with you, and truly embracing this mindset makes the completion of the exams and homework significantly easier. The recitations, while optional, are very enjoyable. Very open during office hours where very enjoyable conversations can be had.",False,2025-01-12 05:37:38,2.0,A,5.0,True,False,5.0,,-1.0,0,0,1.0,1176821
1,non mandatory,5.0,108,Rizzo is a cool guy. Fun lectures and is truly interested in making you love learning. Be curious and attend lectures or else this class will be a living nightmare. Some of the homeworks are kinda redundant but overall a great class to take.,False,2024-12-24 04:22:20,3.0,A,5.0,True,False,5.0,,-1.0,0,0,1.0,1176821
2,non mandatory,5.0,108,"Everyone says that Rizzo is a nutcase, and they're probably right, but his class was fun and although there was a lot of complaining, the workload wasn't that bad. TAs grade all your assignments and you can use ChatGPT on everything, even tests, but don't let that fool you into thinking its an easy A. Overall pretty good class would take again.",False,2024-12-20 00:21:26,2.0,A,5.0,True,False,5.0,Inspirational--Lots of homework--Hilarious,-1.0,0,0,1.0,1176821
3,non mandatory,2.0,ECO108,"Took this class out of pure curiosity. It's definitely a hard class, and the way to a good understanding of the material is murky at best (hence the low rating, this class should be made more accessible), but it's fun if you appreciate learning that's more than rote memorization. ",False,2024-12-16 03:54:05,4.0,A-,2.0,True,False,2.0,Tough grader--Get ready to read--Amazing lectures ,-1.0,0,0,1.0,1176821
4,non mandatory,1.0,108,"Worst unorganized lectures I have ever attended. A 5 year old with a lisp could teach economics better. The tests seem to consist of his diary entries and are graded harshly. First two were open note probably because he knows none of his teachings make any sense. Very subjective questions, none of the tests are multiple choice. So much homework. ",False,2024-12-13 23:49:07,4.0,Not sure yet,1.0,True,False,1.0,Tough grader--Lots of homework--So many papers,3.0,0,0,,1176821
5,non mandatory,2.0,108,"Only take this class if ALL of the following is true:

1. You're a good test taker. Tests are nightmarish: ten short essays with convoluted prompts. NO NOTES OR CHATGPT.

2. A philosophical approach works for you, and you can teach yourself math. 

3. An interesting class is more important to you than your final grade.


",False,2024-12-07 16:37:47,4.0,A-,2.0,True,False,2.0,Tough grader--Lots of homework--Lecture heavy,-1.0,1,0,,1176821
6,non mandatory,5.0,108,"One of the best professors I have ever had. Would definitely take a class with him again if I had the opportunity to do so. His style of teaching a little different, but if you get used to it, there's no class more fun and interesting than Econ 108 with Rizzo",False,2024-11-22 14:30:05,4.0,A+,5.0,True,False,5.0,Tough grader--Amazing lectures --Lots of homework,-1.0,0,0,1.0,1176821
7,non mandatory,5.0,108,Good man good lecture,False,2024-11-12 02:41:43,1.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Lecture heavy,-1.0,0,0,1.0,1176821
8,non mandatory,1.0,108,"never ever take this professor, his lecture makes no sense, and never teach you what is economic, instead he just be yapping about why his wife left him and other nonsense. The test is useless,  three hour long, and ten short essays, what people do is just copy from chatgpt ",False,2024-11-11 16:17:29,5.0,A,1.0,True,False,1.0,Tough grader--Lots of homework--So many papers,-1.0,0,1,,1176821
9,non mandatory,3.0,ECO108,He's big on yapping and you'll never know what he's trying to teach you. It's obvious he knows a lot about economics but he's bad at teaching the concepts without talking about his ex wife or kids (specifically his daughter). No one scores well on the tests and they are not curved. I have to take him again but would prefer not to. ,False,2024-11-10 20:58:38,5.0,A-,3.0,True,False,3.0,Tough grader--Test heavy,-1.0,0,0,1.0,1176821
