id,name,department
372680,Ashok Upadhyaya,Biology
840369,Andrew Artis,Marketing
200196,Marvin Karlins,Business
392538,Barbara Warner,Information Science
824656,Jennifer Cainas,Accounting
998926,Kimberly Fields,Chemistry
195860,Mark Dummeldinger,Mathematics
1846716,Daniel Cruz,Chemistry
1511899,Amber Bieske,Mathematics
305910,Milton Johnston,Chemistry
168533,Johnny El-Rady,Biology
1022020,Robert Criss,Physics
481637,John Napora,Anthropology
390837,Karim Nohra,Engineering
1362106,Venkateswara Mudunuru,Mathematics
254244,Scott Besley,Finance
715032,Christina Partin,Sociology
446707,Kenneth Caswell,Chemistry
384453,Gerald Woods,Physics
1170929,Kevin MacKay,Physics
188618,Paul Schneider,Religious Studies
1745050,William Brazelle,Anatomy
1168180,Dennis Walpole,Business
134070,Dell deChant,Religious Studies
72341,Terry Sincich,Business
882522,James Van Elswyk,Health Science
201287,Kirpal Bisht,Chemistry
243591,Jane Noll,Psychology
2707845,Jason Keyser,Philosophy
1317726,Arthur Danielyan,Mathematics
1610682,Erika Martinez,Economics
1267390,Richard Kelso,Business
1695465,Chantale Begin,Biology
1181124,Kenyon Daniel,Biology
282380,Fernando Burgos,Mathematics
710483,Kenneth J Malmberg,Psychology
2190947,Prashanth Rao,Biology
1361496,Chris Osovitz,Biology
354082,Douglas Lunsford,Social Science
2308930,Christian Tang,Chemistry
1846191,Brendan Cook,Humanities
493955,Frances Hopf,Mathematics
541172,Henrick Jeanty,Engineering
1936061,Ivan Rothstein,Mathematics
131790,Rick Wilber,Communication
734524,Steve Morris,Nursing
2314114,Robert Connelly,Mathematics
805601,Scott Grizzard,Mathematics
234344,Karla Davis-Salazar,Anthropology
1405048,Tony Pham,Chemistry
265109,Rebecca O'Malley,Chemistry
370401,Robert Welker,Law
603046,David Merkler,Biochemistry
648874,Scott Lewis,Chemistry
796159,Susan McAveety,Mathematics
530008,Thomas Sanocki,Psychology
1917855,Rong Zhang,Chemistry
404672,Sean McAveety,Mathematics
940925,Solomon Weldegirma,Chemistry
131824,Scott Rimbey,Mathematics
117821,Bryan Shuler,Humanities
779779,Judy McIlrath,Science
1951170,Gauri Pradhan,Physics
381683,Janna Merrick,Political Science
888752,Eric Sikorski,Anatomy
1181315,Chris Maltezos,Theater
648705,Jack Wilkins,Music
375999,Michael Kleiman,Sociology
433993,Marc Defant,Geology
2165923,Sherrisse Bryant,Chemistry
249214,Allison Cleveland,Biology
1590310,Frankie Costanza,Chemistry
155044,Sue Bartlett,Economics
128898,Eleanor Snow,Science
194025,Manoug Manougian,Mathematics
381273,Richard Pollenz,Biology
402094,Mohamed Elhamdadi,Mathematics
1438455,Greg Smersh,Finance & Real Estate
133872,Steven Tauber,Political Science
242100,Dave Agresti,Criminal Justice
392528,Weyman Whitlock,Information Science
1499546,Don Saunders,Religious Studies
523737,Tori Lockler,Religious Studies
1758603,Jill Dizona,Mathematics
40616,Mark Hafen,Geography
614422,My Lien Dao,Biology
242095,Li-June Ming,Chemistry
380124,Celina Jozsi,Accounting
2164264,Judy Ratliff,Chemistry
773181,Kathleen Heide,Criminal Justice
602283,Jennifer Friedman,Sociology
617025,Garrett Matthews,Physics
1508188,Antoinette Criss,Economics
578876,Kanaka Nallamshetty,Mathematics
1870907,Stephen Lappano,Business
1853537,Chad Dube,Mathematics
392077,Edward Ford,Anthropology
1649915,Nicholas Hall,Anatomy
238072,Robert Mertzman,Physical Ed
158483,Igor Chitikov,Mathematics
2044124,Alexander McCormick,Physics
1178775,Alaa Hashim,Chemistry
428667,Sara Crawley,Women's Studies
1837470,Jeffrey Raker,Chemistry
234759,J Edwin Benton,Political Science
479635,Robert Hudson,Architecture
523114,Marcus McWaters,Mathematics
2543620,Zachary Forrest,Mathematics
1999723,Haydn Rubelmann,Biology
834940,Paula Cate,Education
2376354,John Theado,Mathematics
1868763,Milton Wendland,Women's Studies
1046700,Vladimir Grupchev,Mathematics
420036,Anne Jeffrey,Art History
333015,Robert Ryan,English
317937,Frederick Eilers,Biology
394560,David Garrison,Philosophy
1138201,Ushiri Kulatunga,Chemistry
608440,Robert Romanski,Music
1464446,Marta Slaughter,Art History
526896,Gregory Herbert,Geology
72633,Rebecca Wooten,Mathematics
271254,David Pringle,English
786102,Jing Wang,Computer Science
1765381,Benjamin Predmore,Biology
483912,Mike Stokes,Engineering
329428,John Janzen,English
760746,Cheryl Kirstein,Psychology
142429,Thomas Juster,Science
372687,Cheryl Hall,Political Science
131022,Athanassios G. Kartsatos,Mathematics
402102,Michael Weng,Engineering
290135,Janet Hall,History
614431,Karol McIntosh,Mathematics
372688,David Underwood,Geography
1696616,Heiko Haubitz,Information Science
139608,Abdelwahab Hechiche,Political Science
428556,William Stephens,Accounting
254247,Barbara Lafferty,Marketing
744175,Venkataraman Vanaja,Mathematics
384206,Mary Poole,Communication
2183607,Marian Hernandez-Viera,Mathematics
2074616,Robert Freeman ,Mathematics
523554,Edward Kissi,Africana Studies
1944717,Yan Zhang,Computer Science
255161,Ava Chitwood,Classics
900361,Vinay Gupta,Chemical Engineering
1777925,Jhon Figueroa,Chemistry
426504,Navita James,Communication
411830,Kenneth Pothoven,Mathematics
2174600,Nasreen Sadeq,Life Science
2816387,Kona Senevirathne,Chemistry
129958,John Omlor,English
711332,Anand Kumar,Marketing
876314,Alain M. Etcheberry,Mathematics
842605,Laura Rusnak,Public Health
290168,Ed Ford,Economics
890056,Kristine Del Vecchio,Accounting
13386,Kevin Archer,Geography
393905,Chris Ponticelli,Sociology
973991,Jennifer Bosson,Psychology
120303,Ralph Tindell,Computer Science
1768654,Marina Bornovalova,Psychology
1305568,Bradley Kamp,Economics
242920,Brook Sadler,Philosophy
1998116,Jennifer Ellerman-Queen,Women's Studies
1317665,Jennifer Ellerman,Women
602906,Peter Stiling,Biology
1764516,Doreen MacAulay,Management
407679,Robert Tykot,Anthropology
644687,John Jermier,Business
965846,Jon Antilla,Chemistry
1057564,Paul Tate,Chemistry
2287883,Joseph Panzik,Environmental Science
757590,Michael Scott Solomon,International Studies
437288,William Clements,Languages
945796,Lisa Gaynor,Accounting
392517,Jon Weinzerl,Chemistry
129821,Loyd Pettegrew,Communication
408268,Julie Harmon,Chemistry
89753,Sara Callahan,Humanities
382439,Phillip Sipiora,English
1102984,Julie Schwartz,Biology
1568080,Wayne Garcia,Mass Communications
1501939,Claudia Cooperman,Health Science
308564,Bill Baker,Chemistry
2288255,Panida Webb,Medicine
452359,Jodi Nettleton,Women's Studies
1633490,Kelly Leach,Biological Sciences
481351,Thomas Bieske,Mathematics
411840,Boris Shekhtman,Mathematics
1260983,Deborah Bowen,English
390820,Debra Cross,Sociology
1910417,Zachary Pruitt,Public Health
1793124,Elizabeth Dunn,Public Health
367789,H. Roy Kaplan,Africana Studies
2099134,Todd Jurgess,Humanities
282390,Michael Gibbons,Political Science
1914892,Ioannis Gelis,Chemistry
1063870,Edward Turos,Chemistry
950464,Peter Vandenbergh,Biology
932387,Geoffrey Potts,Psychology
393413,Margit Grieb,Languages
1880304,Mary Jones-Mason,Biology
756413,Colin Heydt,Philosophy
67328,Mile Krajcevski,Mathematics
2074092,Louis  Gray,Academic Services
2529095,Lina Chaves,Humanities
1313781,Sarath Witanachchi,Physics
2731803,Jennifer Smith-Garvin,Biology
1220772,Amanda Leblanc,Women's Studies
2812415,William Ellis,Biology
924821,Gary Lemons,Women's Studies
2035137,Robert Schlauch,Psychology
406707,Gary Gebhardt,Marketing
783127,Chris Ferekides,Electrical Engineering
2727222,Ladan Avazpour,Mathematics
435526,Paul Morgan,History
2187541,Houston Sanders,Statistics
380552,Sheila Diecidue,English
529654,Leslaw Skrzypek,Mathematics
1497116,Greg McCreery,Philosophy
1776610,Sara Leilani Kellogg,Psychology
1238105,Eric Rydzik,Business
2734149,Megan Cannon,Mathematics
534741,Doug Rohrer,Psychology
1283247,Kathleen McCook,Library Science
282392,John Belohlavek,History
234928,Dajin Peng,International Studies
2069984,Kerry Myers,Law
254234,Carol Osborne,Marketing
1840216,Ryan Thurman,Mathematics
2616110,Peter Clayson,Psychology
1006757,Richard Manning,Philosophy
2556985,Loran Jarrett,Marketing
307027,Arcadii Grinshpan,Mathematics
371326,Kiersten Cox,Information Science
2002474,Matawal Makut,Public Health
1682015,Laura Anderson,Chemistry
704986,Sonia Wohlmuth,Languages
1942892,Dipayan Biswas,Marketing
2715426,Eben Smith,Anatomy
2211021,Schinnel Small,Computer Science
2251314,Angsumala Tamang,Honors
2291851,Tara Blackwell,Biology
843202,Leisa Clark,Women's Studies
2475460,Manish Mohan,Business
877014,B Rincon De Munoz,Economics
384214,Joe Vandello,Psychology
467053,Jerry Fountain,Science
9425,James Duplass,Education
330387,Phillip Chamberlin,English
1530789,Peter Funke,Political Science
361987,Silvia Fiore,English
675688,Alexander Levine,Philosophy
1718998,Dip Biswas,Marketing
509452,Philip Bishop,Philosophy
795458,Melanie Graham,English
2171398,Garrett Potts,Religious Studies
678672,Carol Vance,Law
1586277,Catherine Alvarez,Religious Studies
384222,Leila Amiri,Science
529767,Dale Johnson,Physics
520569,Abdelelah Mostafa,Mathematics
259016,Ann Hall,Education
745052,Linda Gladden,English
947223,Xiaomei Jiang,Physics
1105386,Katie Davis,Accounting
392814,Michael Brannick,Psychology
308118,Wilson Palacios,Criminal Justice
390247,Earl Conteh- Morgan,Political Science
518122,Sister Leavy,Education
2144376,Xiaodong Shi,Chemistry
287707,Stuart Wilkinson,Engineering
518840,Danny Jorgensen,Religious Studies
773173,Mark Leib,Literature
2832135,John Perry,History
958855,Daniel Simkins,Engineering
326890,Daniel Weiskopf,Philosophy
1557062,James Riordan,Biology
1683203,William Schanbacher,Religious Studies
1971420,Lee Braver,Philosophy
426517,Steven Surrency,Languages
254240,Victoria Panzer,Marketing
226075,Kat Robinson,English
265114,Jessica McIlvane,Gerontology
385830,Daniel Belgrad,Humanities
390402,Ismail (Sam) Sakmar,Physics
503188,Lorena Madrigal,Anthropology
1862130,Erica Toothman,Sociology
326887,James D'Emilio,Humanities
382600,Martin Schonfeld,Philosophy
381699,David Kephart,Mathematics
824313,Walter Danielak,American Studies
158479,Joseph Bockus,English
305817,James Leffew,Electrical Engineering
1540776,Alison Oberne,Health Science
1894654,Sarah Taylor,Anthropology
762496,Shawn Bingham,Sociology
1716291,Farrokh Alemi,Health Management
140430,Darrell Fasching,Religious Studies
2084520,Alexandro Castellanos,Electrical Engineering
263451,Michael Levan,Communication
43127,Suzanne Murray,History
476782,David Flanigan,Chemistry
193320,Nancy White,Anthropology
380449,Steve Grossman,Chemistry
2743071,Ruthann Atchley,Psychology
202501,Elizabeth Hirsh,English
520257,David Johnson,History
1704277,Marie Bourgeois,Health Science
372684,Susan MacManus,Political Science
311782,David Diamond,Psychology
626888,Autumn Pape,Criminology
262294,Qutayba Abdullatif,Psychology
1580943,Rene Salazar,Not Specified
2641301,Daniel Payne,Philosophy
1107736,Lynn Martin,Biology
384217,Jon Rottenberg,Psychology
1769039,Chung Jeong,Electrical Engineering
254238,Jill Solomon,Business
506170,Kristen Salomon,Psychology
2132461,Janelle Applequist,Mass Communications
249213,Todd Joseph,Psychology
2771608,Kim Chism,Nutrition
380582,Michael Reynolds,Humanities
614603,Jill Roberts,Health Science
2073514,Nayab Hakim,Criminology
284867,Autar Kaw,Engineering
2355160,Laurel Friedman,Communication
2823662,Joel Melendez,Economics
90974,Laurel Graham,Sociology
263701,William Cummings,History
621967,Jamie Goldenberg,Psychology
1891866,Christie Rinck,Humanities
391834,Anthony Buonaquisti,Physics
1330682,Razvan Teodorescu,Mathematics
2306173,Simon Dutton,Philosophy
140417,Stefanie Moss,Literature
623299,Abdul Malik,Chemistry
463769,Sue Altenbernd,International Studies
131800,Raymond Vince,English
1035,Elizabeth Metzger,English
313912,Masahiko Saito,Mathematics
530329,Martin Muschol,Physics
387632,Daryl Slider,Political Science
2006559,Kiersty Cox,Library Science
1076304,Michelle Chabot,Physics
498458,Michael Decker,History
