id,name,department
1104782,Marco Papa,Computer Science
1738659,Catherine Skibo,Chemistry
666027,Bruce Zuckerman,Religion
860888,Mark Redekopp,Engineering
4993,Drew Casper,Film
1436158,Thomas Bertolini,Chemistry
798241,Saty Raghavachary,Computer Science
2577930,George Carstocea,Cinema
2462056,George Braunegg,Accounting
2272065,Victor Adamchik,Computer Science
1921732,Sena Durguner,Economics
2163737,Andrew Goodney,Computer Science
913088,Bill Cheng,Computer Science
1634254,Aaron Cote,Computer Science
960918,Albert Herrera,Biology
315213,Thomas Gustafson,English
1041016,Jessica Parr,Chemistry
34383,Ruben Davila,Accounting
1937292,Seda Durguner,Economics
15633,Gandhi Puvvada,Engineering
436221,Alison Renteln,Political Science
941684,Nathaniel Emerson,Mathematics
1579129,Odilon Camara,Economics
1538668,Rebecca Broyer,Chemistry
951790,Lars Perner,Business
658710,Anthony Kammas,Political Science
15634,Cymra Haskell,Mathematics
1276433,Andrew Simpson,Linguistics
1369508,Stacy Geck,Business
61227,Jeb Barnes,Political Science
2530302,Patricia George,Psychology
668739,Jay Fisher,Writing
1121045,Tony Lin,Applied Business Statistics
843837,Manochehr Rashidian,Economics
1280034,Shahin Nazarian,Engineering
18909,Merle Hopkins,Accounting
1448039,Zivia Sweeney,Accounting
1470487,Fatemeh Ibrahimi Nazarian,Business
2002099,Vahe Peroomian,Science
917812,Chrislynn Freed,Accounting
1567597,Navdeep Mundi,Business
1766530,David Crombecque,Mathematics
1279784,Shahriar Shamsian,Computer Science
807287,Ann Renken,Psychology
1766432,Neelesh Tiruviluamala,Mathematics
1476408,Michael Wissot,Communication
1948443,Lodovico Pizzati,Economics
2310407,Felicia Tabing,Mathematics
1288370,Johanna Tolan,Business
1894993,Jeffrey Miller,Computer Science
1605006,Yilmaz Kocer,Economics
2490850,Leslie Berntsen,Psychology
1203353,Christopher Freeman,Arts & Letters
1928462,Oliver  Rizk,Biological Sciences
1972425,Chad Kendall,Business
1280011,Ricardo Mancera,Mathematics
1621242,Ergin Bayrak,Economics
