id,name,department
765147,Glenn Downing,Computer Science
2618238,Andrei Straumanis,Chemistry
1755906,Shagufta Shabbir,Chemistry
1453404,David Laude,Chemistry
1152087,K. Sata Sathasivan,Biology
1935062,Kate Biberdorf,Chemistry
891227,Jennifer Fritz,Biology
1786975,Debra Hansen,Biology
1357229,Todd Curtis,Humanities
225937,Paul McCord,Chemistry
175515,Stacy Sparks,Chemistry
355050,Janice Fischer,Biology
1629173,Eric Staron,Mathematics
1473362,Leonard Moore,History
175516,David Verduzco,Business
455091,Larry Speck,Architecture
769057,Brian Anderson,Chemistry
1923666,Eric McDaniel,Government
137818,Mike Scott,Computer Science
381449,Ruth Buskirk,Biology
75029,Fatima Fakhreddine,Chemistry
1544510,John Meth,Mathematics
1865488,Bill Wolesensky,Mathematics
1154170,Wayne Hickenbottom,Economics
2065986,Shannon Provost,Statistics
938347,Frank Shirley,Mathematics
1620766,Clint Tuttle,Business
1350418,Martha Maas,Biology
9066,Medhi Haghshenas,Social Science
452756,Robert Moser,Political Science
1928229,Kirk Blazek,Mathematics
682617,Sam Gosling,Psychology
2114061,Alessandro (Alex) Rezende de Macedo,Mathematics
559004,Sarah Sutcliffe,Chemistry
850298,Anita Latham,Biology
807591,Gustavo Cepparo,Mathematics
2293063,Keenan Kidwell,Mathematics
239704,Troy Kimmel,Geography
370191,Elizabeth Richmond-Garza,English
1300187,Bill Young,Computer Science
2185366,Liz Moliski,Business
2343797,Jonathan Partridge,Biology
130418,Sean Theriault,Political Science
1295003,Kirsten Bradbury,Psychology
2243350,Peter English,Biology
2290031,Steven Mintz,History
2176767,Goheun Kim,Biology
1902388,Alison Norman,Computer Science
225942,Inder Saxena,Biology
2547960,Siddhartha Chatterjee,Computer Science
1559269,Shyamal Mitra,Computer Science
749652,Ann Johns,Art History
133965,Daniel Bonevac,Philosophy
1816320,Joshua Rock,Management & Info Systems
2329599,Charles Mills,Mathematics
1839596,Vallath Nandakumar,Computer Science
559013,Cynthia Labrake,Chemistry
1244539,"H. W. ""Bill"" Brands",History
2722161,Cassandra Callmann,Chemistry
1713424,Mihran Aroian,Business
2140364,Chad Brock,Biology
1294849,Nina Telang,Engineering
2817548,Carol Ramsey,Computer Science
477880,Evelyn Schultz,Mathematics
450316,John Daly,Communication
1671073,Amanda Hager,Mathematics
1052250,Kelly Fulton,Sociology
1932585,Deborah Walker,Chemistry
2559303,Paola Sotelo,Chemistry
8787,Brent Iverson,Chemistry
1583861,David Rusin,Mathematics
1151540,Lee Ann Kahlor,Advertising
1350024,Ronald Anderson,Communication
613362,Katherine Davis,Mathematics
2228297,Kiryl Tsishchanka,Mathematics
2168951,Paige Harden,Psychology
2525045,Theresa Martines,Mathematics
1711520,Patrick McDonald,Government
1953310,Hector Lomeli,Mathematics
2255480,David Clark,Mathematics
1888059,Joel Nibert,Mathematics
2335893,Timothy Shanahan,Geology
2440624,Rachel Ozanne,History
2264451,Ann Thijs,Biology
155039,Philip Treisman,Mathematics
2666358,George Mateer,Economics
699505,Donald Levin,Biology
674680,Prathiba Saxena,Biology
131647,Robert Jensen,Journalism
2841414,Emily Caudill,Chemistry
528043,Megan Seaholm,History
1715264,Valerie Bencivenga,Economics
2131814,Gail Grabner,Chemistry
2538994,Eve Prilipko,Management
2549238,Devangi Parikh,Computer Science
2668015,Lydia CdeBaca-Cruz,English
138910,Ruth Shear,Chemistry
2386068,David Quintanilla,Business
1755083,Robert Olwell,History
1691316,Thomas Wiseman,Economics
2635777,Lesli Bordas,Chemistry
731384,Fred Valdez,Anthropology
235296,John Batterton,Biology
2624778,Heather Leidy,Nutrition
1931970,Bethany Albertson,Government
2084351,Brent Landau,Religion
2574524,Su Yeong Kim,Human Dev & Family Sciences
263116,Daron Shaw,Political Science
519065,Lauretta Reeves,Psychology
1968500,Jason Brownlee,Government
2514175,Jay Banner,Geology
2414853,Elizabeth Bradbury,Biology
2405987,Zachariah Page,Chemistry
800725,Helen Schneider,Economics
72155,Yale Patt,Engineering
747481,Joann Gulizio,Classics
1774487,Jesse Miller,Mathematics
1966039,Robert Duvic,Finance
1784033,Kanthimathi Sathasivan,Mathematics
1730220,Ahmed Gheith,Computer Science
2398596,Rostyslav Kravchenko,Mathematics
1575681,Cindy Meston,Psychology
1916164,Kristin Harvey,Mathematics
1601547,Michael Sailors,Music
1124979,Jennifer Moon,Biology
710661,Chris Kirk,Anthropology
1131454,John Colapret,Chemistry
2887564,Wayne Geerling,Economics
1245514,Shannon O'Brien,Political Science
2371300,James Curley,Psychology
499823,Blinda McClelland,Science
722496,Herbert Miller,Marketing
2280332,Michael Sury,Finance
2261227,Shao-Ying Cheng,Biology
3028203,Michael Wilson,Biology
1628575,Justin Dragna,Chemistry
2540278,Randolph Wilt,Business
2762257,Signe Fourmy,History
1755526,Anthony Dudo,Advertising
1726380,Ramesh Yerraballi,Engineering
2400809,Gergina Pencheva,Mathematics
658780,Doug Bruster,English
1347379,Zachary Miner,Mathematics
483289,Gary Wilcox,Communication
1169940,Elizabeth Stepp,Mathematics
2449510,Christopher Burke,Management & Info Systems
138812,Edward Robinson,Science
