id,name,department
2730,Kenneth Elzinga,Economics
860968,David Kittlesen,Biology
383717,Lee Coppock,Economics
20749,Dave Metcalf,Science
6004,Dean Harman,Chemistry
93190,Charlie Tolbert,Astronomy
2732,Mary Beck,Engineering
2740,Dan Willingham,Psychology
2731,Peter Brunjes,Psychology
1148891,Graeme Gerrans,Chemistry
200535,Edward Murphy,Astronomy
50905,Linda Blum,Science
1173732,Leonard Mirman,Economics
306716,Chad Dodson,Psychology
99390,David Waldner,Political Science
554737,Jonathan Haidt,Psychology
295680,Robert Burnett,Chemistry
166011,Richard Handler,Anthropology
3327,John Bonvillian,Psychology
372102,Mark Kopeny,Biology
39099,Larry Sabato,Political Science
319101,Charles Grisham,Chemistry
1767474,Hoitung Leung,Chemistry
221751,George Mentore,Anthropology
92651,Catherine Baritaud,Engineering
2745,Peter Waldman,Architecture
296858,Scott Deveaux,Music
4344,James Cohoon,Computer Science
187551,William Saslaw,Astronomy
419763,Kenneth Strazzeri,Mathematics
46311,Louis Bloomfield,Science
2750,James Childress,Religion
310876,Mitchell Green,Philosophy
264913,Stacie Pisano,Mathematics
292996,Justin Holcomb,Theology
25938,Cedric Williams,Psychology
360134,Angeline Lillard,Psychology
455557,Aaron Bloomfield,Computer Science
252156,Michael Skrutskie,Astronomy
506589,Mark Thomas,History
87914,Kevin Sullivan,Computer Science
385187,Donald Hunt,Science
188049,Tom Smith,Science
8817,Michael Atchison,Business
269039,Brian Nosek,Psychology
413751,Elizabeth Machunis-Masuoka,Biology
270941,Paul Kershaw,History
596909,Mike Wormington,Biology
120939,John Maybee,Engineering
2907031,Sonal Pandya,Political Science
255184,Barry Condron,Biology
45331,Yuri Urbanovich,Political Science
86612,Paul Freedman,Political Science
2777,Robert Watkins,Engineering
44006,Ted Chang,Mathematics
2813,Trinh Thuan,Astronomy
528941,Bernard Fulgham,Mathematics
907388,Diana Morris,Mathematics
381130,Vikram Jaswal,Psychology
2741,Michael Levenson,English
216875,Majida Bargach,Languages
88943,Harold Langsam,Philosophy
104874,James Ceaser,Political Science
128852,Heather Warren,Theology
226389,Robert Bryant,Chemistry
783760,Marc Santugini,Economics
51492,Charlotte Patterson,Psychology
51490,David Hill,Psychology
529320,Reg Garrett,Biology
270944,Clare Kinney,English
188037,Roy Wagner,Anthropology
48020,Thomas Horton,Computer Science
172717,Rae Blumberg,Sociology
191819,Jon Lendon,History
187206,Joseph Kett,History
52217,Lynn Sanders,Political Science
200532,Julian Bond,History
384126,Abdulaziz Sachedina,Religion
1752012,Maksim Bychkov,Physics
