id,name,department
747076,Andrew Loveless,Mathematics
806510,Ebru Bekyel,Mathematics
38925,Neal Koblitz,Mathematics
1515673,Colleen Craig,Chemistry
889880,Ann Culligan Voorhies,Psychology
106034,Terry Swanson,Geology
498702,Stuart Reges,Computer Science
151534,Scott Freeman,Biology
2411924,Samantha Robinson,Chemistry
290515,Michael Passer,Psychology
219634,Jennifer Taggart,Mathematics
106125,Matthew Sparke,Geography
293708,Matthew Conroy,Mathematics
1364797,Andrea Carroll,Chemistry
1796689,Deborah Wiegand,Chemistry
332613,Haideh Salehi-Esfahani,Economics
1795617,Nicole McNichols,Psychology
1838672,Jonah Ostroff,Mathematics
1545406,Melissa Knox,Economics
493201,Alexandra Nichifor,Mathematics
1843764,Lauren Graham,Psychology
1949937,Jennifer Doherty,Biology
1749829,Dennis O'Dea,Economics
436830,Connie So,Ethnic Studies
151533,Lois McDermott,Psychology
1965453,Lawrence Goldman,Chemistry
2465018,Charles Barrows,Chemistry
361833,Toby Smith,Astronomy
64416,Jonathon D Brown,Psychology
333063,Karen Petersen,Biology
2023275,Elinore Theobald,Biology
857508,Frances Maloy,Finance
546180,Tod Bergstrom,Law
644863,Greg Ellis,Economics
106077,Anthony Gill,Political Science
332391,Daryl Pedigo,Physics
1251034,Elena Pezzoli,Mathematics
785987,Xiaosong Li,Chemistry
1301609,Ben Wiggins,Biology
1212047,Jacqueline Pickrell,Psychology
903595,Chris Laws,Astronomy
720450,Laura McGarrity,Languages
2008946,Timothy McCormack,Management
575352,Ruth Huwe,Management
311114,Pepper Schwartz,Sociology
2044016,Natalie Naehrig,Mathematics
2266952,Benjamin Leipzig,Chemistry
2574020,Kevin Lin,Computer Science
659766,Forrest Michael,Chemistry
151535,Mandy Schivell,Biology
879548,Louisa Iarocci,Architecture
1069258,Shaosong Ou,Information Systems
333072,Jonathan Mercer,Political Science
359746,Daniel Chiu,Chemistry
490064,Patrick Perkins,Mathematics
106084,Eugene Silberberg,Economics
1664608,Lutz Maibaum,Chemistry
633315,Kolya Rice,Art History
2179449,Jacob Cooper,Biology
1567033,Jasmine Bryant,Chemistry
1254355,Tolga Bilgen,Biology
199841,Joe Weiss,Sociology
333102,Susan Pitchford,Sociology
1123541,Brian Buchwitz,Biology
1611914,Brett Wortzman,Computer Science
415334,James Zhang,Mathematics
2633278,Yael Jacobs,Economics
579397,Leta Beard,Business Administration
808962,Jon Herron,Biology
106086,Lisa Coutu,Communication
1057509,James Reid,Physics
537662,Judith McLaughlin,Psychology
155096,Khushroo Daruwala,Chemistry
444430,Kathryn Merlino,Architecture
954490,David Ginger,Chemistry
2191233,Tabitha Kirkland,Psychology
367432,Yu Yuan,Mathematics
855539,Caren Marzban,Statistics
908743,Marty Stepp,Computer Science
628148,Rob Harrison,Science
1318962,Mikelle Nuwer,Oceanography
823379,Tamre Cardoso,Statistics
1795976,Oliver Fraser,Astronomy
2554473,Amal al-Wahish,Physics
2182940,Casey Self,Biology
1908549,James Long,Political Science
505302,James Wellman,Religion
727063,Mary Pat Wenderoth,Biology
235548,William Zoller,Chemistry
922742,Matt McGarrity,Communication
482891,Henry Staten,English
943360,Krzysztof Burdzy,Mathematics
813893,Alexes Harris,Sociology
505681,Linda Martin-Morris,Biology
535790,Niels Andersen,Chemistry
132664,Kenneth Bube,Mathematics
1162804,Elizabeth Kirk,Epidemiology
886068,Sarah Stroup,Classics
363940,Steve Sefcik,Accounting
2196847,Usama al-Binni,Physics
2348014,Michael Thomas,Finance
1417221,Ann Huppert,Architecture
1800139,Dana Miller,Biochemistry
95358,David Domke,Communication
1199400,Nikolai Tolich,Physics
154153,Joseph Norman,Chemistry
272718,James Callis,Chemistry
1294165,Kazumi Tolich,Physics
1061174,Kevin King,Psychology
1151906,Vitaly Efimov,Physics
1588835,Ranjini Grove,Statistics
1779316,Katy Pearce,Communication
335351,Bruce Robinson,Chemistry
403905,Jaime Diaz,Psychology
1056611,Jonathan Wender,Sociology
566927,Michael Gelb,Chemistry
936626,John Hanford,Music
2146526,Tyler Fox,Interdisciplinary Studies
768566,Dana Nelson,Psychology
1679246,Gojko Lalic,Chemistry
1852136,Peter Demerjian,Accounting
966138,Steve Herbert,Law
656330,Leroy Searle,English
1331147,Dustin Maly,Chemistry
1793412,Eli Wheat,Environmental Studies
151006,Tomi Sasaki,Chemistry
1137633,Joe Janes,Information Science
1103136,Jack Turner,Political Science
1413743,Theo Eicher,Economics
332239,Jarrad Harford,Finance
1875727,Joshua Vaughan,Chemistry
2634487,Anis Rahman,Communication
319558,Jamie Mayerfeld,Political Science
2123214,Kimberly Mitchell,Education
1610571,Ruth A. Martin,Earth & Space Science
136180,Ana Larson,Science
1648057,Bob Boiko,Information Systems
1154630,Malcolm Parks,Communication
319091,Hal Perkins,Computer Science
851189,Cabeiri Robinson,International Studies
1906523,Andrea (Andy) Heald,Mathematics
2608568,Marko Madunic,Business Administration
433735,Philip Reid,Chemistry
889974,Gabriele Varani,Chemistry
1663076,Erika Harnett,Earth & Space Science
1299061,Ellen Covey,Psychology
1879412,Fanny Dos Reis,Mathematics
1780847,Paul Franco,Philosophy
442064,David Collingwood,Mathematics
241222,Robert Crutchfield,Sociology
421892,Crispin Thurlow,Communication
213429,Lee Osterhout,Psychology
2242676,Adrian Andelin,Psychology
1230494,Joseph Weis,Sociology
2032487,Alex Hill,Anthropology
2128524,Ian Schnee,Philosophy
817589,Charles Campbell,Chemistry
447585,Jaime Olavarria,Psychology
2024954,Rachel Chapman,Anthropology
573417,Julia Jones,Mechanical Engineering
247911,Karen Cheng,Design
858174,Sarah Keller,Chemistry
1880753,Whitaker Brand,Computer Science
2279841,Scott Lemieux,Political Science
713905,Matthew Depies,Physics
822678,Rebecca Aanerud,Women's Studies
1137812,Jack Whelan,Business Administration
2631726,Zhixu Su,Mathematics
319559,Jorge Gonzalez,Languages
777416,Susan Whiting,Political Science
1256704,Jennifer Nemhauser,Biology
1145134,Kristiina Vogt,Environmental Science
178636,Doug Underwood,Communication
1622086,Elizabeth Weber,Accounting
331821,David Bachman,International Studies
824881,Vitaly Nishanov,Business
1295493,Thomas Duchamp,Mathematics
1417215,Wendy Baesler,Accounting
695011,Donald Marshall,Mathematics
1346303,Kaoru Ohta,Japanese
668590,Zhi Lin,Art
1211718,Rachael Chapman,Anthropology
749450,Jessica Burstein,English
416814,Katherine Beckett,Sociology
1285690,Guntis Smidchens,Scandinavian
1209141,Soumik Pal,Mathematics
583723,John Griffith,English
1821612,Kristi Straus,Environmental Studies
1939880,Regina Lee,Women's Studies
124306,Yomi Braester,Film
