id,name,department
76513,Elizabeth Kelly,Economics
183626,Jeffrey Henriques,Psychology
152266,Pete Anderson,Biology
535442,Sharon Thoma,Biology
130414,Benjamin Dykman,Psychology
638529,Linda Zelewski,Chemistry
2040484,David Johnson,Economics
1287737,Matt Bowman,Chemistry
10222,Loren Kuzuhara,Business
2773752,Stephen Block,Chemistry
589626,Korinna Hansen,Economics
152265,Caton Roberts,Psychology
337804,Jim Skrentny,Computer Science
1029779,Sean Paul,Mathematics
177726,Debra (Deb) Deppeler,Computer Science
291952,Steve Rick,Economics
813369,Patricia Coffey,Psychology
765968,Thomas Brunold,Chemistry
407223,Yibin Pan,Physics
1231408,Laurie Brachman,Marketing
245587,Rebecca Addington,Psychology
317964,David Canon,Political Science
176706,Diane Gooding,Psychology
858277,Alexander Shashko,Ethnic Studies
176719,Harold Scheub,Literature
200640,Kenneth Mayer,Political Science
383852,William Aylward,Classics
1327135,Gwen Eudey,Economics
1852566,Mark Laplante,Business
265817,Joel Rogers,Sociology
1448212,Ralph Grunewald,Law
1479875,Jeannine Szczech,Chemistry
2195385,Jim Williams,Computer Science
1445180,Brian Esselman,Chemistry
262518,Sigurd Angenent,Mathematics
368062,Tina Winston,Psychology
139649,David Zimmerman,Literature
152260,John Moore,Chemistry
130424,John Delamater,Sociology
388704,Jon Pevehouse,Political Science
1934009,Robert Grizzard,Mathematics
147041,Martin Zanni,Chemistry
1944189,Jerome Camal,Music
481453,Shirin Malekpour,Mathematics
891810,Pupa Gilbert,Physics
414685,Edwin Sibert,Chemistry
2778423,Liana Lamont,Chemistry
2520399,Jonathan Gallimore,Psychology
464204,Howard Schweber,Political Science
196238,Sharad Chandarana,Mathematics
384064,Beck Hasti,Computer Science
255838,Ieva Reich,Chemistry
2770358,Gary Dahl,Computer Science
255827,Sam Gellman,Chemistry
2423601,Matthew Friedman,Economics
1997955,Maria Soledad Benguria Depassier,Mathematics
370453,Gabi Meyer,Mathematics
1852275,Daniel Erman,Mathematics
202881,Arun Ram,Mathematics
514703,Dan Vimont,Science
915450,Bassam Shakhashiri,Chemistry
823557,Jonathan Martin,Science
1574143,Brian Street,Mathematics
355768,Ismor Fischer,Statistics
293964,Joseph Elder,Sociology
201689,Howard Whitlock,Chemistry
152264,Geoffrey Wallace,Economics
306981,John Hawks,Anthropology
70837,Judith Burstyn,Science
129551,Silvia Cavagnero,Science
906176,Nils Ringe,Political Science
2722889,Yirong Wang,Nutrition
725492,Robert Witt,Engineering
2316450,Marc Renault,Computer Science
2045057,Soheil Sadeghi,Statistics
2774867,Simon Gilroy,Biology
830381,Michelle Rondon,Biology
33094,Wesley Smith,Physics
983203,Marshall Onellion,Physics
1513990,John Orrock,Zoology
1408142,Laurentiu Maxim,Mathematics
1848210,Bing Wang,Mathematics
1238696,Shanan Peters,Geology
331081,Kurt Amann,Science
1503053,Uri Andrews,Mathematics
620540,Mikhail Feldman,Mathematics
385219,Irene Katele,Criminal Justice
2772143,Bi Cheng Wu,Mathematics
777115,Seth Blair,Biology
1472326,Oana Martin,Chemistry
289711,Lev Borisov,Mathematics
450538,Timothy McClurg,Business
283831,Duncan Carlsmith,Physics
938149,Peggy Choy,Ethnic Studies
1632497,Christopher McKelvey,Economics
865166,Frank Keutsch,Chemistry
599557,Ron Kean,Biology
1426451,Cabell Gathman,Sociology
153821,Tony Stretton,Biology
194372,John Coleman,Political Science
620233,Aric Rindfleisch,Marketing
1299999,Clark Landis,Chemistry
131676,Remzi Arpaci-Dusseau,Computer Science
394755,Andreas Seeger,Mathematics
974425,Marek Weretka,Economics
923086,Sachin Tuli,Business
16040,Mike Plesha,Engineering
715075,Richard Avramenko,Political Science
269987,Larry Shapiro,Philosophy
519009,Lee Wandel,History
320632,Greg Downey,Journalism
561050,Scott Straus,Political Science
172861,Mike Leckrone,Music
133435,Nancy Worcester,Women's Studies
2094033,Alexander Hanhart,Mathematics
607852,Serguei Denissov,Mathematics
1328421,Timothy Paustian,Biology
262305,Julie Mitchell,Mathematics
759947,Jim Berkelman,Biology
161636,Tim Allen,Science
2659075,Hobbes Legault,Computer Science
167023,Stephen Wainger,Mathematics
300067,Henry Bunn,Anthropology
1945021,C Shawn Green,Psychology
130332,Ronald Dickey,Mathematics
329792,Christopher Coe,Psychology
193941,Warren Porter,Biology
2439863,Antonio Hernandez,Engineering
752985,Andrew Lokuta,Medicine
2243896,Chelsey Green,Statistics
503714,Kevin Strang,Medicine
2521051,Justin Sukiennik,Mathematics
1555222,Cindy Cheng,History & Asian American Studies
435214,David Baum,Biology
289783,Jay Samuel,Engineering
700328,Peter Timbie,Physics
2079369,Oh Hoon Kwon,Mathematics
223676,Florence Hsia,Science
2593156,Michael Doescher,Computer Science
18444,Martha Gibson,Philosophy
