id,name,department
126728,Stephen Buckles,Economics
147501,Leslie Smith,Psychology
151529,Pamela Pigg,Mathematics
857660,Shawn Phillips,Chemistry
543908,Elisabeth Sandberg,Psychology
512403,Tara Todd,Chemistry
2021744,Gerald Roth,Computer Science
1368759,Heather Luea,Economics
308479,Lori Rafter,Mathematics
2197326,Daniel Arena,Computer Science
1734867,Sourish Dutta,Physics
2058521,Hojjatallah Ghandi,Economics
518989,Andrew Van Schaack,Human Development
195569,Adam List,Chemistry
196194,Linda Hutchison,Mathematics
141535,David Weintraub,Astronomy
529077,John Rafter,Mathematics
359640,Kendal Broadie,Biology
343225,Carl Johnson,Biology
126731,John Vrooman,Economics
2540192,Ashleigh Maxcey,Psychology
2051312,Alissa Hare,Chemistry
140093,Leonard Folgarait,Art History
2460716,Zaruhi Sahakyan,Economics
1857506,Graham Hemingway,Engineering
2667309,Md Kamrul Hasan,Computer Science
1351428,Momchil Velkovsky,Physics
285414,Mark Woelfle,Biology
589349,Robert Fry,Music
352257,Gieri Simonett,Mathematics
178991,Jim Lovensheimer,Music
463262,Isabel Gauthier,Psychology
495067,Michelle Sulikowski,Chemistry
137052,Michael Bess,History
1122786,Laurence Zwiebel,Biology
273719,Leslie Kirby,Psychology
773065,Amanda Benson,Biology
394610,Mary Karpos,Sociology
2248529,Dominique Piot,Computer Science
2278304,Brittany Chase,Music
338246,Charles Singleton,Biology
1202000,Carrie Russell,Political Science
741988,Patrick Murphy,Languages
2108589,Steven Townsend,Chemistry
1889397,Robert Tairas,Computer Science
2464607,Adugna Olani,Economics
1748660,Lily Claiborne,Geology
1099362,Christina Rennhoff,Economics
2402845,Thomas Clements,Biology
3032027,Amal  al-Wahish,Physics
2217090,Craig Tainter,Chemistry
527693,Jennifer Gunderman,Music
1106974,Jose Aznar,Languages
2287105,Jamie Leddin,Business
184748,Brian Griffith,Psychology
597006,Richard Lloyd,Sociology
2645405,Leonora Williamson,Management
555719,Julie Johnson,Computer Science
881195,Leigh Wadsworth,Education
394071,Bridget Rogers,Engineering
488665,Prasad Polavarapu,Chemistry
353401,Sandra Rosenthal,Chemistry
2459531,James Pask,Biology
308055,Daniel Solomon,Classics
285419,Thomas Schwartz,History
1701123,Jakayla Robbins,Mathematics
910593,Catherine McTamaney,Education
133390,Bharat Bhuva,Engineering
467248,Todd Graham,Biology
457342,Steven Baskauf,Biology
140954,Denise Due,Science
177514,John Geer,Political Science
277130,Laura Novick,Psychology
1492027,Garnett Slatton,Management
