id,name,department
13979,Robert Jantzen,Mathematics
1998362,Kathleen  Acker,Mathematics
1642077,Chelsea Romito,Mathematics
1341963,Paul Fazen,Chemistry
705626,Christopher Daly,Humanities
895632,Temer S. Ahmadi,Chemistry
2636183,Michelle Foran,Languages
1334659,Kaley Carpenter,Religion
1198645,James Borden,Accounting
2075417,Jared Bishop,Communication
2240828,Theresa Rissell,Economics
1149018,John Santomas,Mathematics
379216,Michelle Casario,Economics
1744663,Maria Baranski,Mathematics
2056484,Michael Heinrich,Chemistry
1015920,Joseph Bausch,Chemistry
2553885,Sonya Williams-Stanton,Finance
2424305,Audra Goodnight,Philosophy
2188757,Ian Maley,Philosophy
2413620,Danielle Smiley,Mathematics
406721,Steve Chiacchiere,Mathematics
1126313,Francis Caponi,Religion
1979055,Mikel Lorenzo-Arza,Languages
2054308,Ebony Gilley,Mathematics
729542,Liam Kavanagh,Philosophy
2470843,Maria Lenardon,Languages
1985558,Elizabeth Springuel,Humanities
1516855,Robert O'Neil,English
2398865,Elise Pasles,Mathematics
1665429,Kathleen Connor,Psychology
2730076,Craig Carpenter,Humanities
1334658,Bruce Pollack-Johnson,Mathematics
988089,Lee Makowski,Humanities
1129355,Michael Levitan,Mathematics
2417635,Rebecca Makas,Classics
801907,Michael Thompson,Humanities
2256356,Dominic Canzanese,Mathematics
2288575,Glenn Bracey,Sociology
1262291,Steven Krauss,Psychology
1350352,John Paul Spiro,Humanities
2638820,Brisa Hurlocker,Chemistry
2068254,Jeanne Liedtka,Business
1240211,James Murdoch,Not Specified
1841289,Wilma Febo-Ayala,Chemistry
185010,Frank Pryor,Political Science
647690,Jim Emig,Accounting
2290897,Nathan Corwin,Mathematics
573959,Todd Jackman,Biology
769106,Ruth Anolik,Humanities
2840257,Frederick Chandler,Mathematics
2359016,Craig French,Economics
1890397,Carlos Jiménez,Languages
2234866,Sutirtha Bagchi,Economics
273581,Alan D. Gluchoff,Mathematics
751033,Timothy Horner,Humanities
2580739,Thomas Umile,Chemistry
958799,Dennis Wykoff,Biology
2061388,Scott Grapin,Religion
2539373,Michael Tait,Mathematics
2842701,Serene Tai,Chemistry
2735014,Jessica Myers,Chemistry
1790862,Chara Armon,Humanities
1936637,Marta Guron,Chemistry
2359862,Allison Covey,Humanities
2520323,Bright Nsowaa,Mathematics
2569951,John Cacchione,Theology & Religious Studies
774643,Hibba Abugideiri,History
2324950,Sherine Green,Theology & Religious Studies
1341034,Alexander Varias,History
2368206,Joseph Ryan,Humanities
1984155,Miron Wolnicki ,Business
2730868,Sarah Reed,Economics
2226841,Robert Duggan,English
1275582,Yvonne Whittle,Chemistry
2427654,Cera Murtagh,Political Science
2608610,Evan Radcliffe,English
2479162,Sarah Faggioli,Theology amp Religious Studies
2409842,Stephen Liedtka,Accounting
2470833,Derek Arnold,Communication
1328712,Lance Kenney,Political Science
1936691,Phil Stephens,Biology
14010,Anany Levitin,Computer Science
2046897,Rebecca Brand,Psychology
