index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,mandatory,1.0,CALCULUS,"Very kind, but very harsh and doesn't use the textbooks assigned and gives pop quizzes DURING tests. Very confused&#128517;",False,2025-01-22 22:24:55,5.0,F,1.0,False,False,1.0,Tough grader--Lots of homework--Lecture heavy,-1.0,0,0,,13979
1,mandatory,3.0,MAT1505,"Professor Jantzen's class can be a mixed bag. Some find his lectures hard to follow, while others enjoy his slower pace and open-note tests. Engage with the material, use study tools like unstuck study, and you may just land an easy A.",False,2024-12-28 02:21:19,3.0,B+,3.0,True,True,3.0,,-1.0,0,0,,13979
2,non mandatory,5.0,MAT2705,"Honestly Dr. Bob is a great guy. He cares so much for every student he has and is the best teacher at this school! What makes a good teacher is the effect they have on their students, and Dr. Bob made a good impression on us all. Retire well Bobby",False,2024-12-11 17:33:37,5.0,Not sure yet,5.0,True,False,5.0,Inspirational,-1.0,0,0,1.0,13979
3,non mandatory,5.0,MAT2705,"The previous review was meant to be a limerick but the lines didn't enter separately. calling rate my professor support to have this resolved as we speak:

there once was a man named bob // working at villanova was his job // he taught diff eq // cared about his students too // and now that he's gone i will sob",False,2024-12-11 17:32:36,4.0,A,5.0,True,False,5.0,Hilarious--Caring--Respected,-1.0,0,0,1.0,13979
4,non mandatory,5.0,MAT2705,"there once was a man named bob
working at villanova was his job
he taught diff eq
cared about his students too
and now that he's gone i will sob",False,2024-12-11 17:31:20,4.0,Rather not say,5.0,True,False,5.0,Inspirational--Caring--Respected,-1.0,0,0,1.0,13979
5,mandatory,5.0,MAT2705,Dr. Bob gives awe-inspiring lectures and is incredibly personable with all of his students. I am sad no other class will be able to participate in the dr bob experience but I am honored knowing I got to spend a semester in his presence. The content was tough but I wouldn't trade it for the world,False,2024-12-11 17:28:51,2.0,Not sure yet,5.0,True,False,5.0,Graded by few things--Accessible outside class,3.0,0,0,1.0,13979
6,non mandatory,5.0,MAT2705,"If Dr. Bob were a superhero, he would be Maple-man. Whether his power would be advanced mathematics or have something to do with syrup, nobody knows. What I do know is that bob is a great guy who loves math and teaching. It's a shame he is retiring, but he deserves it.",False,2024-12-11 17:27:42,2.0,A+,5.0,True,False,5.0,Amazing lectures --Clear grading criteria--Caring,-1.0,0,0,1.0,13979
7,non mandatory,5.0,MAT2705,Dr. Bob is a maple-guru. He presents real world examples that are sometimes confusing and don't feel relevant. He changed my life #thankyoudrbob,False,2024-12-11 17:24:44,3.0,Not sure yet,5.0,True,False,5.0,Tough grader--Gives good feedback--Lecture heavy,-1.0,0,0,,13979
8,non mandatory,5.0,MAT2705,"If Dr. Bob taught Ancients, I would take his Ancients. If Dr. Bob taught History of Silverware in Paris, I would take his History of Silverware in Paris. Yes, the math is important to THIS course but the magic at the core of this course is found in the man, the myth, the legend: bob. Anyone could teach this course, but few could do it like bob",False,2024-12-11 17:21:17,4.0,Rather not say,5.0,True,False,5.0,Inspirational--Hilarious,-1.0,0,0,1.0,13979
9,non mandatory,5.0,MAT2705,"One of the nicest guys at Villanova. Incredibly smart and caring towards students. Very hard course material, but Dr. Bob truly enjoys it and wants his students to succeed. Enjoy retirement Dr. Bob!",False,2024-12-11 17:18:19,5.0,A,5.0,True,False,5.0,Tough grader--Caring--Graded by few things,-1.0,0,0,1.0,13979
10,non mandatory,5.0,MAT2705,dr bob is the king of calling both maple and pearson support to advocate for his students and make sure that any of the issues they experience get resolved. there has never been a problem dr bob could not solve. he is one of the kindest professors i have had and is available at any time night or day to help you,False,2024-12-11 17:16:35,3.0,Not sure yet,5.0,False,True,5.0,Online Savvy,-1.0,0,0,1.0,13979
11,non mandatory,5.0,MAT2705,"The class was very challenging, in terms of material, but dr. bob made the class fun and funny. Definitely the GOAT.",False,2024-12-11 17:13:26,5.0,A,5.0,True,False,5.0,Lecture heavy--Test heavy--Accessible outside class,3.0,0,0,1.0,13979
12,non mandatory,5.0,MAT2705,The GOAT. Undoubtedly,False,2024-12-11 17:06:33,5.0,B,5.0,True,False,5.0,Inspirational--Caring--Accessible outside class,-1.0,0,0,1.0,13979
13,non mandatory,3.0,MAT2705,"Great guy, however, does not know how to teach. Looks at the board and he just starts to yap inaudibly. If you take his class, talk with him about food and politics. Also, class is pretty useless, you're better off skipping class and enjoying the beauty of nature.",False,2024-10-29 02:19:20,5.0,Not sure yet,3.0,True,False,3.0,Inspirational--Caring--Respected,3.0,0,0,,13979
14,mandatory,1.0,MAT2705,"IF YOU STILL HAVE THE CHANCE. RUN. DONT EVEN DROP. JUST RUN. HE CANNOT TEACH, HE CANNOT SPEAK CLEARLY, AND HE CANNOT HELP ANYONE. IF HE TAUGHT ME HOW TO READ, I WOULD PROBABLY BE ILLITERATE. RUN FOR THE HILLS AND AVOID AT ALL COSTS. WHO LET THIS MAN TEACH. ",False,2024-10-29 02:18:56,3.0,A,1.0,True,False,1.0,Tough grader--Hilarious--So many papers,-1.0,0,0,,13979
15,mandatory,2.0,MAT2705,"Disorganized, talks into the board and lectures are hard to follow. Succeeding in the class is doable but it will be much easier with a better prof. If you're good at math you'll be fine it will just take some extra work. If math is one of your weaker subjects drop now and get a better prof. ",False,2024-09-24 18:15:00,4.0,Not sure yet,2.0,True,False,2.0,Test heavy--Graded by few things--Accessible outside class,3.0,0,0,,13979
16,mandatory,5.0,MAT1505,"Dr. Bob is a tough teacher, but he loves math and really wants to help students- he is very accessible in office hours and will help you math/Maple
Also he rewards improvement on tests by dropping early bad scores
How to succeed in his course:
Read his lecture notes
Get very familiar with Maple
Check your work on exams
Ask for help esp. after exams",False,2024-09-10 14:58:51,4.0,A,5.0,True,False,5.0,Caring--Test heavy--Accessible outside class,-1.0,0,0,1.0,13979
17,mandatory,2.0,MAT2500,"DO NOT PANIC. Don't trust the 5-stars, here is what you need to do. Go to the archive he makes available, some of the quizzes are exactly the same as previous ones he released with answers. Do not pay attention to the lectures, they're useless. Do the homework, check the archive and take the tests seriously! A is possible!",False,2024-05-16 14:27:25,4.0,A,2.0,True,False,2.0,Tough grader--Lots of homework--Lecture heavy,3.0,0,0,,13979
18,mandatory,1.0,MAT2500,"Instead of writing a bad review, here is what you should do if you are stuck with this madman. Do not pay attention in class, instead get a head start on the homework on the web assign and use the text book, the ""practice another"", and ""watch it"", to your benefit. Read the textbook and perhaps some videos to build the concepts in your brain. ",False,2024-05-12 03:08:56,5.0,B+,1.0,True,False,1.0,Tough grader,3.0,0,0,,13979
19,mandatory,1.0,MATHANAL,Sent me weird emails critiquing my writing... While misspelling my first name... He clearly has never formatted an email in his life and does not seem to know any basic etiquette when communicating with students.,False,2024-04-20 07:24:58,5.0,Rather not say,1.0,True,False,1.0,,-1.0,0,0,,13979
20,mandatory,1.0,MAT1505,Do not take this professor. Worse Calculus teacher,False,2023-12-18 21:12:10,5.0,B+,1.0,True,False,1.0,Tough grader--Lots of homework--Lecture heavy,-1.0,0,0,,13979
21,mandatory,5.0,1505,The bestest teacher,False,2023-12-07 16:47:23,3.0,A+,5.0,True,False,5.0,Amazing lectures --Inspirational--Online Savvy,3.0,0,0,1.0,13979
22,mandatory,5.0,MAT1505,Hands down best professor Ive ever had. Lectures go at a slow enough pace for you to understand and tests are open note. Easiest A I've gotten!,False,2023-11-15 16:20:49,1.0,A+,5.0,True,False,5.0,Inspirational--Hilarious--Caring,3.0,0,0,1.0,13979
23,mandatory,1.0,CALC2,"Dr bob is the worst teacher I've ever had, and I guarantee if you take his class, he will also be your worst professor you've ever had. Constantly confuses himself because he tries to ""teach"" at lightning speed. His ""teaching"" style is just looking at the board and doing examples. I didn't think there were teachers as bad as him. Do better Nova.",False,2023-11-09 14:36:05,5.0,,1.0,True,False,1.0,Tough grader--Graded by few things,-1.0,0,0,,13979
