id,name,department
2454,John Boyer,Geography
1421891,Gregory Tew,Architecture
2709,Jean Lacoste,Accounting
596230,Jerri England,Mathematics
2026309,Victoria Long,Chemistry
493707,Mary Lipscomb,Biology
1484524,Shamindri Arachchige,Chemistry
377179,Scott Geller,Psychology
11476,Mike Rosenzweig,Biology
665456,Patricia Amateis,Chemistry
1660719,Jonathan Watkinson,Biology
2352972,Jason Sharp,Accounting
2548171,Alec Wagner,Chemistry
475708,Mike Ellerbrock,Economics
474291,Jeannine Eddleton,Chemistry
2397961,Candace Wall,Chemistry
2081373,Courtney Thomas,Political Science
2308214,Megan Emori,Biology
213067,Kurt Hoffman,Psychology
133462,Roger Chang,Engineering
2817144,Jadrian Wooten,Economics
1149634,Margaret Deck,Management
1035206,Steve Trost,Economics
1342590,Buddy Howell,Communication
2177778,Eric Martin,Business
1278628,Cintia Easterwood,Accounting
401761,Neal King,Sociology
1202582,Terri Gillian,Biology
1191122,Neil Johnson,Geology
981048,Richard Seyler,Biology
1170376,Kristie Cooper,Engineering
583673,Edward Weisband,Political Science
614382,Maggie Bump,Chemistry
590972,Noah Barnette,Computer Science
2831087,Abdul Al-Jumaily,Marketing
514875,Paul Deck,Chemistry
2590910,Daniel Osborne,Physics
539315,Jenny Lo,Engineering
377903,Joseph Slawny,Physics
1508222,Kriton Papavasiliou,Physics
1310969,Gebremeskel Gebremariam,Economics
1257387,Donna Wertalik,Marketing
605334,Gordon Yee,Chemistry
2834276,Pitchayaporn Tantihkarnchana,Economics
2901371,Matt Nowinski,Engineering
2486168,Josiah Showalter,Finance
2453636,John Lewis,Computer Science
620109,Laura Clark,Business
931031,Michael Berg,Chemistry
2523639,Fazle Rabby,Mathematics
1529282,Almas Khan,Physics
728506,Cynthia Wood,Animal Science
214245,Ketan Trivedi,Chemistry
2256991,Brian Hart,Finance
581832,Leslie Neilan,English
2328457,Matthew James,Engineering
2429276,Ron Poff,Management
732814,Preston Durrill,Chemistry
604482,George Simmons,Biology
471868,Elisabeth Bloomer,English
337304,. Chermak,Geology
1666839,Eric Hogan,Biology
543987,Stuart Feigenbaum,Hospitality
2423416,John Russell,Statistics
2449739,Christine McCown,Sociology
2776358,Mark Liu,Economics
271460,Phillip Nelson,Physics
2447994,Arthur Ball,Electrical Engineering
2567414,Sanja Pantic,Mathematics
2052930,Addison Dalton,Foreign Languages
2750104,Garrett Fowler,Mathematics
539363,Heath Hart,Mathematics
645700,David Harrison,Psychology
2762782,Sarma Pidaparthi,Mathematics
2877562,Polly Kiratikosolrak,Management
2315364,James Kern,Business
1818212,Arian Katsimbras,English
2671190,Ashley Beleny,Management
960077,David McPherson,Computer Science
2460260,David Gray,Engineering
477912,Steve Mooney,English
2287121,Peter Han,Electrical Engineering
2850835,Paul Jones,Mathematics
734661,Quinton Nottingham,Business
2546918,Clayton Lungstrum,Mathematics
2568165,Ted Juste,Mathematics
152760,Stefan Duma,Engineering
2828984,Johnathan Bowen,Chemistry
1228699,Robert Oliver,Geography
1193754,Brian Vick,Engineering
2659959,Andre Jones Jr.,English
2138786,Hodjat Pendar,Engineering
187873,Susan Anderson,Mathematics
2049279,Sohei Yasuda,Mathematics
2049285,Margaret Ellis,Computer Science
511733,Diane Agud,Mathematics
607651,James Spotila,Geology
2555262,Jennifer Benning,Engineering
1974843,Hamdy Mahmoud,Statistics
2579782,Kaveh Kasebian,Mathematics
2226772,Erika Rappold,Mathematics
465527,Beth Waggenspack,Communication
2410708,Myungsuk Chung,Mathematics
2939894,Peter Caruso,Mathematics
2337336,Kurt Neidigh,Chemistry
2754762,Temperance Rowell,Science
2049281,Natalie Van Tyne,Engineering
2696794,Artem Hulko.,Mathematics
1066523,Vanessa Ruccolo,English
606530,Michael Hughes,Sociology
1159158,Jeff Bolton,Engineering
2593867,Fei Lin,Physics
613672,Jack Evans,Biology
2562075,Catherine Twyman,Engineering
2522277,Tim Becker,English
513477,Steve Oakey,English
739916,Diane Zahm,Urban Planning
618929,Scott Hendricks,Engineering
68154,Carl Bean,English
587036,Dale Jenkins,Communication
2690309,Emma Helm,Animal Science
1978113,Travis Merritt,Physics
2560435,Joseph Wells,Mathematics
2182249,Sneha Davison,Engineering
658413,Christopher Neck,Management
540151,Bob Canter,English
2619467,Diego Calles,Mathematics
350900,Scott Nelson,International Studies
2102814,Jared Gragg,Engineering
2728332,Laura Neser,Geosciences
2232714,Chris Galitz,Engineering
2336660,Claudio D'Amato,Philosophy
2658014,Menuja Perera,Mathematics
1652302,Richard Clark,Engineering
335490,Catherine Stephens,Mathematics
2090285,Dorothy Conner,Communication
581428,Bill Beal,Animal Science
584054,Michael Smith,English
2853293,Cassie Wallwey,Engineering
2632212,Sevak Tahmasian,Engineering
2861248,Heath Hillman,Computer Science
2361602,Mark Cline,Agriculture
613667,Gary Long,Chemistry
1671818,Alex White,Finance
2700345,Justin Loda,Statistics
2331667,Benjamin Chambers,Engineering
2555561,Elesha Wikle,Finance
444503,Susanna Rhineheart,Theater
2545658,Daniel Simundza,Business
2561330,Melanie Fox,Economics
2839561,Patrick Collins,Mathematics
584680,Arthur Keown,Finance
1103122,Nahum Arav,Physics
1130209,I. Stivachtis,International Studies
2658107,John Burleson,Mathematics
2744521,Jacob Powell,Finance
747505,Susanna Rinehart,Theater
1221579,Trudy Becker,Classics
1374293,Roger Sheppard,Biology
623525,Erik Kanter,Communication
2522426,Yunyi Shen,Mathematics
2666498,Barbara Fraticelli,Business
1812521,Alma Robinson,Physics
2755232,Fariha Elsrrawi,Mathematics
358303,William McQuain,Computer Science
604026,Richard Law,Geology
2314278,Aaron Geller,Chemistry
1468160,Richard Phillips,Languages
2407156,Victoria Lael,Human Development
2856105,Ba Nguyen,Mathematics
1398157,Matthew Komelski,Human Development
1228469,Joseph Scallorns,English
467713,Sue Saffle,English
2739453,Patrick Sullivan,Computer Science
425964,Ann Marie Knoblauch,Art History
881115,Y Kim,Physics
99429,Stephen Prince,Communication
832486,Andy Lautenschlager,English
1342673,Jason Malone,Finance
2355398,Stephen Edwards,Computer Science
620895,Margaret McQuain,Mathematics
2344103,Rana Ashkar,Physics
1007366,Godmar Back,Computer Science
2953179,John Pratt,Mathematics
610374,Joseph Germana,Psychology
2303220,Alex Niemiera,Agriculture
2657365,Pinhas Ben-Tzvi,Mechanical Engineering
168822,Paulo Polanah,Ethnic Studies
2403981,Candace Fitch,Hospitality
2551971,Audra Price,Finance
1597637,Mehdi Setareh,Civil Engineering
586350,Joann Harvill,English
2989567,Sajad Khodadadian,Engineering
2336213,Sarah Barreto,Mathematics
491652,Deborah Smith,Mathematics
752722,Brian Hanson,Chemistry
2561487,Todd Fredericksen,Biology
1490396,Yong Xu,Electrical Engineering
2543077,Lee Wooram,Biology
583846,KJ Kim,Human Development
2357046,Matthew Erickson,Accounting
1229689,Bartleby Ordonez-Delgado,Mathematics
2416026,Maziar Ouliaei-Nia,Mathematics
2694993,Scott Dunning,Electrical Engineering
2566263,Turker Topcu,Mathematics
1579157,Lynn Almond,Accounting
2284893,Zhiyang Zhang,Statistics
491647,Robin Allnutt,English
1706500,Steve Matuszak,Communication
971585,Richard Cothren,Economics
2538811,Numann Malik,Mathematics
2608611,Greg Novack,Philosophy
1969035,Caitlin Jewitt,Political Science
933869,Brent Opell,Biology
1154007,Onur Seref,Business & Info. Technology
437067,Markus Breitschmid,Architecture
