id,name,department
1044922,Akbar Salam,Chemistry
1198892,Angela King,Chemistry
595072,Robert Whaples,Economics
2583144,Brian Tague,Biology
1490318,Tanisha Ramachandran,Religion
2524474,Abbie Wrights,Health Science
2525628,David Wren,Chemistry
1267150,Heath Greene,Psychology
822471,Ellen Miller,Anthropology
473965,Jon Pinder,Business
1487077,Jed Macosko,Physics
2838887,Chidozie Chukwu,Mathematics
2530857,Megan Regan,Economics
2764774,Tolulope oke,Mathematics
2725042,Allison Rice,Chemistry
2641273,Boston Woolfolk,Languages
2718001,Joshua Gorsuch,Economics
2912307,Shannon McKeen,Business
2934077,Pratyush Mishra,Mathematics
175781,. Salsbury,Physics
2749675,Sharon Woodard,Health Science
1103133,Susan Rupp,History
1705739,John Tomlinson,Chemistry
1662441,Natasha Romeo,Health Science
564905,Derrick Boone,Business
2655698,Barry Trachtenberg,History
2374142,Lauren Miller,Languages
2200883,Linda Howe,Languages
621542,Susan Grebeldinger,Law
2528686,Diana Arnett,Biology
2584911,Elisabeth Whitehead,Writing
906631,Dan Johnson,Biology
908746,Rebekah Morris,Languages
1569698,Susan Fahrbach,Biology
736833,Jarrod Whitaker,Religion
2661542,Randi Saloman,English
147750,George Walker,Law
1806122,Leann Pace,Religion
1365017,Adrian Bardon,Philosophy
2188076,Alison Atkins,Languages
2839331,Kathleen Bettencourt,Psychology
2289769,Amanda Jones,Chemistry
2604749,Christa Colyer,Chemistry
2734672,Claudia Valdez,Languages
2739791,Sarah Lischer,International Studies
2827941,Chee Han Tan,Mathematics
2661530,Kelly Kuykendall,Computer Science
2777141,Crystal Dixon,Health Science
1320987,Paul Jones,Chemistry
2535927,Duff Baker-Jarvis,Mathematics
1680246,Paul Thacker,Anthropology
1289148,Hugh Howards,Mathematics
2188070,Benjamin Coates,History
2591432,Tin Tommy Leung,Classics
2746965,Kendra Andrews,Writing
2487728,Karin Friederic,Anthropology
2579247,Jayati Lal,Women's Studies
2941423,Elena Makarion,English
251541,Patrick McMullen,Business
813173,Wilson Parker,Law
2833238,Michael Vanbastelaer,Computer Science
2758043,Carter Smith,English
2733687,Yaqi Yuan,Sociology
142995,Jennifer Burg,Computer Science
1182371,John MacDonald,Economics
2670414,Christine Vega,Biology
2717632,Kate Allman,Psychology
2734688,Alejandro Hortal-Sanchez,Philosophy
2832074,Tess Wise,Political Science
2792089,Elham Ghadiri,Chemistry
2558422,Silvia Tiboni-Craft,Languages
330325,Dean Franco,English
2896813,Tamara  Morgan,Languages
1223640,Kim Babon,Sociology
2583381,Danielle Koupf,Writing
2838320,Scott Geyer,Chemistry
2859767,Cindy  McPeters,Writing
2538669,Meghan Gangel,Psychology
2719276,Alan Cameron,Psychology
2940513,Kyle Celano,Mathematics
820812,Phillip Batten,Psychology
2170786,Qiong Zhang,History
2750648,Katie Betancourt,Mathematics
2584915,Liliana Mendoza-Batista,Languages
2954165,Michaela Appeltova,History
2027607,Christian Miller,Philosophy
2579773,Jessica Venegas,Languages
2667046,Melissa Kenny,Engineering
2525626,David Yamane,Sociology
2615889,Adam Kadlac,Philosophy
2347516,Jia Li,Business
2673993,Patrick Toner,Philosophy
2838122,Patrick James Kozey,Languages
2946419,Michael Grigoni,Religion
2758056,Megan Francisco,Music
2624655,Margaret Ewalt,Languages
1698135,Megan Rudock,Chemistry
1806121,Sol Miguel-Prendes,Languages
754740,Wendy Parker,Law
2528682,Bridget Smeekens,Psychology
2543948,Pieternella Van Doorn-Harder,Religion
2655713,Roger Echols,Chemistry
2661533,Meredith Farmer,English
2711169,Maria-Encarna Turner,Languages
2825069,Tobias Flattery,Philosophy
2928173,Angika Bulbul,Physics
488868,Jay Ford,Religion
22163,Saylor Breckenridge,Social Science
1420296,Ellen Kirkman,Mathematics
1446826,Jeremy Rouse,Mathematics
858527,Billy Marcum,Business
2945849,Abigail  Moore,Sociology
1479208,Jeffrey Lerner,History
2726866,Rayed Khedher,Languages
2840747,Nisrine Rahal,History
834321,Sarah Raynor,Mathematics
2527969,Jacque Amoureux,Political Science
825457,Eric Carlson,Physics
1569713,Willie Hinze,Chemistry
2525030,Lynne Yengulalp,Mathematics
2855152,Leigh Watson,Psychology
2621340,Rowena Rowie Kirby-Straker,Communication
2459556,John Lukesh,Chemistry
2599350,Matthew Fiander,Writing
2664561,Brittany Battle,Sociology
2733211,Guillermo Alesandroni,Mathematics
2525623,Thomas Brister,Political Science
2733618,Leah Sink-Haynes,Writing
2777356,Keri Epps,Writing
2837665,Amanda Martyn,Biology
1486678,Morna O'Neill,Art History
481937,Janet Boseovski,Psychology
2745221,Stephen Calabrese,Economics
2838042,Jacob Mayle,Mathematics
199595,Olga Furmanek,Languages
266260,Dave Anderson,Biology
1991386,Margaret Bender,Anthropology
2018558,Charles Kennedy,Political Science
2668921,Justin Allman,Mathematics
2727247,Thomas Kindred,Mathematics
328403,Yasuko Takata,Languages
1160021,Eric Stone,Psychology
2500437,Chris Brown,English
2534414,Rajan Puri,Mathematics
1586601,Mary Pendergraft,Classics
3053628,Allison Forti,Psychology
2410377,Natalie Bremner-Hay,Chemistry
1806128,Jane Albrecht,Languages
2268787,Tiffany Judy,Languages
2948776,Steve Moog,Anthropology
2170902,Charles Wilkins,History
2558398,John Ruddiman,History
2570335,Guy Witzel,English
2750640,Alisa Russell,Writing
2927553,Analice Glauz-Todrank,Religion
595078,Jac Heckelman,Economics
846020,Miles Silman,Biology
1700475,Hana Brown,Sociology
2617971,Ronald Neal,Religion
1093651,Luellen Curry,Law
1141325,James Powell,Classics
971971,Eric Wilson,English
2577303,Jerid Francom,Languages
2684085,Kyana Young,Engineering
2687243,Adrian Greene,English
2698025,Buz Moser,Business
2950985,Christina Dalton,Economics
2800696,Hannah Harrison,Writing
2910229,Elizabeth Whitehead,Writing
328015,Stephen Robinson,Mathematics
2787548,Yasin Rabby,Engineering
2891919,Peter  Merkx ,Mathematics
1516688,Lucas Johnston,English
2112008,Brian Warren,Classics
2383631,Anna Cianci,Accounting
2583140,Luis Gonzalez,Languages
2745960,Erin Branch,Writing
2772492,DeOnna Reliford,Languages
870996,Keith Bonin,Physics
2420320,Sherriann Clark,Anthropology
2667772,Ali Sakkal,Education
2690166,Nate Plageman,History
2727257,Kimberly Wortmann,Religion
2644427,Charles Atkins,Mathematics
2947400,Stewart Carter,Music
2956480,Rebecca Johnson,Communication
1903946,Eric Ekstrand,Writing
1936979,Amanda Gengler,Sociology
1031943,Ram Baliga,Business
2891921,Sara  Fernandez-Cuenca ,Languages
386758,Kevin Bowen,Music
2027323,Todd McFall,Economics
2681781,Gail Clements,English
2727134,Andrea Gomez-Cervantes,Sociology
2733170,Daniel Castelblanco,Languages
2950464,Tivia Collins,Women's Studies
2973767,Estonia Black,Economics
561065,Monique O'Connell,History
1160246,John J. Curley,Art History
2617969,Lisa Kiang,Psychology
991722,Bernadine Barnes,Art History
2950997,Gentry Jenkins,Political Science
901812,Leah Roy,Theater
1487023,Tina Boyer,Languages
1569716,Sarmad Hindo,Chemistry
2748622,Wanda Balzano,Women's Studies
669011,Tim Davis,Law
745771,Ana Maria Leon-Tavora,Languages
2390126,Amanda Vincent,Languages
2393425,Peter Kairoff,Music
2632369,Michael Sloan,Classics
2637855,Wei-chin Lee,Political Science
2667874,Martin Guthold,Physics
2717958,Francisco Gallegos,Philosophy
2730137,John Schafer,Languages
2745619,Daniel Burton-Rose,History
2782813,Lynn Neal,Religion
1649902,Samuel Cho,Computer Science
1336107,Charles Lewis,Philosophy
142991,Todd Torgersen,Computer Science
2784115,Tara Baldrick-Morrone,Religion
2858029,Kathryn Mayers,Languages
135060,Ronald Wright,Law
747669,Alan Palmiter,Law
1357062,Anthony Parent,History
2027321,William Turkett,Computer Science
564912,Charles Iacovou,Business
719940,Ivo Sanchez,Languages
1755626,Alan Jose,Languages
2534155,Emily Huang,Mathematics
2632373,Frank Moore,Mathematics
2661541,Sarah Hogan,English
2961923,Daniel Jung,Languages
565270,Brantly Shapiro,Fine Arts
822049,Steven Gunkel,Sociology
1192179,Susan Pellet,Languages
2027305,Marianne Erhardt,Writing
2775499,Joesph Soares,Sociology
1229360,Michael Klotz,English
1169020,Earl Crow,Religion
1814563,Christine Kirouac,Fine Arts
2970676,zak lancaster,English
2839150,Nikki Moore,Architecture
2754052,Zachary Hayes,Languages
2831382,Sara Mendonca,Psychology
2838420,Alex Ruppert,Health Science
1096885,Kenneth Hoglund,Religion
1686485,Molly Knight,Languages
538325,Yomi Durotoye,Political Science
2412253,Rebecca Crellin,Computer Science
2633128,Ryan Schroth,Languages
2643878,Troy Stich,Chemistry
2661539,Matthew Garite,English
1670137,Diego Burgos,Languages
2143562,Samanta Ordóñez,Languages
715572,Robert Utley,Humanities
1229427,Melissa Jenkins,English
455974,James Hans,English
2774624,Lakela Atkinson,English
2835069,Abdessadek Lachgar,Chemistry
3039267,Noah Gade,Mathematics
266842,Herman Eure,Biology
945439,K Simmons,Law
1094491,Alan Williams,History
2655834,Robert Hellyer,History
2809975,Claudia Falcon,Mathematics
2854860,Linda Nielsen,Education
142989,Stan Thomas,Computer Science
1571367,Betina Cutaia-Wilkinson,Political Science
1694757,Alyssa Howards,Languages
3042646,Megan Manassah,Economics
1549501,Juan-Pedro Garces,Economics
928384,Chuck Kennedy,Business
135057,Carol Anderson,Law
1115874,Ralph Peeples,Law
