index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,mandatory,5.0,111L,"Best professor for 111L, and it is not even close. He does not uses quizzes or tests, so the final grade is just an average of your lab reports. He was very helpful and was a good laugh. Definitely take him for lab!",False,2025-01-23 13:33:40,1.0,A,5.0,True,False,5.0,Group projects--Clear grading criteria--Hilarious,3.0,0,0,1.0,1044922
1,mandatory,5.0,111L,His Chm 111L is great! No midterms or tests just the lab reports. He also explains all the formulas you need before the lab. ,False,2025-01-14 20:47:29,1.0,A,5.0,True,False,5.0,Caring--Respected,-1.0,0,0,1.0,1044922
2,,1.0,111,would give him a 0 if i could,False,2024-12-16 15:22:36,5.0,,1.0,False,False,1.0,,,0,0,,1044922
3,,1.0,111,i would never wish anybody to have him as a teacher ,False,2024-12-16 15:21:47,5.0,,1.0,False,False,1.0,,,0,0,,1044922
4,non mandatory,1.0,111,WORST ever. do not take him no matter what,False,2024-12-16 15:20:55,5.0,B-,1.0,True,False,1.0,,-1.0,0,0,,1044922
5,non mandatory,1.0,CHM280,"worst professor at wake, would never EVER take him again, terrible teacher, even worse to communicate with outside of class, thinks he is better than everyone ",False,2024-12-16 15:20:03,4.0,C,1.0,True,False,1.0,Tough grader,-1.0,0,0,,1044922
6,mandatory,5.0,111L,"THIS IS FOR 111 LAB. Amazing Lab instructor. Super funny and personable, also explains the lab very well. No midterm-final is also great. ",False,2024-11-03 23:53:57,1.0,A+,5.0,True,False,5.0,Hilarious--Graded by few things,-1.0,0,0,1.0,1044922
7,non mandatory,1.0,CHM342,Awful teacher,False,2024-10-18 01:19:48,3.0,A+,1.0,True,False,1.0,,-1.0,0,0,,1044922
8,non mandatory,1.0,CHM280,"Class was lecture based which would be fine if it was explained well.  Speaks about Chem topics at a level WAY above everyone's head.  Grading system is weird, all tests and he is a stickler for partial credit.  If you can take anyone else, do so.  I have had such amazing experiences with every other teacher in the Chem department except for him.",False,2024-09-25 18:21:41,5.0,Rather not say,1.0,True,False,1.0,Tough grader--Lecture heavy--Graded by few things,3.0,0,0,,1044922
9,mandatory,5.0,111L,His lab is great! He explains all the formulas beforehand and he gives clear guidelines. We also didn't have a midterm or final lab exam which made it even easier.,False,2024-04-17 21:51:00,1.0,A+,5.0,True,False,5.0,Clear grading criteria--Respected,-1.0,0,1,1.0,1044922
