id,name,department
167605,Sudeshna Bandyopadhyay,Economics
497003,Richard Loomis,Chemistry
2637503,Karl Schaefer,Mathematics
260589,Dottie Petersen,Economics
458665,Jack Shapiro,Mathematics
2646250,Bryn Lutes,Chemistry
1789007,Douglas Shook,Computer Science
713,Regina Frey,Chemistry
134134,Brian Blank,Mathematics
64608,Michael Gordinier,Business
602695,Kathy Hafer,Biology
450046,Ed Spitznagel,Mathematics
306635,Martha Hasting,Mathematics
836811,Blake Thornton,Mathematics
241440,Ron Cytron,Computer Science
1884620,Konstantina Kiousis,Business
2413728,Silas Johnson,Mathematics
2219101,Megan Daschbach,Chemistry
540018,Mitchell Sommers,Psychology
540020,Alan Lambert,Psychology
16863,Mark Pegg,History
1599882,Staci Thomas,Business
519960,Brian Carpenter,Psychology
92012,Charles Moul,Economics
396653,Jan Duchek,Psychology
481966,Glenn MacDonald,Business
1059561,Richard Mabbs,Chemistry
14934,Jami Ake,English
126573,James Reid,Psychology
538516,Glenn Stone,Anthropology
110729,Brett Hyde,Linguistics
546217,John Parks,Biology
256295,Ian Duncan,Biology
1624371,Colin Burnett,Film
543422,Kevin Moeller,Chemistry
392809,Tom Bernatowicz,Physics
73909,Darla Dale,Anthropology
1953432,Andrew Reeves,Political Science
437461,Ron Freiwald,Mathematics
540007,John Bleeke,Chemistry
306639,Amanda Carey,Languages
2624390,Abigail Jager,Mathematics
929006,John Shareshian,Mathematics
2426579,Jonathan Barnes,Chemistry
852057,Kit Mao,Chemistry
2526753,Brian Garnett,Computer Science
1703890,Eli Snir,Management
71032,Karen Wooley,Chemistry
282163,Carol Johanek,Marketing
541585,William Wallace,Art History
2328586,David Strait,Anthropology
398595,Vlad Birman,Chemistry
245881,Cleon Yohe,Mathematics
220008,Andrew Sobel,Political Science
257213,Steve Fazzari,Economics
535758,Nancy Schnurr,Languages
540198,Richard Abrams,Psychology
2174376,William Richard,Computer Science
272224,Richard Rochberg,Mathematics
2266072,Todd Sproull,Computer Science
73659,William Lowry,Political Science
1922236,Jared Jennings,Business
90900,Paul Rosenzweig,English
2355710,Stephen Cole,Computer Science
370553,Bret Gustafson,Anthropology
2104713,Jinsong Zhang,Engineering
90901,Timothy Parsons,History
184099,Robert Canfield,Anthropology
396651,Rachel Roberts,Mathematics
396633,David Balota,Psychology
991020,Eileen Gsell,English
346616,Peter Kastor,History
525264,John Heil,Philosophy
2601574,Jonathan (Jon) Shidal,Computer Science
306933,Iver Bernstein,History
348566,Allan Larson,Biology
775332,William Buhro,Chemistry
312056,Paul Crenshaw,Fine Arts
128841,Frank Flinn,Theology
2963602,Julie Hamdi,Chemistry
337090,Frank Yin,Engineering
543651,Mary Borgman,Fine Arts
439736,John McCarthy,Mathematics
1802626,Gary Patti,Chemistry
2563285,Jia Luo,Chemistry
229361,Joan Brockmann,English
449936,Henric Krawczynski,Physics
413166,Andrew Rehfeld,Political Science
134109,Lev Gelb,Chemistry
96457,John Hetts,Psychology
90224,Gay Lorberbaum,Architecture
542933,Geoff Childs,Anthropology
927843,Doug Chalker,Biology
