id,name,department
1635,Constance Pilkington,Psychology
521119,M. Christine Porter,Psychology
78721,Paul Heideman,Biology
2505417,Patricia Habersham,Biology
53242,Dan Cristol,Biology
1318778,Peter McHenry,Economics
16041,Clay Clemens,Government
2070596,Katie Lopresti,Economics
85263,Marylou Zapf,Mathematics
102070,Steven Meyer,Economics
1943866,Chad Vance,Philosophy
77208,Clyde Haulman,Economics
50118,John Nezlek,Psychology
133124,Philip Daileader,History
14912,Rowan Lockwood,Science
54347,Larry Ventis,Psychology
289488,Randy Coleman,Chemistry
78725,Robert Pike,Chemistry
448919,Peter Vishton,Psychology
179038,Margaret Saha,Biology
1035808,Dennis Smith,Government
23060,Debbie Noonan,Computer Science
2176614,Mark Greer,Economics
14915,Linda Morse,Science
1222056,Michael Luchs,Business Administration
2026853,Jordan Walk,Chemistry
1946330,Marcus Holmes,Government
195130,Thomas Linneman,Sociology
1819481,Judith Hand,Sociology
1940055,Ashleigh Everhardt Queen,Kinesiology
142675,Simon Stow,Political Science
46074,Larry Evans,Political Science
2336024,Ranjan Shrestha,Economics
2278323,William Soto,Biology
1550817,Meghan Miller,Psychology
16042,Michael Tierney,Political Science
1965528,Dana Lashley,Chemistry
108803,William Fisher,Anthropology
62936,Chris Abelt,Chemistry
78776,Beverly Sher,Chemistry
91917,Pam Hunt,Psychology
53245,Liz Allison,Biology
236021,Jennifer Mellor,Economics
204233,Robert Kohl,Kinesiology
48430,Rick Frieden,Psychology
2388186,Jaclyn Moloney,Psychology
1163349,Rachel Delbos,Mathematics
2218230,Stephen Trefethen,Mathematics
49630,Vladimir Bolotnikov,Mathematics
1096,Luann Homza,History
62939,Katherine Rahman,International Studies
185008,Mike Deschenes,Health Science
62938,Chuck Bailey,Geology
48438,Robert C. Barnet,Psychology
453253,Jennifer Stevens,Psychology
2050306,James (Jim) Deverick,Computer Science
86831,Nahum Zobin,Mathematics
264373,Georgia Irby,Classics
238086,Elizabeth Harbron,Chemistry
283171,Alfredo Pereira,Economics
155963,M Melfi,English
147459,Laurie Koloski,History
453252,Paul Davies,Philosophy
222420,Ronald Schechter,History
1755165,Tatyana Kuzmenko,Economics
732124,John Chesley,Classics
322085,Diane Shakes,Biology
2241773,Dana Willner,Computer Science
122261,Marc Sher,Physics
564491,Scott McCoy,Business
533990,Martin Schmidt,Economics
2295830,Jenny Rahn,Biology
2730191,Alan Kennedy,Public Policy
149608,Don Campbell,Economics
290082,Lisa Landino,Chemistry
14916,Jane Ashworth,English
1838481,Rebekah Sterling,Government
23061,Bella Ginzbursky-Blum,Languages
9892,Catherine Levesque,History
245705,Christine Nemacheck,Political Science
102075,George Rublein,Mathematics
2160407,Timothy Davis,Computer Science
108806,John Conlee,English
54346,Lisa Anderson,Economics
1887624,Mark McLaughlin,Religion
53915,Timothy Costelloe,Philosophy
1480605,Jeremy Pope,History
1872021,Joseph Jones,Anthropology
618166,Andrew Fisher,History
406515,Michele King,Speech
1637,Kim Wheatley,English
747373,Brett Wilson,English
195125,Walter Wenska,English
292332,David Thompson,Chemistry
2086647,Jonah Goldwater,Philosophy
314155,Berhanu Abegaz,Economics
2599174,Alejandro Gelves,Business Administration
234503,Chris Ball,Psychology
2297909,Brian Rabinovitz,Psychology
77741,Paula Pickering,Political Science
405147,Angela Leruth,Languages
242725,Christopher Howard,Government
134537,Carey Bagdassarian,Chemistry
200108,John Swaddle,Biology
1664644,Rui Pereira,Economics
139968,Mark Forsyth,Biology
190869,Deborah Morse,English
459256,Noah Lemos,Philosophy
427022,Suzanne Hagedorn,English
1366693,Jackson Sasser,Government
155964,Christopher MacGowan,English
1767924,Jaime Settle,Government
48436,Sal Saporito,Social Science
1052826,Mitchell Dudley,Economics
290488,Varun Begley,Film
1384889,Kurt Williamson,Biology
503399,Todd Thrash,Psychology
2306726,Caitlin Brown,Government
153079,Melvin Ely,History
162223,Kathleen Slevin,Sociology
378789,Tonya Boone,Business
2202837,Kaitlyn Harrigan,Linguistics
289996,Frederick Corney,History
890927,Nanette Graham,Sociology
884406,Amy Oakes,Government
1555186,Joshua Gert,Philosophy
95684,Mark Fowler,Philosophy
1863050,Daniel Vasiliu,Mathematics
807839,Michael Brennan Harris,Kinesiology
57827,John McGlennon,Government
288967,Michael Leruth,Languages
261863,Paul Manna,Political Science
293675,T.J. Cheng,Political Science
915498,Erin Minear,English
1510495,Drew Stelljes,Education
1061090,Iyabo Osiapem,English
148753,J.C. Poutsma,Chemistry
155970,Simon Joyce,English
484291,Beth Freeborn,Economics
271558,R. Carter Hailey,English
2736038,Andra Hiriscau,Economics
1722986,Alex Angelov,Religious Studies
153078,John Donahue,Classics
484027,Lee Kirkpatrick,Psychology
760935,Martha Alexander,English
46079,George Grayson,Political Science
155967,M Gallivan,Anthropology
285504,Josh Burk,Psychology
148766,Robert Hinkle,Chemistry
139955,Michael Nichols,Psychology
2053068,Nicholas  Balascio,Geology
231540,Monica Potkay,English
1761779,William McIntosh,Psychology
1810542,William McNamara,Chemistry
88060,James Savage,English
133163,Michael Daise,Theology
1193420,Gexin YU,Mathematics
148763,Laura Ekstrom,Philosophy
203801,Adam Potkay,English
185937,David Armstrong,Physics
492817,Hiroshi Kitamura,History
2318968,William Fox,Mathematics
91763,William Hutton,History
1872766,Arthur Johnson,Mathematics
91634,Harvey Langholtz,Psychology
171360,S. Bisconer,Psychology
287727,Paul Mapp,History
313954,Ram Ganeshan,Business
243058,Alexander Prokhorov,Languages
2211592,Jerry Watkins III,History
290614,Jenny Putzi,English
751013,Timothy L. Barnard,Film
907952,Till Schreiber,Economics
2451881,Ayse Durukan Sonmez,Business Administration
54345,Chitralekha Zutshi,History
294642,Thomas Payne,Music
581921,Robert Archibald,Economics
1310869,James Kaste,Geology
609732,Brian Blouet,Political Science
872228,Anya Hogoboom,Linguistics
2147071,Tyler Frazier,International Studies
478518,Donald Polaski,Religion
2581168,Erdene Chadraa,Mathematics
2284539,Carrie Dolan,Kinesiology
215333,Brad Weiss,Anthropology
780355,Gayle Murchison,Music
1911786,Paulina Carrion,Languages
1085977,Katherine Guthrie,Business Administration
1036933,Catherine Forestell,Psychology
78728,Steve Knudson,Chemistry
1066323,Sean Tarter,Economics
1489796,Jonathan Allen,Biology
731334,Charles Palermo,Art History
911570,Peter Kemper,Computer Science
1375934,Jonathan Scheerer,Chemistry
289920,Peter Wiggins,English
1636,Sarah Stafford,Economics
145119,Steve Holliday,Theater
155947,Elizabeth Barnes,English
292083,Wagih Dafashy,Accounting
290251,Ray McCoy,Health Science
2038002,Evie Burnet,Kinesiology
38136,Maryse Fauvel,Languages
171583,Chi Li,Mathematics
2192861,Keith Johnson,English
181979,Julie Galambush,Religious Studies
78734,Dennis Taylor,Marine Sciences
46333,Carol Sheriff,History
185192,Barbara King,Anthropology
1177931,Eric Han,History
1356924,Sarah Menefee,Science
479669,Douglas Price,Mathematics
1027527,Qian Su,Modern Languages
83487,Jim Whittenburg,History
229128,Deborah Bebout,Chemistry
1584369,Matthias Leu,Biology
828030,Francis Tanglao-Aguas,Theater
2351361,Jennifer Bestman,Biology
1080126,Matthew Haug,Philosophy
489805,Douglas Gross,Psychology
132694,Regina Root,Languages
2192027,Heather Sasinowska,Mathematics
381875,Sheila Avellanet,Languages
294861,Francie Cate-Arries,Languages
1965232,Dan Maliniak,Government
145313,Suzanne Raitt,English
943096,Matthew Wawersik,Biology
1649927,Scott Ickes,Kinesiology
2421186,Nicole Dressler,History
200684,Carla Buck,Languages
1486072,Christopher Freiman,Philosophy
