id,name,department
22305,Glynis Hamel,Computer Science
1630956,Mihhail Berezovski,Mathematics
61240,Roger Lui,Mathematics
47976,John Goulet,Mathematics
45997,Herman Servatius,Mathematics
71238,Mayer Humi,Mathematics
119850,Sergey Makarov,Engineering
47866,Dalin Tang,Mathematics
1845707,Qi Han,Mathematics
70121,Vadim Yakovlev,Mathematics
68641,George Phillies,Science
1858515,Shawn Burdette,Chemistry
119896,Uma Kumar,Chemistry
596301,Jon Abraham,Mathematics
107831,David Adams,Science
48081,Brigitte Servatius,Mathematics
542745,Tatiana Doytchinova,Mathematics
47979,William Farr,Mathematics
46706,Michael Radzicki,Economics
46538,Michael Ciaraldi,Computer Science
36949,Konstantin Lurie,Mathematics
1248464,Hektor Kashuri,Physics
73318,Makhlouf Makhlouf,Engineering
783683,Marcel Blais,Mathematics
831362,Destin Heilman,Chemistry
119914,John Sanbonmatsu,Humanities
253920,Michael Johnson,Mathematics
119375,Mark Richman,Engineering
1361677,Burt Tilley,Mathematics
119763,Suzanne Weekes,Mathematics
99570,Padmanabhan Aravind,Science
1694917,Drew Brodeur,Chemistry
119419,George Heineman,Computer Science
119363,Richard Quimby,Science
119475,James Pavlik,Science
2134010,Rudra Kafle,Physics
48084,Kathryn Fisler,Computer Science
119360,Jill Rulfs,Science
71498,William Baller,History
1260848,Frank Dick,Physics
1182158,Zofia Glazer,Chemistry
104325,Nancy Burnham,Science
119924,Stephen Bitar,Engineering
2547132,Bruce Bursten,Chemistry
99574,Christopher Larsen,Mathematics
119357,Alexander Emanuel,Engineering
2409509,Dina Rassias,Mathematics
119826,Satya Shivkumar,Engineering
1494163,David Planchard,Engineering
48966,Marcus Sarkis-Martins,Mathematics
119868,James Dittami,Science
112515,Joseph Fehribach,Mathematics
160223,John MacDonald,Science
1842690,Farhod Abdullayev,Mathematics
80606,Oleg Pavlov,Economics
47510,Zhikun Hou,Engineering
73369,William Martin,Mathematics
46543,Dina Solitro,Mathematics
1410774,Izabela Stroe,Physics
2049773,Blake Currier,Physics
47998,Holly Ault,Engineering
2461718,William Sanguinet,Mathematics
119494,Carolina Ruiz,Computer Science
49224,William Michalson,Engineering
119411,Mustapha Fofana,Engineering
49388,Edward Clancy,Engineering
106545,Gabor Sarkozy,Computer Science
102853,Carolann Koleci,Science
2238776,Snehalata Kadam,Physics
119824,Angel Rivera,Humanities
119877,Micha Hofri,Computer Science
1873465,Sabyasachi Sarkar,Physics
