index,attendance_mandatory,clarity_rating,class,comment,created_by_user,date,difficulty_rating,grade,helpful_rating,is_for_credit,is_for_online_class,quality_rating,rating_tags,textbook_use,thumbs_down_total,thumbs_up_total,would_take_again,pid
0,non mandatory,2.0,CS1101,"Homeworks are graded the harshest I have ever seen. Very strict on grading and quizes. Doesn't really teach, has you watch youtube videos before class so you understand the concepts.",False,2020-09-19 03:32:17,4.0,,2.0,True,False,2.0,,0.0,0,0,0.0,22305
1,mandatory,2.0,CS1101,"She teaches nothing. She's the type of teacher that basically just has memorized the lectures and can't answer a question in more than one way. Her exams are based on tiny little things and are super annoying. She took off points for missing a semicolon (it's handwritten exams). She's probably the worst CS professor I had, so it gets better!",False,2020-05-12 23:58:05,3.0,Rather not say,2.0,True,False,2.0,Skip class? You won't pass.--Test heavy--Group projects,0.0,0,0,0.0,22305
2,mandatory,5.0,CS1101,"Hamel gets a bad rap. She teaches the intro CS class to kids that already know how to code so they have a hard time adjusting to Racket which is a really weird language. But I was someone who had very little experience and thought it was easy. If you humble yourself, ask for help, and put in some work you should get an easy A.",False,2020-04-30 21:45:49,3.0,A,5.0,True,False,5.0,,0.0,0,1,1.0,22305
3,non mandatory,1.0,CS1101,"She doesnt really teach anything because she probably doesnt know how. She relies on us watching videos every night of some other guy doing stuff and then expects us to be fluent in Racket. Her tests are unreasonable, and if you dont care you are going to fail",False,2020-04-15 23:09:37,4.0,Rather not say,1.0,True,False,1.0,Lots of homework--Test heavy--Lecture heavy,0.0,0,0,0.0,22305
4,N,4.0,CS1101,"Took Cs1101 with her. Most of the lectures are online so you are not required to go to class except on quiz days (depends on whether you take the class in A or C term. If you take in A term, quizzes are everyday but for C term its only Thursday). Her tests are relatively easy. She also gives bonus points if you work with a partner",False,2020-03-27 03:30:44,3.0,,4.0,True,False,4.0,Lots of homework--Gives good feedback,0.0,0,0,1.0,22305
5,mandatory,4.0,CS1101,Personally I found the lectures really clear and helpful. There was a plan for every class and no sidetracking or rambling. I found her very approachable and she responded pretty quickly when I would post a question on the forum.,False,2019-10-21 18:48:22,3.0,B,4.0,True,False,4.0,Lecture heavy,0.0,0,0,1.0,22305
6,,2.0,CS1101,"Extremely unreasonable exam problems and grading, excessively focusing on trivial things rather than true KNOWLEDGE.",False,2019-09-25 00:17:07,2.0,A,2.0,True,False,2.0,,0.0,0,0,0.0,22305
7,,2.0,CS1101,"I wasn't the best at CS and expected this class to help with that, especially since it was stated that this class was an intro to programming (using Racket), but boy was I WRONG &#55357;&#56849;. Her lectures are hard to follow, the tests are way to difficult and the point system on the tests fails to recognize the parts of the code you did get right",False,2019-07-30 23:29:23,4.0,C,2.0,True,False,2.0,Lots of homework--Tough grader,0.0,0,1,0.0,22305
8,,3.0,CS2119,"Prof Hamel is a very nice lady, and I have to give her credit for this, and for being available for help. However, her lectures are quite boring, to the point where even if I payed attention, many lessons did not make their way into my head because the material was just not taught in an engaging manner.",False,2019-05-03 20:00:41,4.0,A,3.0,True,False,3.0,Lots of homework--Skip class? You won't pass.--Tough grader,0.0,0,0,0.0,22305
9,mandatory,4.0,CS1101,"Professor Hamel is a great professor, but CS1101 is a tough class. Her lectures are helpful and she does her best to clear up any confusion. The material isn't too hard to understand, but homework and tests are graded very harshly. Start the homework before the day it's due.",False,2019-03-13 16:16:02,4.0,B,4.0,True,False,4.0,Accessible outside class--Caring--Tough grader,0.0,0,0,1.0,22305
10,mandatory,4.0,CS1101,"Quizzes every class, usually on the material from the previous class. Make sure you show up at least for the beginning of class. However it's usually good to stay as what she teaches will likely be on the next quiz. 3 Exams, not too bad especially if you use the sample exams. Use the grading rubric before submitting HW. She also posts class code.",False,2018-10-17 11:08:24,3.0,B,4.0,True,False,4.0,Skip class? You won't pass.--Clear grading criteria--LECTURE HEAVY,0.0,0,1,1.0,22305
11,non mandatory,2.0,CS1101,"I had professor Hamel for 2102 and 1101. 1101: Easy class really only need to show up for quizzes and tests 2102: Essentially AP CS, the class is called object oriented concepts. Concepts is the key word there isn't much coding more theory stuff. Not very fun. The tests were ridiculously harder than they should have been.",False,2018-05-05 13:27:32,1.0,A,2.0,True,False,2.0,,0.0,0,0,0.0,22305
12,non mandatory,4.0,CS1101,"If you have prior programming experience don't assume that you'll breeze through this course. 'Racket' is an understandable but difficult language. Many students have a problem with the language and subsequently the professor, which is why she's underrated. Professor Hamel is accessible and helpful, I have no problem with her teaching.",False,2018-04-14 14:11:03,3.0,A,4.0,True,False,4.0,ACCESSIBLE OUTSIDE CLASS--Clear grading criteria,0.0,0,2,1.0,22305
13,mandatory,3.0,CS1011,You have to watch the videos in order to understand the class/homework/labs but if you do that you should be fine.,False,2018-02-21 10:58:18,3.0,A,3.0,True,False,3.0,Tough Grader--LOTS OF HOMEWORK,0.0,0,0,1.0,22305
