id,name,department
2404072,Dinny Aletheiani,East Asian Studies
692839,Marc Lapadula,Film
136044,Shelly Kagan,Philosophy
1456235,Ramamurti Shankar,Physics
133932,Paul Bloom,Psychology
202334,Narasimhan Ganapathi,Chemistry
949784,Karen Von Kunes,Slavic Languages & Literatures
138944,Iona Black,Science
1248370,Michael Boozer,Economics
747963,Joanne Freeman,History
63747,Brian Scholl,Psychology
961552,Shinik Hahm,Music
1795639,Farkhondeh Shayesteh,Near Eastern Studies
1745448,David Klemanski,Psychology
270726,Justine Hastings,Economics
2673947,Jonas Elbousty,Near Eastern Studies
135916,Donald Kagan,History
452117,Karl Storchmann,Economics
226583,Harold Bloom,English
138941,Craig Wright,Music
73400,Timothy Robinson,English
1052402,Art Swersey,Management
1086064,Miguel Ramirez,Economics
944760,Tolga Koker,Economics
1887583,Robert Shiller,Economics
672895,Leslie Brisman,English
163811,John Faragher,History
1102147,Ralph Selig,Mathematics
84919,Lourdes Sabe,Spanish
358296,John MacKay,Film
326935,Charles Hill,International Studies
900579,Diana Swancutt,Religion
330226,Richard Deming,English
224278,David Cameron,Political Science
429803,Marcello Canuto,Anthropology
517640,Marvin Chun,Psychology
712391,Akhil Amar,Law
138946,Mark Johnson,Science
61312,Glenda Gilmore,History
711978,Peggy Deamer,Architecture
641360,Maggie Brooks,Music
500262,Michael Faison,Physics
855815,Giuseppe Mazzotta,Italian
894274,John Geanakoplos,Economics
568910,David Blight,History
620209,Paul Dilley,Religion
135138,Sophia Gruzdys,Architecture
620277,Charles Musser,Film
553357,Dianne Jonas,Linguistics
59196,John Merriman,History
452116,Michael Frame,Mathematics
1984402,Tina Lu,East Asian Studies
135134,E-L Pelkonen,Architecture
780568,Amy Arnsten,Biology
73399,Joseph Chang,Mathematics
2609612,Jessica Spector,Philosophy
514444,Maria Pinango,Psychology
839444,Bruce Ackerman,Law
655235,Eric Sargis,Anthropology
509293,Marc Brackett,Psychology
796649,Jennifer Bair,Sociology
1455828,Ben Polak,Management
565944,John Hare,Philosophy
1475827,William Honeychurch,Archaeology
204154,Henry Sussman,Literature
334907,Alexander Beecroft,Literature
247575,Michael Auslin,History
640259,Jonathan Parr,Chemistry
940114,Christopher Beeley,Religion
582897,Frederick Ziegler,Chemistry
597242,Charles Ahn,Science
850793,Carol Jacobs,German
995048,Michael Farina,Italian
139020,Bernard Bate,Anthropology
796646,Jessica Brantley,English
2268203,Silas Gray,Psychology
483165,Benita Dilley,Communication
1881873,Kyle Luh,Mathematics
422279,Michael J. Anderson,Classics
1697202,Paul Franks,Philosophy
948072,Terri Francis,Film
672948,Paul Fry,Literature
655238,Frank Griffel,Religion
204152,Sybil Alexandrov,African-American Studies
585650,Alexander Garvin,Urban Studies
543308,Alfie Guy,English
1827615,David Spiegel,Chemistry
138951,Frances Brent,English
655246,Caroline Hatton,French
994369,Timothy Snyder,History
2201840,Elke Stein,Biology
2513119,Amaleah Hartman,Biology
138014,Ed Mitchell,Architecture
545456,Vladimir Rokhlin,Computer Science
547534,Matuku Ngame,French
1414459,James Michael McBride,Chemistry
455801,Giuseppe Moscarini,Economics
655240,Stephen Dellaporta,Biology
822463,Anthony Niesz,German
850289,Richard Prum,Ecology & Evolutionary Biology
206905,Ruth Koizim,Languages
397376,Bryan Spinks,Religion
960566,Andrew Barron,Statistics
155254,Karsten Harries,Philosophy
993693,Ian Shapiro,Political Science
227983,Patrick Loria,Chemistry
536854,Jane Levin,English
621652,Dan Esty,Law
183031,Rosemarie Morgan,English
543312,Traugott Lawler,English
813346,Joseph Roach,Theater
903083,Jay Emerson,Statistics
973265,Toni Dorfman,Theater
1827519,Peter Eisenman,Architecture
620201,Julia Prest,French
1872386,Youn-Mi Kim,Art History
767144,Igor Frenkel,Mathematics
550378,Lisa Pfefferle,Chemical Engineering
813347,Deb Margolin,Theater
949779,Naomi Pabst,African-American Studies
1138159,Ann Valentine,Chemistry
2604087,Edward Aparicio,Philosophy
1354413,Samuel Decanio,Political Science
3027039,Edwin Ko,Linguistics
2031905,Paul North,German
2975175,Emmanuel Alloa,Philosophy
1348108,Rolena Adorno,Spanish
758314,Linda Pellico,Nursing
819034,Frances Rosenbluth,Political Science
835777,Todd Gilman,Not Specified
1593050,Etem Erol,Near Eastern Studies
397436,Lamin Sanneh,Religion
1088610,Sharon Oster,Management
711982,James Aspnes,Computer Science
819035,Valerie Purdie-Vaughns,Psychology
2108559,Mahesh Balakrishnan,Computer Science
821675,Ivan Szelenyi,Sociology
594289,John Harris,Physics
711971,Jason Van Nest,Architecture
1522672,Henry Jones,Archaeology
652213,Fabian Lange,Economics
2336632,Brad Rosen,Computer Science
1299429,Joseph Wolenski,Biology
672998,Philip Hale,Economics
897142,Triet Le,Mathematics
683458,Carlos Eire,History
1904548,Robert Williams,English
2289196,Ian Turner,Political Science
546334,Maria Babyonyshev,Linguistics
817327,Karen Wynn,Psychology
1792493,Melina Moe,English
323396,Harold Attridge,Theology
1025887,Fred Strebeigh,English
2113516,Kurt Forster,Architecture
421797,Weiming Zhong,Biology
2043254,Muhammad Aziz,Near Eastern Studies
2229489,Susan Rose-Ackerman,Law
1473553,Jaejeong Lee,Mathematics
1129220,Phyllis Granoff,Religion
1393008,June Gruber,Psychology
677667,Adam Simon,Political Science
940258,Philip Gorski,Sociology
543303,Ala Alryyes,English
2140489,Brett Smith,Mathematics
1820939,Gagan Sood,History
1987673,Carolyn Bruno,Nursing
655241,Suzanne Alonzo,Biology
2007752,Susano Surface,Women's Studies
2528483,Langdon Hammer,English
790513,Mridu Rai,History
2478296,Bryan Kelly,Management
1093213,John Fisher,Classics
342746,Ayala Dostorevsky,Languages
455802,Donald Brown,Economics
1925581,Andrew McKendry,English
2099644,Aaron Dollar,Mechanical Engineering
2567456,Michael Schmertzler,Economics
1433791,Kevin Poole,Spanish
2099665,Mitchell Smooke,Mechanical Engineering
1127129,Robert Nelson,Art History
2029416,Robert Stern,Architecture
1715339,Scott Edgar,Philosophy
1528442,Amy Chua,Law
2412239,Hailiang Wang,Chemistry
2336975,Sam Bryant,Physics
910847,John Darnell,Near Eastern Studies
2498822,Francesca Hope,Medicine
2151050,Anthony Vidler,Architecture
693873,Sam Messer,Fine Arts
1454534,Dale Martin,Religion
2870906,Katherine Balch,Music
2090662,Marci Shore,History
3033409,Kevin Elliot,Political Science
2099651,Charles Ahn,Mechanical Engineering
2099659,Marshall Long,Mechanical Engineering
1531662,Rebecca Davis,History
891857,Marian Chertow,Forestry
1777465,Katerina Simons,Economics
1301161,Roohollah Ebrahimian,Mathematics
1985653,Aaron Pratt,English
1011301,Alexander Nemerov,Art History
492980,Owen Lamont,Business
1475663,Jan Carlos Romero,Literature
2603054,Indriyo Sukmono,Humanities
2539852,Julie Berlinski,Environmental Studies
2626496,Debra Fischer,Astronomy
2808820,Cheng Li,East Asian Studies
2867464,Cormac O'Dea,Economics
3000528,Valerie Hansen,History
