id,name,department
924718,Gene Fisch Jr.,Mathematics
7683,Martin Leibowitz,Accounting
1071390,Liesl Schwabe,English
1360280,Lee Warren,Chemistry
1125664,Wenxiong Chen,Mathematics
1691841,Aliza Rotenstein,Accounting
1010282,Eliezer H. Schnall,Psychology
1320350,Lane Anderson,English
8066,Carl Feit,Science
805485,Philip Listowsky,Computer Science
104752,Barbara Blatner,English
7762,Ruth Bevan,Political Science
179855,Robert Greenberg,Law
1145872,Chaviva Levin,Jewish History
1734313,James Camara,Chemistry
24358,David Kahn,Accounting
706662,Elizabeth Stewart,English
1403341,Sarah Kasher-Bendet,Languages
2448088,David Puretz,English
1256327,Constance Crawford,Accounting
1300685,Shu Han,Information Science
989981,Aaron Koller,Languages
2498664,Brian Trimboli,English
2119379,Avi Naiman,Information Science
7719,Moses Pava,Accounting
1841091,Maria Zaitseva,Political Science
819709,Johanna Lane,English
1510777,Van Kelly,Computer Science
1821993,Leonard Fuld,Accounting
1433660,Jess Olson,Jewish History
117391,William Stenhouse,History
1235524,Shalom Carmy,Religion
1706588,Ran Shao,Economics
1143036,David A. Johnson,Philosophy
1212772,Neer Asherie,Physics
55198,Gillian Steinberg,English
376346,Manfred Weidhorn,English
1063385,Daniel Beliavsky,Music
1100741,Jay Sweifach,Social Work
1870189,Kevin Brabazon,Information Science
127315,Henry Jorisch,Computer Science
1532414,David Lavinsky,English
1958663,Levent Kocaga,Information Science
509236,Elias Grivoyannis,Economics
1476545,Douglass Burgess,History
1264767,Tamar Avnet,Marketing
1535981,Amish Khalfan,Physics
1868011,Daniel Kimmel,Sociology
1535979,Karen David,Economics
96087,Moshe Bernstein,Theology
204235,Lauren Fitzgerald,English
2085319,Nafees Alam,Social Work
849391,Jenny Isaacs,Psychology
8320,. Bacon,Psychology
1534664,Yair Shahak,Languages
1025146,Sumanta Goswami,Biology
1902648,Chaya Glaser,Languages
1514798,Richard Nochimson,English
1378599,William Lee,English
1524456,Joseph Kerstein,Accounting
2488567,Rita Rigano,Business
2350563,Mark Finkel,Management
1892482,Sidney Mehl,Finance
2228873,Radhashree Maitra,Biology
7725,Rabbi Ellman,Social Science
1378600,Ira Saiger,Psychology
1275271,Christopher McGahan,English
2382344,Melanie Felsman,Communication
1979107,Marc Spear,Business
515787,Nancy Beckerman,Social Work
2455180,Sharon Poczter,Management
935431,Hadassah Kosak,History
2237146,Alessandro Citanna,Computer Science
2368263,Manachanallur Ravi,Mathematics
104936,Fred Palumbo,Business
2448591,steven Mayer,Accounting
1767340,Aliza Shachter,Languages
553103,Stephan Pimpare,Political Science
8318,Thomas Otway,Mathematics
2368259,Jim Resnik,Accounting
2568435,Jonathan Gersch,Mathematics
1450075,Ronnie Perelis,Jewish History
652269,Claire Zakheim,Mathematics
96090,R. Meir Goldwicht,Theology
7651,Mitchell Orlian,Not Specified
1137379,Lisa Rosh,Management
1451794,Ari Mermelstein,Not Specified
982016,Robert Zwick,Computer Science
790233,Joseph Luders,Political Science
1118555,Shalom Holtz,Not Specified
1952839,Rachel Calipha,Finance
1902684,Aaron Kogut,Biology
1590068,Paula Geyh,English
2028224,Lynn Levy,Social Work
7776,Rabbi Reiner,History
617850,Elozor Preil,Religion
1438398,Jesse Itzkowitz,Marketing
185878,David Hornung,Accounting
1384538,Haim Aseriel,Biology
1111452,Rachel Mesch,Languages
2454794,Vladimir Kovtun,Business
1586555,Joshy Karlip,Jewish History
535869,Chaya Rapp,Chemistry
104933,Joshua Krausz,Business
1544877,Ariel Malka,Psychology
1246232,John Hogan,Art History
2544999,Meir Rosensweig,Jewish Philosophy
705028,Benjamin Blech,Religion
2101707,Gabriela Coiculescu,Finance
7682,Charles Raffel,Philosophy
619089,Kira Adaricheva,Mathematics
2097257,Yitzchak Rosenthal,Information Science
1286127,Josh Zimmerman,History
1786987,Hill Krishnan,Political Science
598699,Jeffery Freedman,History
1959544,Avi Giloni,Information Science
707427,Rivka Weiner,Languages
1746542,Carin White,English
846136,Lawrence Hajioff,Religion
8331,Sidney Langer,Social Science
1903672,Sigal Shalom,Languages
846132,Jill Katz,History
1304343,Vincent Chiappetta,Biology
1177941,Joseph Tovey,Finance
290110,Fredy Zypman,Physics
970908,David Pahmer,Religion
2010777,Tadashi Hashimoto,Economics
1809059,Stanley Gruber,Psychology
560551,David Shatz,Philosophy
1096043,Zelig Aster,Religion
2007861,Maria Blekher,Marketing
7690,Saul Berman,Theology
107776,Jeremy Wieder,Religion
1868792,Robert Tufts,Management
2219999,Judah Diament,Computer Science
1605209,Fabiola Barrios-Landeros,Chemistry
1212372,Brian Maruffi,Management
968834,Everita Silina,Political Science
1861795,Steven Chan,Marketing
616905,Richard Weiss,Biology
1230821,Marnin Young,Art History
2658407,Ben Wymore,Computer Science
971058,Brenda Lowey,Biology
617847,Zafrira Lidovsky/cohen,Languages
2515594,Rajalakshmi Viswanathan,Chemistry
1431023,Rosetta Schaeffer,Social Work
7786,Michael Breban,Computer Science
535866,Joy Ladin,English
1379350,Alon Gorodetsky,Chemistry
1279870,Alyssa Schuck,Biology
2536006,Jannine Lasaleta,Marketing
2897289,Stephanie Caligiuri,Psychology
565931,Barry Potvin,Biology
277730,Rabbi Oratz,Not Specified
852594,Reeva Simon,History
1728607,Joseph Angel,Religion
7727,Hayyim Tawil,Languages
1019541,Lora Danley,Chemistry
527644,. Sober,Religion
466814,Carla Aurich,Fine Arts
1869296,Galit Ben-Joseph,Business
8319,Tzvi Kaplan,History
535870,Aharon Cohen,Religion
1338214,Mike MacHczynski,Chemistry
925834,Hanoch Dubitsky,Languages
376338,Rabbi Kanarfogel,History
2258462,Benjamin Rofeh,Jewish Philosophy
2263093,Al Golzari,Marketing
616849,Ann Peters,English
1226992,Jessica Seessel,English
1397087,Kiesok Nam,Finance
2225637,Maxwell Musser,Mathematics
